"Championnat régional slalom - Bazancourt - 2006-05-14","Course 1","2006-05-14","Régional","143"
"Dollat Aymeric","K1H","229.80","-","612",""
"Demoury Jean Briac","K1H","230.44","-","616",""
"Julien Moriat","K1H","230.70","-","617",""
"Ladouce Sebastien","K1H","230.85","-","618",""
"Opfermann Alexandre","K1H","231.22","626","621",""
"Aurelien Noiret","K1H","232.80","590","632",""
"Doquois Romain","K1H","233.17","-","635",""
"Laurent Remi","K1H","236.95","610","660",""
"Brouillard Thibault","K1H","240.65","716","685",""
"Kuentz Florian","K1H","242.95","-","700",""
"Weber Maxence","K1H","246.10","1664","722",""
"Andre Kempf","K1H","246.22","648","723",""
"Pierron Aurelien","K1H","247.39","512","730",""
"Camille Simonin","K1H","257.43","730","799",""
"Brouillard Aurelien","K1H","259.09","897","810",""
"Juillet Edouard","K1H","259.82","657","815",""
"Moniot Bruno","K1H","260.17","-","817",""
"Remi Fossier","K1H","261.44","-","826",""
"Alain Roger","K1H","261.91","-","829",""
"Aimeric Brouillard","K1H","265.87","1024","856",""
"Leclerc Jerome","K1H","272.60","336","902",""
"Anton Chervontsev","K1H","278.99","-","945",""
"Jonathan Matern","K1H","279.87","-","951",""
"Arnaud Delachaux","K1H","279.89","-","951",""
"Fabien Delfly","K1H","280.99","-","958",""
"Chauliac Anthony","K1H","281.06","-","958",""
"Machet Gerard","K1H","290.10","-","1020",""
"Marchand Florian","K1H","296.67","-","1065",""
"Christophe Simonin","K1H","301.94","-","1100",""
"Jerome Urbanczyk","K1H","302.09","-","1101",""
"Galibert Guillaume","K1H","306.22","-","1129",""
"Clement Pierron","K1H","311.13","-","1162",""
"Piffre Antoine","K1H","313.65","-","1179",""
"Quentin Roche","K1H","314.40","-","1184",""
"Francis Duchiron","K1H","321.94","-","1235",""
"Mattheo Geoffray","K1H","342.95","-","1377",""
"Duchene Sebastien","K1H","343.13","-","1379",""
"Come Christophe","K1H","345.37","-","1394",""
"Schmidt Emmanuel","K1H","378.04","-","1615",""
"Lebrun Benjamin","K1H","411.16","-","1840",""
"Desrousseaux Johan","K1H","501.95","-","2455",""
"Vallus Christophe","K1H","537.64","-","2696",""
"Collot Severin","K1H","617.00","-","3233",""
