"48Ëme Grand Prix de Pau Slalom - 64320 Bizanos - Course n∞2 | Qualification - 2018-10-28","Course n∞2 | Qualification","2018-10-28","RÈgional","335"
"Sami Rocher","K1H","87.46","73.66","143.65",""
"Luc Sarramea","K1H","87.51","201.25","144.27",""
"Charlie Barbier","K1H","88","65.35","150.33",""
"Yohann Senechault","K1H","88.29","192.68","153.92",""
"Isaac Dufrene","K1H","88.3","79.1","154.04",""
"Timothee Cornu","K1H","88.33","186.61","154.41",""
"Pierre-louis Saussereau","K1H","88.58","97.51","157.5",""
"Anthony Drouhin","K1H","88.78","151.69","159.98",""
"Leo Vuitton","K1H","88.81","152.03","160.35",""
"Loœc Winiarski","K1H","89.11","177.77","164.06",""
"Jean Charles Hacquart","K1H","89.59","133.64","169.99",""
"Yanis Rainaud","K1H","89.83","123.73","172.96",""
"Nicolas Caussanel","K1H","91.06","211.86","188.17",""
"Paul Cornut-chauvinc","K1H","91.22","90.82","190.15",""
"Thomas Rosset","K1H","91.31","76.41","191.27",""
"Thomas Ukalovic","K1H","91.97","264","199.43",""
"Valentin Brindeau","K1H","91.97","140.54","199.43",""
"Romain Branjauneau","K1H","92.02","212.38","200.05",""
"Loan Queffelec","K1H","92.14","208.4","201.53",""
"Gael Adisson","K1H","92.54","158.49","206.48",""
"Alex Louveau","K1H","92.72","159.88","208.7",""
"Tom Babin","K1H","92.86","154.03","210.43",""
"Jonas Turmeau","K1H","92.92","84.58","211.18",""
"Hugo Mouffle","K1H","92.94","290.33","211.42",""
"Leo Fournier","K1H","92.96","180.75","211.67",""
"Tanguy Malingre","K1H","93.08","284.05","213.16",""
"Theo Ducasse","K1H","93.88","278.95","223.05",""
"Corentin Monasse","K1H","94.07","154.49","225.4",""
"Cedric Landreau","K1H","94.16","295.01","226.51",""
"Etienne Saint Picq","K1H","94.41","378.24","229.6",""
"Paul Gestin","K1H","95.03","178.09","237.27",""
"Adrien Mesmoudi","K1H","95.3","315.41","240.61",""
"Thibault Marchand","K1H","95.36","113.6","241.35",""
"Samuel Bonella","K1H","95.42","187.31","242.09",""
"Valentin Courtiade","K1H","95.49","192.84","242.96",""
"Jeremie Palazy","K1H","95.52","148.44","243.33",""
"Felix Praderie","K1H","95.89","256.92","247.91",""
"Gawaine Chikh","K1H","96.08","226.25","250.26",""
"Gedeon Cothias-faure","K1H","96.78","280.29","258.91",""
"Djendy Simeant","K1H","96.86","195.04","259.9",""
"Ewen Berrest","K1H","96.95","292.22","261.02",""
"Arthur Lagleyze","K1H","97.34","295.42","265.84",""
"Esteban Illido","K1H","97.54","276.05","268.31",""
"Lucas Augu","K1H","97.75","189.15","270.91",""
"Virgile Pigache-donnet","K1H","98.04","248.3","274.5",""
"Dylan Sourbe","K1H","98.36","207.76","278.45",""
"Cyprien Cail","K1H","98.39","262.38","278.82",""
"Joris Hello","K1H","98.57","217.42","281.05",""
"Samuel Taillefer","K1H","98.59","297.08","281.3",""
"Victor Hennin","K1H","98.64","268.37","281.92",""
"Paul Gobert","K1H","98.65","341.19","282.04",""
"Hugo Crespo","K1H","98.77","297.26","283.52",""
"Victor Lagleyze","K1H","98.81","380.55","284.02",""
"Nour Ait Kaddour","K1H","98.84","263","284.39",""
"Malo Legrand","K1H","99.01","197.99","286.49",""
"Paul Commenges","K1H","99.08","261.24","287.36",""
"Herve Busson","K1H","99.1","238.04","287.61",""
"Clement Dubois","K1H","99.16","275.92","288.35",""
"Vincent Menager","K1H","99.56","327.51","293.29",""
"Jonathan Delagnes","K1H","99.69","221.29","294.9",""
"Julien Doumecq","K1H","100.55","436.14","305.54",""
"Guillaume Belet","K1H","100.75","310.33","308.01",""
"Julien Pajaud","K1H","101.06","67.05","311.84",""
"Daneric Ollivier","K1H","101.26","337.65","314.32",""
"Romain Bruneau","K1H","101.32","231.12","315.06",""
"Gurvan Huet","K1H","101.39","311.95","315.93",""
"Fabien Paleau","K1H","101.56","315.56","318.03",""
"Theo Douady","K1H","101.7","329.47","319.76",""
"Antoine Laye","K1H","101.72","255.24","320.01",""
"Max Derame","K1H","101.82","314.8","321.24",""
"Cedric Gerbet","K1H","102.36","440.79","327.92",""
"Vincent Delahaye","K1H","102.51","54.83","329.78",""
"Tino Forgues","K1H","102.69","254.58","332",""
"Timothee Le Mort","K1H","102.92","258.31","334.85",""
"Nicolas Rouleaud","K1H","103.04","216.87","336.33",""
"Fantin Delage-garez","K1H","103.24","335.23","338.8",""
"Yannis Dast","K1H","103.35","355.8","340.17",""
"Marc Sarramea","K1H","103.41","225.47","340.91",""
"Arthur Huet","K1H","103.47","324.13","341.65",""
"Nicolas Saurat","K1H","103.54","312.97","342.51",""
"Theau Le Loch","K1H","103.7","340.04","344.49",""
"Elliot Perez","K1H","104.16","250.85","350.18",""
"Gaston Guilmard","K1H","104.67","347.27","356.49",""
"GaÀtan De Greef","K1H","104.72","263.6","357.11",""
"Maxime Texier","K1H","105.46","459.68","366.26",""
"Angus Cruickshank","K1H","105.72","328.27","369.48",""
"Pablo Chaminade","K1H","106.26","310.11","376.15",""
"Denis Guilmard","K1H","106.78","323.43","382.58",""
"Come Le Gal","K1H","108.23","313.77","400.52",""
"Jerome Talbot","K1H","108.3","412.7","401.38",""
"Yannis Houze","K1H","108.44","346.47","403.11",""
"Marc Cordier","K1H","108.87","304.28","408.43",""
"Alex Baldoni","K1H","109.53","351.24","416.59",""
"Lucas Soudi","K1H","109.77","417.04","419.56",""
"Ancelin Gourjault","K1H","111.64","668.73","442.69",""
"Antonin Robert","K1H","112.33","264.15","451.22",""
"Tonin Desmet","K1H","112.59","483.75","454.44",""
"Tom Delens","K1H","113.47","389.41","465.32",""
"Pierrealain Clerc","K1H","113.69","-","468.04",""
"Leo Collard","K1H","113.97","276.28","471.5",""
"Julien Delaleux","K1H","114.06","867.44","472.62",""
"Sebastien Larenaudie","K1H","114.98","555.75","483.99",""
"Thilbault Rucher","K1H","115.43","569.27","489.56",""
"Cesar Le Berder","K1H","116.98","532.74","508.73",""
"Matt Vidou","K1H","117.42","375.2","514.17",""
"Thomas Terr…","K1H","118.26","397.95","524.56",""
"Marc Lalande","K1H","118.34","941.7","525.55",""
"Remi Dolcin Tillant","K1H","119.51","494.23","540.02",""
"Komlangan Gassou","K1H","121.94","1374.67","570.07",""
"Baptiste Loy","K1H","123.88","381.07","594.06",""
"Leo Grollier","K1H","124.46","405.96","601.23",""
"Juan Riu","K1H","127.7","631.31","641.3",""
"Jules Roos","K1H","131.08","458.16","683.1",""
"Hugo Robert","K1H","131.55","462.13","688.92",""
"Adrien Ricaud","K1H","132.75","420.64","703.76",""
"Lohan Wyon","K1H","133.25","500.93","709.94",""
"Matheo Coquel","K1H","133.91","423.37","718.1",""
"Yoan Dalla Longa","K1H","134.92","666.46","730.59",""
"Lucas Dongarra","K1H","135.66","449.97","739.74",""
"Olivier Cail","K1H","139.79","172.48","790.82",""
"Zeph Scamps","K1H","139.87","166.01","791.81",""
"Antoine Sapin","K1H","140.54","558.05","800.1",""
"Arnaud Verrons","K1H","140.86","165.84","804.05",""
"Mathis Soudi","K1H","141.58","89.31","812.96",""
"Tristan Ruiz","K1H","145.47","463.43","861.07",""
"Axel Brin","K1H","145.75","670.81","864.53",""
"Bertrand Gourrat","K1H","148.86","287.19","902.99",""
"Florent Iraundegui","K1H","149.77","263.89","914.24",""
"Flavien Portier","K1H","153.85","481.46","964.7",""
"Quilian Koch","K1H","155.43","796.44","984.24",""
"Benoit Dandonneau","K1H","159.28","431.41","1031.85",""
"Vincent Garcia","K1H","163.95","243.1","1089.61",""
"Baptiste San Nicolas","K1H","164.26","458.36","1093.44",""
"Loris Shayam Affre","K1H","165.39","333.21","1107.42",""
"Julien Dubarry","K1H","168.82","456.15","1149.84",""
"Eric Vidou","K1H","169.6","464.59","1159.48",""
"Jonathan Suc","K1H","170.18","397.55","1166.66",""
"Noa Lorand","K1H","176.54","562","1245.31",""
"Abel Boidron","K1H","190.7","481.35","1420.43",""
"Antoine Bouby","K1H","191.04","470.81","1424.63",""
"Lucas Mauer","K1H","193.89","561.89","1459.88",""
"Victor Robert","K1H","207.79","598.29","1631.78",""
"Mewen Debliquy","K1H","226","317.52","1856.98",""
"Aurelien Blois","K1H","235.8","615.7","1978.18",""
"Baptiste Delemotte","K1H","253.74","280.3","2200.05",""
"Theo Dunie","K1H","283.25","513.26","2565",""
"Sylvain Lauth","K1H","456.92","856.62","4712.79",""
"Tom Segaud","K1H","544.72","1355.11","5798.61",""
"Alexandre L'huillier","K1H","674.41","512.75","7402.5",""
"Tom Morillon","K1H","Des","-","-",""
"Mateo Destruel","K1H","Des","-","-",""
"Florian Giraud","K1H","Abs","-","-",""
"Pierre Bourliaud","K1H","Abs","-","-",""
"Jules Bernardet","K1H","Abs","-","-",""
"Jonathan Bourdier","K1H","Abs","-","-",""
"Killian Dal-cin","K1H","Abs","-","-",""
"Maxime Reubrez","K1H","Abs","-","-",""
"Guillaume Lopes","K1H","Abs","-","-",""
"Carl Rainaud","K1H","Abs","-","-",""
"Guillaume Malmezac","K1H","Abs","-","-",""
"Aldric Estanguet","K1H","Nt","-","-",""
"Titouan Castryck","K1HM","95.15","263.9","238.76",""
"Theo Reby","K1HM","97.26","288.6","264.85",""
"Emilien Courtiade","K1HM","100.42","287.38","303.93",""
"Antton Erdois","K1HM","103.01","421.48","335.96",""
"Yon Dandonneau","K1HM","105.84","318.61","370.96",""
"Oskar Hillion","K1HM","107.24","417.22","388.27",""
"Lukas Estanguet-santamaria","K1HM","109.47","350","415.85",""
"Maxence Davy","K1HM","110.19","485.3","424.76",""
"Hugo Monasse","K1HM","110.29","252.4","425.99",""
"Edgar Paleaubrasseur","K1HM","113.47","389.12","465.32",""
"Tom Marchand","K1HM","117.16","443.18","510.95",""
"Nicolas Bidault","K1HM","119.44","412.73","539.15",""
"Guillaume Pradalie","K1HM","121.62","510.45","566.11",""
"K…ziah Lecomte","K1HM","124.96","619.02","607.42",""
"Florian Malaval","K1HM","125.7","490.35","616.57",""
"Timeo Canonico","K1HM","133.08","483.2","707.84",""
"Emeric Nieser","K1HM","133.51","507.88","713.16",""
"Romain Margerie","K1HM","165.06","459.89","1103.34",""
"Clement Brotier","K1HM","183.55","578.37","1332",""
"Ewann Hervouet","K1HM","187.66","659.76","1382.83",""
"Arsene Labarthe","K1HM","202.19","687.68","1562.53",""
"Matheo Nassieu","K1HM","215.49","561.69","1727.01",""
"Cl…ment Louveau","K1HM","218.55","514.42","1764.85",""
"Zakaria Radouani","K1HM","271.43","1011.29","2418.82",""
"Miguel Irungaraylarronde","K1HM","384.7","592.59","3819.64",""
"Baptiste Vinet","K1HM","493.98","975.66","5171.11",""
"Esteban Bidegain","K1HM","Des","-","-",""
