"SÈlectif RÈgional Slalom (Double) - Veigne - Course n∞1 | Finale - 2018-04-28","Course n∞1 | Finale","2018-04-28","RÈgional","110"
"Theo Douady-Romain Brouard","C2H","171.02","921.7","1176.96","Course n∞1 | Finale A"
"Paulin Cachanado-Titouan Papot","C2H","175.31","1569.92","1230.03","Course n∞1 | Finale A"
"Eloi Seemann-Lea Grison","C2M","128.16","412.64","514.56","Course n∞1 | Finale A"
"Zoe Bruchon","K1D","105.92","272.42","336.75","Course n∞1 | Finale A"
"Romane Bronchet","K1D","109.47","361.53","379.51","Course n∞1 | Finale A"
"Julie Dequeant","K1D","122.33","461.82","534.39","Course n∞1 | Finale A"
"Alice Bureau","K1D","130.29","600.78","630.25","Course n∞1 | Finale A"
"Ines Vinet","K1D","144.95","543.26","806.8","Course n∞1 | Finale A"
"Zoe Malval","K1DM","150.23","1230.39","870.4","Course n∞1 | Finale A"
"Aude-line Quin","K1DM","355.84","2601.11","3346.66","Course n∞1 | Finale A"
"Thibaud Lacour","K1H","87.64","186.05","253.81","Course n∞1 | Finale A"
"Benjamin Thouvignon","K1H","89.77","290.88","282.8","Course n∞1 | Finale A"
"Romain Bruneau","K1H","90.67","303.39","295.05","Course n∞1 | Finale A"
"Thomas Ukalovic","K1H","90.98","260.82","299.27","Course n∞1 | Finale A"
"Lucas Augu","K1H","92.56","205.75","320.77","Course n∞1 | Finale A"
"Nicolas Rouleaud","K1H","93.02","210.63","327.03","Course n∞1 | Finale A"
"Collin Pouradier","K1H","94.24","349.72","343.63","Course n∞1 | Finale A"
"Antonin Barraud","K1H","94.81","224.75","351.39","Course n∞1 | Finale A"
"Denis Guilmard","K1H","94.85","287.19","351.93","Course n∞1 | Finale A"
"Antoine Dubost","K1H","94.95","314","353.29","Course n∞1 | Finale A"
"Max Derame","K1H","96.21","412.66","370.44","Course n∞1 | Finale A"
"Denis Parizia","K1H","98","343.14","394.8","Course n∞1 | Finale A"
"Florian Torche","K1H","98.77","330.77","405.28","Course n∞1 | Finale A"
"Gaston Guilmard","K1H","99.31","382.07","412.63","Course n∞1 | Finale A"
"Jacques Precigout","K1H","99.74","320.77","418.48","Course n∞1 | Finale A"
"Alexis Carpentey","K1H","103.13","432.97","464.62","Course n∞1 | Finale A"
"Victor Lagleyze","K1H","103.2","406.45","465.57","Course n∞1 | Finale A"
"Mathieu Aussant","K1H","103.62","361.08","471.29","Course n∞1 | Finale A"
"Jeremy Bretteville","K1H","104.62","471.87","484.89","Course n∞1 | Finale A"
"Jean Aussant","K1H","106.29","337.41","507.62","Course n∞1 | Finale A"
"Noah Fresneda","K1H","112.23","509.18","588.46","Course n∞1 | Finale A"
"Titouan Conseil","K1H","117.2","487.28","656.1","Course n∞1 | Finale A"
"Kilian Berlu","K1H","117.23","582.14","656.5","Course n∞1 | Finale A"
"Samuel Vallienne","K1H","118.18","373.58","669.43","Course n∞1 | Finale A"
"Nicolas Leconte","K1H","118.58","453.71","674.88","Course n∞1 | Finale A"
"Paul Tallet Pinet","K1H","120.74","507.33","704.27","Course n∞1 | Finale A"
"Titouan Papot","K1H","120.87","517.89","706.04","Course n∞1 | Finale A"
"Terence Saramandif","K1H","121.96","447.43","720.88","Course n∞1 | Finale A"
"Tom Marchand","K1HM","108.74","493.4","540.96","Course n∞1 | Finale A"
"Romain Margerie","K1HM","116.39","687.63","645.07","Course n∞1 | Finale A"
"Cl…ment Louveau","K1HM","122.94","605.54","734.21","Course n∞1 | Finale A"
"Thibaud Lacour","C1H","117.01","508.69","582.68","Course n∞1 | Finale B"
"Theo Douady","C1H","128.94","686.49","737.31","Course n∞1 | Finale B"
"Alexis Carpentey","C1H","129.88","674.41","749.49","Course n∞1 | Finale B"
"Gaspard Trichard","C1H","135.55","885.98","822.98","Course n∞1 | Finale B"
"Noah Fresneda","C1H","139.41","634.61","873","Course n∞1 | Finale B"
"Victor Lagleyze","C1H","143.02","743.07","919.81","Course n∞1 | Finale B"
"Mael Poirier","C1H","146.77","719.68","968.4","Course n∞1 | Finale B"
"Bruno Louviot","C1H","180.88","756.76","1410.51","Course n∞1 | Finale B"
"Romain Brouard","C1H","192.65","1209.93","1563.05","Course n∞1 | Finale B"
"Vincent Touz…-bourguin","C1H","247.29","1341.74","2271.24","Course n∞1 | Finale B"
"Thomas Ukalovic","C1H","Abs","-","-","Course n∞1 | Finale B"
"Tom Marchand-Romain Margerie","C2HM","160.46","918.67","1051.31","Course n∞1 | Finale B"
"Johana Caillaud","K1D","188.4","1486.52","1335.1","Course n∞1 | Finale B"
"Marine Clement","K1D","195.54","948.45","1421.08","Course n∞1 | Finale B"
"Zoe Marchand","K1D","264.29","734.92","2249.07","Course n∞1 | Finale B"
"Tiphaine Gayon","K1D","349.01","1746.89","3269.39","Course n∞1 | Finale B"
"Valentine Jussy","K1D","Abs","-","-","Course n∞1 | Finale B"
"Henri Despont","K1H","100.91","327.61","439.4","Course n∞1 | Finale B"
"Theo Douady","K1H","102.4","352.1","459.68","Course n∞1 | Finale B"
"Louis Rathier","K1H","109.44","472.69","555.49","Course n∞1 | Finale B"
"Jikael Merlet","K1H","113.01","637.92","604.07","Course n∞1 | Finale B"
"Paulin Cachanado","K1H","113.99","648.52","617.41","Course n∞1 | Finale B"
"Leo Front","K1H","114.86","758.01","629.25","Course n∞1 | Finale B"
"Simon Labet","K1H","115.33","528.85","635.65","Course n∞1 | Finale B"
"Christophe Cartault","K1H","115.42","650.66","636.87","Course n∞1 | Finale B"
"Yann Dhieux","K1H","115.64","613.12","639.87","Course n∞1 | Finale B"
"Romain Brouard","K1H","117.69","552.73","667.77","Course n∞1 | Finale B"
"Nicolas Petipez","K1H","122.97","697.32","739.62","Course n∞1 | Finale B"
"Victor Lheritier","K1H","123.98","728.59","753.37","Course n∞1 | Finale B"
"Benoit Lecluse","K1H","124.08","685.39","754.73","Course n∞1 | Finale B"
"Yohan Dupont","K1H","124.38","470.96","758.81","Course n∞1 | Finale B"
"Bruno Louviot","K1H","125.64","687.94","775.96","Course n∞1 | Finale B"
"Leo Hohler","K1H","135.06","992.33","904.16","Course n∞1 | Finale B"
"Tom Chaise","K1H","136.04","952.16","917.49","Course n∞1 | Finale B"
"Mael Poirier","K1H","136.63","603.98","925.52","Course n∞1 | Finale B"
"Paul Hosten","K1H","140.43","1238.56","977.24","Course n∞1 | Finale B"
"Florent Bouderlique","K1H","149.24","1632.44","1097.13","Course n∞1 | Finale B"
"Antoine Dey","K1H","169.92","629.67","1378.57","Course n∞1 | Finale B"
"Romain Caburol","K1H","178.41","546.11","1494.11","Course n∞1 | Finale B"
"Jean-philippe Lecomte","K1H","183.27","1441.78","1560.25","Course n∞1 | Finale B"
"Vincent Touz…-bourguin","K1H","213.32","1709.59","1969.2","Course n∞1 | Finale B"
"Alexandre Leger","K1H","317.61","1393.78","3388.5","Course n∞1 | Finale B"
"Leo Leblanc","K1H","331.21","1594.61","3573.58","Course n∞1 | Finale B"
"Gaspard Trichard","K1H","522.41","862.6","6175.64","Course n∞1 | Finale B"
"Eric Pouradier","K1H","Abd","-","-","Course n∞1 | Finale B"
"Selyan Bourgognon","K1HM","120.21","702.41","702.06","Course n∞1 | Finale B"
"Marwan Bazot","K1HM","147.75","980.46","1076.85","Course n∞1 | Finale B"
"Martin Letourneau","K1HM","160.98","1841.28","1256.9","Course n∞1 | Finale B"
