"SÈlectif RÈgional Slalom (Double) - 42520 Saint Pierre De Boeuf - Course n∞2 | Finale - 2020-10-11","Course n∞2 | Finale","2020-10-11","RÈgional","265"
"Tifenn Primet","K1D","121.14","373.39","381.18","Course n∞2 | Finale A"
"Zelie Ferraris","K1D","122.51","355.96","396.34","Course n∞2 | Finale A"
"Eve Vitali-guilbert","K1D","122.63","433.7","397.66","Course n∞2 | Finale A"
"Lux Debruyne","K1D","124.02","549.28","413.04","Course n∞2 | Finale A"
"Iana Gonseth","K1D","124.49","347.03","418.25","Course n∞2 | Finale A"
"Emilie Armani","K1D","124.56","683.8","419.02","Course n∞2 | Finale A"
"Fanny Mino-vercellio","K1D","124.75","508.47","421.12","Course n∞2 | Finale A"
"Chloe Faverjon","K1D","125.49","387.45","429.31","Course n∞2 | Finale A"
"Dorie Deshogues","K1D","128.65","498.12","464.29","Course n∞2 | Finale A"
"Lea Martin","K1D","130.06","711.14","479.89","Course n∞2 | Finale A"
"Jeanne Mazard","K1D","138.12","624.61","569.09","Course n∞2 | Finale A"
"Emmelyne Sauvagnac","K1D","151.14","547.3","713.18","Course n∞2 | Finale A"
"Lisa Mouffle","K1D","173.84","214.66","964.41","Course n∞2 | Finale A"
"Lauren Leclercq","K1DM","125.93","519.16","434.18","Course n∞2 | Finale A"
"Maya Georgel","K1DM","134.86","488.26","533.01","Course n∞2 | Finale A"
"Eyleen Vuilleumier","K1DM","200.8","595.7","1262.77","Course n∞2 | Finale A"
"Maelys Talbot","K1DM","269.6","716.99","2024.18","Course n∞2 | Finale A"
"Loic Bertoia","K1H","94.34","103.71","220.31","Course n∞2 | Finale A"
"Titouan Dupras","K1H","94.48","157.68","222.06","Course n∞2 | Finale A"
"Maxime Bottex","K1H","96.33","178.1","245.19","Course n∞2 | Finale A"
"Nicolas Caussanel","K1H","96.62","216.49","248.82","Course n∞2 | Finale A"
"Martin Daviet","K1H","96.81","256.37","251.2","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","97.55","208.57","260.45","Course n∞2 | Finale A"
"Etienne Wiche","K1H","97.88","187.17","264.58","Course n∞2 | Finale A"
"Collin Pouradier","K1H","98.43","239.26","271.46","Course n∞2 | Finale A"
"Jules Cresp","K1H","98.92","170.71","277.58","Course n∞2 | Finale A"
"Nathanael Pedron","K1H","98.92","179.62","277.58","Course n∞2 | Finale A"
"Mael Hervault","K1H","99.24","192.87","281.58","Course n∞2 | Finale A"
"Corentin Georgeon","K1H","99.99","298.99","290.96","Course n∞2 | Finale A"
"Jules Silvin","K1H","100.03","243.4","291.46","Course n∞2 | Finale A"
"Axel Clement","K1H","100.06","325.87","291.84","Course n∞2 | Finale A"
"Amaury Brucher","K1H","100.8","301.63","301.09","Course n∞2 | Finale A"
"Clement Couchoud","K1H","101.24","246.92","306.6","Course n∞2 | Finale A"
"Arthur Contamine","K1H","102.05","256.91","316.73","Course n∞2 | Finale A"
"Tom Marchand","K1H","102.41","379.04","321.23","Course n∞2 | Finale A"
"Arthur Blocquaux","K1H","102.58","339.68","323.35","Course n∞2 | Finale A"
"Gawaine Chikh","K1H","102.58","193.4","323.35","Course n∞2 | Finale A"
"Nicolas Demofsqui","K1H","103.06","330.02","329.36","Course n∞2 | Finale A"
"Alexandre Goujon","K1H","103.59","359.67","335.98","Course n∞2 | Finale A"
"Antonin Robert","K1H","104.18","247.3","343.36","Course n∞2 | Finale A"
"Jules Bevalot","K1H","104.49","206.63","347.24","Course n∞2 | Finale A"
"Theo Brun","K1H","104.59","257.86","348.49","Course n∞2 | Finale A"
"Hugo Martin -laemle","K1H","104.79","339.87","350.99","Course n∞2 | Finale A"
"Maxime Devis","K1H","104.89","346.35","352.24","Course n∞2 | Finale A"
"Clement Dancette","K1H","104.93","365.72","352.74","Course n∞2 | Finale A"
"Leo Parnotte","K1H","105.72","384.42","362.62","Course n∞2 | Finale A"
"Cedric Mace","K1H","106.66","393.61","374.38","Course n∞2 | Finale A"
"Cl…ment Louveau","K1H","106.74","571.3","375.38","Course n∞2 | Finale A"
"Axel Brossat","K1H","106.79","410.17","376","Course n∞2 | Finale A"
"Maxime Melmont","K1H","107.06","336.77","379.38","Course n∞2 | Finale A"
"Baptiste Guillaubez","K1H","107.23","411.65","381.5","Course n∞2 | Finale A"
"Alexandre Marin","K1H","107.65","305.15","386.76","Course n∞2 | Finale A"
"Arthur Paulus","K1H","108.19","346.39","393.51","Course n∞2 | Finale A"
"Maxime Gaillard","K1H","108.22","462.26","393.89","Course n∞2 | Finale A"
"Julien Saguet","K1H","108.35","345.01","395.51","Course n∞2 | Finale A"
"Tom Dolle","K1H","108.83","329.11","401.51","Course n∞2 | Finale A"
"Isaac Pinneau","K1H","109.1","506.45","404.89","Course n∞2 | Finale A"
"Antonin Castille","K1H","109.29","418.6","407.27","Course n∞2 | Finale A"
"Stephane Borde","K1H","110.78","418.67","425.9","Course n∞2 | Finale A"
"Romain Magnier","K1H","111.29","495.31","432.28","Course n∞2 | Finale A"
"Erwan Quellec","K1H","111.72","322.81","437.66","Course n∞2 | Finale A"
"Gabin Chenal","K1H","112.91","487.07","452.54","Course n∞2 | Finale A"
"Olivier Hardonniere","K1H","113.61","414.63","461.29","Course n∞2 | Finale A"
"Herve Vitali","K1H","113.75","514.46","463.04","Course n∞2 | Finale A"
"Gaspard Gonseth","K1H","113.96","398.21","465.67","Course n∞2 | Finale A"
"Julien Ojard-chillet","K1H","114.36","353.58","470.67","Course n∞2 | Finale A"
"Florent Vallier","K1H","115.08","462.52","479.67","Course n∞2 | Finale A"
"Joao Normand","K1H","115.69","428.17","487.3","Course n∞2 | Finale A"
"Bertrand Lamy","K1H","117.7","398.28","512.44","Course n∞2 | Finale A"
"Jerome Talbot","K1H","119.58","498.75","535.95","Course n∞2 | Finale A"
"Victor Eduardo Carneiro Gomes","K1H","120.17","448.18","543.33","Course n∞2 | Finale A"
"Mohamed Saœd Bekkadour","K1H","121.33","334.74","557.83","Course n∞2 | Finale A"
"Thibaud Chovin","K1H","122.06","497.5","566.96","Course n∞2 | Finale A"
"Guillaume Gonzalez","K1H","123.49","277.39","584.85","Course n∞2 | Finale A"
"Clement Raul","K1H","135","489.61","728.79","Course n∞2 | Finale A"
"Titouan Sourieau","K1H","156.2","350.42","993.91","Course n∞2 | Finale A"
"Baptiste Gaillard","K1H","159.94","453.19","1040.68","Course n∞2 | Finale A"
"Jules Sourieau","K1H","162.61","424.01","1074.07","Course n∞2 | Finale A"
"Charles Edouard Dherment","K1H","163.34","380.18","1083.2","Course n∞2 | Finale A"
"Raphael Bonnard","K1H","222.33","438.17","1820.91","Course n∞2 | Finale A"
"Matis Cote","K1H","224.99","409.39","1854.17","Course n∞2 | Finale A"
"Vincent Reiter","K1H","253.98","276.98","2216.71","Course n∞2 | Finale A"
"Damien Chamblay","K1H","Abs","-","-","Course n∞2 | Finale A"
"Yannis Dast","K1H","Abs","-","-","Course n∞2 | Finale A"
"Ianis Triomphe","K1HM","102.13","350.83","317.73","Course n∞2 | Finale A"
"Luca Chapatte","K1HM","113.91","371.07","465.04","Course n∞2 | Finale A"
"Theo Dessolies","K1HM","115.17","509.63","480.8","Course n∞2 | Finale A"
"Dorian Oriol","K1HM","117.05","654.35","504.31","Course n∞2 | Finale A"
"Jules Raoul","K1HM","118.22","530.33","518.94","Course n∞2 | Finale A"
"Enzo Lambert","K1HM","118.51","588.81","522.57","Course n∞2 | Finale A"
"Timothee Borde","K1HM","122.16","553.26","568.21","Course n∞2 | Finale A"
"Alexandre Verbinnen","K1HM","123.36","680.9","583.22","Course n∞2 | Finale A"
"Titouan Duraffourg","K1HM","124.67","831.82","599.6","Course n∞2 | Finale A"
"Alric Detheve","K1HM","130.85","571.91","676.89","Course n∞2 | Finale A"
"Gustave Gonseth","K1HM","132.35","748.51","695.65","Course n∞2 | Finale A"
"Iana Gonseth","C1D","135.93","562.99","462.1","Course n∞2 | Finale B"
"Dorie Deshogues","C1D","142.34","594.52","528.91","Course n∞2 | Finale B"
"Ameline Saunier","C1D","165.59","604.4","771.2","Course n∞2 | Finale B"
"Anouk Alberti","C1D","190.37","755.42","1029.45","Course n∞2 | Finale B"
"Leonie Reichert","C1D","Abd","-","-","Course n∞2 | Finale B"
"Lisa Sadelli","C1D","Abd","-","-","Course n∞2 | Finale B"
"Maya Georgel","C1DM","163.48","1378.34","749.21","Course n∞2 | Finale B"
"Yann Rivallant","C1H","108.07","624.25","332.66","Course n∞2 | Finale B"
"Nicolas Sauteur","C1H","112.68","456.53","387.56","Course n∞2 | Finale B"
"Charles Edouard Dherment","C1H","116.64","572.12","434.73","Course n∞2 | Finale B"
"Nathanael Pedron","C1H","119.39","543.45","467.48","Course n∞2 | Finale B"
"Romain Magnier","C1H","120.89","566.25","485.34","Course n∞2 | Finale B"
"Jules Sourieau","C1H","122.08","573.3","499.52","Course n∞2 | Finale B"
"Axel Brossat","C1H","127.69","730.63","566.34","Course n∞2 | Finale B"
"Robin Le Fellic","C1H","129.82","822.1","591.7","Course n∞2 | Finale B"
"Raphael Wiche","C1H","130.81","661.45","603.49","Course n∞2 | Finale B"
"Thibaud Chovin","C1H","134.33","661.96","645.41","Course n∞2 | Finale B"
"Cedric Mace","C1H","149.81","591.94","829.78","Course n∞2 | Finale B"
"Dominique Bonnot","C1H","155.29","982.63","895.05","Course n∞2 | Finale B"
"Gregory Menuat","C1H","314.17","700.27","2787.34","Course n∞2 | Finale B"
"Jeremy Charrier","C1HM","141.43","1442.05","729.97","Course n∞2 | Finale B"
"Enzo Lambert","C1HM","145.04","890.45","772.97","Course n∞2 | Finale B"
"Tom Leclercq-chabenat","C1HM","163.01","1550.05","987","Course n∞2 | Finale B"
"Bastien Chovin","C1HM","Abs","-","-","Course n∞2 | Finale B"
"Livio Richard","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Kesia Georgel","K1D","116.07","287.37","330.07","Course n∞2 | Finale B"
"Marie Borlet","K1D","120.73","300.77","381.64","Course n∞2 | Finale B"
"Ameline Saunier","K1D","127.6","510.72","457.66","Course n∞2 | Finale B"
"Leonie Reichert","K1D","129.86","672.29","482.67","Course n∞2 | Finale B"
"Louise Duterage","K1D","131.59","624.45","501.82","Course n∞2 | Finale B"
"Camille Vion Delphin","K1D","133.21","496.03","519.75","Course n∞2 | Finale B"
"Camille Coulonval","K1D","133.58","685.63","523.84","Course n∞2 | Finale B"
"Fantine Hortolan","K1D","135.05","777.09","540.11","Course n∞2 | Finale B"
"Sidonie Duterage","K1D","135.27","678.14","542.55","Course n∞2 | Finale B"
"Lindsay Frenot","K1D","136.2","1610.97","552.84","Course n∞2 | Finale B"
"Lou Ann Vuilleumier","K1D","136.46","566.68","555.72","Course n∞2 | Finale B"
"Lucile Bessot","K1D","146.57","629.92","667.61","Course n∞2 | Finale B"
"Alexia De Matteis","K1D","147.82","724.75","681.44","Course n∞2 | Finale B"
"Marine Primet","K1D","148.29","644.15","686.64","Course n∞2 | Finale B"
"Julie Grosjean","K1D","156.98","2389.41","782.81","Course n∞2 | Finale B"
"Noemie Rys","K1D","157.65","1884.66","790.23","Course n∞2 | Finale B"
"Valentine Mathieu","K1D","169.07","1951.48","916.61","Course n∞2 | Finale B"
"Katia Talbot","K1D","172.3","805.09","952.36","Course n∞2 | Finale B"
"Laura Ceysson","K1D","230.56","2339.79","1597.12","Course n∞2 | Finale B"
"Emma Fauriel","K1D","300.55","689.62","2371.69","Course n∞2 | Finale B"
"Emmy Bernard","K1D","305.36","841.87","2424.93","Course n∞2 | Finale B"
"Emilie Place","K1D","354.81","1262.31","2972.19","Course n∞2 | Finale B"
"Marie-julie Daval","K1D","477.64","5241.58","4331.54","Course n∞2 | Finale B"
"S…r…na Guibane","K1DM","148.51","666.7","689.08","Course n∞2 | Finale B"
"Tiphaine Grillet","K1DM","205.53","884.98","1320.12","Course n∞2 | Finale B"
"Clemence Heintz","K1DM","341.28","2747.09","2822.46","Course n∞2 | Finale B"
"Clemence Dordonnat","K1DM","Abd","-","-","Course n∞2 | Finale B"
"Alex Louveau","K1H","96.29","183.15","249.69","Course n∞2 | Finale B"
"Mathieu Monier","K1H","98.26","226.77","274.33","Course n∞2 | Finale B"
"Thomas Schmitt","K1H","98.47","229.21","276.96","Course n∞2 | Finale B"
"Romain Margerie","K1H","105.62","377.51","366.37","Course n∞2 | Finale B"
"Jean Philippe Roche","K1H","108.37","342.97","400.76","Course n∞2 | Finale B"
"Dimitri Durannot","K1H","109.54","366.5","415.39","Course n∞2 | Finale B"
"Gabriel Saul","K1H","110.33","380","425.27","Course n∞2 | Finale B"
"Emile Verdier","K1H","111.48","457.32","439.65","Course n∞2 | Finale B"
"Robin Le Fellic","K1H","111.89","612.18","444.78","Course n∞2 | Finale B"
"Rutger Hoedemaker","K1H","112.01","461.78","446.28","Course n∞2 | Finale B"
"Baptiste Duboc","K1H","112.11","372.65","447.53","Course n∞2 | Finale B"
"Daniel Chambert","K1H","112.54","421.17","452.91","Course n∞2 | Finale B"
"Loris Allamachere","K1H","113.85","515.12","469.29","Course n∞2 | Finale B"
"Quentyn Maitre","K1H","114.45","366.01","476.8","Course n∞2 | Finale B"
"Elie Sutra","K1H","114.5","490.99","477.42","Course n∞2 | Finale B"
"Basile Monzerian","K1H","114.89","412.68","482.3","Course n∞2 | Finale B"
"Denis Cote","K1H","114.9","498.09","482.42","Course n∞2 | Finale B"
"Sebastien Lepaulard","K1H","116.76","369.99","505.68","Course n∞2 | Finale B"
"Victorien Pittion","K1H","117.1","545.03","509.94","Course n∞2 | Finale B"
"Maxence Violy","K1H","117.38","502.37","513.44","Course n∞2 | Finale B"
"Yohann Biglia","K1H","117.93","618.39","520.32","Course n∞2 | Finale B"
"Ga l Bonnot","K1H","118.46","660.7","526.94","Course n∞2 | Finale B"
"Nicolas Monzerian","K1H","118.62","427.79","528.94","Course n∞2 | Finale B"
"Guillaume Mele","K1H","119.01","637.07","533.82","Course n∞2 | Finale B"
"Philippe Lelieur","K1H","119.03","549.63","534.07","Course n∞2 | Finale B"
"Rafael Parnotte","K1H","119.2","577.53","536.2","Course n∞2 | Finale B"
"Matteo Roubaud","K1H","119.24","476.22","536.7","Course n∞2 | Finale B"
"Julyan Maitre","K1H","120.63","560.94","554.08","Course n∞2 | Finale B"
"Ludovic Couture","K1H","120.63","525.22","554.08","Course n∞2 | Finale B"
"Sebastien Chapatte","K1H","121.64","587.15","566.71","Course n∞2 | Finale B"
"Frederic Brissaud","K1H","123.32","570.06","587.72","Course n∞2 | Finale B"
"Jeremy Rouet","K1H","123.42","561.08","588.97","Course n∞2 | Finale B"
"Hugo Ausseresse","K1H","123.55","648.13","590.6","Course n∞2 | Finale B"
"Julien Suarez","K1H","124.04","771.44","596.73","Course n∞2 | Finale B"
"Anicet Morel","K1H","125.22","722.74","611.48","Course n∞2 | Finale B"
"Quentin Meilier","K1H","126.25","675.71","624.36","Course n∞2 | Finale B"
"Matthieu Fontanez","K1H","128.16","514.32","648.25","Course n∞2 | Finale B"
"Titouan Gony","K1H","130.27","649.34","674.64","Course n∞2 | Finale B"
"Pierre Renault Bleeker","K1H","130.3","742.81","675.01","Course n∞2 | Finale B"
"Philippe Bigard","K1H","130.59","794.7","678.64","Course n∞2 | Finale B"
"Emilien Charrier","K1H","131.67","782.45","692.14","Course n∞2 | Finale B"
"Sacha Caron","K1H","132.33","573.91","700.4","Course n∞2 | Finale B"
"Bastien Andrzejewski","K1H","132.49","1011.81","702.4","Course n∞2 | Finale B"
"Noam Francois","K1H","132.74","814.36","705.52","Course n∞2 | Finale B"
"Dimitri Chalopin","K1H","133.75","919.59","718.16","Course n∞2 | Finale B"
"Claude Flouret","K1H","136","673.78","746.29","Course n∞2 | Finale B"
"Soad Brachet-lefevre","K1H","136.33","690.67","750.42","Course n∞2 | Finale B"
"Gael Rivier","K1H","137.08","826.11","759.8","Course n∞2 | Finale B"
"Jean-marc Suarez","K1H","138.56","712.99","778.31","Course n∞2 | Finale B"
"Thomas Laurent","K1H","139.06","890.51","784.56","Course n∞2 | Finale B"
"Gabin Beraud","K1H","140.34","672.31","800.57","Course n∞2 | Finale B"
"Clement Innocenti","K1H","142.53","598.22","827.96","Course n∞2 | Finale B"
"Mathieu Caron","K1H","144.96","1749.17","858.34","Course n∞2 | Finale B"
"Theo Leroy","K1H","147.21","885.82","886.48","Course n∞2 | Finale B"
"Anael Audouin","K1H","150.97","680.39","933.5","Course n∞2 | Finale B"
"Ange Bernard","K1H","159.92","784.34","1045.43","Course n∞2 | Finale B"
"Clement Coulon","K1H","165.64","495.35","1116.96","Course n∞2 | Finale B"
"Est…ban Esposito","K1H","175.45","833.48","1239.64","Course n∞2 | Finale B"
"Quentin Balanant","K1H","183.16","1367.15","1336.06","Course n∞2 | Finale B"
"Sacha L ","K1H","187.87","936.16","1394.96","Course n∞2 | Finale B"
"Thibaud Gonzalez","K1H","190.09","890.69","1422.73","Course n∞2 | Finale B"
"Michel Claveau","K1H","193.4","1026.02","1464.12","Course n∞2 | Finale B"
"Edgar Joffre","K1H","233.71","3422.27","1968.22","Course n∞2 | Finale B"
"Gabriel Vincent","K1H","236.13","2546.55","1998.49","Course n∞2 | Finale B"
"Eric Pouradier","K1H","299.63","773.29","2792.6","Course n∞2 | Finale B"
"Jonathan Himpens","K1H","Abs","-","-","Course n∞2 | Finale B"
"Yuha Egraz","K1HM","113.26","490.64","461.91","Course n∞2 | Finale B"
"Tom Leclercq-chabenat","K1HM","135.04","920.84","734.29","Course n∞2 | Finale B"
"Jeremy Charrier","K1HM","136.58","907.88","753.55","Course n∞2 | Finale B"
"Livio Richard","K1HM","136.97","940.22","758.42","Course n∞2 | Finale B"
"Alexandre Roubaud","K1HM","137.39","736.54","763.68","Course n∞2 | Finale B"
"Clement Garnier","K1HM","141.57","1905.76","815.95","Course n∞2 | Finale B"
"Romain Bertrand","K1HM","144.68","879.42","854.84","Course n∞2 | Finale B"
"Elias Huguenin","K1HM","145.09","1634.25","859.97","Course n∞2 | Finale B"
"Guilhem Remondet","K1HM","163.14","1869.17","1085.7","Course n∞2 | Finale B"
"Warren Varela","K1HM","182.65","1594.22","1329.68","Course n∞2 | Finale B"
"Ethan Warembourg","K1HM","265.94","1571.38","2371.28","Course n∞2 | Finale B"
