"Challenge Régional - Angoulême - 2013-06-01","Course 1","2013-06-01","Régional","155"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","124.24","152.98","212.17",""
"Justine Lorin","C1D","127.91","158.92","251.55",""
"Laurine Naveau","C1D","128.4","152.37","256.82",""
"Manon Sacre","C1D","133.58","206.01","312.41",""
"Emilie Chamouleau","C1D","137.69","270.21","356.51",""
"Violaine Vennin","C1D","151.99","-","509.99",""
"Pierre Antoine Tillard","C1H","101.27","12.55","100.21",""
"Edern Le Ruyet","C1H","105.33","21.24","149.17",""
"Jason Brothier","C1H","110.01","57.92","205.62",""
"Christophe Marechal","C1H","111.91","-","228.54",""
"Kevin Marquais","C1H","112.68","58.56","237.83",""
"Nathan Hossin","C1H","115.41","162.97","270.75",""
"Merwan Fliou","C1H","115.57","169.1","272.69",""
"Jimmy Besson","C1H","116.55","183.65","284.51",""
"Christian Boob","C1H","116.61","193.84","285.23",""
"James Duvernoy","C1H","117.37","-","294.39",""
"Antoine Launay","C1H","117.91","149.75","300.91",""
"Faysal Ali Zazou","C1H","119.38","257.39","318.64",""
"Quentin Desouche","C1H","119.46","220.62","319.6",""
"Jerome Blanchet","C1H","120.56","247.11","332.87",""
"Philippe Niquet","C1H","121.06","-","338.9",""
"Jerome Marie","C1H","122.65","-","358.09",""
"Nicolas Thomas","C1H","122.99","215.63","362.17",""
"Valentin Marteil","C1H","123.6","272.85","369.54",""
"Francois Giudicelli","C1H","124.39","-","379.07",""
"Gijs Zoetbrood","C1H","125.98","267.52","398.25",""
"Gaetan Drouin","C1H","133.03","-","483.27",""
"Nino Louineau","C1H","133.68","362.85","491.12",""
"Maxime Barrault","C1H","134.32","-","498.84",""
"Damien Launay","C1H","134.68","-","503.18",""
"Romain Trotin","C1H","135.08","-","508.01",""
"Tom Hibberd","C1H","135.33","323.7","511.02",""
"Theo Desvignes","C1H","136.12","-","520.55",""
"Clement Jouannaud","C1H","137.86","-","541.53",""
"Axel Delage","C1H","140.94","-","578.68",""
"Corentin Moriniaux","C1H","142","-","591.47",""
"Pierre Le Gall","C1H","144.02","493.08","615.83",""
"Cyril Launay","C1H","144.51","598.14","621.74",""
"Tom Le Goff","C1H","148.14","-","665.52",""
"Jeanfrancis Battesti","C1H","148.43","481.53","669.03",""
"Adrien Roux","C1H","154.44","-","741.51",""
"Nicolas Lelievre","C1H","156.53","-","766.71",""
"Hugo Le Goff","C1H","156.69","-","768.65",""
"Daniel Bregazzi","C1H","176.26","-","1004.69",""
"Alexandre Grosset","C1H","177.71","-","1022.18",""
"Thomas Le Gall","C1H","179.59","-","1044.84",""
"Maxime Texier","C1H","183.86","-","1096.36",""
"Nathan Rene Corail","C1H","Nt","-","-",""
"Etienne Chauvin","C1H","Nt","-","-",""
"Amelie Perier-Manon Sacre","C2D","170.62","352.21","607.39",""
"Laurine Naveau-Tifenn Van Delft","C2D","173.45","-","636.07",""
"Nicolas Labat-Christophe Marechal","C2H","112.64","-","175.6",""
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","113.08","-","180.65",""
"Jason Brothier-Louis-maxime Main","C2H","120.88","176.15","270.46",""
"Damien Launay-Antoine Launay","C2H","122.86","-","293.26",""
"Antoine Giudicelli-Francois Giudicelli","C2H","125.39","45.12","322.38",""
"Alexandre Dherbilly-Gijs Zoetbrood","C2H","135.82","-","442.47",""
"Quentin Desouche-Quentin Chauvin","C2H","136.11","-","445.8",""
"Alexandre Di Nisi-Ludovic Di Nisi","C2H","137.26","-","459.04",""
"Kevin Marquais-Nicolas Thomas","C2H","143.58","-","531.8",""
"Pierre Le Gall-Maxime Barrault","C2H","144.92","405.2","547.23",""
"Jeanfrancis Battesti-Christian Boob","C2H","149.32","423.82","597.88",""
"Theo Desvignes-Arthur Traquet","C2H","150.34","-","609.63",""
"Faysal Ali Zazou-Pierre Giudicelli","C2H","151.78","417.89","626.21",""
"Boris Bouillaud-Thomas Chagnaud","C2H","152.9","-","639.11",""
"Brice Guintard-Dylan Sourbe","C2H","159.17","-","711.3",""
"Gaetan Drouin-Nathan Rene Corail","C2H","Nt","-","-",""
"Corentin Donnou-Guillaume Morel","C2H","Nt","-","-",""
"Faysal Ali Zazou-Pierre Giudicelli","C2H","Nt","-","-",""
"Emilie Chamouleau-Christophe Marechal","C2M","127.49","133.1","247.04",""
"Nicolas Labat-Justine Lorin","C2M","143.46","274.44","418.44",""
"Jerome Blanchet-Ella Bregazzi","C2M","147.35","-","460.2",""
"Sophie Delage-Christian Boob","C2M","164.73","-","646.73",""
"Emilie Chamouleau","K1D","120.34","102.18","227.47",""
"Frederique Merle","K1D","122.39","118.74","250.44",""
"Violaine Vennin","K1D","126.04","257.46","291.34",""
"Amelie Perier","K1D","126.58","201.34","297.4",""
"Ella Bregazzi","K1D","129.39","252.41","328.88",""
"Manon Sacre","K1D","131.41","181.75","351.52",""
"Tifenn Van Delft","K1D","132.4","194.99","362.62",""
"Delhia Petiot","K1D","148.39","-","541.83",""
"Soline Delage","K1D","171.67","-","802.73",""
"Apolline Cros","K1D","176.99","-","862.35",""
"Fanny Valeau","K1D","179.21","-","887.24",""
"Ludovic Di Nisi","K1H","96.42","8.63","99.86",""
"Antoine Launay","K1H","96.77","7.28","104.29",""
"Louis-maxime Main","K1H","100.99","37.53","157.73",""
"Nicolas Labat","K1H","102.04","42.51","171.04",""
"Alexandre Dherbilly","K1H","103.32","40.64","187.24",""
"Damien Launay","K1H","105.63","61.67","216.5",""
"Christophe Marechal","K1H","105.87","34.65","219.54",""
"Maxime Texier","K1H","108","95.03","246.52",""
"Quentin Chauvin","K1H","108.31","147.37","250.44",""
"Philippe Niquet","K1H","108.61","166.49","254.23",""
"Alexandre Di Nisi","K1H","109","-","259.17",""
"Jordan Rocdunos","K1H","111.27","160.93","287.93",""
