"Sélectif régional - Sélestat - 2003-09-21","Course 1","2003-09-21","Régional","232"
"Perrin Alexandre","K1H","214.33","266","215",""
"Jules Bevalot","K1H","215.12","250","220",""
"Loic Sieber","K1H","216.09","-","227",""
"Nicolas Ciemniewski","K1H","216.62","171","230",""
"Labouille Yannick","K1H","217.03","284","232",""
"De Berchen Sebastien","K1H","219.00","188","245",""
"Guillaume Bandelier","K1H","220.41","-","253",""
"David Beyer","K1H","220.72","204","255",""
"Guillaume Huppert","K1H","221.79","406","262",""
"Florent Tamburini","K1H","222.68","330","267",""
"Pierson Cyril","K1H","223.00","297","269",""
"Bourgeois Cedric","K1H","223.75","-","273",""
"Jeanmaire Cyril","K1H","224.08","223","276",""
"Jeremy Poux","K1H","225.20","259","283",""
"Christophe Billaud","K1H","226.33","284","289",""
"Bruet Aurelien","K1H","226.64","297","292",""
"Noble Aurelien","K1H","226.88","373","293",""
"Revelle Yohann","K1H","227.57","341","297",""
"Dallazuana Anthony","K1H","228.51","306","303",""
"Ricci Miege Raphael","K1H","229.35","379","309",""
"Nicolas Mangeolle","K1H","229.58","394","310",""
"Dalla-Zuana Christophe","K1H","230.51","244","316",""
"William Boutet","K1H","230.86","427","318",""
"Pascal Philip","K1H","232.32","-","327",""
"Nathan Barbier","K1H","234.38","407","339",""
"Paolo Willmann Rosso","K1H","235.60","-","347",""
"Duchiron Stephane","K1H","236.58","-","353",""
"Falcetta Thomas","K1H","237.28","314","358",""
"Ciemniewski Olivier","K1H","239.02","508","368",""
"Dany Frederic","K1H","239.21","-","369",""
"Julien Bley","K1H","239.36","-","370",""
"Philippe Devillers","K1H","239.94","-","374",""
"Marc Jegou","K1H","241.70","-","385",""
"Hubschwerlin Pierre","K1H","242.34","556","388",""
"Aubert Anthony","K1H","243.61","409","396",""
"Thomas Michel","K1H","244.72","290","403",""
"Nicolle Xavier","K1H","244.79","453","403",""
"Patrick Thevenin","K1H","245.13","412","405",""
"Kevin Burgi","K1H","245.42","-","408",""
"Hayot Sylvain","K1H","247.66","367","421",""
"Pollet Manu","K1H","248.19","579","425",""
"Poix Stanislas","K1H","250.91","551","442",""
"Deletre Nicolas","K1H","252.57","-","452",""
"Argenson Thomas","K1H","252.63","-","452",""
"Meissner Boris","K1H","254.68","-","465",""
"Romain Buchot","K1H","255.14","551","468",""
"David Sebastien","K1H","255.25","-","468",""
"Arette Hourquet Olivier","K1H","255.63","-","470",""
"Bizzo Sebastien","K1H","255.99","-","473",""
"Richard Carpentier","K1H","256.02","673","473",""
"Biton Jonas","K1H","256.12","479","474",""
"Adam Pascal","K1H","256.89","-","478",""
"Wendling Valentin","K1H","258.17","-","486",""
"Stefan Stanik","K1H","258.56","-","488",""
"Hamann Damien","K1H","259.05","552","492",""
"Tosser Roussey Loic","K1H","259.11","-","492",""
"Eddy Cassard","K1H","259.24","462","493",""
"Tachet Xavier","K1H","259.83","583","496",""
"Audren Schiel","K1H","259.93","-","498",""
"Peterschmitt Pierre Antoine","K1H","260.10","-","499",""
"Vincent Benjamin","K1H","262.31","-","512",""
"Jacquet Kevin","K1H","262.33","-","512",""
"Damien Burteaux","K1H","262.38","1738","512",""
"Sandrin Hugo","K1H","262.48","-","512",""
"Hitou Sofiane","K1H","264.55","-","526",""
"Guerrero Juan","K1H","265.93","-","534",""
"Chapellier Pierre Emmanuel","K1H","266.50","-","537",""
"Frering Gilles","K1H","270.63","-","564",""
"Rumeau Martin","K1H","271.20","240","567",""
"Olivier Urbain","K1H","271.37","278","568",""
"Boutter Victor","K1H","271.77","-","570",""
"Humbert David","K1H","271.88","-","570",""
"Arthur Georges","K1H","274.15","274","585",""
"Emmanuel Walczak","K1H","274.28","-","586",""
"Bietry Julien","K1H","274.35","967","586",""
"Aubert Louis","K1H","274.47","-","587",""
"Suss Bertrand","K1H","276.16","-","598",""
"Deswarte Antoine","K1H","277.67","-","607",""
"Guillaume Carpentier","K1H","278.56","1236","612",""
"Alban Bourdoiseau","K1H","278.88","-","614",""
"Brette Julien","K1H","279.67","-","619",""
"Gangloff Alexandre","K1H","281.19","-","628",""
"Bonnot Cyrille","K1H","282.06","-","634",""
"Charlot Bertrand","K1H","282.11","-","634",""
"Humbert Emmanuel","K1H","282.38","-","635",""
"Beauce Antoine","K1H","286.99","-","664",""
"Gautier Boudat","K1H","288.81","-","675",""
"Emmanuel Triomphe","K1H","289.28","-","678",""
"Vincentz Victor","K1H","289.98","-","683",""
"Konieczka Felix","K1H","290.28","-","684",""
"Bolzani Fabien","K1H","290.62","834","686",""
"Housset Nicolas","K1H","291.57","-","692",""
"Bajolet Julien","K1H","293.21","-","702",""
"Vincent Bajolot","K1H","293.31","-","703",""
"Arthur Veber","K1H","293.72","-","706",""
"Thomas Bouquet","K1H","301.66","-","755",""
"Corrotte Gabin","K1H","304.77","-","774",""
"Henriot Frederic","K1H","306.23","-","783",""
"Burger Guillaume","K1H","307.93","-","793",""
"Jedynak Eric","K1H","309.42","-","802",""
"Wendling Jean-Mathieu","K1H","312.24","-","821",""
"Courtier Jeremy","K1H","315.32","622","839",""
"Thiaville Julien","K1H","316.02","-","843",""
"Alix Pouillard","K1H","317.27","-","851",""
"Bonnot Aurélien","K1H","324.32","-","895",""
"Edouard Steib","K1H","325.76","-","904",""
"Cherqui Thiebault","K1H","326.28","-","907",""
"Stouls Gaetan","K1H","327.03","-","912",""
"Fox Michel","K1H","327.07","-","912",""
"Collet Timothe","K1H","328.19","-","918",""
"Micaleff Guillaume","K1H","328.42","-","920",""
"Laithier Francois","K1H","330.48","-","933",""
"Arthur Sucker","K1H","339.51","-","989",""
"Kornalewski Remi","K1H","350.25","-","1055",""
"Thomann Simon","K1H","351.51","-","1063",""
"Leclerc Jerome","K1H","352.06","-","1066",""
"Bevalot Bernard","K1H","356.54","-","1094",""
"Hug Laurent","K1H","356.85","-","1096",""
"Dufond Kevin","K1H","365.35","-","1148",""
"Bury Flavien","K1H","371.46","-","1186",""
"Lemaire Marc","K1H","377.56","-","1223",""
"Beltzung Gaetan","K1H","398.27","-","1351",""
"Sander Franck","K1H","403.16","-","1381",""
"Misslin Simon","K1H","493.56","-","1940",""
"Thomann Florian","K1H","504.14","-","2005",""
"Cheval Kevin","K1H","538.75","-","2219",""
