"Sélectif Régional - Vinon sur Verdon - 2010-04-25","Course 2","2010-04-25","Régional","134"
"Alexis Cordier","K1H","121.99","371","364",""
"Florian Guillebeaud","K1H","122.72","416","373",""
"Ronan Cordier","K1H","124.73","378","395",""
"Mathieu Lions","K1H","125.80","452","408",""
"Johan Morales","K1H","127.32","462","424",""
"Yann Le Guennou","K1H","127.58","540","427",""
"Bernard Delorme","K1H","127.81","353","431",""
"Camille Dumont","K1H","129.17","401","445",""
"Quentin Ducrot","K1H","131.89","404","476",""
"Jonathan Cahour","K1H","134.04","-","500",""
"Frederic Bordier","K1H","135.29","483","514",""
"Ronan Lecouturier","K1H","135.38","412","515",""
"Leo Dumont","K1H","135.87","466","520",""
"Aurelien Fualdes","K1H","136.27","455","525",""
"Paul De Salve De Bruneton","K1H","137.63","441","540",""
"Cedric Cordone","K1H","138.17","505","546",""
"Nicolas Berthe","K1H","138.59","-","551",""
"Maxime Berthuit","K1H","139.58","518","562",""
"Dylan Fortune","K1H","140.43","607","572",""
"Sebastien Disdier","K1H","140.81","644","576",""
"Olivier Kremer","K1H","141.63","518","585",""
"Aluan Ricciardi","K1H","146.62","-","641",""
"Marc Scognamiglio","K1H","146.81","1475","643",""
"Herve Valentin","K1H","147.11","523","646",""
"Stefan Tupek","K1H","152.83","669","710",""
"Jean Marc Bleirad","K1H","164.60","718","842",""
"Maxime Lenne","K1H","Nt","-","-",""
"Philippe Lions","K1H","Nt","-","-",""
"Alex Leclerot","K1H","Nt","-","-",""
"Clement Ardaillou","K1H","Nt","-","-",""
"Damien Chammings","K1H","Nt","-","-",""
"Eric Labarelle","K1H","Nt","-","-",""
