"Championnat de France Slalom Cadet sur Junior sur C2M sur C2D - Bourg St Maurice - Qualification - Manche 2 - 2016-07-27","Qualification - Manche 2","2016-07-27","Championnats de France","173"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Julia Budzinski","C1D","124.44","-","-",""
"Elena Hugues","C1D","124.92","-","-",""
"Tifenn Primet","C1D","128.92","-","-",""
"Zoe Huet","C1D","175.2","-","-",""
"Hugo Latimier","C1H","102.6","-","-",""
"Nicolas Ducrocq","C1H","104.66","-","-",""
"Theo Foucher","C1H","109.1","-","-",""
"Matheo Lebaindre","C1H","109.18","-","-",""
"Alan Mahe","C1H","110.35","-","-",""
"Adrien Fischer","C1H","110.81","-","-",""
"Raphael Olla","C1H","112.08","-","-",""
"Jules Vonderscher","C1H","114.08","-","-",""
"Camille Fleuret","C1H","114.12","-","-",""
"Lucas Pagnard - Tissier","C1H","114.16","-","-",""
"Paul Aubertin","C1H","114.2","-","-",""
"Leo Dujourd'hui","C1H","115.47","-","-",""
"Guillaume Picavet","C1H","115.47","-","-",""
"Leo Vuitton","C1H","117.19","-","-",""
"Valentin Courtiade","C1H","117.53","-","-",""
"Addwyn Martinez","C1H","117.9","-","-",""
"Andreas Dupuy","C1H","117.92","-","-",""
"Martin Jouves","C1H","118.88","-","-",""
"Timothee Cornu","C1H","120.47","-","-",""
"Virgile Bourlet De La Vallee","C1H","120.68","-","-",""
"LÉo Le Moigne","C1H","120.84","-","-",""
"Maxime Kabir","C1H","122.58","-","-",""
"Youn Aubry","C1H","125.5","-","-",""
"Gaspard Perrio","C1H","126.07","-","-",""
"Samuel Vallienne","C1H","126.65","-","-",""
"Steven Henry","C1H","128.94","-","-",""
"Paul Cascarino","C1H","134.84","-","-",""
"Mathis Perreau","C1H","172.65","-","-",""
"Paul Gaillard","C1H","177.08","-","-",""
"Adrien Roux","C1H","184.13","-","-",""
"Theo Roisin","C1H","219","-","-",""
"Arthur Perez","C1H","325.86","-","-",""
"Jules Silvin","C1H","Abs","-","-",""
"Tom Bouchardon","C1H","Abd","-","-",""
"Florian Busson-Alex Louveau","C2H","143.35","-","-",""
"Yann Rivallant-Lea Wetzel","C2M","117.49","-","-",""
"Celia Jodar-Cedric Forgit","C2M","137.97","-","-",""
"Bertrand Avril-Chloe Gatuingt","C2M","139.34","-","-",""
"Tiphaine Duboc","K1D","105.94","-","-",""
"Axelle Armanini","K1D","111.1","-","-",""
"Alexane Galmiche","K1D","112.36","-","-",""
"Camille Hurez","K1D","113.14","-","-",""
"Auregane Philip","K1D","114.43","-","-",""
"Coline Charel","K1D","114.98","-","-",""
"Chloe Crachet","K1D","115.22","-","-",""
"Tiphaine Drouin","K1D","115.54","-","-",""
"Emilie Lhomme","K1D","115.77","-","-",""
"Coline Bertin","K1D","116.3","-","-",""
"Morgane Quemerais","K1D","116.77","-","-",""
"Lea Grison","K1D","116.88","-","-",""
"Azenor Philip","K1D","118.7","-","-",""
"Alice Evlachev","K1D","119.64","-","-",""
"Adele Charlaigre","K1D","120.02","-","-",""
"Ilhame Siraj","K1D","121.12","-","-",""
"Oriane Guichet","K1D","121.36","-","-",""
"Marion Pasquali","K1D","123.07","-","-",""
"Eva Pietracha","K1D","124.19","-","-",""
"Lucie Robin","K1D","124.34","-","-",""
"Athenais Reby","K1D","125.09","-","-",""
"Oceane Baylacq","K1D","125.66","-","-",""
"Amaurie Guilleret","K1D","125.93","-","-",""
"Sophie Dupas","K1D","127.81","-","-",""
"Jann Le Corre","K1D","128.57","-","-",""
"Lolita Seguy","K1D","129.59","-","-",""
"Louane Chenal","K1D","130.8","-","-",""
"Leontine Dubuisson","K1D","133.14","-","-",""
"Lucie Bercon","K1D","135.61","-","-",""
"Clemence Lartigue","K1D","152.36","-","-",""
"Rozenn Le Page","K1D","164.56","-","-",""
"Julie Fauroux","K1D","167.53","-","-",""
"Maela Le Corre","K1D","176.75","-","-",""
"Carla Lacroix","K1D","177.35","-","-",""
"Elorri Erdois","K1D","177.97","-","-",""
"Justine Clerc","K1D","187.82","-","-",""
"Alicia Gallot","K1D","195.19","-","-",""
"Perrine Joubert","K1D","204.53","-","-",""
"Aziliz Quintin","K1D","227.36","-","-",""
"Maeva Bachelot","K1D","240.3","-","-",""
"Marie Juquelier","K1D","314.65","-","-",""
"Yani Ferhaoui","K1H","91.84","-","-",""
"Paul Pradalie","K1H","93.76","-","-",""
"Matheo Lebaindre","K1H","94.43","-","-",""
"Zeph Scamps","K1H","94.73","-","-",""
"Sebastien Routhier","K1H","95.3","-","-",""
"Paul Cornut-chauvinc","K1H","95.55","-","-",""
"Alexis Dorey","K1H","95.82","-","-",""
"Hugo Simon","K1H","95.84","-","-",""
"Antoine Saul","K1H","96.51","-","-",""
"Joris Schaffner","K1H","96.77","-","-",""
"Nicolas Mevel","K1H","96.89","-","-",""
"Kawan Thomas","K1H","97.1","-","-",""
"Quentin Clerc","K1H","97.22","-","-",""
"Gregoire Pouille","K1H","97.53","-","-",""
"Lucas Augu","K1H","98.48","-","-",""
"Antonin Barraud","K1H","98.51","-","-",""
"Quentin Le Duc","K1H","98.93","-","-",""
"Lucas Jacob","K1H","99.48","-","-",""
"Nathanael Pedron","K1H","99.82","-","-",""
"Luc Sarramea","K1H","99.89","-","-",""
"Jeremy Lecollinet","K1H","100.22","-","-",""
"Clement Le Collinet","K1H","100.53","-","-",""
"Alexandre Marin","K1H","101.23","-","-",""
"Jules Silvin","K1H","101.34","-","-",""
"Valentin Courtiade","K1H","101.37","-","-",""
"Raphael Olla","K1H","101.39","-","-",""
"Romain Branjauneau","K1H","101.43","-","-",""
"Dylan Sourbe","K1H","101.43","-","-",""
"Jonas Godevin","K1H","102.17","-","-",""
"Benjamin Dodane","K1H","102.22","-","-",""
"Loann Le Guyader","K1H","102.47","-","-",""
"Jeremie Palazy","K1H","102.53","-","-",""
