"Coupe de France N1 - Manche 1 - Lannion - stade d'eaux vives - Finale - 2014-03-01","Finale","2014-03-01","Nationale 1","145"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","123.97","60.62","53.8","Finale A"
"Annaelle Meheut","C1D","134.83","142.28","129.99","Finale A"
"Claire Jacquet","C1D","138.05","85.18","152.58","Finale A"
"Lucie Baudu","C1D","140.65","151.38","170.81","Finale A"
"Laurine Naveau","C1D","151.37","194.06","246.02","Finale A"
"Ella Bregazzi","C1D","154.07","184.13","264.96","Finale A"
"Cecile Tixier","C1D","185.51","122.33","485.52","Finale A"
"Kilian Foulon","C1H","108.46","36.57","53.69","Finale A"
"Cedric Joly","C1H","108.46","51.22","53.69","Finale A"
"Edern Le Ruyet","C1H","109.17","52.58","59.38","Finale A"
"Thibaud Vielliard","C1H","110.66","32.04","71.33","Finale A"
"Simon Le Friec","C1H","111.52","30.38","78.23","Finale A"
"Thibault Blaise","C1H","112.1","44.45","82.88","Finale A"
"Martin Thomas","C1H","112.79","27.9","88.41","Finale A"
"Jonathan Marc","C1H","113.39","32.41","93.22","Finale A"
"Nicolas Scianimanico","C1H","114.06","57.4","98.59","Finale A"
"Pierre Antoine Tillard","C1H","114.36","34.83","100.99","Finale A"
"Lucas Hives - Sorin","C1H","114.52","125.02","102.28","Finale A"
"Baptiste Delaplace","C1H","115.55","34.18","110.54","Finale A"
"Louison Tanet","C1H","116.08","110.88","114.78","Finale A"
"Sebastien Combot","C1H","116.81","51.44","120.64","Finale A"
"Antoine Runet","C1H","117.04","52.91","122.49","Finale A"
"Marc Biazizzo","C1H","118.8","35","136.59","Finale A"
"Jean Freri","C1H","172.57","75.79","567.68","Finale A"
"Hugo Cailhol-Nicolas Scianimanico","C2H","119.34","81.19","97.43","Finale A"
"Mathieu Fougere-Thomas Fougere","C2H","119.6","86.88","99.42","Finale A"
"Yves Prigent-Loic Kervella","C2H","119.81","77.08","101.03","Finale A"
"Edern Le Ruyet-Pierre Antoine Tillard","C2H","120.47","68.28","106.08","Finale A"
"Jimy Bercon-Marc Biazizzo","C2H","120.57","58.7","106.84","Finale A"
"Antoine Roux-Gurgen Brun","C2H","124.21","167.69","134.7","Finale A"
"Kilian Foulon-Alexandre Paulais","C2H","125.21","114.63","142.35","Finale A"
"Bastien Damiens-Thibaud Vielliard","C2H","128.92","156.38","170.75","Finale A"
"Carole Bouzidi","K1D","110.34","33.61","6.14","Finale A"
"Estelle Mangin","K1D","111.65","30.5","15.9","Finale A"
"Caroline Loir","K1D","112.66","33.31","23.42","Finale A"
"Pauline Guiet","K1D","113.24","27.15","27.74","Finale A"
"Estelle Hellard","K1D","116.51","55.13","52.1","Finale A"
"Berenice Kolenc","K1D","118.59","80.78","67.6","Finale A"
"Josepha Longa","K1D","119.32","62.31","73.04","Finale A"
"Camille Prigent","K1D","119.75","58.15","76.24","Finale A"
"Lucie Baudu","K1D","124.87","66.31","114.38","Finale A"
"Melanie Ragaru","K1D","131.88","77.02","166.6","Finale A"
"Lucie Prioux","K1D","134.36","108.1","185.08","Finale A"
"Clementine Geoffray","K1D","175.8","68.95","493.79","Finale A"
"Pierre Bourliaud","K1H","99.09","32.92","18.29","Finale A"
"Mathieu Biazizzo","K1H","99.29","10.63","19.98","Finale A"
"Bastien Damiens","K1H","99.63","12.19","22.84","Finale A"
"Quentin Burgi","K1H","99.99","22.33","25.87","Finale A"
"Sebastien Combot","K1H","101","7.51","34.37","Finale A"
"Thomas Bersinger","K1H","101.23","14.91","36.31","Finale A"
"Yann Le Govic","K1H","101.67","46.66","40.01","Finale A"
"Janos Peterlin","K1H","101.73","86.13","40.52","Finale A"
"Jimy Bercon","K1H","101.83","33.47","41.36","Finale A"
"Vivien Colober","K1H","102.07","22.59","43.38","Finale A"
"Frederic Walczak","K1H","103.28","46.04","53.57","Finale A"
"Mathieu Desnos","K1H","103.42","35.39","54.74","Finale A"
"Goulwen Chapelier","K1H","103.51","55.61","55.5","Finale A"
"Benjamin Buys","K1H","104","32.38","59.63","Finale A"
"Benjamin Renia","K1H","104.05","20.3","60.05","Finale A"
"Benjamin Travostino","K1H","104.14","30.17","60.81","Finale A"
"William Desnos","K1H","105.31","54.96","70.65","Finale A"
"Renaud Doby","K1H","105.55","26.05","72.68","Finale A"
"Ewen Legrand","K1H","105.98","55.25","76.3","Finale A"
"Benoit Guillaume","K1H","106.34","25.6","79.33","Finale A"
"Benoit Peschier","K1H","106.55","14.35","81.09","Finale A"
"Martin Dougoud","K1H","106.57","54.82","81.26","Finale A"
"Nicolas Abbal","K1H","107.18","52.32","86.4","Finale A"
"Enrick Cunsolo","K1H","107.58","30.17","89.76","Finale A"
"Pol Oulhen","K1H","108.73","75.65","99.44","Finale A"
"Ludovic Di Nisi","K1H","112","18.58","126.97","Finale A"
"Bertrand Gutierrez","K1H","113.02","65.89","135.56","Finale A"
"Christophe Marechal","K1H","113.65","73.91","140.86","Finale A"
"Hugo Cailhol","K1H","157.73","26.38","511.93","Finale A"
"Antoine Launay","K1H","168.59","34.55","603.35","Finale A"
"Lucie Prioux","C1D","136.45","170.62","146.35","Finale B"
"Charlotte Abba","C1D","140.34","218.89","173.64","Finale B"
"Camille Prigent","C1D","143.08","170.78","192.86","Finale B"
"Laura Ligeon","C1D","145.1","190.62","207.04","Finale B"
"Justine Lorin","C1D","148.54","224.17","231.16","Finale B"
"Margaux Henry","C1D","152.73","201.2","260.56","Finale B"
"Maxime Perron","C1H","112.79","52.63","93.41","Finale B"
"Jean Pierre Bourhis","C1H","117.28","96.84","129.4","Finale B"
"Charly Chassigneux","C1H","118.98","105.46","143.03","Finale B"
"Emilien Kempf","C1H","119.23","102.67","145.04","Finale B"
"Antoine Roux","C1H","119.79","130.92","149.53","Finale B"
"Yann Basille","C1H","122.34","144.47","169.97","Finale B"
"Julian Othenin-girard","C1H","122.46","96.69","170.94","Finale B"
"Gaetan Le Henaff","C1H","123.53","130.28","179.52","Finale B"
"Thomas Rosset","C1H","124.53","107.64","187.53","Finale B"
"Lucas Vancon","C1H","125.49","140.72","195.23","Finale B"
"Erwan Marchais","C1H","126.11","76.59","200.2","Finale B"
"Yann Rivallant","C1H","128.18","107.11","216.79","Finale B"
"Jason Brothier","C1H","128.82","121.06","221.93","Finale B"
"Lucas Roisin","C1H","131.6","128.61","244.21","Finale B"
"Thibaut Perroteau","C1H","174.21","108.71","585.82","Finale B"
"Sebastien De Kerleau","C1H","208.92","29.95","864.1","Finale B"
"Jonathan Chapatte-Sebastien De Kerleau","C2H","126.46","153.26","156.92","Finale B"
"Louis Bouclier-Martin Mottais","C2H","130.6","149.21","188.6","Finale B"
"Nicolas Coudert-Yann Le Govic","C2H","132.63","166.62","204.14","Finale B"
"Loic Brunel-Medhi Deguil","C2H","134.15","134.32","215.77","Finale B"
"Thomas Schmitt-Yann Rivallant","C2H","137.03","118.98","237.81","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","157.3","151.8","392.93","Finale B"
"Baptiste Delaplace-Renaud Doby","C2H","Nt","-","-","Finale B"
"Julie Neime","K1D","118.15","96.18","69.32","Finale B"
"Julia Cuchi Vila","K1D","122.73","160.82","103.44","Finale B"
"Elise Pierron","K1D","124.7","103.56","118.12","Finale B"
"Lea Wetzel","K1D","129.04","125.48","150.45","Finale B"
"Laura Combot","K1D","129.04","71.37","150.45","Finale B"
"Maria Ferekidi","K1D","129.94","79.29","157.15","Finale B"
"Lea Gaigeot","K1D","130.61","101.68","162.14","Finale B"
"Flora Huvelin","K1D","133.18","97.86","181.29","Finale B"
"Margaux Henry","K1D","133.33","78.72","182.4","Finale B"
"Claire Gaigeot","K1D","178.72","99.33","520.54","Finale B"
"Claire Moal","K1D","189.79","140.77","603.01","Finale B"
"Claire Jacquet","K1D","Nt","-","-","Finale B"
"Martin Daviet","K1H","104.99","63.46","72.96","Finale B"
"Thomas Rosset","K1H","106.46","28.06","85.34","Finale B"
"Boris Chenal","K1H","106.47","73.05","85.42","Finale B"
"Mathurin Madore","K1H","106.61","99.57","86.6","Finale B"
"Thomas Schmitt","K1H","107.03","64.48","90.13","Finale B"
"Alexandre Dherbilly","K1H","107.31","77.46","92.49","Finale B"
"Emmanuel Walczak","K1H","107.71","76.79","95.86","Finale B"
"Benjamin Thiboust","K1H","107.86","94.97","97.12","Finale B"
"Gael Prodeau","K1H","108.14","94.6","99.48","Finale B"
"Quentin Mignard","K1H","108.29","59.85","100.74","Finale B"
"Kevin Schultz","K1H","108.78","53.31","104.87","Finale B"
"Samuel Lhegu","K1H","109.32","69.77","109.41","Finale B"
"Bryan Seiler","K1H","109.82","99.68","113.62","Finale B"
"Tom Scianimanico","K1H","109.86","42.94","113.96","Finale B"
"Louison Turmeau","K1H","110.21","83.46","116.9","Finale B"
"Quentin Bove","K1H","110.67","66.77","120.78","Finale B"
"Romain Guyomard","K1H","111.03","85.95","123.81","Finale B"
"Jonas Turmeau","K1H","111.51","83.14","127.85","Finale B"
"James Duvernoy","K1H","111.53","83.44","128.02","Finale B"
"Jonathan Chapatte","K1H","112.41","102.24","135.42","Finale B"
"Andy Pajani","K1H","112.42","74.72","135.51","Finale B"
"Mathieu Douillet","K1H","113.29","108.65","142.83","Finale B"
"Jonathan Delagnes","K1H","114.71","66.49","154.78","Finale B"
"Valentin Brindeau","K1H","115.9","99.27","164.8","Finale B"
"Aubry Bertin","K1H","117.8","89.74","180.8","Finale B"
"Fabien Tournadre","K1H","118.32","112.36","185.17","Finale B"
"Gurgen Brun","K1H","142.79","73.01","391.16","Finale B"
"Mathys Huvelin","K1H","159.2","63.83","529.31","Finale B"
"Nathanael Renia","K1H","165.32","50.4","580.82","Finale B"
"Nicolas Baudoin","K1H","172.67","93.8","642.7","Finale B"
