"SÈlectif RÈgional de HERMES - Hermes - Qualification - 2017-10-08","Qualification","2017-10-08","RÈgional","103"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Mathilde Guillot-le Goff","C1D","151.65","842.09","713.18",""
"Charline Dole","C1D","161","-","817.99",""
"Yohann Senechault","C1H","97.56","196.91","263.08",""
"Vincent Hannedouche","C1H","102.81","264.64","330.34",""
"Paul Cascarino","C1H","106.78","370.38","381.2",""
"Hugo Baillet","C1H","109.84","437.65","420.41",""
"Anthony Thuillier","C1H","110.16","339.38","424.5",""
"Loœc Pottier","C1H","111.25","426.92","438.46",""
"Maxime Savalle","C1H","111.47","450.54","441.28",""
"Nathan Boudaillez","C1H","116.72","513.4","508.54",""
"Baptiste Duboc","C1H","125.34","-","618.96",""
"Fabien De Almeida","C1H","125.38","605.83","619.49",""
"Thibaut Evrard","C1H","135.66","765.3","751.18",""
"Emmanuel Iatrino","C1H","139.57","-","801.27",""
"Mickael Dubois","C1H","162.44","-","1094.26",""
"Robin Dheilly","C1H","Abs","-","-",""
"Lucien Louchez","C1H","Abs","-","-",""
"Mathis Piepho","C1HM","116.5","525.95","505.72",""
"Erwan Masson","C1HM","146.57","1241.87","890.94",""
"Hugo Tellier","C1HM","154.94","-","998.18",""
"Gabin Louchez","C1HM","161.53","-","1082.6",""
"Pierre Carpentier","C1HM","162.09","-","1089.77",""
"Paul Pesant","C1HM","172.97","-","1229.15",""
"Cosme Duboc","C1HM","174.97","-","1254.78",""
"Lisa Bou…-Charline Dole","C2D","189.71","-","976.24",""
"Yohann Senechault-Paul Cascarino","C2H","115.75","419.53","428.71",""
"Anthony Thuillier-Nathan Boudaillez","C2H","130.57","-","609.94",""
"Louis Debureaux-Roman Vivier","C2H","141.28","-","740.9",""
"Paul Lecomte-Matheo Dupont","C2HM","152.25","-","875.05",""
"Gaetan Laperle-Charline Dole","C2M","176.66","-","993.54",""
"Maeva Firon-Benjamin Iatrino","C2M","198.91","-","1242.94",""
"Flavien Firon-C…lya Foucard","C2MM","171.28","-","933.22",""
"Mathilde Guillot-le Goff","K1D","116.12","403.77","395.54",""
"Maeva Firon","K1D","141.12","-","693.14",""
"Lisa Bou…","K1D","142.1","724.08","704.8",""
"Charline Dole","K1D","146.66","1036.66","759.09",""
"Marion Gillet","K1DM","122.34","520.85","469.57",""
"C…lya Foucard","K1DM","123.5","-","483.39",""
"Elise Vegnaduzzo","K1DM","125.41","1378.46","506.12",""
"Eva Mainnemare","K1DM","167.57","-","1008",""
"Amandine Patte","K1DM","201.06","-","1406.66",""
"Bertille Ducamps","K1DM","221.35","-","1648.19",""
"Anthony Thuillier","K1H","90.91","173.21","236.12",""
"Nathan Boudaillez","K1H","92.31","233.95","254.95",""
"Robin Pilard","K1H","94.75","230.94","287.78",""
"Vincent Hannedouche","K1H","96.03","245.65","304.99",""
