"Sélectif régional Cyril FLETCHER - Moulin Poil de Reux - 2010-11-28","Course 1","2010-11-28","Régional","99"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lou Renaud","C1D","174.41","-","645.53",""
"Camille Jounot","C1D","176.82","-","667.6",""
"Valerie Sibioude","C1D","177.58","-","674.58",""
"Clemence Drugeot","C1D","208.17","-","954.8",""
"Johane Guinberteau","C1D","Nt","-","-",""
"Nicolas Rebours","C1H","112.59","163","206.91",""
"Yoann Bizot","C1H","113.08","209.4","211.95",""
"Simon Dureau","C1H","117","271.49","252.32",""
"Jeremie Jousseaume","C1H","120.8","187","291.44",""
"Florian Ordonneau","C1H","122.36","314.33","307.49",""
"Vincent Froger","C1H","128.92","363.73","375.03",""
"Gaetan Hamelin","C1H","131.43","352.54","400.86",""
"Jonas Turmeau","C1H","136.25","371.54","450.49",""
"Kevin Lemenaheze","C1H","139.65","-","485.49",""
"Joris Rocher","C1H","139.9","-","488.07",""
"Louison Turmeau","C1H","154.91","-","642.59",""
"Manuel Moquet","C1H","155.8","417.33","651.76",""
"Damien Goujard","C1H","158.11","-","675.54",""
"Thibault Marchand","C1H","160.12","532.15","696.23",""
"Tony Lebailly","C1H","164.28","-","739.06",""
"Alexandre Dupas","C1H","165.61","1229.99","752.75",""
"Herve Busson","C1H","178.62","290.67","886.69",""
"Sylvain Perie","C1H","186.96","-","972.55",""
"Clement Cierocki","C1H","367.79","-","2834.19",""
"Louis-joseph Julien","C1H","Nt","-","-",""
"Joris Rocher-Kevin Lemenaheze","C2H","147.8","-","500.24",""
"Herve Busson-Christophe Gergaud","C2H","148.08","427.98","502.98",""
"Yoann Bizot-Manuel Moquet","C2H","152.91","-","550.45",""
"Thibault Marchand-Louison Turmeau","C2H","175.65","-","773.92",""
"Nicolas Rouleaud-Alexandre Dupas","C2H","186.21","2006.8","877.69",""
"Paul Trecul-Simon Drouart","C2H","187.57","-","891.05",""
"Ludovic Garnier-David Le Vaillant","C2H","212.66","-","1137.61",""
"Clement Cierocki-Jonas Turmeau","C2H","254.54","-","1549.17",""
"Valerie Sibioude","K1D","118.69","129","183.2",""
"Camille Jounot","K1D","126.28","232.46","255.81",""
"Lou Renaud","K1D","130.1","232.43","292.35",""
"Camille Salgues","K1D","138.74","395.87","375.01",""
"Suzon Broute","K1D","141.15","313.96","398.06",""
"Clemence Drugeot","K1D","158.98","524.18","568.62",""
"Elodie Livet","K1D","159.95","-","577.91",""
"Coralie Belnoue","K1D","302.71","-","1943.57",""
"Yasmine Garry","K1D","468.47","-","3529.25",""
"Johane Guinberteau","K1D","Nt","-","-",""
"Goulwen Chapelier","K1H","91.34","32.33","35.16",""
"Nicolas Rebours","K1H","95.89","58.67","84.34",""
"Herve Busson","K1H","98.06","64","107.8",""
"Joris Rocher","K1H","99.84","119.33","127.04",""
"Kevin Lemenaheze","K1H","100.12","-","130.07",""
"Jonas Turmeau","K1H","101.13","137.88","140.99",""
"Florian Ordonneau","K1H","102.5","116","155.8",""
"Stephane Broute","K1H","103.37","136","165.2",""
"Baptiste Granger","K1H","104.84","124","181.09",""
"Simon Bercon","K1H","106.21","177.25","195.9",""
"Matthieu Chauvel","K1H","106.3","225.3","196.87",""
"Louison Turmeau","K1H","113.69","218.1","276.76",""
"Adrien Alusse","K1H","114.13","-","281.51",""
"Damien Goujard","K1H","116.16","309.7","303.46",""
"Gaetan Hamelin","K1H","116.95","267.49","312",""
"Thibault Marchand","K1H","117.83","345.55","321.51",""
"Manuel Moquet","K1H","117.83","169","321.51",""
"Antoine Jonin","K1H","118.45","451.4","328.21",""
"Xavier Legare","K1H","118.73","-","331.24",""
"Julien Richard","K1H","119.04","-","334.59",""
"Loic Froissard","K1H","119.04","286.33","334.59",""
"Pierre Audouin","K1H","120.26","241.95","347.78",""
"Pierre Moreau","K1H","121.26","336.85","358.59",""
"Christophe Gergaud","K1H","121.84","294.33","364.86",""
"Vincent Sibioude","K1H","122.28","-","369.61",""
"Maxime Leclerc","K1H","123.17","-","379.23",""
"Simon Drouart","K1H","124.5","324","393.61",""
"Antonin Dalaine","K1H","125.29","576.05","402.15",""
"Nicolas Rouleaud","K1H","126.84","490.75","418.9",""
"Nicolas Pelle","K1H","127.73","422","428.53",""
"Clement Dubois","K1H","128.15","437.24","433.07",""
"Martin Belliot","K1H","130.1","298.82","454.14",""
"Clement Cierocki","K1H","131.14","409.52","465.39",""
"David Ravache","K1H","132.37","351.67","478.68",""
"Victor Renoult","K1H","132.75","523.08","482.79",""
"Flavien Portier","K1H","132.75","451.76","482.79",""
"Koldo Dequae","K1H","132.78","485.54","483.11",""
"Tony Lebailly","K1H","136.54","-","523.76",""
"Antoine Coudray","K1H","137.06","-","529.38",""
"David Le Vaillant","K1H","137.06","-","529.38",""
"Jerome Livet","K1H","138.18","-","541.49",""
"Quentin Desvignes","K1H","138.36","-","543.43",""
"Vincent Acou","K1H","138.89","-","549.16",""
"Paul Trecul","K1H","138.9","393.33","549.27",""
"Victor Morisset","K1H","139.47","-","555.43",""
"Kilian Blot","K1H","143.82","367.88","602.45",""
"Ludovic Garnier","K1H","148.26","-","650.45",""
"Olivier Lebreton","K1H","155.74","501.67","731.31",""
"Timothee Le Mort","K1H","158.35","646.07","759.52",""
"Antonin Leray","K1H","159.23","2450.45","769.03",""
"Matthieu Renier","K1H","160.84","-","786.44",""
"Nicolas Cochet","K1H","162.48","656.9","804.16",""
"Christophe Sorin","K1H","189.49","-","1096.14",""
"Eric Borg","K1H","Nt","-","-",""
"Louis-joseph Julien","K1H","Nt","-","-",""
"Vincent Froger","K1H","Nt","-","-",""
