"Manche 2 de la Coupe de France National 1 Slalom - 22300 Lannion - Qualification - 2022-03-06","22300 Lannion","Qualification","qualif","2022-03-06","Nationale 1","176"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Angele Hug","C1D","127.63","70.11","124.74",""
"Marjorie Delassus","C1D","127.78","35.97","125.99",""
"Lucie Baudu","C1D","128.76","76.45","134.14",""
"Ella Bregazzi","C1D","130.09","103.43","145.19",""
"Claire Jacquet","C1D","130.31","110.23","147.02",""
"Doriane Delassus","C1D","130.69","74.29","150.18",""
"Lucie Prioux","C1D","132.02","32.5","161.24",""
"Fanchon Janssen","C1D","135.3","116.22","188.49",""
"Annaelle Meheut","C1D","137.09","244.91","203.37",""
"Emma Vuitton","C1D","138.61","231.79","216.0",""
"Camille Castryck","C1D","140.22","130.63","229.38",""
"Tiphaine Duboc","C1D","141.63","215.63","241.1",""
"Zoe Laurent","C1D","142.21","235.05","245.92",""
"Nahia Oteiza","C1D","142.36","296.03","247.16",""
"Romane Regnier","C1D","146.66","247.66","282.91",""
"Youlia Estanguet","C1D","146.78","290.86","283.91",""
"Elena Hugues","C1D","148.56","1440.06","298.7",""
"Julia Budzinski","C1D","149.46","384.77","306.18",""
"Amaurie Guilleret","C1D","152.13","327.19","328.37",""
"Eva Marchand","C1D","156.39","436.74","363.77",""
"L�na Quemerais","C1D","158.64","443.45","382.47",""
"Rozmarina Estanguet","C1D","184.4","462.64","596.56",""
"Laurene Roisin","C1D","185.11","53.85","602.46",""
"Perrine Joubert","C1D","194.55","1223.45","680.91",""
"Laurine Salesse","C1D","194.76","179.47","682.66",""
"Jules Bernardet","C1H","106.24","35.16","73.11",""
"Nicolas Gestin","C1H","107.47","30.12","84.79",""
"Adrien Fischer","C1H","107.96","73.55","89.45",""
"Cedric Joly","C1H","109.06","30.28","99.9",""
"Hector Combes","C1H","109.27","93.38","101.9",""
"Mewen Debliquy","C1H","110.46","61.83","113.2",""
"Loic Trenchant","C1H","112.57","140.96","133.24",""
"Lucas Roisin","C1H","113.41","33.58","141.22",""
"Pierre Antoine Tillard","C1H","113.95","60.27","146.35",""
"Mathurin Madore","C1H","116.2","154.27","167.72",""
"Paul Cascarino","C1H","116.83","439.01","173.7",""
"Hugo Latimier","C1H","117.39","285.59","179.02",""
"Valentin Marteil","C1H","117.5","93.38","180.06",""
"Jean Pierre Bourhis","C1H","117.73","190.57","182.25",""
"Elouan Debliquy","C1H","118.89","311.56","193.27",""
"Yohann Senechault","C1H","119.14","47.03","195.64",""
"Martin Cornu","C1H","119.23","210.58","196.49",""
"Marc Sarramea","C1H","120.46","278.16","208.18",""
"Gaspard Perrio","C1H","120.56","300.68","209.13",""
"Jason Brothier","C1H","120.74","160.51","210.83",""
"Nicolas Scianimanico","C1H","120.97","219.89","213.03",""
"Tanguy Adisson","C1H","121.33","112.19","216.44",""
"Emilien Kempf","C1H","121.47","157.68","217.77",""
"Corentin Oulhen","C1H","122.9","212.7","231.36",""
"Luc Sarramea","C1H","123.66","85.87","238.57",""
"Nicolas Ducrocq","C1H","124.01","177.35","241.9",""
"Marvin Tulpin","C1H","126.73","1168.1","267.73",""
"Thomas L'huillier","C1H","126.98","150.38","270.1",""
"Timothee Cornu","C1H","127.4","251.64","274.09",""
"Faysal Ali Zazou","C1H","128.17","337.57","281.41",""
"Glen Le Meur","C1H","129.27","572.46","291.85",""
"Quentin Maillefer","C1H","132.7","244.9","324.44",""
"Lucas Jamart","C1H","135.37","283.8","349.8",""
"Emeric Nieser","C1H","137.16","272.45","366.8",""
"Denis Gargaud","C1H","157.82","25.19","563.03",""
"Clement Brotier","C1H","168.78","185.74","667.13",""
"Martin Thomas","C1H","171.11","31.63","689.26",""
"Emilien Courtiade","C1H","171.12","250.02","689.35",""
"Thibault Blaise","C1H","189.0","272.16","859.18",""
"Camille Prigent","K1D","107.75","13.67","15.0",""
"Marjorie Delassus","K1D","110.76","68.63","41.57",""
"Emma Vuitton","K1D","113.0","35.1","61.34",""
"Coline Charel","K1D","113.79","48.03","68.31",""
"Lucie Baudu","K1D","114.11","61.53","71.13",""
"Romane Prigent","K1D","115.64","32.2","84.63",""
"Eva Pietracha","K1D","118.37","69.93","108.73",""
"Angele Hug","K1D","120.62","85.47","128.58",""
"Marie-zelia Lafont","K1D","120.74","106.85","129.65",""
"Lucie Prioux","K1D","122.37","87.46","144.03",""
"Carole Bouzidi","K1D","122.86","42.52","148.36",""
"Doriane Delassus","K1D","125.19","70.54","168.93",""
"Margot Perrin","K1D","125.97","283.42","175.81",""
"Marie Amelie Silvin","K1D","126.59","152.8","181.28",""
"Adeline Roux","K1D","129.28","250.25","205.02",""
"Fanchon Janssen","K1D","130.01","608.85","211.46",""
"Amaurie Guilleret","K1D","130.68","327.34","217.37",""
"Nina Pesce-roue","K1D","131.0","207.05","220.2",""
"Fransiska Granzow","K1D","131.42","283.98","223.91",""
"Carla Lacroix","K1D","131.58","292.37","225.31",""
"Solene Grenier","K1D","131.95","326.04","228.58",""
"Clara Delahaye","K1D","132.03","257.88","229.29",""
"Ilona Martin-laemle","K1D","132.28","137.85","231.5",""
"Nelia Barbosa","K1D","133.04","245.41","238.21",""
"Laurine Salesse","K1D","133.54","182.26","242.62",""
"Manon Prioux","K1D","134.0","511.92","246.68",""
"Perrine Joubert","K1D","134.66","428.7","252.5",""
"Margaux Fabijan","K1D","134.76","330.08","253.39",""
"Romane Regnier","K1D","135.55","177.94","260.36",""
"Alixe Degremont","K1D","135.75","72.75","262.12",""
"Solene Graille","K1D","136.11","389.97","265.3",""
"Cerise Babin","K1D","136.6","212.3","269.62",""
"Camille Castryck","K1D","137.05","283.9","273.59",""
"Iana Gonseth","K1D","138.56","349.83","286.92",""
"L�na Quemerais","K1D","142.06","352.78","317.81",""
"Noeline Pierre","K1D","146.45","295.87","356.56",""
"Nahia Oteiza","K1D","146.49","281.48","356.91",""
"Camille Vuitton","K1D","148.88","463.52","378.0",""
"Youlia Estanguet","K1D","149.36","288.99","382.24",""
"Zoe Waeles","K1D","149.93","321.53","387.27",""
"Natacha Delassus","K1D","169.79","241.95","562.55",""
"Anouk Alberti","K1D","185.2","510.69","698.56",""
"Tiphaine Duboc","K1D","193.78","155.98","774.28",""
"Annaelle Meheut","K1D","194.86","281.77","783.81",""
"Loan Battistuzzi","K1D","199.2","783.38","822.11",""
"Thomas Durand","K1H","96.53","101.05","26.73",""
"Benjamin Renia","K1H","97.05","34.24","31.91",""
"Anatole Delassus","K1H","98.07","23.94","42.09",""
"Julien Pajaud","K1H","98.55","204.33","46.87",""
"Mathieu Biazizzo","K1H","99.36","35.84","54.95",""
"Mathurin Madore","K1H","99.74","9.26","58.74",""
"Malo Quemeneur","K1H","99.83","24.22","59.64",""
"Pierre-louis Saussereau","K1H","100.21","197.2","63.43",""
"Simon Hene","K1H","100.27","209.72","64.03",""
"Vincent Delahaye","K1H","100.28","33.45","64.13",""
"Boris Neveu","K1H","100.38","29.92","65.12",""
"Titouan Castryck","K1H","100.5","62.34","66.32",""
"Noe Perreau","K1H","100.73","72.58","68.62",""
"Corentin Monasse","K1H","100.88","235.18","70.11",""
"Edgar Prigent","K1H","101.24","56.63","73.7",""
"Yves Prigent","K1H","101.31","48.81","74.4",""
"Florian Busson","K1H","101.41","90.1","75.4",""
