"SÈlectif RÈgional de Slalom - Beaurainville et Montreuil - Course n∞2 | Finale - 2017-09-17","Course n∞2 | Finale","2017-09-17","RÈgional","199"
"Eloi Seemann-Quentin Mannier","C2H","106.2","322.67","387.64","Course n∞2 | Finale A"
"Hugo Regnier-Arthur Mizzi","C2H","108.19","323.91","412.67","Course n∞2 | Finale A"
"Michael Philibert-Gaspard Perrio","C2H","118.36","-","540.63","Course n∞2 | Finale A"
"Thomas Martinet-Lucas Walbreq","C2H","124.07","553.1","612.47","Course n∞2 | Finale A"
"Theo Moalic-Marceau Decarsin","C2H","126.99","491.62","649.2","Course n∞2 | Finale A"
"Thibaud Vielliard-Nicolas Ducrocq","C2H","Nt","-","-","Course n∞2 | Finale A"
"Fabien Bonvalet-Mathis Pomares","C2HM","152.51","794.46","970.28","Course n∞2 | Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","121.86","356.76","456.9","Course n∞2 | Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","127.64","442.27","523.56","Course n∞2 | Finale A"
"Emilie Delahaye-Nicolas Feuillard","C2M","146.58","438.27","742","Course n∞2 | Finale A"
"Marion Matura-Antoine Martin","C2M","150.19","-","783.63","Course n∞2 | Finale A"
"Thibaud Vielliard-Tiphaine Duboc","C2M","Nt","-","-","Course n∞2 | Finale A"
"Fanchon Janssen","K1D","97.35","119.34","243.77","Course n∞2 | Finale A"
"Anais Bernardy","K1D","99.68","143.54","272.31","Course n∞2 | Finale A"
"Tiphaine Duboc","K1D","101.32","154.62","292.39","Course n∞2 | Finale A"
"Alice Azam","K1D","101.83","213.16","298.64","Course n∞2 | Finale A"
"Emilie Delahaye","K1D","110.19","255.27","401.03","Course n∞2 | Finale A"
"Chloe Gatuingt","K1D","114.89","327.92","458.6","Course n∞2 | Finale A"
"Lison Gautrelet","K1D","123.14","438.85","559.63","Course n∞2 | Finale A"
"Romane Regnier","K1DM","113.3","399.32","439.11","Course n∞2 | Finale A"
"Margaux Fabijan","K1DM","113.48","397.34","441.33","Course n∞2 | Finale A"
"Camille Castryck","K1DM","115.42","402.32","465.09","Course n∞2 | Finale A"
"Clara Delahaye","K1DM","115.92","403.65","471.21","Course n∞2 | Finale A"
"Elise Vegnaduzzo","K1DM","127.38","-","611.57","Course n∞2 | Finale A"
"Hugo Regnier","K1H","80.89","155.51","170.97","Course n∞2 | Finale A"
"Matheo Lebaindre","K1H","81.26","152.41","176.09","Course n∞2 | Finale A"
"Xavier Jourdain","K1H","83.89","161.68","212.49","Course n∞2 | Finale A"
"Lucas Jacob","K1H","85.41","199.03","233.52","Course n∞2 | Finale A"
"David Mingasson","K1H","85.85","169.74","239.61","Course n∞2 | Finale A"
"Nicolas Bernardy","K1H","86.33","142","246.26","Course n∞2 | Finale A"
"Loan Queffelec","K1H","87.96","240.34","268.82","Course n∞2 | Finale A"
"Julien Antide","K1H","90.95","232.16","310.2","Course n∞2 | Finale A"
"Romain Huguenin","K1H","91.45","285.46","317.12","Course n∞2 | Finale A"
"Yohann Senechault","K1H","92.44","267.07","330.82","Course n∞2 | Finale A"
"Gawaine Chikh","K1H","92.53","288.45","332.06","Course n∞2 | Finale A"
"Thibaud Collaert","K1H","92.83","317.89","336.22","Course n∞2 | Finale A"
"Loœc Pottier","K1H","92.93","300.06","337.6","Course n∞2 | Finale A"
"Pierrick Gosselin","K1H","92.94","-","337.74","Course n∞2 | Finale A"
"Yvan Leblond","K1H","94.04","268.8","352.96","Course n∞2 | Finale A"
"Simon Dubosc","K1H","94.39","241.16","357.81","Course n∞2 | Finale A"
"Frederic Castryck","K1H","95.23","293","369.43","Course n∞2 | Finale A"
"Louis Debureaux","K1H","95.39","311.88","371.65","Course n∞2 | Finale A"
"Bertrand Avril","K1H","97.19","272.05","396.56","Course n∞2 | Finale A"
"Gaspard Perrio","K1H","97.4","388.28","399.46","Course n∞2 | Finale A"
"Melvin Queudeville","K1H","97.72","369.06","403.89","Course n∞2 | Finale A"
"Jeremie Hepner","K1H","98.11","382.78","409.29","Course n∞2 | Finale A"
"Jeanmichel Regnier","K1H","98.33","300.18","412.33","Course n∞2 | Finale A"
"Nicolas Ducrocq","K1H","98.35","350.85","412.61","Course n∞2 | Finale A"
"Theo Loury","K1H","98.65","315.9","416.76","Course n∞2 | Finale A"
"Edouard Gracias","K1H","100.77","399.49","446.1","Course n∞2 | Finale A"
"Theo Moalic","K1H","101.59","411.17","457.45","Course n∞2 | Finale A"
"Simon Philibert","K1H","102.8","392.6","474.2","Course n∞2 | Finale A"
"Marceau Decarsin","K1H","103.07","383.95","477.93","Course n∞2 | Finale A"
"Robin Dheilly","K1H","104.88","409.49","502.98","Course n∞2 | Finale A"
"Quentin Angot","K1H","106.26","350.15","522.08","Course n∞2 | Finale A"
"Teddy Poulard","K1H","108.01","390.32","546.3","Course n∞2 | Finale A"
"Clement Font-boinel","K1H","108.42","355.56","551.98","Course n∞2 | Finale A"
"Thomas Martinet","K1H","112.66","377.59","610.66","Course n∞2 | Finale A"
"Vincent Delahaye","K1H","130.85","111.74","862.4","Course n∞2 | Finale A"
"Noe Perreau","K1H","137.93","240.42","960.39","Course n∞2 | Finale A"
"Jeremy Huguenin","K1H","147.24","355.1","1089.24","Course n∞2 | Finale A"
"Thibaud Vielliard","K1H","Nt","-","-","Course n∞2 | Finale A"
"Titouan Castryck","K1HM","96.06","374.59","380.92","Course n∞2 | Finale A"
"Mewen Debliquy","K1HM","104.58","427.55","498.83","Course n∞2 | Finale A"
"Mathis Piepho","K1HM","106.71","501.39","528.31","Course n∞2 | Finale A"
"Nathan Huguenin","K1HM","108.09","586.9","547.41","Course n∞2 | Finale A"
"Florian Jumetz","K1HM","110.53","630.63","581.18","Course n∞2 | Finale A"
"Fabien Bonvalet","K1HM","113.71","503.66","625.19","Course n∞2 | Finale A"
"Helwann Rachdi","K1HM","114.58","582.57","637.23","Course n∞2 | Finale A"
"Matheo Dupont","K1HM","114.72","681.77","639.17","Course n∞2 | Finale A"
"Paul Pesant","K1HM","121.67","-","735.35","Course n∞2 | Finale A"
"Cosme Duboc","K1HM","122.54","-","747.39","Course n∞2 | Finale A"
"Paul Lecomte","K1HM","126.21","684.38","798.19","Course n∞2 | Finale A"
"Mylene Despres","C1D","133.82","528.44","599.84","Course n∞2 | Finale B"
"Melina Letellier","C1D","150.83","641.41","796.02","Course n∞2 | Finale B"
"Charline Dole","C1D","160.37","1079.05","906.04","Course n∞2 | Finale B"
"Mathilde Guillot-le Goff","C1D","161.56","915.27","919.76","Course n∞2 | Finale B"
"Marion Matura","C1D","188.19","886.02","1226.89","Course n∞2 | Finale B"
"Xavier Jourdain","C1H","100.7","268.95","383.77","Course n∞2 | Finale B"
"Eric Beaumont","C1H","102.45","374.43","406.84","Course n∞2 | Finale B"
"Hugo Baillet","C1H","104.89","432.87","439","Course n∞2 | Finale B"
"Antoine Martin","C1H","105.89","502.19","452.18","Course n∞2 | Finale B"
"Matthis Fradin","C1H","106.19","397.56","456.13","Course n∞2 | Finale B"
"Loœc Pottier","C1H","106.83","476.63","464.57","Course n∞2 | Finale B"
"Nicolas Feuillard","C1H","109.33","395.28","497.52","Course n∞2 | Finale B"
"Louis Marescot","C1H","112.07","494.1","533.63","Course n∞2 | Finale B"
"Robin Dheilly","C1H","112.38","497.07","537.73","Course n∞2 | Finale B"
"Pierrick Gosselin","C1H","117.94","-","611.01","Course n∞2 | Finale B"
"Guillaume Maillot","C1H","118.03","-","612.2","Course n∞2 | Finale B"
"Quentin Angot","C1H","120.53","525.66","645.14","Course n∞2 | Finale B"
"Benoit Guernic","C1H","121.34","-","655.82","Course n∞2 | Finale B"
"Estephe Decarsin","C1H","123.6","722.23","685.6","Course n∞2 | Finale B"
"Jacques Nardeau","C1H","125.54","570.94","711.18","Course n∞2 | Finale B"
"Isidore Dubuisson","C1H","127.09","560.22","731.61","Course n∞2 | Finale B"
"Thibaut Evrard","C1H","131.64","779.95","791.58","Course n∞2 | Finale B"
"Simon Philibert","C1H","133.74","752.67","819.25","Course n∞2 | Finale B"
"Donatien Lamoureux","C1H","Nt","-","-","Course n∞2 | Finale B"
"Victor Benech","C1HM","137.46","-","868.29","Course n∞2 | Finale B"
"Florian Jumetz","C1HM","144.98","-","967.41","Course n∞2 | Finale B"
"Mathis Pomares","C1HM","159.36","-","1156.94","Course n∞2 | Finale B"
"Pierre Carpentier","C1HM","174.72","-","1359.41","Course n∞2 | Finale B"
"Erwan Masson","C1HM","Nt","-","-","Course n∞2 | Finale B"
"Simon Dubosc-Quentin Angot","C2H","131.62","404.05","712.47","Course n∞2 | Finale B"
"Lucas Jacob-Benoit Guernic","C2H","132.73","433.2","726.43","Course n∞2 | Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","149.31","983.48","935.02","Course n∞2 | Finale B"
"Simon Philibert-Loœc Pottier","C2H","153.08","-","982.47","Course n∞2 | Finale B"
"Hugo Baillet-Thibaut Evrard","C2H","162.17","889.68","1096.82","Course n∞2 | Finale B"
"Tom Armand-Thomas Gossieaux","C2H","187.18","1530.04","1411.5","Course n∞2 | Finale B"
"Mathilde Guillot-le Goff","K1D","115.04","403.77","465.43","Course n∞2 | Finale B"
"Emma Leroux","K1D","116.44","420.82","482.57","Course n∞2 | Finale B"
"Melina Letellier","K1D","122.11","468.18","552.02","Course n∞2 | Finale B"
"Mylene Despres","K1D","127.71","516.24","620.61","Course n∞2 | Finale B"
"Catherine Boulan","K1D","136","550.6","722.14","Course n∞2 | Finale B"
"Marion Matura","K1D","152.42","654.48","923.25","Course n∞2 | Finale B"
"Lisa Bou…","K1D","197.15","724.08","1471.08","Course n∞2 | Finale B"
"Arthur Mizzi","K1H","82.91","197.65","203.93","Course n∞2 | Finale B"
"Nicolas Feuillard","K1H","85.55","183.44","240.46","Course n∞2 | Finale B"
"Florian Gosselin","K1H","87.96","230.53","273.82","Course n∞2 | Finale B"
"Timothee Le Mort","K1H","90.84","268.65","313.67","Course n∞2 | Finale B"
"Fabien De Almeida","K1H","91.05","277.31","316.58","Course n∞2 | Finale B"
"Quentin Mannier","K1H","92.48","321.34","336.37","Course n∞2 | Finale B"
"Guillaume Maillot","K1H","93.17","314.06","345.92","Course n∞2 | Finale B"
"Maxime Poupart","K1H","99.59","417.95","434.77","Course n∞2 | Finale B"
"Baptiste Duboc","K1H","100.91","473.49","453.04","Course n∞2 | Finale B"
"Hugo Pidoux","K1H","101.36","377.02","459.27","Course n∞2 | Finale B"
"Louis Bouclier","K1H","103.04","441.87","482.52","Course n∞2 | Finale B"
"Aubin Davaic","K1H","103.87","490.27","494.01","Course n∞2 | Finale B"
"Estephe Decarsin","K1H","104.12","450.03","497.47","Course n∞2 | Finale B"
"Stephane Debliquy","K1H","104.37","371.88","500.93","Course n∞2 | Finale B"
"Benoit Guernic","K1H","104.6","356.37","504.11","Course n∞2 | Finale B"
"Isidore Dubuisson","K1H","104.91","385.81","508.4","Course n∞2 | Finale B"
"Hugo Baillet","K1H","105.84","505.07","521.27","Course n∞2 | Finale B"
"Alberic Carpentier","K1H","110.34","529.68","583.55","Course n∞2 | Finale B"
"Paul Cascarino","K1H","111.45","519.2","598.91","Course n∞2 | Finale B"
"Dante Bourlet De La Vallee","K1H","112.2","562.8","609.29","Course n∞2 | Finale B"
"Thibaut Evrard","K1H","113.58","526.12","628.39","Course n∞2 | Finale B"
"Philippe Valeri","K1H","113.86","545.65","632.27","Course n∞2 | Finale B"
"Louis Vanbersel","K1H","116.44","593.57","667.97","Course n∞2 | Finale B"
"Maxence Galy","K1H","117.62","599.59","684.3","Course n∞2 | Finale B"
"Lucien Louchez","K1H","117.83","642.06","687.21","Course n∞2 | Finale B"
"Gaetan Laperle","K1H","118.98","672.67","703.13","Course n∞2 | Finale B"
"Lucas Walbreq","K1H","119.45","510.93","709.63","Course n∞2 | Finale B"
"Thomas Gossieaux","K1H","119.98","682.55","716.96","Course n∞2 | Finale B"
"Johann Sacleux","K1H","120.06","582.88","718.07","Course n∞2 | Finale B"
"Michael Philibert","K1H","123.47","425.65","765.27","Course n∞2 | Finale B"
"Jean Chevassus-clement","K1H","124.5","-","779.52","Course n∞2 | Finale B"
"Cedre Mercier","K1H","124.98","776.33","786.16","Course n∞2 | Finale B"
"Tom Armand","K1H","127.92","712.93","826.85","Course n∞2 | Finale B"
"Alain Regnier","K1H","131.59","787.85","877.64","Course n∞2 | Finale B"
"Philippe Podvin","K1H","131.8","666.3","880.55","Course n∞2 | Finale B"
"Thibaut Jumetz","K1H","147.25","892.85","1094.38","Course n∞2 | Finale B"
"Arnaud Grignon","K1H","153.39","-","1179.35","Course n∞2 | Finale B"
"Mathis Andrieu","K1HM","123.53","775.31","766.1","Course n∞2 | Finale B"
"Mathis Pomares","K1HM","123.99","891.5","772.46","Course n∞2 | Finale B"
"Rayan Serrakh","K1HM","124.91","812.05","785.19","Course n∞2 | Finale B"
"Samy Serrakh","K1HM","125.43","666.95","792.39","Course n∞2 | Finale B"
"Lucas Bellaize","K1HM","129.16","2019.82","844.01","Course n∞2 | Finale B"
"Fares Chennahi","K1HM","131.04","765.74","870.03","Course n∞2 | Finale B"
"Hugo Tellier","K1HM","131.58","799.83","877.51","Course n∞2 | Finale B"
"Matteo Figueiredo Alves","K1HM","132.76","702.93","893.84","Course n∞2 | Finale B"
"Erwan Masson","K1HM","148.5","859.77","1111.67","Course n∞2 | Finale B"
"Romain Jego","K1HM","163.76","1013.71","1322.87","Course n∞2 | Finale B"
