"Nationale 3 - Ploufragan - St Brieuc - 2013-03-17","Course 3","2013-03-17","Nationale 3","271"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Valerie Sibioude","C1D","122.83","251.71","315.49",""
"Marine Leveque","C1D","132.2","329.26","397.33",""
"Rozenn Le Page","C1D","141.54","-","478.89",""
"Marie-francoise Prigent","C1D","147.87","334.08","534.18",""
"Anais Pignet","C1D","157.14","402.67","615.13",""
"Celia Jodar","C1D","159.78","421.31","638.19",""
"Aurelie Le Fee","C1D","173.84","456.99","760.97",""
"Sarah Desnos","C1D","Nt","-","-",""
"Cedric Forgit","C1H","103.25","135.79","256.14",""
"Nathan Hossin","C1H","103.3","184.53","256.63",""
"Julien Rocaboy","C1H","103.8","186.83","261.53",""
"Nicolas Coudert","C1H","104.16","177.41","265.06",""
"Romain Lecrenais-perrel","C1H","104.21","196.07","265.56",""
"Alexandre Dupas","C1H","105.08","184.02","274.09",""
"Gael Le Noc","C1H","105.38","-","277.04",""
"Didier Botrel","C1H","105.38","146.15","277.04",""
"Jimmy Besson","C1H","106.49","189.25","287.93",""
"Cedric Jegouzo","C1H","107.41","158.44","296.96",""
"Jules Chaumet","C1H","108.94","203.42","311.97",""
"Romain Caillon","C1H","109.39","151.36","316.4",""
"Ronan Gouzien","C1H","109.77","203.63","320.13",""
"Luc Hellard","C1H","110.76","246.07","329.84",""
"Brian Pieddefer","C1H","111.14","171.36","333.58",""
"Louison Turmeau","C1H","111.21","212.86","334.26",""
"Quentin Chauvin","C1H","111.74","244.04","339.46",""
"Merwan Fliou","C1H","111.74","173.6","339.46",""
"Vincent Froger","C1H","112.16","178.92","343.58",""
"Cedric Collet","C1H","112.63","280.48","348.2",""
"Yves Broudic","C1H","113.21","288.18","353.88",""
"Yves Bourhis","C1H","113.24","-","354.19",""
"Gael Prodeau","C1H","113.54","155.46","357.13",""
"Franck Delachair","C1H","114.26","197.19","364.2",""
"Herve Busson","C1H","114.64","208.6","367.92",""
"Quentin Desouche","C1H","115.2","269.34","373.42",""
"Faysal Ali Zazou","C1H","116.07","545.65","381.96",""
"Regis Cabel","C1H","116.09","217.98","382.16",""
"Valentin Marteil","C1H","118.59","-","406.69",""
"Alexandre Cierocki","C1H","118.8","296.97","408.75",""
"Kilian Blot","C1H","118.98","242.32","410.52",""
"Gijs Zoetbrood","C1H","120.1","345.5","421.51",""
"Malo Quemeneur","C1H","121.69","-","437.12",""
"Francois Madec","C1H","122.58","277.87","445.85",""
"Alan Dollo","C1H","123.06","235.7","450.56",""
"Thomas Launay","C1H","124.74","342.3","467.04",""
"Timothee Le Mort","C1H","125.21","368.1","471.66",""
"Theo Renaud","C1H","126.76","372.66","486.87",""
"Valentin Feroc","C1H","127.58","363.74","494.92",""
"Ronan Nedelec","C1H","128.26","317.98","501.59",""
"Nino Louineau","C1H","128.76","466.72","506.51",""
"Dimitri Etienne","C1H","129.3","364.79","511.8",""
"Adrien Loiseau","C1H","130.73","379.93","525.84",""
"Hugo Guilleray","C1H","131.15","373.99","529.96",""
"Johann Loiseau","C1H","137.33","-","590.61",""
"Emmanuel L'anton","C1H","144.62","556.98","662.16",""
"Benoit Lefebvre","C1H","146.73","-","682.87",""
"Julien Caillarec","C1H","151.78","345.78","732.43",""
"Pierre Le Gall","C1H","155.32","581.34","767.18",""
"Nathan Rene Corail","C1H","164.17","256.94","854.02",""
