"SELECTIF DES ILES MORTES - Champs Sur Marne - 2001-09-30","Course 1","2001-09-30","Régional","138"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pons Alexandre","C1H","192.94","84","117",""
"Mathieu Voyemant","C1H","194.36","90","126",""
"Sebastien Andrieu","C1H","212.1","-","236",""
"Damien Troquenet","C1H","220.39","175","287",""
"Remi Debailleul","C1H","220.72","466","289",""
"Lodolo Clement","C1H","225.97","410","322",""
"Olivier Gesbert","C1H","226.14","293","323",""
"Mirand Guillaume","C1H","226.84","-","327",""
"Jean-guillaume Desmoulin","C1H","228.37","376","337",""
"Guillonet Jerome","C1H","229.72","731","345",""
"Marceau Gregory","C1H","230.44","379","350",""
"Bozec Florian","C1H","234.66","354","376",""
"Perruchet Fabien","C1H","237.42","-","393",""
"Dubois Maxime","C1H","250.75","-","476",""
"Heilles Fabien","C1H","251.53","564","480",""
"Jean Baptiste Lismonde","C1H","252.5","-","486",""
"Levert Michel","C1H","255.38","-","504",""
"Vervoux Xavier","C1H","257.42","-","517",""
"Mateos Ruiz Gautier","C1H","262.58","-","549",""
"Seyfried Fabien","C1H","267.16","-","577",""
"Allemandou Fabien","C1H","270.05","-","595",""
"Monvoisin Benoit","C1H","274.93","-","625",""
"Denoyer Sebastien","C1H","281.82","1129","668",""
"Siouville Vincent","C1H","285.89","-","693",""
"Bidaux Christophe","C1H","306.65","-","822",""
"Mateos Ruiz Bastien","C1H","316.79","-","885",""
"Guillonet Pierre","C1H","335.4","-","1000",""
"Guerinet Cedric","C1H","335.48","-","1001",""
"Andrieu Sebastien- Mirand Guillaume","C2H","220.62","109","170",""
"Buchheit Fabien- Briois Mathieu","C2H","242.12","255","292",""
"Dos Santos Thomas- Vilas Bertrand","C2H","262.66","-","408",""
"Seyfried Fabien- Morel Julien","C2H","296.19","388","598",""
"Lesigne Clemence","K1D","220.71","277","170",""
"Tharaud Anais","K1D","224.05","207","189",""
"Gigandet Nathalie","K1D","242.91","-","296",""
"Petrescu Luana","K1D","247.58","293","322",""
"Paoletti Camille","K1D","250.19","-","337",""
"Besch Eulalie","K1D","251.25","425","343",""
"Pages Mariehelene","K1D","295.14","-","592",""
"Heckmann Steffi","K1D","296.72","-","601",""
"Vissac Fanny","K1D","302.85","-","635",""
"Cochard Isabelle","K1D","303.98","-","642",""
"Humblot Melanie","K1D","314.25","-","700",""
"Thenom Audrey","K1D","323.52","-","752",""
"Lobreau Marie","K1D","424.66","-","1324",""
"Sylvie Bourdon","K1D","486.12","-","1672",""
"Clementine Vuillermot-panthou","K1D","516.31","-","1843",""
"Rodot Delphine","K1D","524.16","-","1887",""
"Boulesteix Ludovic","K1H","182.09","34","106",""
"Estanguet Aldric","K1H","186.26","60","134",""
"Jean Philippe Winiarski","K1H","188.00","95","145",""
"Trzeciak Vincent","K1H","189.39","102","154",""
"Massias Aurelien","K1H","191.78","-","170",""
"Venceslas Viseur","K1H","192.93","76","177",""
"Stern Guillaume","K1H","196.6","206","201",""
"Moratelli Loic","K1H","197.48","162","207",""
"Benoit Chantry","K1H","198.48","-","213",""
"Michel Gombert","K1H","199.97","264","223",""
"Bigand Baptiste","K1H","202.27","238","238",""
"Xavier Jourdain","K1H","203.14","251","243",""
"Julien Darees","K1H","204.23","315","251",""
"Philippe Daumont","K1H","205.87","220","261",""
"Antoine Lebastard","K1H","207.58","213","272",""
"Ferrer William","K1H","208.04","-","275",""
"Yves Debailleul","K1H","208.26","287","277",""
"Duru Jerome","K1H","211.48","305","298",""
"Louvet Renaud","K1H","211.74","-","299",""
"Louis Antoine","K1H","214.36","329","316",""
"Peureux Romain","K1H","214.51","300","317",""
"Cheval Romain","K1H","215.23","376","322",""
"Sebastien Serot","K1H","215.82","-","326",""
"Ciaran Heurteau","K1H","216.57","-","331",""
"Kudla Romain","K1H","217.94","403","340",""
"Gallais Jules","K1H","218.41","279","343",""
"Florian Perenchio","K1H","219.29","338","349",""
"Thibaud Kudla","K1H","219.36","370","349",""
"Vincent Reiter","K1H","220.52","-","357",""
"Philippe Valeri","K1H","221.02","377","360",""
"Coiffe Florion","K1H","221.11","408","360",""
"Chantry Xavier","K1H","224.94","486","385",""
"Julien Fougeron","K1H","226.13","351","393",""
"Aurel Sebastien","K1H","229.03","486","412",""
"Blondeau Julien","K1H","229.49","-","415",""
"Facchini Thomas","K1H","229.55","-","415",""
"Lecluse Arnaud","K1H","230.67","438","423",""
"Laurent Bes","K1H","232.31","-","433",""
"Creuza Jeremy","K1H","232.79","-","436",""
"Jabbour Said","K1H","233.28","-","440",""
"Courtois Simon","K1H","236.53","-","461",""
"Boullet Stephane","K1H","237.23","-","465",""
"Collinet Matthieu","K1H","237.84","1101","469",""
"Gerard Lafargue","K1H","238.85","-","476",""
"Pecheur Mathieu","K1H","241.14","-","491",""
"Lantenois Mickael","K1H","241.34","-","492",""
"Caspar Benjamin","K1H","244.34","-","512",""
"Claude Pierre Abel","K1H","244.92","-","515",""
"Alban Planchais","K1H","246.11","552","523",""
"Jodar Sebastien","K1H","247.91","568","535",""
"Marchand Jeremy","K1H","249.12","-","543",""
"Ronan Lucas","K1H","250.23","-","550",""
"Gilles Lucas","K1H","250.33","-","550",""
"Michel Baptiste","K1H","250.46","-","551",""
"Hetier Louis","K1H","251.84","-","560",""
"Ureta Stephane","K1H","252.06","-","562",""
"Debruyere Benjamin","K1H","252.68","-","566",""
"Feltin Johan","K1H","254.94","-","580",""
"Thenon Gregori","K1H","255.71","1178","585",""
"Ladouce Romain","K1H","258.98","-","607",""
"Bechade Olivier","K1H","259.62","-","611",""
"Caspar Guillaume","K1H","260.77","-","618",""
"Loic Monbel","K1H","263.05","-","633",""
"Cluet Mathieu","K1H","263.3","-","635",""
"Bastien Darcillon","K1H","266.69","-","657",""
"Guilhem Goubert","K1H","268.81","-","671",""
"Alexandre Guerinet","K1H","269.84","368","677",""
"Chusseau Yohann","K1H","270.18","-","680",""
"Viratelle Vincent","K1H","272.1","525","692",""
"Lovera Fabien","K1H","272.71","-","696",""
"Sury Quentin","K1H","273.06","-","698",""
"Fauconnet Sylvain","K1H","274.01","-","705",""
"Guerton Rene","K1H","276.3","-","719",""
"Remy Guerinet","K1H","278.77","-","736",""
"Clouzeau Hugo","K1H","280.42","-","746",""
"Benjamin Defrocourt","K1H","283.07","-","764",""
"Pascal Sallot","K1H","290.68","-","813",""
"Lejeune Olivier","K1H","292.94","-","828",""
"Gilbert Steven","K1H","294.22","-","836",""
"Malboze Jerome","K1H","295.25","-","843",""
"Piovan Vincent","K1H","298.24","-","862",""
