"SÈlectif RÈgional de Slalom - Jarnac - Finale - 2018-09-30","Finale","2018-09-30","RÈgional","245"
"Thomas Terr…","K1H","111.85","439.61","433.88","Finale A"
"Clement Riera","K1H","112","419.5","435.78","Finale A"
"Antonin Beyneix","K1H","112","431.24","435.78","Finale A"
"Valentin Cesbron","K1H","112.22","391","438.58","Finale A"
"Thilbault Rucher","K1H","113.48","590.55","454.59","Finale A"
"Alexandre Medge","K1H","113.49","503.25","454.71","Finale A"
"Titouan Doreau","K1H","113.58","486.02","455.86","Finale A"
"Arthur Caillaud-gault","K1H","116.49","537.48","492.83","Finale A"
"Benjamin Georges","K1H","117.36","444.08","503.88","Finale A"
"Guillaume Lopes","K1H","118.06","551.99","512.77","Finale A"
"Tom Charles","K1H","118.49","452.41","518.23","Finale A"
"Louis Bouchiat","K1H","119.5","479.94","531.07","Finale A"
"Titouan Conseil","K1H","120.52","434.17","544.02","Finale A"
"Lucas Fort","K1H","121.96","1044.82","562.32","Finale A"
"Carl Rainaud","K1H","123.26","522.25","578.83","Finale A"
"Kylian Gauthier","K1H","126.92","1923.75","625.33","Finale A"
"Bastien Petit","K1H","163.24","463.37","1086.76","Finale A"
"Anthony Roux","K1H","255.92","368.99","2264.21","Finale A"
"Maxime Blondeau","K1HM","109.55","433.8","404.66","Finale A"
"Matt…o Rainaud","K1HM","117.65","502.25","507.56","Finale A"
"Emeric Nieser","K1HM","121.93","554.55","561.94","Finale A"
"Clement Brotier","K1HM","122.81","596.66","573.12","Finale A"
"Esteban Bidegain","K1HM","123.84","506.95","586.2","Finale A"
"Antoine Raby","K1HM","125.75","603.82","610.47","Finale A"
"Owen Merpillat","K1HM","128.06","795.59","639.82","Finale A"
"Malo Fevin","K1HM","128.74","1019.42","648.45","Finale A"
"Antoine Metais","K1HM","131.41","839.09","682.38","Finale A"
"Hicham Domti","K1HM","131.6","1165.14","684.79","Finale A"
"Axel Plumereau","K1HM","132.64","792.45","698","Finale A"
"Aurele Neveu","K1HM","134.6","806.3","722.9","Finale A"
"Lorys Autin","K1HM","134.75","725.86","724.81","Finale A"
"Edouard Patry","K1HM","135.07","645.63","728.87","Finale A"
"Paul Brochard","K1HM","138.22","2108.08","768.89","Finale A"
"Gaetan Rousseau","K1HM","143.62","861.47","837.5","Finale A"
"Baptiste Vinet","K1HM","144.24","1096.66","845.37","Finale A"
"Philippe Mallard","K1HM","147.14","745.95","882.22","Finale A"
"Clara Brard","C1DM","179.63","1184.35","919.64","Finale B"
"Clara Moulevrier","C1DM","221.52","1610.6","1363.12","Finale B"
"Clara Sedrue","C1DM","244.22","1580.74","1603.45","Finale B"
"Babette Ingenluyff","C1DM","257.9","1913.06","1748.29","Finale B"
"Isaac Dufrene","C1H","106.04","424.82","300.91","Finale B"
"Adrien Pardoux","C1H","123.81","499.31","515.92","Finale B"
"Raphael Lassechere","C1H","124.24","389.82","521.13","Finale B"
"Louis Bouchiat","C1H","125.8","622.86","540","Finale B"
"Fantin Delage-garez","C1H","125.83","554.33","540.36","Finale B"
"Quentin Bonniol","C1H","129.06","577.06","579.44","Finale B"
"Hugo Martin","C1H","130.74","679.47","599.77","Finale B"
"Mathieu Villeger","C1H","133.49","665.51","633.04","Finale B"
"Gauthier Beyneix","C1H","134.45","787.9","644.66","Finale B"
"Gaspard Trichard","C1H","138.24","615.72","690.51","Finale B"
"Fabrice Lacoudre","C1H","138.79","618.39","697.17","Finale B"
"Thilbault Rucher","C1H","141.24","767.08","726.81","Finale B"
"Martin Thermidor","C1H","144.77","1033.01","769.52","Finale B"
"Matthias Reviron","C1H","147.76","1232.77","805.7","Finale B"
"Tom Charles","C1H","151.01","722.17","845.03","Finale B"
"Sam Traquet","C1H","179.03","548.01","1184.06","Finale B"
"Florient Charmillon","C1H","191.27","1071.99","1332.15","Finale B"
"Matheo Gillaizeau","C1H","Abs","-","-","Finale B"
"Carl Rainaud","C1H","Abs","-","-","Finale B"
"Theo Suire","C1H","Abd","-","-","Finale B"
"Aurele Neveu","C1HM","141.98","1451.63","735.78","Finale B"
"Clement Turgis","C1HM","147.33","1163.46","800.5","Finale B"
"Gaetan Rousseau","C1HM","156.33","855.64","909.4","Finale B"
"Philippe Mallard","C1HM","169.43","1071.99","1067.9","Finale B"
"Amaury Sokolik","C1HM","Abs","-","-","Finale B"
"Gauthier Beyneix-Loris Shayam Affre","C2H","138.56","648.87","618.19","Finale B"
"Matthias Reviron-Julien Beneteau","C2H","150.63","1426.07","757.58","Finale B"
"Clement Gillaizeau-Theo Jeanlouis","C2H","155.48","681.11","813.59","Finale B"
"Esteban Bidegain-Noa Lorand","C2H","158.87","975.63","852.75","Finale B"
"Lucas Deleplancque-Adrien Favennec","C2H","169.15","1107.87","971.49","Finale B"
"Tom Babin-Arnaud Verrons","C2H","Nt","-","-","Finale B"
"Zoe Waeles","K1D","131.37","392.01","494.87","Finale B"
"Solene Lafitte","K1D","132.44","490.54","506.9","Finale B"
"Alice Bureau","K1D","132.63","559.61","509.03","Finale B"
"Laurence Pessoni","K1D","133.85","466.27","522.74","Finale B"
"Louise Turgis","K1D","161.07","931.43","828.78","Finale B"
"Sophie Delage","K1D","209.39","1276.73","1372.03","Finale B"
"Celine Duprat","K1D","284.11","3690.9","2212.1","Finale B"
"Elise Doreau","K1D","Nt","-","-","Finale B"
"Emma Bienassis","K1DM","138.97","759.54","580.3","Finale B"
"Charlie Barloy","K1DM","158.13","904.94","795.72","Finale B"
"Lou Raymond","K1DM","163.99","848.98","861.6","Finale B"
"Clara Brard","K1DM","175.1","842.39","986.51","Finale B"
"Clara Moulevrier","K1DM","179.44","1592.21","1035.3","Finale B"
"Julie Barloy","K1DM","190.03","1054.19","1154.37","Finale B"
"Amelie Surbier","K1DM","192.48","984.18","1181.91","Finale B"
"Theo Desvignes","K1H","88.55","85.62","142.86","Finale B"
"Gael Adisson","K1H","94.45","166.5","217.82","Finale B"
"Adrien Ricaud","K1H","107.43","440.82","382.72","Finale B"
"Raphael Grehan","K1H","114.46","1098.73","472.04","Finale B"
"Simon Tourtois","K1H","117.03","599.49","504.69","Finale B"
"Lucas Belo","K1H","117.43","571.11","509.77","Finale B"
"Marin Daigne","K1H","118.14","556.48","518.79","Finale B"
"Maxime Dubois","K1H","121.47","476.2","561.09","Finale B"
"Sebastien Larenaudie","K1H","122.37","547.48","572.53","Finale B"
"Mattys Bernard","K1H","122.67","622.2","576.34","Finale B"
"Noa Lorand","K1H","123.45","582.12","586.25","Finale B"
"Jules Miglinieks","K1H","123.87","607.44","591.58","Finale B"
"Corentin Bechu","K1H","124.05","588.92","593.87","Finale B"
"Benoit Mandon","K1H","126.95","667.13","630.71","Finale B"
"Hugo Martin","K1H","127.27","694.3","634.78","Finale B"
"Lucas Mauer","K1H","127.67","577.68","639.86","Finale B"
"Killyan Moreau","K1H","128.25","628.52","647.23","Finale B"
"Clement Drillaud","K1H","128.66","1397.89","652.44","Finale B"
"Martin Thermidor","K1H","130.02","809.32","669.72","Finale B"
"Pascal Pierre","K1H","132.07","656.79","695.76","Finale B"
"Lucas Deleplancque","K1H","133.2","670.01","710.12","Finale B"
"Theo Suire","K1H","133.88","721.64","718.76","Finale B"
"Killian Dal-cin","K1H","134.73","749.78","729.55","Finale B"
"Adrien Favennec","K1H","136.76","620.89","755.34","Finale B"
"Gaspard Trichard","K1H","138.46","691.12","776.94","Finale B"
"Florient Charmillon","K1H","138.97","920.79","783.42","Finale B"
"Bastien Darmayan","K1H","140.3","758.38","800.32","Finale B"
"Daniel Lafitte","K1H","141.09","715.46","810.35","Finale B"
"Natan Bignaud","K1H","144.75","1028.45","856.85","Finale B"
"Matthieu Desbons","K1H","146.69","839.31","881.5","Finale B"
"Jean Luc Pessoni","K1H","146.76","1053.45","882.39","Finale B"
"Hugo Suire","K1H","148.76","917.07","907.8","Finale B"
"Dominique Gireaud","K1H","157.04","2567.5","1012.99","Finale B"
"Loœck Vidal","K1H","165.15","1991.42","1116.02","Finale B"
"Philippe Albessard","K1H","190.72","684.17","1440.88","Finale B"
"Hugo Larenjeiro","K1H","314.93","2272.14","3018.89","Finale B"
"Laurence Scrimgeour","K1H","Nt","-","-","Finale B"
"Maxime Moreau","K1H","Abd","-","-","Finale B"
"Lucas Kelifaoui","K1H","Nt","-","-","Finale B"
"Theo Suire","K1H","Nt","-","-","Finale B"
"Christophe Joubert","K1H","Nt","-","-","Finale B"
"Robin Genty","K1H","Nt","-","-","Finale B"
"Dylan Renneteau","K1H","Nt","-","-","Finale B"
"Emilien Courtiade","K1HM","101.33","295.07","305.23","Finale B"
"Clement Turgis","K1HM","136.18","991.77","747.98","Finale B"
"Pierre-louis Hitier","K1HM","144.34","795.92","851.64","Finale B"
"Louison Masse","K1HM","148.09","1970.63","899.29","Finale B"
"Theo Haulbert","K1HM","149.74","901.32","920.25","Finale B"
"Geraud Gallais","K1HM","152.39","1043.3","953.91","Finale B"
"Vincent Meuter","K1HM","152.8","1109.27","959.12","Finale B"
"Theo Lebastard","K1HM","156.47","2205.11","1005.75","Finale B"
"Baptiste Le Gal-dutheil","K1HM","156.74","1136.17","1009.18","Finale B"
"Alexandre Lambert","K1HM","168.06","1085.46","1152.99","Finale B"
"Audrys Barinaga Stauskas","K1HM","179.83","1999.21","1302.52","Finale B"
"Mathis Gomez","K1HM","206.34","2144.91","1639.32","Finale B"
"Victorien Thomas","K1HM","210.2","2284.16","1688.36","Finale B"
"Mael Sicard","K1HM","Abd","-","-","Finale B"
"Bastien Lusseault","K1HM","Nt","-","-","Finale B"
"Amaury Sokolik","K1HM","Abd","-","-","Finale B"
