"SÈlectif RÈgional de Slalom - Beaurainville et Montreuil - Course n∞1 | Finale - 2017-09-16","Course n∞1 | Finale","2017-09-16","RÈgional","174"
"Thibaud Vielliard-Tiphaine Duboc","C2M","105.63","-","260.54","Course n∞1 | Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","126.66","331.8","503.07","Course n∞1 | Finale A"
"Emilie Delahaye-Nicolas Feuillard","C2M","Abs","-","-","Course n∞1 | Finale A"
"Marion Matura-Antoine Martin","C2M","Des","-","-","Course n∞1 | Finale A"
"Anais Bernardy","K1D","91.78","138.68","166.38","Course n∞1 | Finale A"
"Fanchon Janssen","K1D","95.14","119.34","207.53","Course n∞1 | Finale A"
"Tiphaine Duboc","K1D","98.26","154.62","245.74","Course n∞1 | Finale A"
"Alice Azam","K1D","100.12","213.16","268.52","Course n∞1 | Finale A"
"Emilie Delahaye","K1D","104.53","255.27","322.53","Course n∞1 | Finale A"
"Chloe Gatuingt","K1D","112.16","327.92","415.98","Course n∞1 | Finale A"
"Camille Castryck","K1DM","109.03","422.79","377.64","Course n∞1 | Finale A"
"Margaux Fabijan","K1DM","111.19","403.27","404.1","Course n∞1 | Finale A"
"Romane Regnier","K1DM","113.15","407.94","428.1","Course n∞1 | Finale A"
"Clara Delahaye","K1DM","115.6","-","458.11","Course n∞1 | Finale A"
"Wissal Mouinet","K1DM","191.46","544.33","1387.18","Course n∞1 | Finale A"
"Hugo Regnier","K1H","81.04","155.51","163.87","Course n∞1 | Finale A"
"Vincent Delahaye","K1H","82.41","111.74","182.83","Course n∞1 | Finale A"
"Matheo Lebaindre","K1H","82.61","152.41","185.6","Course n∞1 | Finale A"
"Arthur Mizzi","K1H","83.1","203.94","192.38","Course n∞1 | Finale A"
"David Mingasson","K1H","83.45","169.74","197.22","Course n∞1 | Finale A"
"Loan Queffelec","K1H","85.17","252.55","221.03","Course n∞1 | Finale A"
"Xavier Jourdain","K1H","86.05","161.68","233.21","Course n∞1 | Finale A"
"Lucas Jacob","K1H","86.12","199.03","234.17","Course n∞1 | Finale A"
"Nicolas Bernardy","K1H","87.74","142","256.59","Course n∞1 | Finale A"
"Simon Dubosc","K1H","88.63","241.16","268.91","Course n∞1 | Finale A"
"Loœc Pottier","K1H","89.83","307.51","285.52","Course n∞1 | Finale A"
"Nicolas Feuillard","K1H","90.33","179.9","292.44","Course n∞1 | Finale A"
"Florian Gosselin","K1H","90.41","230.53","293.54","Course n∞1 | Finale A"
"Thibaud Vielliard","K1H","91.82","257.68","313.06","Course n∞1 | Finale A"
"Gawaine Chikh","K1H","92.21","283.79","318.46","Course n∞1 | Finale A"
"Frederic Castryck","K1H","92.55","299.27","323.16","Course n∞1 | Finale A"
"Pierrick Gosselin","K1H","92.74","-","325.79","Course n∞1 | Finale A"
"Dimitry Vandenabeele","K1H","92.91","326.2","328.14","Course n∞1 | Finale A"
"Yvan Leblond","K1H","94.15","270.34","345.3","Course n∞1 | Finale A"
"Vincent Hannedouche","K1H","94.34","245.65","347.93","Course n∞1 | Finale A"
"Bertrand Avril","K1H","94.76","272.05","353.75","Course n∞1 | Finale A"
"Timothee Le Mort","K1H","94.89","258.49","355.54","Course n∞1 | Finale A"
"Nicolas Ducrocq","K1H","95.13","357.37","358.87","Course n∞1 | Finale A"
"Louis Debureaux","K1H","95.92","311.88","369.8","Course n∞1 | Finale A"
"Guillaume Maillot","K1H","96.45","314.06","377.13","Course n∞1 | Finale A"
"Romain Huguenin","K1H","96.45","285.46","377.13","Course n∞1 | Finale A"
"Stephane Debliquy","K1H","96.89","371.38","383.22","Course n∞1 | Finale A"
"Robin Dheilly","K1H","97.54","418.42","392.22","Course n∞1 | Finale A"
"Fabien De Almeida","K1H","97.94","277.31","397.75","Course n∞1 | Finale A"
"Maxime Poupart","K1H","98.27","383.23","402.32","Course n∞1 | Finale A"
"Quentin Mannier","K1H","98.28","321.34","402.46","Course n∞1 | Finale A"
"Melvin Queudeville","K1H","99.49","386.98","419.21","Course n∞1 | Finale A"
"Quentin Angot","K1H","99.68","350.15","421.84","Course n∞1 | Finale A"
"Theo Moalic","K1H","102.48","411.17","460.59","Course n∞1 | Finale A"
"Titouan Castryck","K1HM","95.13","398.61","358.87","Course n∞1 | Finale A"
"Mewen Debliquy","K1HM","98.74","451.16","408.83","Course n∞1 | Finale A"
"Florian Jumetz","K1HM","106.63","783.94","518.02","Course n∞1 | Finale A"
"Mathis Piepho","K1HM","107.84","503.71","534.76","Course n∞1 | Finale A"
"Cosme Duboc","K1HM","109.35","-","555.66","Course n∞1 | Finale A"
"Nathan Huguenin","K1HM","110.46","-","571.02","Course n∞1 | Finale A"
"Fabien Bonvalet","K1HM","112.06","503.66","593.17","Course n∞1 | Finale A"
"Matheo Dupont","K1HM","117.02","822.67","661.81","Course n∞1 | Finale A"
"Hugo Tellier","K1HM","120.56","1304.47","710.8","Course n∞1 | Finale A"
"Paul Lecomte","K1HM","135.16","684.38","912.85","Course n∞1 | Finale A"
"Alice Azam","C1D","121.25","413.87","445.68","Course n∞1 | Finale B"
"Gabrielle Kugler","C1D","135.69","504.56","612.21","Course n∞1 | Finale B"
"Mylene Despres","C1D","Des","-","-","Course n∞1 | Finale B"
"Louis Bouclier","C1H","102.65","281.22","400.29","Course n∞1 | Finale B"
"Loœc Pottier","C1H","104.51","502.43","424.8","Course n∞1 | Finale B"
"Lucien Louchez","C1H","105.59","385.3","439.04","Course n∞1 | Finale B"
"Jeanmichel Regnier","C1H","106.66","-","453.14","Course n∞1 | Finale B"
"Hugo Baillet","C1H","106.71","424.32","453.81","Course n∞1 | Finale B"
"Antoine Martin","C1H","109.71","526.54","493.35","Course n∞1 | Finale B"
"Glen Le Meur","C1H","110.82","439.56","507.98","Course n∞1 | Finale B"
"Robin Dheilly","C1H","112.97","515.32","536.3","Course n∞1 | Finale B"
"Maxime Savalle","C1H","113.61","450.54","544.75","Course n∞1 | Finale B"
"Quentin Angot","C1H","115.32","525.66","567.29","Course n∞1 | Finale B"
"Louis Marescot","C1H","118.92","499.57","614.73","Course n∞1 | Finale B"
"Jacques Nardeau","C1H","124.65","570.94","690.25","Course n∞1 | Finale B"
"Nicolas Feuillard","C1H","125.15","395.28","696.84","Course n∞1 | Finale B"
"Thibaut Evrard","C1H","139.63","817.13","887.7","Course n∞1 | Finale B"
"Donatien Lamoureux","C1H","146.5","734.01","978.25","Course n∞1 | Finale B"
"Guillaume Maillot","C1H","190.54","-","1558.71","Course n∞1 | Finale B"
"Benoit Guernic","C1H","209.92","-","1814.14","Course n∞1 | Finale B"
"Simon Philibert","C1H","294.22","829.54","2925.25","Course n∞1 | Finale B"
"Quentin Mannier","C1H","Abs","-","-","Course n∞1 | Finale B"
"Paul Lecomte","C1HM","134.12","990.33","815.07","Course n∞1 | Finale B"
"Victor Benech","C1HM","140.93","-","904.83","Course n∞1 | Finale B"
"Florian Jumetz","C1HM","142.39","-","924.08","Course n∞1 | Finale B"
"Erwan Masson","C1HM","168.2","1888.36","1264.25","Course n∞1 | Finale B"
"Lucas Jacob-Benoit Guernic","C2H","121.76","433.2","579.22","Course n∞1 | Finale B"
"Theo Moalic-Marceau Decarsin","C2H","128.15","491.62","659.61","Course n∞1 | Finale B"
"Thibaut Evrard-Loœc Pottier","C2H","146.66","-","892.49","Course n∞1 | Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","200.95","998.14","1575.53","Course n∞1 | Finale B"
"Tom Armand-Thomas Gossieaux","C2H","255.26","-","2258.82","Course n∞1 | Finale B"
"Mathilde Guillot-le Goff","K1D","112.77","406.77","428.45","Course n∞1 | Finale B"
"Emma Leroux","K1D","121.21","420.82","531.81","Course n∞1 | Finale B"
"Manon Le Lay","K1D","121.29","394.09","532.79","Course n∞1 | Finale B"
"Melina Letellier","K1D","127.2","468.18","605.17","Course n∞1 | Finale B"
"Mylene Despres","K1D","143.25","516.24","801.74","Course n∞1 | Finale B"
"Eloise Riviere","K1D","259.08","538.05","2220.33","Course n∞1 | Finale B"
"Noe Perreau","K1H","93.31","240.42","338.68","Course n∞1 | Finale B"
"Jeanmichel Regnier","K1H","93.97","290.6","347.81","Course n∞1 | Finale B"
"Thibaud Collaert","K1H","96.05","318.1","376.6","Course n∞1 | Finale B"
"Clement Font-boinel","K1H","96.74","355.56","386.15","Course n∞1 | Finale B"
"Marceau Decarsin","K1H","97.29","388.73","393.76","Course n∞1 | Finale B"
"Theo Loury","K1H","100.72","315.9","441.23","Course n∞1 | Finale B"
"Jeremie Hepner","K1H","101.17","392.76","447.46","Course n∞1 | Finale B"
"Maxime Savalle","K1H","103.18","446.96","475.27","Course n∞1 | Finale B"
"Michael Philibert","K1H","103.36","411.19","477.76","Course n∞1 | Finale B"
"Estephe Decarsin","K1H","103.44","450.03","478.87","Course n∞1 | Finale B"
"Thibaut Evrard","K1H","104.73","543.75","496.72","Course n∞1 | Finale B"
"Remi Blaud","K1H","105.04","496.05","501.01","Course n∞1 | Finale B"
"Louis Bouclier","K1H","105.86","-","512.36","Course n∞1 | Finale B"
"Aubin Davaic","K1H","106.91","498.26","526.89","Course n∞1 | Finale B"
"Jeremy Huguenin","K1H","107.05","358.94","528.83","Course n∞1 | Finale B"
"Hugo Baillet","K1H","109.21","513.31","558.72","Course n∞1 | Finale B"
"Julien Duahaut","K1H","109.71","538.14","565.64","Course n∞1 | Finale B"
"Johann Sacleux","K1H","113.64","582.88","620.03","Course n∞1 | Finale B"
"Dante Bourlet De La Vallee","K1H","113.93","585.36","624.05","Course n∞1 | Finale B"
"Philippe Valeri","K1H","114.8","534.84","636.09","Course n∞1 | Finale B"
"Alberic Carpentier","K1H","115.58","516.54","646.88","Course n∞1 | Finale B"
"Lucien Louchez","K1H","116.19","663.12","655.32","Course n∞1 | Finale B"
"Maxence Galy","K1H","116.26","610.84","656.29","Course n∞1 | Finale B"
"Mathieu Voreaux","K1H","116.52","-","659.89","Course n∞1 | Finale B"
"Simon Philibert","K1H","120.45","392.6","714.28","Course n∞1 | Finale B"
"Thibaut Jumetz","K1H","121.32","1138.55","726.32","Course n∞1 | Finale B"
"Alain Regnier","K1H","123.25","741.29","753.03","Course n∞1 | Finale B"
"Benoit Guernic","K1H","125.11","356.37","778.77","Course n∞1 | Finale B"
"Cedre Mercier","K1H","125.18","-","779.74","Course n∞1 | Finale B"
"Tom Armand","K1H","130.48","732.91","853.09","Course n∞1 | Finale B"
"Baptiste Duboc","K1H","150.92","444.78","1135.96","Course n∞1 | Finale B"
"Thomas Gossieaux","K1H","186.97","682.55","1634.87","Course n∞1 | Finale B"
"Gaetan Laperle","K1H","Nt","-","-","Course n∞1 | Finale B"
"Samy Serrakh","K1HM","115.1","687.31","640.24","Course n∞1 | Finale B"
"Erwan Masson","K1HM","123.23","928.47","752.75","Course n∞1 | Finale B"
"Fares Chennahi","K1HM","125.29","769.66","781.26","Course n∞1 | Finale B"
"Rayan Serrakh","K1HM","129.88","815.87","844.78","Course n∞1 | Finale B"
"Mathis Pomares","K1HM","133.3","927.81","892.11","Course n∞1 | Finale B"
"Matteo Figueiredo Alves","K1HM","176.11","702.93","1484.57","Course n∞1 | Finale B"
"Romain Jego","K1HM","267.64","1013.71","2751.29","Course n∞1 | Finale B"
"Lucas Bellaize","K1HM","286.03","-","3005.79","Course n∞1 | Finale B"
"Pierre-yunus Ciceksiz","K1HM","293.53","-","3109.59","Course n∞1 | Finale B"
