"SÈlectif RÈgional Slalom (Double) - Montreuil Sur Mer Et Beaurainville - Course n∞1 | Finale - 2016-09-17","Course n∞1 | Finale","2016-09-17","RÈgional","204"
"Simon Dubosc-Quentin Angot","C2H","121.31","499.17","505.45","Course n∞1 | Finale A"
"Alexis Vielliard-Amaury Vielliard","C2H","135.64","666.09","682.38","Course n∞1 | Finale A"
"Hugo Baillet-Thibaut Evrard","C2HM","186.57","-","1311.25","Course n∞1 | Finale A"
"Nicolas Ducrocq-Tiphaine Duboc","C2M","111.95","288.29","274.68","Course n∞1 | Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","114.91","358.1","308.18","Course n∞1 | Finale A"
"Thibaud Vielliard-Noemie Ramet","C2M","115.56","-","315.54","Course n∞1 | Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","119.79","415.84","363.42","Course n∞1 | Finale A"
"Anais Bernardy","K1D","94.79","167.66","146.91","Course n∞1 | Finale A"
"Tiphaine Duboc","K1D","98","199.93","185.5","Course n∞1 | Finale A"
"Emilie Delahaye","K1D","106.17","261.74","283.7","Course n∞1 | Finale A"
"Alina Rassel","K1D","106.61","323.2","288.99","Course n∞1 | Finale A"
"Chloe Gatuingt","K1D","111.81","318.43","351.49","Course n∞1 | Finale A"
"Sophie Dupas","K1D","115.23","346.95","392.59","Course n∞1 | Finale A"
"Leontine Dubuisson","K1D","115.48","376.49","395.61","Course n∞1 | Finale A"
"Elise Weilbach","K1DM","126.24","647.34","524.94","Course n∞1 | Finale A"
"Margaux Fabijan","K1DM","129.28","-","561.47","Course n∞1 | Finale A"
"Zoe Waeles","K1DM","150.34","-","814.61","Course n∞1 | Finale A"
"Mylene Despres","K1DM","157.67","-","902.72","Course n∞1 | Finale A"
"Yann Le Govic","K1H","82.47","75.69","127.7","Course n∞1 | Finale A"
"Bertrand Gutierrez","K1H","82.89","87.16","133.4","Course n∞1 | Finale A"
"Kendaor Le Huitou","K1H","83.38","98.74","140.05","Course n∞1 | Finale A"
"Samuel Lhegu","K1H","83.94","111.05","147.66","Course n∞1 | Finale A"
"Vincent Delahaye","K1H","84.66","178.43","157.44","Course n∞1 | Finale A"
"Eric Lamour","K1H","85.26","152.16","165.59","Course n∞1 | Finale A"
"Nicolas Bernardy","K1H","85.61","164.89","170.34","Course n∞1 | Finale A"
"Jules Bevalot","K1H","86.88","182.55","187.59","Course n∞1 | Finale A"
"Hugo Regnier","K1H","87.48","202.73","195.74","Course n∞1 | Finale A"
"Lucas Latimier","K1H","87.57","158.71","196.96","Course n∞1 | Finale A"
"Nicolas Rouleaud","K1H","88.7","182.48","212.31","Course n∞1 | Finale A"
"Yani Ferhaoui","K1H","89.63","215.25","224.94","Course n∞1 | Finale A"
"David Mingasson","K1H","90.05","214.37","230.65","Course n∞1 | Finale A"
"Timothee Le Mort","K1H","91.12","263.92","245.18","Course n∞1 | Finale A"
"Simon Dubosc","K1H","92.31","271.48","261.35","Course n∞1 | Finale A"
"Lucas Jacob","K1H","92.54","289.62","264.47","Course n∞1 | Finale A"
"Yvan Leblond","K1H","93.23","330.91","273.84","Course n∞1 | Finale A"
"Gawaine Chikh","K1H","93.59","355.33","278.73","Course n∞1 | Finale A"
"Florian Gosselin","K1H","94.36","261.61","289.19","Course n∞1 | Finale A"
"Jeanmichel Regnier","K1H","94.57","264.19","292.04","Course n∞1 | Finale A"
"Louis Vandeville","K1H","94.8","364.31","295.17","Course n∞1 | Finale A"
"Bertrand Avril","K1H","95.27","282.59","301.55","Course n∞1 | Finale A"
"Fabien De Almeida","K1H","95.81","326.88","308.88","Course n∞1 | Finale A"
"Samuel Lhote","K1H","96.07","327.98","312.41","Course n∞1 | Finale A"
"Tom Barthelemy","K1H","97.97","259.67","338.22","Course n∞1 | Finale A"
"Maxime Poupart","K1H","98.54","403.12","345.96","Course n∞1 | Finale A"
"Louis Debureaux","K1H","99.02","359.48","352.48","Course n∞1 | Finale A"
"Hector Combes","K1H","99.37","345.13","357.24","Course n∞1 | Finale A"
"Vianney Tillier","K1H","100.26","436.83","369.32","Course n∞1 | Finale A"
"Louison Laumondais","K1H","100.7","398.07","375.3","Course n∞1 | Finale A"
"Florent Bernard","K1H","100.88","353.77","377.75","Course n∞1 | Finale A"
"Nicolas Candieu","K1H","100.92","362.42","378.29","Course n∞1 | Finale A"
"Loan Queffelec","K1H","101.07","316.26","380.33","Course n∞1 | Finale A"
"Guillaume Maillot","K1H","101.27","313.5","383.04","Course n∞1 | Finale A"
"Stephane Debliquy","K1H","101.9","327.11","391.6","Course n∞1 | Finale A"
"Isidore Dubuisson","K1H","102.61","392.9","401.24","Course n∞1 | Finale A"
"Quentin Angot","K1H","102.95","380.93","405.86","Course n∞1 | Finale A"
"Romain Huguenin","K1H","103.04","311.32","407.08","Course n∞1 | Finale A"
"Arnaud Delattre","K1H","104.6","-","428.27","Course n∞1 | Finale A"
"Leo Demazeau","K1H","105.66","376.98","442.67","Course n∞1 | Finale A"
"Enzo Cozette","K1H","106.34","376.38","451.91","Course n∞1 | Finale A"
"Teddy Poulard","K1H","107.77","391.46","471.33","Course n∞1 | Finale A"
"Noe Perreau","K1HM","96.36","402.6","316.35","Course n∞1 | Finale A"
"Yohann Senechault","K1HM","100.08","352.6","366.88","Course n∞1 | Finale A"
"Loœc Pottier","K1HM","101.69","435.53","388.75","Course n∞1 | Finale A"
"Mewen Debliquy","K1HM","112.77","648.05","539.24","Course n∞1 | Finale A"
"Clement Hamel","K1HM","114.28","658.68","559.75","Course n∞1 | Finale A"
"Guillaume Munoz","K1HM","118.27","-","613.94","Course n∞1 | Finale A"
"Thibaut Evrard","K1HM","124.82","726.96","702.91","Course n∞1 | Finale A"
"Fabien Bonvalet","K1HM","125.28","631.72","709.15","Course n∞1 | Finale A"
"Paul Lecomte","K1HM","137.87","-","880.16","Course n∞1 | Finale A"
"Paul Cascarino","K1HM","138.29","557.76","885.86","Course n∞1 | Finale A"
"Mathis Piepho","K1HM","144.18","-","965.86","Course n∞1 | Finale A"
"Anna Dufay Leneveu","C1D","Dsq","-","-","Course n∞1 | Finale B"
"L…o Le Moigne","C1H","103.79","385.19","355.14","Course n∞1 | Finale B"
"Eric Beaumont","C1H","103.94","361.36","357.08","Course n∞1 | Finale B"
"Camille Fleuret","C1H","104.62","334.41","365.88","Course n∞1 | Finale B"
"Yvan Leblond","C1H","107.2","528.92","399.25","Course n∞1 | Finale B"
"Lucien Louchez","C1H","109.55","505.67","429.65","Course n∞1 | Finale B"
"Hugo Chauvary","C1H","117.27","-","529.52","Course n∞1 | Finale B"
"Nicolas Feuillard","C1H","119.34","418.29","556.29","Course n∞1 | Finale B"
"Matthis Fradin","C1H","123.98","-","616.31","Course n∞1 | Finale B"
"Louis Debureaux","C1H","126.16","636.21","644.5","Course n∞1 | Finale B"
"Remi Blaud","C1H","128.13","982.77","670","Course n∞1 | Finale B"
"Baptiste Duboc","C1H","130.3","852.53","698.06","Course n∞1 | Finale B"
"Geoffroy Lauth","C1H","135.68","547.24","767.66","Course n∞1 | Finale B"
"Sebastien Masseline","C1H","140.22","729","826.39","Course n∞1 | Finale B"
"Maxime Savalle","C1H","151.75","657.49","975.53","Course n∞1 | Finale B"
"Samuel Lhote","C1H","152.57","-","986.14","Course n∞1 | Finale B"
"Teddy Poulard","C1H","159.09","339.08","1070.47","Course n∞1 | Finale B"
"Gaspard Perrio","C1H","159.34","410.24","1073.71","Course n∞1 | Finale B"
"Louis Marescot","C1H","159.6","-","1077.07","Course n∞1 | Finale B"
"Marvin Lescourant","C1H","165.25","-","1150.16","Course n∞1 | Finale B"
"Donatien Lamoureux","C1H","238.32","710.49","2095.36","Course n∞1 | Finale B"
"Simon Philibert","C1H","Abs","-","-","Course n∞1 | Finale B"
"Yohann Senechault","C1HM","99.42","299.12","298.61","Course n∞1 | Finale B"
"Paul Lecomte","C1HM","202.21","-","1628.26","Course n∞1 | Finale B"
"Estephe Decarsin","C1HM","Des","-","-","Course n∞1 | Finale B"
"Arnaud Delattre-Stephane Debliquy","C2H","119.59","-","489.2","Course n∞1 | Finale B"
"Camille Fleuret-Enzo Cozette","C2H","226.98","613.11","1815.21","Course n∞1 | Finale B"
"Donatien Lamoureux-Wilhelm Heimburger","C2H","581.74","-","6195.64","Course n∞1 | Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","Des","-","-","Course n∞1 | Finale B"
"Lucas Jacob-Benoit Guernic","C2H","Abs","-","-","Course n∞1 | Finale B"
"Yann Le Govic-Marion Pellen","C2M","127.28","-","453.2","Course n∞1 | Finale B"
"Anne Lambert-Louison Laumondais","C2M","145.22","682.02","656.25","Course n∞1 | Finale B"
"Geoffroy Lauth-Rachel Broin","C2M","175.6","618.33","1000.1","Course n∞1 | Finale B"
"Mathilde Guillot-le Goff","K1D","122.16","465.16","480.89","Course n∞1 | Finale B"
"Anne Lambert","K1D","179.46","568.61","1169.62","Course n∞1 | Finale B"
"Anna Marvillet","K1D","179.57","567.18","1170.94","Course n∞1 | Finale B"
"Catherine Boulan","K1D","217.91","535.57","1631.79","Course n∞1 | Finale B"
"Anouk Hadad","K1D","244.23","-","1948.15","Course n∞1 | Finale B"
"Marion Matura","K1D","266.01","1289.13","2209.94","Course n∞1 | Finale B"
"Louise Chauvary","K1D","Abs","-","-","Course n∞1 | Finale B"
"Emma Leroux","K1DM","231.53","850.69","1795.5","Course n∞1 | Finale B"
"Albertine Binard","K1DM","236.1","-","1850.43","Course n∞1 | Finale B"
"Dorine Mouillard","K1DM","Des","-","-","Course n∞1 | Finale B"
"Manon Le Lay","K1DM","Des","-","-","Course n∞1 | Finale B"
"Nicolas Feuillard","K1H","86.44","186.63","186.62","Course n∞1 | Finale B"
"Bastien Belembert","K1H","96.29","365.37","320.4","Course n∞1 | Finale B"
"Theo Loury","K1H","99.86","441.33","368.89","Course n∞1 | Finale B"
"Benoit Guernic","K1H","101.65","431.82","393.2","Course n∞1 | Finale B"
"Clement Font-boinel","K1H","101.74","343.1","394.43","Course n∞1 | Finale B"
"Michael Philibert","K1H","103.3","439.49","415.61","Course n∞1 | Finale B"
"Baptiste Duboc","K1H","104.57","540.05","432.86","Course n∞1 | Finale B"
"Martin Rohaut","K1H","104.98","460.86","438.43","Course n∞1 | Finale B"
"Jeanchristophe Laroque","K1H","105.89","431.35","450.79","Course n∞1 | Finale B"
"Simon Philibert","K1H","106.87","473.95","464.1","Course n∞1 | Finale B"
"Maxime Savalle","K1H","107.46","505.95","472.12","Course n∞1 | Finale B"
"Gerard Lafargue","K1H","108.35","455.54","484.21","Course n∞1 | Finale B"
"Alexis Agent","K1H","108.8","562.43","490.32","Course n∞1 | Finale B"
"Alberic Carpentier","K1H","108.95","577.99","492.36","Course n∞1 | Finale B"
"Charles Pain","K1H","108.97","463.75","492.63","Course n∞1 | Finale B"
"Eric Beaumont","K1H","109.43","-","498.87","Course n∞1 | Finale B"
"Elie Scaglia Mennesson","K1H","110.71","488.17","516.26","Course n∞1 | Finale B"
"Amael Samson","K1H","111.16","483.65","522.37","Course n∞1 | Finale B"
"Julien Duahaut","K1H","111.31","-","524.41","Course n∞1 | Finale B"
"Thibaud Collaert","K1H","112.64","731.35","542.47","Course n∞1 | Finale B"
"Philippe Valeri","K1H","112.67","469.22","542.88","Course n∞1 | Finale B"
"Alexis Vielliard","K1H","112.93","553.47","546.41","Course n∞1 | Finale B"
"Arthur Guillot-le Goff","K1H","113.67","433.32","556.46","Course n∞1 | Finale B"
"Amaury Vielliard","K1H","116.23","481.57","591.23","Course n∞1 | Finale B"
"Alan Le Goff","K1H","118.18","457.98","617.72","Course n∞1 | Finale B"
"Th…o Laroque","K1H","118.26","-","618.81","Course n∞1 | Finale B"
"Nathan Saintobert","K1H","118.5","726.43","622.07","Course n∞1 | Finale B"
"Yann Castryck- -genereux","K1H","118.52","664.11","622.34","Course n∞1 | Finale B"
"Alain Regnier","K1H","119.26","-","632.39","Course n∞1 | Finale B"
"Vladimir Krsmanovic","K1H","120.86","546.66","654.12","Course n∞1 | Finale B"
"Sebastien Masseline","K1H","121.19","625.48","658.6","Course n∞1 | Finale B"
"Wilhelm Heimburger","K1H","127.06","-","738.33","Course n∞1 | Finale B"
"Johann Sacleux","K1H","133.89","682.24","831.1","Course n∞1 | Finale B"
"Marvin Lescourant","K1H","134.86","569.25","844.27","Course n∞1 | Finale B"
"Pierre Yves Tempier","K1H","150.36","-","1054.8","Course n∞1 | Finale B"
"Remi Blaud","K1H","162.39","478.83","1218.19","Course n∞1 | Finale B"
"Mickael Dubois","K1H","174.35","808.45","1380.64","Course n∞1 | Finale B"
"Baptiste Le Cocq","K1H","183.74","554.28","1508.18","Course n∞1 | Finale B"
"Noe Vannier","K1H","225.21","-","2071.44","Course n∞1 | Finale B"
"Tom Armand","K1H","295.57","-","3027.09","Course n∞1 | Finale B"
"Killian Errot","K1H","306.07","1598.22","3169.7","Course n∞1 | Finale B"
"Anthony Dubois","K1H","311.9","963.7","3248.89","Course n∞1 | Finale B"
"Jeremie Hepner","K1HM","109.92","693.7","505.53","Course n∞1 | Finale B"
"Estephe Decarsin","K1HM","119.3","-","632.93","Course n∞1 | Finale B"
"Gabriel Saul","K1HM","123.25","-","686.58","Course n∞1 | Finale B"
"Dimitri Houlier","K1HM","130.02","-","778.53","Course n∞1 | Finale B"
"Benjamin Georgin","K1HM","142.99","-","954.7","Course n∞1 | Finale B"
"Gabriel Benoit","K1HM","159.28","-","1175.95","Course n∞1 | Finale B"
"Matthis Leroux","K1HM","249.01","-","2394.7","Course n∞1 | Finale B"
"Lucas Ferloni","K1HM","264.54","-","2605.63","Course n∞1 | Finale B"
"Mathis Pomares","K1HM","361.59","-","3923.79","Course n∞1 | Finale B"
"Matteo Figueiredo Alves","K1HM","Des","-","-","Course n∞1 | Finale B"
"Gauthier Palau","K1HM","Abs","-","-","Course n∞1 | Finale B"
