"Championnat de France Slalom par Equipe de Clubs - 57050 Longeville Les Metz - Championnat de France Slalom par Equipe de Clubs - 2019-07-26","Championnat de France Slalom par Equipe de Clubs","2019-07-26","Championnats de France","117"
"Pierre Marie Roussel-Otello Willmann Rosso-Nathan Barbier","EKH","110.84","-","500",""
"Christophe Marechal-Thomas Durand-Zoe Bruchon","EKH","111.88","-","500",""
"Jules Ferber-Alexis Sevrez-Louis Gasser","EKH","112.08","-","500",""
"Thomas Terr…-Emilien Courtiade-Loris Shayam Affre","EKH","113","-","1896",""
"Marion Pasquali-Tanguy Adisson-Gael Adisson","EKH","113.65","-","1864",""
"Esteban Illido-Tom Bouchardon-Pablo Chaminade","EKH","113.71","-","1831",""
"Vincent Reiter-Tom Barthelemy-Paul Dupre","EKH","114.08","-","1799",""
"Jonas Le Guen-Gwenole Noyalet-Ylan Penvenne","EKH","114.2","-","1766",""
"Gwenael Marquer-Estelle Hellard-Melenn Aubry","EKH","114.89","-","500",""
"Marc Sarramea-Flavien Portier-Luc Sarramea","EKH","115.16","-","1701",""
"Gerard Menissier-Loœc Winiarski-Matthieu Walfard","EKH","115.5","-","500",""
"Thibaut Evrard-Yvan Leblond-Hugo Baillet","EKH","116.26","-","1636",""
"Owen Merpillat-Antoine Raby-Simon Tourtois","EKH","117.05","-","500",""
"Bertrand Avril-Simon Dubosc-Nicolas Candieu","EKH","118.49","-","1571",""
"Nathan Huguenin-Clara Delahaye-Leni Perreau","EKH","119.03","-","500",""
"Jules Brisson-Titouan Castryck-Camille Castryck","EKH","119.1","-","500",""
"Emeric Nieser-Julien Doumecq-Thibault Marque","EKH","119.6","-","1474",""
"Leo Parnotte-Mael Hervault-Axel Brossat","EKH","119.67","-","1442",""
"Medhi Deguil-Stephane Debliquy-Jeanmichel Regnier","EKH","120.32","-","500",""
"Timeo Canonico-Lohan Wyon-Hugo Crespo","EKH","120.4","-","1377",""
"Joao Normand-Ugo Zanellato-Titouan Sourieau","EKH","121.2","-","1344",""
"Benoit Chantry-Lucie Cecile-Nelia Barbosa","EKH","121.74","-","500",""
"Jules Andrien-Julia Budzinski-Benjamin Dodane","EKH","121.78","-","500",""
"Romain Margerie-Tom Marchand-Cl…ment Louveau","EKH","123.07","-","1247",""
"Adrien Gaillot-Axel Guilleret-Amaurie Guilleret","EKH","124.9","-","1214",""
"Emilie Chamouleau-Henri Chenu-Nicolas Labat","EKH","125.18","-","500",""
"Alexis Gombert-Lucas Galmiche-Patrick Gass","EKH","125.21","-","500",""
"Juan Riu-Cesar Le Berder-Jules Roos","EKH","127.27","-","500",""
"Nathan Frison-Jules Latimier-Remy Perrin","EKH","128.37","-","500",""
"Arthur Caillaud-gault-Hicham Domti-Aurele Neveu","EKH","130.49","-","1052",""
"Antoine Sapin-Zoe Malval-Axel Brin","EKH","131.88","-","500",""
"Mael Segaud-Armand Fougere-Mathis Odot","EKH","131.9","-","987",""
"Denis Guilmard-Laurine Naveau-Romane Bronchet","EKH","132.65","-","500",""
"Raphael Bonnard-Corentin Georgeon-Axel Gondard","EKH","132.78","-","922",""
"Sylviane Quemerais-Morgane Quemerais-Elouan Le Fournis","EKH","135.68","-","500",""
"Quentin Podevin-Cosme Duboc-Florian Jumetz","EKH","136.86","-","857",""
"Ewann Hervouet-Clara Grangeon-Victor Robert","EKH","137.18","-","500",""
"Pauline Rouilhet-Leo Vuitton-Emma Vuitton","EKH","143.07","-","792",""
"Anton Coux-Zelie Ferraris-Sacha Caron","EKH","144.13","-","760",""
"Matheo Dupont-Pierric Clipet-Coline Regnier","EKH","147.27","-","500",""
"Djendy Simeant-Gabin Siau-Guillaume Belet","EKH","156.32","-","500",""
"Alexandre L'huillier-Thibault Blaise-Carole Dolmaire","EKH","165.95","-","500",""
"Matthieu Koffel-Gael Ettwiller-Valentin Bostoen","EKH","170.67","-","500",""
"Jason Leroy-Lison Gautrelet-Dimitri Houlier","EKH","173.45","-","597",""
"Clement Brault-Nina Pesce-roue-Souhayla Khattabi","EKH","226.57","-","500",""
"Eloise Riviere-Mylene Despres-Estephe Decarsin","EKH","280.82","-","532",""
"Nahia Oteiza-Antton Erdois-Edgar Paleaubrasseur","EKH","435.93","-","500",""
