"50ème Grand Prix de Pau - 64320 Bizanos - Course n°1 | Finale - 2020-09-05","Course n°1 | Finale","2020-09-05","Régional","248"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Jessica Fox","C1D","102.47","113.32","168.63","Course n°1 | Finale A"
"Lucie Baudu","C1D","105.54","155.67","202.03","Course n°1 | Finale A"
"Ella Bregazzi","C1D","105.9","229.06","205.95","Course n°1 | Finale A"
"Lucie Prioux","C1D","106.91","574.06","216.94","Course n°1 | Finale A"
"Laurene Roisin","C1D","107.72","884.66","225.75","Course n°1 | Finale A"
"Margaux Henry","C1D","108.26","170.81","231.63","Course n°1 | Finale A"
"Angele Hug","C1D","108.93","180.96","238.92","Course n°1 | Finale A"
"Doriane Delassus","C1D","111.42","1006.38","266.01","Course n°1 | Finale A"
"Claire Jacquet","C1D","Abs","-","-","Course n°1 | Finale A"
"Rozmarina Estanguet","C1DM","Abs","-","-","Course n°1 | Finale A"
"Lucas Roisin","C1H","93.18","362.19","212.39","Course n°1 | Finale A"
"Pierre Antoine Tillard","C1H","93.33","131.32","214.25","Course n°1 | Finale A"
"Valentin Marteil","C1H","93.49","116.63","216.24","Course n°1 | Finale A"
"Cedric Joly","C1H","94.36","115.67","227.06","Course n°1 | Finale A"
"Antoine Gaillard","C1H","94.72","109.93","231.54","Course n°1 | Finale A"
"Jules Bernardet","C1H","94.91","131.67","233.9","Course n°1 | Finale A"
"Martin Thomas","C1H","96.23","152.54","250.31","Course n°1 | Finale A"
"Marc Sarramea","C1H","97","346.75","259.89","Course n°1 | Finale A"
"Adrien Fischer","C1H","99.94","170.28","296.45","Course n°1 | Finale A"
"Terence Saramandif","C1H","100.53","177.04","303.79","Course n°1 | Finale A"
"Nicolas Scianimanico","C1H","104.2","240.45","349.43","Course n°1 | Finale A"
"Etienne Wiche","C1H","105.59","277.46","366.71","Course n°1 | Finale A"
"Alex Baldoni","C1H","109.12","270.36","410.61","Course n°1 | Finale A"
"Luc Sarramea","C1H","111.28","165.02","437.47","Course n°1 | Finale A"
"Louis Rathier","C1H","113.11","258.7","460.23","Course n°1 | Finale A"
"Theo Roisin","C1H","119.68","410.41","541.93","Course n°1 | Finale A"
"Titouan Estanguet","C1HM","120.1","510.52","547.16","Course n°1 | Finale A"
"Ilyam Affre","C1HM","153.52","1390.94","962.76","Course n°1 | Finale A"
"Luc Sarramea-Carla Lacroix","C2M","144.78","379.13","629.01","Course n°1 | Finale A"
"Alex Baldoni-Laurine Salesse","C2M","150.23","341.63","688.32","Course n°1 | Finale A"
"Jessica Fox","K1D","94.06","137.89","140.52","Course n°1 | Finale A"
"Emma Vuitton","K1D","96.52","123.5","168.94","Course n°1 | Finale A"
"Angele Hug","K1D","97.4","112.5","179.11","Course n°1 | Finale A"
"Carole Bouzidi","K1D","100.3","139.52","212.62","Course n°1 | Finale A"
"Marie-zelia Lafont","K1D","100.37","351.98","213.43","Course n°1 | Finale A"
"Lucie Baudu","K1D","101.25","287.51","223.6","Course n°1 | Finale A"
"Coline Charel","K1D","104.02","219.2","255.61","Course n°1 | Finale A"
"Laurene Roisin","K1D","104.67","257.82","263.12","Course n°1 | Finale A"
"Solene Graille","K1D","105.47","173.46","272.36","Course n°1 | Finale A"
"Alixe Degremont","K1D","105.62","285.91","274.1","Course n°1 | Finale A"
"Eva Pietracha","K1D","106.09","161.95","279.53","Course n°1 | Finale A"
"Doriane Delassus","K1D","107.27","288.72","293.16","Course n°1 | Finale A"
"Laura Pellicer","K1D","108.78","270.01","310.61","Course n°1 | Finale A"
"Laurine Salesse","K1D","109.1","221.49","314.31","Course n°1 | Finale A"
"Charline Berger Martin","K1D","111.05","203.35","336.84","Course n°1 | Finale A"
"Viviana Daille","K1D","114.59","223.9","377.75","Course n°1 | Finale A"
"Berenice Kolenc","K1D","117.88","160.1","415.77","Course n°1 | Finale A"
"Carla Lacroix","K1D","118.41","435.51","421.9","Course n°1 | Finale A"
"Marie Amelie Silvin","K1D","119.79","363.14","437.84","Course n°1 | Finale A"
"Pauline Guiet","K1D","120.09","121.73","441.3","Course n°1 | Finale A"
"Cerise Babin","K1D","122.95","285.9","474.35","Course n°1 | Finale A"
"Perrine Augu","K1DM","127.98","427.41","532.48","Course n°1 | Finale A"
"Camille Vuitton","K1DM","147.23","482.12","754.91","Course n°1 | Finale A"
"Rozmarina Estanguet","K1DM","165.6","547.56","967.19","Course n°1 | Finale A"
"Gabrielle Chenu","K1DM","207.24","504.56","1448.35","Course n°1 | Finale A"
"Ohiana Erdois","K1DM","250.92","693.98","1953.09","Course n°1 | Finale A"
"Ester Narduzzi","K1DM","291.99","508.18","2427.66","Course n°1 | Finale A"
"Anatole Delassus","K1H","88.75","86.1","212.48","Course n°1 | Finale A"
"Mathurin Madore","K1H","88.84","46.24","213.65","Course n°1 | Finale A"
"Mathieu Biazizzo","K1H","89.81","76.69","226.32","Course n°1 | Finale A"
"Quentin Burgi","K1H","89.93","224.78","227.89","Course n°1 | Finale A"
"Alan Dollo","K1H","92.62","263.82","263.01","Course n°1 | Finale A"
"Theo Desvignes","K1H","92.74","108.52","264.58","Course n°1 | Finale A"
"Benjamin Renia","K1H","92.86","65.53","266.14","Course n°1 | Finale A"
"Pierre Bourliaud","K1H","92.9","219.68","266.67","Course n°1 | Finale A"
"Simon Hene","K1H","93.65","247.98","276.46","Course n°1 | Finale A"
"Mathis Soudi","K1H","93.85","353.07","279.07","Course n°1 | Finale A"
"Tom Babin","K1H","93.9","147.72","279.72","Course n°1 | Finale A"
"Etienne Daille","K1H","94.38","102.96","285.99","Course n°1 | Finale A"
"Isaac Dufrene","K1H","94.67","138.89","289.78","Course n°1 | Finale A"
"Lukas Estanguet-santamaria","K1H","95.05","383.26","294.74","Course n°1 | Finale A"
"Lucas Augu","K1H","95.48","146.71","300.36","Course n°1 | Finale A"
"Hippolyte Cail","K1H","95.58","236.68","301.66","Course n°1 | Finale A"
"Florian Busson","K1H","96.02","147.69","307.41","Course n°1 | Finale A"
"Guillaume Graille","K1H","96.97","338.41","319.81","Course n°1 | Finale A"
"Djendy Simeant","K1H","97.29","161.68","323.99","Course n°1 | Finale A"
"Gino Benini","K1H","97.43","294.98","325.82","Course n°1 | Finale A"
"Paul Cornut-chauvinc","K1H","97.65","123.91","328.69","Course n°1 | Finale A"
"Pierre-louis Saussereau","K1H","98.2","203.49","335.87","Course n°1 | Finale A"
"Hugo Crepeau","K1H","98.41","142.22","338.61","Course n°1 | Finale A"
"Max Derame","K1H","98.8","206.21","343.71","Course n°1 | Finale A"
"Cyprien Cail","K1H","98.95","192.98","345.67","Course n°1 | Finale A"
"Marc Sarramea","K1H","99.4","215.66","351.54","Course n°1 | Finale A"
"Etienne Wiche","K1H","99.44","187.17","352.06","Course n°1 | Finale A"
"Antoine Sapin","K1H","99.88","292.89","357.81","Course n°1 | Finale A"
"Yon Dandonneau","K1H","100.77","264.03","369.43","Course n°1 | Finale A"
"Samuel Bonella","K1H","100.94","191.48","371.65","Course n°1 | Finale A"
"Romain Branjauneau","K1H","101.11","176.99","373.87","Course n°1 | Finale A"
"Cedric Landreau","K1H","101.24","230.22","375.57","Course n°1 | Finale A"
"Loris Shayam Affre","K1H","101.43","257.88","378.05","Course n°1 | Finale A"
"Baptiste Delemotte","K1H","101.56","199.44","379.75","Course n°1 | Finale A"
"Leo Vuitton","K1H","102.44","103.19","391.24","Course n°1 | Finale A"
"Julien Dekarczyk","K1H","102.54","269.17","392.54","Course n°1 | Finale A"
"Paul Gobert","K1H","102.71","250.55","394.76","Course n°1 | Finale A"
"Loan Queffelec","K1H","102.76","224.57","395.41","Course n°1 | Finale A"
"Xavier Jourdain","K1H","102.81","218.8","396.07","Course n°1 | Finale A"
"Arnaud Verrons","K1H","103.44","158.15","404.29","Course n°1 | Finale A"
"Titouan Conseil","K1H","103.82","264.9","409.26","Course n°1 | Finale A"
"Adrien Mesmoudi","K1H","104.74","571.46","421.27","Course n°1 | Finale A"
"Alexis Dorey","K1H","105.38","643.22","429.63","Course n°1 | Finale A"
"Simon Tourtois","K1H","105.43","322.34","430.28","Course n°1 | Finale A"
"Hugo Crespo","K1H","105.5","215.48","431.19","Course n°1 | Finale A"
"Nicolas Rouleaud","K1H","105.89","270.48","436.28","Course n°1 | Finale A"
"Herve Busson","K1H","107.2","274.48","453.39","Course n°1 | Finale A"
"Julien Doumecq","K1H","108.36","380.18","468.54","Course n°1 | Finale A"
"Olivier Cail","K1H","108.57","252.06","471.28","Course n°1 | Finale A"
"Angus Cruickshank","K1H","109.81","303.79","487.47","Course n°1 | Finale A"
"Jules Silvin","K1H","111.25","219.18","506.27","Course n°1 | Finale A"
"Maxime Blondeau","K1H","111.85","320.22","514.11","Course n°1 | Finale A"
"Thibault Marque","K1H","114.88","398.34","553.67","Course n°1 | Finale A"
"Antoine Raby","K1H","118.16","304.4","596.5","Course n°1 | Finale A"
"Gael Adisson","K1H","150.08","203.99","1013.3","Course n°1 | Finale A"
"Mael Bernes","K1H","150.4","226.8","1017.48","Course n°1 | Finale A"
"Mael Hervault","K1H","153.68","183.85","1060.3","Course n°1 | Finale A"
"Timeo Canonico","K1H","157.35","570.69","1108.23","Course n°1 | Finale A"
"Emilien Courtiade","K1H","202.17","189.99","1693.46","Course n°1 | Finale A"
"Theo Brun","K1H","202.67","249.32","1699.99","Course n°1 | Finale A"
"Arthur Contamine","K1H","259.74","237.77","2445.19","Course n°1 | Finale A"
"Victor Eduardo Carneiro Gomes","K1H","Des","-","-","Course n°1 | Finale A"
"Benjamin Roy","K1HM","109.46","425.81","482.9","Course n°1 | Finale A"
"Titouan Estanguet","K1HM","111.11","396.28","504.44","Course n°1 | Finale A"
"Niels Comte","K1HM","115.01","515.27","555.37","Course n°1 | Finale A"
"Nolann Lacoudre","K1HM","115.24","522.84","558.37","Course n°1 | Finale A"
"Unai Oteiza","K1HM","122.74","512.42","656.3","Course n°1 | Finale A"
"Jonah Hanrahan","K1HM","123.24","544.61","662.83","Course n°1 | Finale A"
"Felix Chevallier","K1HM","123.74","555.62","669.36","Course n°1 | Finale A"
"Ilyam Affre","K1HM","126.36","589.1","703.57","Course n°1 | Finale A"
"Louis Labarthe","K1HM","182.91","618.15","1441.98","Course n°1 | Finale A"
"Romane Prigent","C1D","109.06","366.21","245.33","Course n°1 | Finale B"
"Laurine Salesse","C1D","115.53","1561.54","315.74","Course n°1 | Finale B"
"Laura Pellicer","C1D","117.12","333.87","333.04","Course n°1 | Finale B"
"Emma Vuitton","C1D","120.32","322.82","367.86","Course n°1 | Finale B"
"Youlia Estanguet","C1D","128.41","707.92","455.88","Course n°1 | Finale B"
"Perrine Joubert","C1D","131.43","359.37","488.75","Course n°1 | Finale B"
"Nahia Oteiza","C1D","135.77","594.6","535.98","Course n°1 | Finale B"
"Elorri Erdois","C1D","172.29","652.53","933.36","Course n°1 | Finale B"
"Henri Despont","C1H","104.81","199.32","362.01","Course n°1 | Finale B"
"Adrien Roux","C1H","109.03","373.92","414.49","Course n°1 | Finale B"
"Clement Brotier","C1H","109.38","313.5","418.84","Course n°1 | Finale B"
"Faysal Ali Zazou","C1H","110.79","223.83","436.38","Course n°1 | Finale B"
"Antton Erdois","C1H","111.56","356.12","445.96","Course n°1 | Finale B"
"Loris Shayam Affre","C1H","112.17","326.39","453.55","Course n°1 | Finale B"
"Benjamin Guyon","C1H","113.63","281.05","471.7","Course n°1 | Finale B"
"Adrien Pardoux","C1H","114.62","369.05","484.01","Course n°1 | Finale B"
"Paul Gobert","C1H","116.06","395.48","501.91","Course n°1 | Finale B"
"Hugo Crespo","C1H","116.36","308.26","505.65","Course n°1 | Finale B"
"Gaspard Trichard","C1H","121.29","434.1","566.95","Course n°1 | Finale B"
"Emilien Courtiade","C1H","124.02","425.21","600.9","Course n°1 | Finale B"
"Emeric Nieser","C1H","128.83","369.34","660.72","Course n°1 | Finale B"
"Aurele Neveu","C1H","146.28","433.92","877.72","Course n°1 | Finale B"
"Xavier Jourdain","C1H","174.25","374.26","1225.55","Course n°1 | Finale B"
"Romane Prigent","K1D","95.87","128.64","166.43","Course n°1 | Finale B"
"Lucie Prioux","K1D","100.63","372.57","221.44","Course n°1 | Finale B"
"Perrine Joubert","K1D","114.56","331.31","382.41","Course n°1 | Finale B"
"Ilona Martin -laemle","K1D","115.58","228.34","394.19","Course n°1 | Finale B"
"Youlia Estanguet","K1D","117.28","293.78","413.84","Course n°1 | Finale B"
"Solene Grenier","K1D","118.84","493.65","431.86","Course n°1 | Finale B"
"Lea Baldoni","K1D","120.04","382.84","445.72","Course n°1 | Finale B"
"Celia Jodar","K1D","120.27","364.98","448.39","Course n°1 | Finale B"
"Noeline Pierre","K1D","120.73","415.24","453.7","Course n°1 | Finale B"
"Elorri Erdois","K1D","121.83","684.72","466.41","Course n°1 | Finale B"
"Violaine Truche","K1D","121.98","277.76","468.14","Course n°1 | Finale B"
"Zoe Waeles","K1D","122.31","579.5","471.96","Course n°1 | Finale B"
"Alice Daniels","K1D","136.98","470.92","641.47","Course n°1 | Finale B"
"Stephanie Kaczmarek","K1D","152.89","528.85","825.32","Course n°1 | Finale B"
"Nahia Oteiza","K1D","170.13","406.3","1024.54","Course n°1 | Finale B"
"Amelie Leclercq","K1D","178.02","383.11","1115.71","Course n°1 | Finale B"
"Oceane Sedrue","K1D","205.91","418.32","1437.98","Course n°1 | Finale B"
"Mila Dastugue Lavignasse","K1D","209.58","524.8","1480.39","Course n°1 | Finale B"
"Pauline Rouilhet","K1D","235.54","549.85","1780.36","Course n°1 | Finale B"
"Myriam Le Joncourt","K1D","237.86","313.39","1807.18","Course n°1 | Finale B"
"Daphnee Vuilleumier","K1D","Abd","-","-","Course n°1 | Finale B"
"Suzel Cayrat","K1DM","146.74","563.74","754.25","Course n°1 | Finale B"
"Clara Sedrue","K1DM","164.09","911.32","954.73","Course n°1 | Finale B"
"Avril Saut","K1DM","201.53","484.36","1387.37","Course n°1 | Finale B"
"Lilou Maniet","K1DM","236.75","-","1794.35","Course n°1 | Finale B"
"Lynn Giordano Bobee","K1DM","260.52","578.08","2069.02","Course n°1 | Finale B"
"Edgar Prigent","K1H","92.59","223.37","267.62","Course n°1 | Finale B"
"Luc Sarramea","K1H","98.08","169.05","339.31","Course n°1 | Finale B"
"Thomas Ukalovic","K1H","100.36","173.84","369.08","Course n°1 | Finale B"
"Collin Pouradier","K1H","103.41","239.26","408.9","Course n°1 | Finale B"
"Felix Praderie","K1H","104.1","275.81","417.91","Course n°1 | Finale B"
"Fantin Delage-garez","K1H","105.42","260.76","435.15","Course n°1 | Finale B"
"Florent Iraundegui","K1H","105.79","294.7","439.98","Course n°1 | Finale B"
"Adrien Pardoux","K1H","106.5","261.76","449.25","Course n°1 | Finale B"
"Clement Dancette","K1H","110.36","354.16","499.65","Course n°1 | Finale B"
"Yannis Dast","K1H","111.5","304.68","514.54","Course n°1 | Finale B"
"Leo Arriau","K1H","111.7","485.15","517.15","Course n°1 | Finale B"
"Denis Guilmard","K1H","111.89","379.82","519.63","Course n°1 | Finale B"
"Edgar Paleaubrasseur","K1H","112.65","345.04","529.55","Course n°1 | Finale B"
"Mathys Maniet","K1H","114.3","442","551.1","Course n°1 | Finale B"
"Edouard Patry","K1H","114.31","481.13","551.23","Course n°1 | Finale B"
"Lohan Wyon","K1H","114.6","389.09","555.02","Course n°1 | Finale B"
"Nino Langlume","K1H","114.76","547.1","557.1","Course n°1 | Finale B"
"Gaston Guilmard","K1H","114.91","395.2","559.06","Course n°1 | Finale B"
"Sylvain Lauth","K1H","114.98","658.75","559.98","Course n°1 | Finale B"
"Vincent Laclide","K1H","115.05","260.41","560.89","Course n°1 | Finale B"
"Fabien Paleau","K1H","117.56","397.03","593.67","Course n°1 | Finale B"
"Adrien Roux","K1H","118.51","541.7","606.07","Course n°1 | Finale B"
"Owen Merpillat","K1H","120.03","345.94","625.92","Course n°1 | Finale B"
"Jimmy Aguiar","K1H","120.71","400.16","634.8","Course n°1 | Finale B"
"Arthur Caillaud-gault","K1H","121.24","385","641.72","Course n°1 | Finale B"
"Jean Christophe Erdois","K1H","121.72","575.6","647.99","Course n°1 | Finale B"
"Baptiste Guillaubez","K1H","121.95","417.3","650.99","Course n°1 | Finale B"
"Jacques Roisin","K1H","122.03","536.36","652.03","Course n°1 | Finale B"
"Quentin Rival-negrevergne","K1H","122.13","606.8","653.34","Course n°1 | Finale B"
"Hicham Domti","K1H","122.38","445.88","656.6","Course n°1 | Finale B"
"Axel Brin","K1H","122.68","392.62","660.52","Course n°1 | Finale B"
"Alex Baldoni","K1H","122.71","309.06","660.91","Course n°1 | Finale B"
"Emeric Nieser","K1H","123.56","380.54","672.01","Course n°1 | Finale B"
"Romain Guichet","K1H","125.36","500.64","695.51","Course n°1 | Finale B"
"Vincent Gardere","K1H","126.82","872.42","714.58","Course n°1 | Finale B"
"Mateo Destruel","K1H","127.77","777.33","726.98","Course n°1 | Finale B"
"Florian Malaval","K1H","130.38","404.3","761.06","Course n°1 | Finale B"
"Sebastien Larenaudie","K1H","130.53","595.92","763.02","Course n°1 | Finale B"
"Matt Vidou","K1H","131.64","842.95","777.52","Course n°1 | Finale B"
"Yohann Revelle","K1H","137.58","552.41","855.08","Course n°1 | Finale B"
"KÉziah Lecomte","K1H","148.69","465.24","1000.15","Course n°1 | Finale B"
"Eric Vidou","K1H","152.75","594.22","1053.16","Course n°1 | Finale B"
"Baptiste Vinet","K1H","154.47","715.37","1075.62","Course n°1 | Finale B"
"Martin Grzeskowiak","K1H","154.95","835.7","1081.89","Course n°1 | Finale B"
"Julien Coste","K1H","163.51","915.23","1193.66","Course n°1 | Finale B"
"Lucas Theil","K1H","169.63","762.31","1273.57","Course n°1 | Finale B"
"Tom Delens","K1H","170.83","392.44","1289.24","Course n°1 | Finale B"
"Martin Thermidor","K1H","173.68","838.78","1326.45","Course n°1 | Finale B"
"Miguel Irungaraylarronde","K1H","188.58","541.62","1521.01","Course n°1 | Finale B"
"Malo Fevin","K1H","220.28","675.96","1934.94","Course n°1 | Finale B"
"Tom Charles","K1H","226.5","509.43","2016.15","Course n°1 | Finale B"
"Jean Dayraut","K1H","232.15","1121.29","2089.93","Course n°1 | Finale B"
"Quentin Arnaudin","K1H","243.9","866.32","2243.35","Course n°1 | Finale B"
"Remi Granet","K1H","274.43","1061.21","2642","Course n°1 | Finale B"
"Hugo Larenjeiro","K1H","307.51","907.09","3073.94","Course n°1 | Finale B"
