"Finale N3 - Chelles sur Champs Sur Marne - 2008-06-07","Course 1","2008-06-07","Nationale 3","115"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Pauline Soenen","C1D","294.90","498","461",""
"Hugo Chauvary","C1H","209.33","213","172",""
"Quentin Moreaux","C1H","215.31","301","204",""
"Mathieu Dutendas","C1H","218.39","262","221",""
"Guillaume Doutreix","C1H","219.82","286","229",""
"Jerome Lacire","C1H","221.00","305","235",""
"Olivier Gesbert","C1H","221.90","250","240",""
"Guillaume Sellier","C1H","225.69","280","260",""
"Didier Niel","C1H","228.96","400","278",""
"Pierre Maillard","C1H","236.37","338","318",""
"Axel Le Nevanic","C1H","246.99","602","377",""
"Jeremy Bretteville","C1H","253.14","371","409",""
"Jean Marc Fossier","C1H","256.30","403","427",""
"Antoine Harlaut","C1H","261.04","424","453",""
"Jacques Nardeau","C1H","267.10","430","486",""
"Samuel Bonvalet","C1H","276.98","556","540",""
"Donatien Lamoureux","C1H","285.40","588","585",""
"Geoffroy Lauth","C1H","287.12","505","595",""
"Etienne Nardeau","C1H","287.57","616","597",""
"Olivier Cornu","C1H","314.83","683","745",""
"Loic Bourgeois","C1H","493.31","71","1715",""
"Stephane Broute-Xavier Jourdain","C2H","258.06","281","337",""
"Vincent Reiter-Julien Daumont","C2H","268.26","403","389",""
"Jerome Lacire-Jerome Mailfait","C2H","287.67","426","487",""
"Harlaut Antoine- Bourgeois Loic","C2H","288.45","483","490",""
"Clement Beauge-Dylan Lacaussade","C2H","302.62","427","562",""
"Geoffroy Schwentzel-Louison Tanet","C2H","317.00","286","635",""
"Quentin Sirven-Pierre Defebvre","C2H","349.68","541","800",""
"Baptiste Humbert-Florian Souchaire","C2H","376.15","604","934",""
"Vincent Richard-Olivier Cornu","C2H","427.74","451","1195",""
"Clara Dos Santos","K1D","234.81","309","231",""
"Lisa Tanet","K1D","240.82","254","261",""
"Emilie Hernandez-brossard","K1D","245.18","334","283",""
"Audrey Metz","K1D","248.29","314","299",""
"Alize Bachelot","K1D","249.26","325","304",""
"Gaelle Delaborde","K1D","257.40","366","345",""
"Celia Jodar","K1D","258.62","335","352",""
"Chloe Gatuingt","K1D","259.58","375","356",""
"Constance Martin","K1D","259.89","366","358",""
"Sophie Busson","K1D","260.90","372","364",""
"Charlotte Hay","K1D","263.27","433","375",""
"Marion Gallois","K1D","274.38","286","432",""
"Juliette Richard","K1D","284.56","557","484",""
"Julien Signarbieux","K1H","190.64","217","122",""
"Pierre Pans","K1H","191.01","151","124",""
"Loic Gobert","K1H","194.71","178","145",""
"Nicolas Feuillard","K1H","196.47","205","155",""
"Stephane Broute","K1H","197.96","229","163",""
"Simon Boulan","K1H","201.53","229","184",""
"Mathieu Godin","K1H","201.55","201","184",""
"Eric Lamour","K1H","202.65","249","190",""
"Ludovic Lino","K1H","203.05","278","192",""
"Valentin Cazin","K1H","205.44","515","206",""
"Valentin Casse","K1H","205.81","258","208",""
"Matthieu Walfard","K1H","207.66","238","219",""
"Charles Pain","K1H","208.01","287","221",""
"Etienne Carpentier","K1H","208.58","362","224",""
"Julien Fougeron","K1H","209.02","245","227",""
"Mehdi Rouich","K1H","210.18","275","233",""
"Nicolas Dupres","K1H","211.27","285","240",""
"Maxime Raux","K1H","211.52","270","241",""
"Christophe Gosselin","K1H","211.87","304","243",""
"Benoit Monvoisin","K1H","213.80","264","254",""
"Jeansebastien Simonklein","K1H","214.20","238","257",""
"Romain Content","K1H","214.55","245","258",""
"Debliquy Stephane","K1H","214.58","267","258",""
"Tristan Lejot","K1H","215.65","359","265",""
"Burgard Jean Roch","K1H","215.79","270","265",""
"Gregoire Cayez","K1H","216.19","324","268",""
"Matthieu Basset","K1H","216.35","259","269",""
"Germain Carre","K1H","216.61","287","270",""
"Denis Parizia","K1H","217.31","267","274",""
"Jeremy Bretteville","K1H","219.39","270","285",""
"Gerard Lafargue","K1H","219.67","342","287",""
"Philippe Valeri","K1H","219.74","311","288",""
"Romain Lemaire","K1H","220.25","286","291",""
"Thibaud Kudla","K1H","220.58","293","293",""
"Quentin Dheilly","K1H","221.61","314","299",""
"Jeremy Harel","K1H","223.19","408","308",""
"Luc Wojtasiak","K1H","223.99","389","312",""
"Hugo Chauvary","K1H","224.09","351","312",""
"Gaspard Vivien","K1H","224.18","335","313",""
"Mathieu Monvoisin","K1H","224.69","461","316",""
"Tourneur Yoan","K1H","225.36","313","320",""
"Jerome Urbanczyk","K1H","228.10","384","336",""
"Geoffroy Schwentzel","K1H","228.17","247","336",""
"Romain Bertrand","K1H","228.61","440","339",""
"Jess Masson","K1H","230.92","325","352",""
"Thibault Dhennin","K1H","232.60","332","361",""
"Aurelien Noiret","K1H","233.90","399","368",""
"Mathieu Dutendas","K1H","234.26","395","371",""
"Thomas Quennehen","K1H","237.00","460","386",""
"Vincent Richard","K1H","237.26","397","388",""
"Guillaume Cochut","K1H","239.10","374","398",""
"Maxime Cousin","K1H","244.25","277","428",""
"Florian Souchaire","K1H","244.45","491","429",""
"Guilherme Goncalves Maghin","K1H","244.90","460","432",""
"Leo Capelle","K1H","247.21","339","445",""
"Jerome Mailfait","K1H","247.54","388","447",""
"Mickael Faure","K1H","247.59","529","447",""
"Arnaud Delachaux","K1H","251.69","509","470",""
"Stephane Helle","K1H","252.83","413","476",""
"Samuel Bonvalet","K1H","253.56","557","481",""
"Thomas Viratelle","K1H","254.99","368","489",""
"Remy Daumont","K1H","255.26","407","490",""
"Anton Chervontsev","K1H","272.99","565","592",""
"Jeremy Huguenin","K1H","282.84","475","648",""
"Cotinet Angelo","K1H","289.68","653","687",""
"Guilhem Goubert","K1H","291.71","572","699",""
"Damien Jacques","K1H","293.28","399","707",""
"Victor Paulais","K1H","296.83","434","728",""
"Maxime Boisgontier","K1H","302.71","607","762",""
"Matthieu Rousseau","K1H","314.53","435","829",""
"Sergepatrick Viseur","K1H","340.15","537","975",""
"Baptiste Humbert","K1H","342.33","596","988",""
