"SELECTIF REGIONAL - Voray Sur L Ognon - 2003-12-07","Course 1","2003-12-07","Régional","108"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charly Chassigneux","C1H","192.69","51","138",""
"Gay Michel","C1H","200.48","212","185",""
"Lionel Schweitzer","C1H","202.34","160","196",""
"Benjamin Ruman","C1H","203.24","195","202",""
"Lorrie Delattre","C1H","210.76","132","247",""
"Cubizolles Sebastien","C1H","211.94","229","254",""
"Philippe Senechal","C1H","214.52","327","269",""
"Jerome Daille","C1H","215.76","229","276",""
"Campioni Patrice","C1H","217.15","230","285",""
"Gilles Schweitzer","C1H","221.73","280","313",""
"Philippe Thevenin","C1H","222.10","283","315",""
"Mathieu Doby","C1H","222.23","304","315",""
"Benjamin Maubert","C1H","228.99","406","356",""
"David Besancon","C1H","229.64","267","360",""
"Bouhelier Renaud","C1H","256.88","-","524",""
"Etienne Daille","C1H","264.99","932","572",""
"Bandelier Guillaume","C1H","265.62","-","576",""
"Olivier Urbain","C1H","267.39","-","587",""
"Rudant Yann","C1H","268.33","-","592",""
"Lemaire Patrick","C1H","276.69","-","642",""
"Alexandre Lemaire","C1H","289.79","864","721",""
"Bazin Patryce- De Mareuil Johan","C2H","262.54","-","486",""
"Vincent Bouchard-Sebastien Chapuis","C2H","263.50","393","491",""
"Anneline Triomphe","K1D","193.84","32","92",""
"Fanny Mino-vercellio","K1D","222.04","202","254",""
"Bruet Amelie","K1D","224.82","257","270",""
"Marlene Devillez","K1D","225.68","289","274",""
"Mylene Renaud","K1D","225.81","290","275",""
"Vanderkam Buisson Maelle","K1D","239.03","304","351",""
"Frotey Floriane","K1D","239.89","249","356",""
"Apert Maia","K1D","243.85","262","379",""
"Virginie Aubert","K1D","249.31","367","411",""
"Emmanuelle Gigandet","K1D","252.76","557","430",""
"Anais Dieterling","K1D","256.42","350","450",""
"Aline Grosperrin","K1D","297.19","671","684",""
"Devillez Nadine","K1D","307.17","806","742",""
"Melanie Jambeau","K1D","313.41","822","778",""
"Chapuis Nathalie","K1D","314.57","855","784",""
"Oudet Virginie","K1D","343.16","800","948",""
"Pellegrini Aurore","K1D","380.02","1639","1159",""
"Crost Karine","K1D","416.56","-","1369",""
"Lucie Beaudet","K1D","417.59","-","1374",""
"Frederic Walczak","K1H","172.82","31","71",""
"Nicolas Labat","K1H","175.77","128","90",""
"Gregory Busson","K1H","177.82","107","102",""
"Mathieu Doby","K1H","179.70","45","114",""
"Bazin Patryce","K1H","181.02","138","122",""
"Redon Vincent","K1H","183.38","-","137",""
"Thomas Bersinger","K1H","184.01","160","141",""
"Johan De Mareuil","K1H","184.81","112","146",""
"Mathieu Bandelier","K1H","189.02","193","173",""
"Lemaire Maxime","K1H","190.35","182","181",""
"Jules Bevalot","K1H","190.71","217","184",""
"Kevin Schultz","K1H","192.05","238","193",""
"Fabien Hantz","K1H","195.78","222","216",""
"Frederic Tinchant","K1H","197.48","209","226",""
"Bruet Aurelien","K1H","200.79","348","247",""
"Labouille Yannick","K1H","201.19","234","250",""
"Stephane Labouille","K1H","204.11","289","268",""
"Nicolas Mangeolle","K1H","208.66","324","296",""
"Olivier Urbain","K1H","209.01","277","299",""
"Aubertin Philippe","K1H","211.01","-","312",""
"Thomas Rollot","K1H","212.93","423","324",""
"Christophe Billaud","K1H","214.09","277","331",""
"Senechal Alexis","K1H","214.70","469","335",""
"Pascal Garnier","K1H","218.98","379","361",""
"Etienne Daille","K1H","219.32","317","364",""
"Dallazuana Anthony","K1H","221.23","303","376",""
"Pollet Manu","K1H","221.90","488","380",""
"Hager Yoan","K1H","223.59","331","391",""
"Favret Christophe","K1H","223.83","-","393",""
"Bonnot Aurélien","K1H","226.77","583","411",""
"Xavier Rat","K1H","236.34","-","471",""
"Pahin Thomas","K1H","237.86","813","481",""
"Besancon David","K1H","239.75","-","492",""
"Emmanuel Triomphe","K1H","242.63","602","511",""
"Noel Jeremie","K1H","243.92","-","519",""
"Morel Jeremie","K1H","245.52","1109","529",""
"Patrick Thevenin","K1H","246.40","403","534",""
"Frederic Caillet","K1H","247.15","661","540",""
"Emmanuel Colajanni","K1H","248.86","420","550",""
"Friboulet Mickael","K1H","250.57","545","561",""
"Fatou Clement","K1H","258.00","690","608",""
"Treiber Edouard","K1H","258.44","810","611",""
"Charlot Bertrand","K1H","259.04","627","614",""
"Guillaume Bandelier","K1H","263.33","259","641",""
"Dougoud Adrien","K1H","264.65","491","650",""
"Baud Sebastien","K1H","264.65","-","650",""
"Bonnot Cyrille","K1H","272.03","-","696",""
"Robert Jean Jacques","K1H","276.07","-","722",""
"Petitclerc Quentin","K1H","289.73","-","808",""
"Janin Quentin","K1H","289.83","855","808",""
"Garret Bertrand","K1H","290.67","-","813",""
"Nicolas Dinquer","K1H","296.20","1176","849",""
"Vernier Thomas","K1H","297.68","-","858",""
"Alexandre Lambert","K1H","301.21","1014","880",""
"Guiot Jonathan","K1H","308.14","-","924",""
"Kornalewski Remi","K1H","313.43","-","957",""
"Belle Simon","K1H","315.17","-","968",""
"Girardet Julien","K1H","323.71","1441","1022",""
"Maxime Faivre","K1H","334.48","187","1090",""
"Curty Guillaume","K1H","354.34","-","1215",""
"Beltzung Gaetan","K1H","361.22","1044","1259",""
"Billel Khenchouche","K1H","368.52","555","1305",""
"Pradeau Xavier","K1H","373.60","-","1337",""
"Vincent Benjamin","K1H","392.82","-","1458",""
"Carisey Pierre","K1H","411.56","709","1576",""
"Forey Samuel","K1H","414.12","-","1592",""
