"Championnat de France Slalom par Equipe de Clubs - Bourg St Maurice - Course par Èquipe - 2018-07-27","Course par Èquipe","2018-07-27","Championnats de France","126"
"Fanchon Janssen-Charlotte Abba-Joana Palermo","EKD","118.82","-","2643",""
"Alixe Degremont-Solene Graille-Natacha Delassus","EKD","121.81","-","500",""
"Viviana Daille-Mylene Ferry-Phenicia Dupras","EKD","122.26","-","2286",""
"Youlia Estanguet-Doriane Delassus-Laurine Salesse","EKD","136.22","-","500",""
"Marion Grangeon-Estelle Hellard-Pauline Richard","EKD","138.66","-","1929",""
"Justine Clerc-Alexane Galmiche-Marie Hilger","EKD","139.98","-","500",""
"Jeanne Bernard-Emma Vaubourg-Margot Perrin","EKD","141.93","-","500",""
"Nelia Barbosa-Lucie Cecile-Eva Dauvergne","EKD","144.18","-","1393",""
"Claire Jacquet-Jade Robin-Alicia Gallot","EKD","153.62","-","1214",""
"Thais Francois-Azenor Philip-Andrea Gratwohl","EKD","154.43","-","1036",""
"Elke Saragas-Camille Berson-Clara Jannic","EKD","172","-","857",""
"Sylviane Quemerais-Morgane Quemerais-Nagwa Lanchec El Desouki","EKD","202.25","-","679",""
"Chloe Faverjon-Emma Miton-Joey Bercon","EKD","454.83","-","500",""
"Gurgen Brun-Benjamin Jacon-Nicolas Baudoin","EKH","97.56","-","3000",""
"Etienne Daille-Titouan Dupras-Maxime Bottex","EKH","97.63","-","2971",""
"Edgar Prigent-Guillaume Graille-Anatole Delassus","EKH","97.75","-","2942",""
"Emmanuel Walczak-Enrick Cunsolo-Mathieu Doby","EKH","98.58","-","2913",""
"Pierre Bourliaud-Thomas Rosset-Benjamin Travostino","EKH","99.2","-","2884",""
"Matheo Lebaindre-Pierre Hellard-Malo Quemeneur","EKH","100.47","-","2855",""
"Arthur Mizzi-Hugo Regnier-Timothee Cornu","EKH","100.47","-","2855",""
"Zeph Scamps-Pierre Giudicelli-Theo Desvignes","EKH","100.86","-","2826",""
"Isaac Dufrene-Ludovic Di Nisi-Dylan Sourbe","EKH","101.71","-","2797",""
"Gabriel De Coster-Maxime Aubertin-Corentin Monasse","EKH","102.1","-","2767",""
"Benoit Chantry-Vincent Ablin-Mathurin Madore","EKH","102.82","-","2738",""
"Thibault Marchand-Jonas Turmeau-Louison Turmeau","EKH","103.42","-","2709",""
"Nicolas Mevel-Valentin Brindeau-Pol Euzenes","EKH","103.8","-","2680",""
"Jules Bevalot-Anthony Thuillier-Vincent Hannedouche","EKH","103.85","-","2651",""
"Pierre Marie Roussel-Charlie Barbier-Simon Hene","EKH","104.12","-","2622",""
"Robin Pottelette-Bertrand Gutierrez-Hugo Simon","EKH","106.35","-","2593",""
"Mathis Soudi-Yves Prigent-David Mingasson","EKH","107.47","-","500",""
"Valentin Vibert-Armand Rakowski-Matthieu Le Gall","EKH","108.73","-","2535",""
"Brice Derrien-Malo Legrand-Valentino Le Guesclou","EKH","108.91","-","2506",""
"Hippolyte Cail-Olivier Cail-Theo Roisin","EKH","108.94","-","2477",""
"Christophe Marechal-Arthur Lagleyze-Thomas Durand","EKH","109.07","-","2448",""
"Guilhem Douillet-Laurent Starck-Lukas Werro","EKH","109.17","-","2419",""
"Nathan Hossin-Manon Prioux-Lucie Prioux","EKH","110.76","-","500",""
"Esteban Illido-Tom Bouchardon-Pablo Chaminade","EKH","110.98","-","2360",""
"Benjamin Dodane-Martin Dougoud-Yann Zaepffel","EKH","111.38","-","2331",""
"Lucas Correia-Aaron Penning-Andreas Dupuy","EKH","111.91","-","500",""
"Djendy Simeant-Edouard Chenal-Guillaume Belet","EKH","112.25","-","2273",""
"Clement Grapotte-Pierre Grapotte-Maxime Melmont","EKH","113.2","-","2244",""
"Mewen Debliquy-Titouan Castryck-Martin Dubois","EKH","113.33","-","500",""
"Cedric Landreau-Adrien Mesmoudi-Gedeon Cothias-faure","EKH","113.63","-","500",""
"Mohamed Saœd Bekkadour-Noe Monier-Etienne Wiche","EKH","115.35","-","500",""
"Marie-zelia Lafont-Cecile Tixier-Pierre-louis Saussereau","EKH","115.35","-","2157",""
"Jeremie Palazy-Nour Ait Kaddour-Tom Zanfini","EKH","116.38","-","2128",""
"GaÀtan De Greef-Romain Bruneau-Romain Branjauneau","EKH","118.5","-","2099",""
"Frederic Castryck-Stephane Debliquy-Anne Boixel","EKH","119.55","-","500",""
"Leo Peter-Celia Grandadam-Joris Schaffner","EKH","119.72","-","500",""
"Amaury Brucher-Enzo Claeys-Ianis Fleury","EKH","119.8","-","500",""
"Yannis Houze-Ewen Berrest-Simon Rolland","EKH","120.02","-","500",""
"Clement Fremy-Loic Trenchant-Pitt Rohrer","EKH","120.39","-","500",""
"Simon Cognard-Thibault Lamour-Loan Queffelec","EKH","120.47","-","500",""
"Louis Brocard-Daneric Ollivier-Mael Monjaret","EKH","121.69","-","1895",""
"Oscar Donval-Hugo Eouzan-chaffotec-Tom Seguillon","EKH","121.91","-","500",""
"Alexis Pacholak-Eddy Cassard-Quentin Robert","EKH","122.34","-","1837",""
"Matthieu Koffel-Lolita Seguy-Paul Bostoen","EKH","123.24","-","500",""
"Elouan Le Fournis-Gurvan Huet-Gwenole Noyalet","EKH","123.25","-","500",""
"Arnaud Delattre-Tiphaine Duboc-Nicolas Ducrocq","EKH","123.43","-","500",""
"Laurene Roisin-Felix Praderie-Samuel Taillefer","EKH","123.61","-","500",""
"Florian Busson-Samuel Vallienne-Alexis Carpentey","EKH","125.53","-","1692",""
"Hugo Robert-Melenn Aubry-Youn Aubry","EKH","128.86","-","500",""
"Romain Brouard-Zoe Bruchon-Theo Douady","EKH","129.5","-","500",""
"Emilie Chamouleau-Quentin Bonniol-Nicolas Labat","EKH","129.58","-","500",""
"Jeremy Bretteville-Teddy Poulard-Thomas Martinet","EKH","130.02","-","1576",""
"Theo Soulier-Arthur Vernede-Gino Benini","EKH","130.29","-","1547",""
"Franck Delachair-Laurent Le Touze-Maxime Lignereux","EKH","132.32","-","500",""
"Vincent Reiter-Tom Barthelemy-Arthur Guillot-le Goff","EKH","133","-","1488",""
"Frederique Merle-Tom Babin-Philippe Babin","EKH","133.38","-","1459",""
"Herve Busson-Flavien Portier-Christophe Gergaud","EKH","134","-","500",""
"Matheo Dupont-Cosme Duboc-Hugo Tellier","EKH","136.29","-","1401",""
"Nicolas Detheve-Barbara Gibert-Cedric Mace","EKH","137.02","-","1372",""
"Gerard Menissier-Serge Doby-Matthieu Walfard","EKH","138.48","-","500",""
"Hugo Martin -laemle-Jules Silvin-Louane Chenal","EKH","138.68","-","500",""
"Raphael Bonnard-Corentin Georgeon-Kilian Cottet","EKH","140.41","-","1285",""
"Loœc Pottier-Hugo Baillet-Thibaut Evrard","EKH","142.48","-","500",""
"Maœa Gombert-Hugo Monasse-Mylene Guilcher","EKH","144.41","-","500",""
"Lukas Estanguet-santamaria-Matt Vidou-Baptiste Delemotte","EKH","145.28","-","500",""
"Lucas Latimier-Mathieu Biazizzo-Clement Travert","EKH","148.23","-","500",""
"Jules Roos-Clara Grangeon-Cesar Le Berder","EKH","156.46","-","500",""
"Thibaud Collaert-Xavier Jourdain-Lucas Jacob","EKH","157.9","-","1110",""
"Bertrand Avril-Chloe Gatuingt-Nicolas Candieu","EKH","165.89","-","1081",""
"Charles Fernandes De Oliveira-Yann Rivallant-Jonathan Chapatte","EKH","169.71","-","500",""
"Angus Cruickshank-Emilien Courtiade-Thomas Terr…","EKH","173.87","-","1023",""
"Laurence Scrimgeour-Raphael Lassechere-Simon Tourtois","EKH","188.13","-","500",""
"Rafael Lerusse-Adrien Pierre-Glen Le Meur","EKH","190.21","-","965",""
"Alexandre Goujon-Kawan Thomas-Aymeric Rivier","EKH","194.43","-","500",""
"Vincent Laclide-Gaston Guilmard-Romane Bronchet","EKH","196.61","-","907",""
"Matheo Nassieu-Yon Dandonneau-K…ziah Lecomte","EKH","202.48","-","500",""
"Jules Sourieau-Gaspard Gonseth-Titouan Sourieau","EKH","225.28","-","500",""
"Victor Lagleyze-Lucas Augu-Thomas Ukalovic","EKH","227.33","-","500",""
"Axel Ganthier-Guerlain Robin-Loric Bertrand Delorme","EKH","228.98","-","500",""
"Adrien Ricaud-Tanguy Zaninotto-Tom Delens","EKH","241.41","-","500",""
"Louis Debureaux-Maxime Savalle-Lisa Bou…","EKH","255.42","-","733",""
"Melyne Jost-Matthew Vuillard-Loann Delle Dananchet","EKH","257.59","-","500",""
"Titouan Conseil-Tom Charles-Alice Bureau","EKH","285.63","-","500",""
"Julien Lambert-Teo Bouvier-Marie Juquelier","EKH","305.7","-","500",""
"Simon Lescaut-Gabin Chenal-Gabin Siau","EKH","305.84","-","500",""
"Margaux Fabijan-Mylene Despres-Estephe Decarsin","EKH","317.21","-","587",""
"Zoe Laurent-Marion Gillet-Nicolas Bougnon","EKH","448","-","500",""
