"SÈlectif RÈgional de Slalom - Sev Cergy Pontoise - Qualification - 2017-10-15","Qualification","2017-10-15","RÈgional","246"
"Theo Moalic","C1H","255.1","535.59","1860.08",""
"Ludovic Roye","C1H","Abs","-","-",""
"Nicolas Feuillard","C1H","Dsq","-","-",""
"Gilles Gaud","C1H","Des","-","-",""
"Evan Thibault","C1H","Abs","-","-",""
"Fabien Bonvalet","C1HM","147.31","526.37","668.55",""
"Antonin Robert","C1HM","157.98","555.29","786.5",""
"Tom Raynaud","C1HM","297.95","-","2333.76",""
"Mathis Piepho","C1HM","Des","-","-",""
"Eloi Seemann-Quentin Mannier","C2H","133.22","322.67","445.86",""
"Xavier Jourdain-Francois Durand","C2H","135.64","484.01","471.39",""
"Noe Perreau-Yohann Senechault","C2H","138.75","-","504.2",""
"Theo Moalic-Marceau Decarsin","C2H","149.77","491.62","620.49",""
"Quentin Moreaux-Bastien Moreaux","C2H","157.67","-","703.84",""
"Benjamin Dubert-Thomas Lesage","C2H","187.51","-","1018.72",""
"Arthur Leduc-Julien Fougeron","C2H","Des","-","-",""
"Catherine Boulan-Xavier Jourdain","C2M","146.63","442.27","458.43",""
"Bertrand Avril-Chloe Gatuingt","C2M","153.58","356.76","525.64",""
"Anthony Thuillier-Camille Andrieux","C2M","156.41","386.52","553.02",""
"Benoit Chantry-Stephanie Bender","C2M","Abs","-","-",""
"Boris Chenal-Laurine Naveau","C2M","Dsq","-","-",""
"Lea Turmeau","K1D","111.76","86.46","188.11",""
"Viviana Daille","K1D","111.92","150.19","189.75",""
"Caroline Bourry","K1D","114.65","166.49","217.79",""
"Meryl Steinmann","K1D","118.48","276.7","257.14",""
"Flora Bove","K1D","119.39","217.36","266.48",""
"Lucie Cecile","K1D","121.79","212.45","291.14",""
"Coline Bertin","K1D","122.97","291.69","303.25",""
"Emilie Delahaye","K1D","123.42","256.12","307.87",""
"Nelia Barbosa","K1D","124.47","367.54","318.66",""
"Chloe Gatuingt","K1D","125.24","338.41","326.57",""
"Eva Dauvergne","K1D","132.54","350.92","401.55",""
"Fiona Gille","K1D","136.86","465.8","445.93",""
"Lucie Robin","K1D","138.69","-","464.73",""
"Emma Leroux","K1D","139.79","420.82","476.02",""
"Stephanie Bender","K1D","143.13","444.2","510.33",""
"Jessica Joyau","K1D","144.3","375.27","522.35",""
"Mathilde Guillot-le Goff","K1D","144.87","380.73","528.21",""
"Anna Marvillet","K1D","148.73","533.07","567.84",""
"Lea Feuillard","K1D","156.14","513.34","643.96",""
"Adele Charlaigre","K1D","163.41","326.78","718.64",""
"Marion Grangeon","K1D","172.69","282.5","813.96",""
"Sophie Dupas","K1D","184.36","326.03","933.82",""
"Anouk Hadad","K1D","222.44","733.56","1324.98",""
"Elodie Thomasset","K1D","223.17","-","1332.47",""
"Sandrine Arnal","K1D","259.25","682.13","1703.07",""
"Celine Garcia","K1D","260.16","799.08","1712.41",""
"Yuna Pernet","K1D","267.5","502.97","1787.81",""
"Amaurie Guilleret","K1D","327.47","237.92","2403.79",""
"Coralie Delmotte","K1D","439.25","692.05","3551.96",""
"Loane Foulongani","K1D","460.74","1556.36","3772.7",""
"Margaux Mourlon","K1D","Abs","-","-",""
"Loan Battistuzzi","K1D","Des","-","-",""
"Clara Delahaye","K1DM","144.42","403.65","523.58",""
"Charlotte Chauvey","K1DM","152.79","637.63","609.55",""
"Valentine Jussy","K1DM","161.16","850.83","695.52",""
"Margaux Fabijan","K1DM","181.67","397.34","906.2",""
"Wissal Mouinet","K1DM","208.44","544.33","1181.17",""
"Julie Dupas","K1DM","228.01","740.26","1382.19",""
"Lisa Manach","K1DM","319.49","-","2321.84",""
"Souhayla Khattabi","K1DM","Des","-","-",""
"Erin Thibault","K1DM","Abs","-","-",""
"Mathurin Madore","K1H","89.43","46.71","78.16",""
"Ludovic Di Nisi","K1H","93.97","72.41","130.86",""
"Vincent Delahaye","K1H","94.77","111.74","140.14",""
"Quentin Bove","K1H","95.05","99.42","143.39",""
"Boris Chenal","K1H","97.78","152.06","175.08",""
"Aaron Penning","K1H","99.08","154.73","190.17",""
"Jonas Turmeau","K1H","99.25","77.43","192.14",""
"Xavier Jourdain","K1H","100.39","161.68","205.37",""
"Luca Dos Santos","K1H","100.66","186.03","208.51",""
"Benoit Chantry","K1H","100.68","142.08","208.74",""
"Lucas Jacob","K1H","101.13","199.03","213.96",""
"Fabien Tournadre","K1H","101.25","173.75","215.35",""
"Matheo Lebaindre","K1H","102.15","152.41","225.8",""
"Nicolas Feuillard","K1H","102.39","186.13","228.59",""
"Lucas Augu","K1H","102.44","221.59","229.17",""
"Lucas Correia","K1H","102.57","264.49","230.68",""
"Vincent Reiter","K1H","102.82","256.58","233.58",""
"Nathan Boudaillez","K1H","103.14","231.99","237.29",""
"Quentin Moreaux","K1H","104.82","264.28","256.79",""
"Yvan Leblond","K1H","105.12","268.8","260.27",""
"Jerome Olhagaray","K1H","105.34","207.62","262.83",""
"Loic Monbel","K1H","107.81","213.09","291.5",""
"Andreas Dupuy","K1H","108.35","207.27","297.76",""
"Bertrand Avril","K1H","109.6","276.27","312.27",""
"Gawaine Chikh","K1H","109.87","259.92","315.41",""
"Eden Quevremont","K1H","110.06","322.09","317.61",""
"Romain Huguenin","K1H","110.78","285.46","325.97",""
"Aurelien Merieux Danneaux","K1H","111.4","340.02","333.16",""
"Issam Chakir","K1H","111.41","359.78","333.28",""
"Theo Moalic","K1H","112.23","411.17","342.8",""
"Fabien De Almeida","K1H","112.36","277.31","344.31",""
"Thomas Ukalovic","K1H","112.52","271.7","346.16",""
"Theo Loury","K1H","112.62","315.9","347.32",""
"Amaury Brucher","K1H","112.85","362.98","349.99",""
"Loœc Pottier","K1H","113.35","278.56","355.8",""
"Julien Paulais","K1H","114.37","387.35","367.64",""
"Charles Fernandes De Oliveira","K1H","114.77","301.97","372.28",""
"Julien Fougeron","K1H","115.07","320.52","375.76",""
"Melvin Queudeville","K1H","115.17","369.06","376.92",""
"Bastien Moreaux","K1H","116.05","406.86","387.14",""
"Thibaut Evrard","K1H","116.08","515.38","387.48",""
"Nicolas Candieu","K1H","116.27","338.8","389.69",""
"Jeremie Hepner","K1H","116.29","381.82","389.92",""
"Matthieu Walfard","K1H","117.08","350.26","399.09",""
"Benoit Guernic","K1H","117.19","367.12","400.37",""
"Victor Paulais","K1H","117.35","337.2","402.23",""
"Marceau Decarsin","K1H","117.56","383.95","404.66",""
"Alan Le Goff","K1H","118.23","435.44","412.44",""
"Benjamin Dubert","K1H","118.26","415","412.79",""
"Quentin Angot","K1H","118.43","350.46","414.76",""
"Florent Bernard","K1H","119.12","348.08","422.77",""
"Yani Ferhaoui","K1H","119.91","238.27","431.94",""
"Ianis Fleury","K1H","119.94","307.65","432.29",""
"Thibaud Collaert","K1H","120.3","317.89","436.47",""
"Isidore Dubuisson","K1H","121.62","378.38","451.79",""
"Teddy Poulard","K1H","122.25","390.32","459.1",""
"Leonard Painteaux","K1H","122.67","426.62","463.97",""
"Romain Bezies","K1H","123.36","364.79","471.98",""
"Basile Drapier","K1H","123.47","450.09","473.26",""
"Roman Vivier","K1H","123.96","494.84","478.95",""
"Arthur Dupont","K1H","123.99","367.94","479.3",""
"Jeremy Huguenin","K1H","124.48","355.1","484.98",""
"Thomas Lesage","K1H","125.32","435.64","494.73",""
"Aymeric Dollat","K1H","125.73","458.71","499.49",""
"Paul Cascarino","K1H","125.79","504.11","500.19",""
"Gerard Lafargue","K1H","126.18","502.66","504.71",""
"Antoine Martin","K1H","126.55","575.35","509.01",""
"Francois Durand","K1H","127.69","398.63","522.24",""
"Philippe Piat","K1H","128.83","500.66","535.47",""
"Clement Hamel","K1H","131.24","503.27","563.45",""
"Kevin Tanay","K1H","131.36","616.82","564.84",""
"Nicolas Leconte","K1H","131.57","448.53","567.28",""
"Vincent Amisse","K1H","131.76","459.95","569.48",""
"Estephe Decarsin","K1H","131.93","450.03","571.45",""
"Brian Bontems","K1H","132.62","546.02","579.46",""
"Philippe Valeri","K1H","132.7","545.65","580.39",""
"Romain Brouard","K1H","133.72","594.92","592.23",""
"Lucas Walbreq","K1H","134.27","506.9","598.61",""
"Baptiste Duboc","K1H","134.3","443.28","598.96",""
"Djimy Kar","K1H","134.48","391.6","601.05",""
"Julien Michelin","K1H","137.25","517.01","633.2",""
"Noe Vannier","K1H","138.25","562.24","644.81",""
"Yann Castryck- -genereux","K1H","140.2","578.53","667.44",""
"Theo Zilber","K1H","140.83","369.05","674.76",""
"Gabriel Benoit","K1H","143.82","662.96","709.46",""
"Yunus Polat","K1H","145.14","-","724.78",""
"Noe Perreau","K1H","156.6","240.42","857.8",""
"Tom Barthelemy","K1H","161.33","316.01","912.7",""
"Bruno Brousselle","K1H","170.1","845.9","1014.49",""
"Nicolas Dupres","K1H","173.79","446.82","1057.32",""
"Mathieu Voreaux","K1H","192.92","-","1279.36",""
"Yann Dhieux","K1H","199.62","596.93","1357.13",""
"Valentin Gori","K1H","229.2","-","1700.46",""
"Dante Bourlet De La Vallee","K1H","233.66","561.75","1752.23",""
"Victor Lheritier","K1H","248.2","733.47","1920.99",""
"Leonard Soland","K1H","252.61","619.07","1972.18",""
"Loic Merat","K1H","278.37","1366.6","2271.17",""
"Alain Brucher","K1H","283","1149.07","2324.91",""
"Adam El Manouzi","K1H","302.74","711.93","2554.03",""
"Idriss Kebila","K1H","314.88","-","2694.94",""
"Enzo Claeys","K1H","320.64","419.34","2761.8",""
"Leo Hohler","K1H","336.37","1429.18","2944.37",""
"Sacha Bou…","K1H","512.84","-","4992.65",""
"Benoit Le Mazurier","K1H","Abs","-","-",""
"Florian Torche","K1H","Abs","-","-",""
"Samuel Lhegu","K1H","Abs","-","-",""
"Remmelt Beusquart","K1H","Des","-","-",""
"Vladimir Krsmanovic","K1H","Abs","-","-",""
"Elie Scaglia Mennesson","K1H","Abs","-","-",""
"Guillaume Cochut","K1H","Abs","-","-",""
"Loic Bourgeois","K1H","Abs","-","-",""
"Mathieu Monier","K1H","Abs","-","-",""
"Theo Douady","K1HM","112.08","343.51","341.06",""
"Victor Lagleyze","K1HM","119.19","445.27","423.58",""
"Mathis Piepho","K1HM","124.16","494.61","481.27",""
"Hugo Tellier","K1HM","141.73","721.44","685.2",""
"Cosme Duboc","K1HM","142.79","637.91","697.51",""
"Loick Manoury","K1HM","149.67","-","777.36",""
"Felix Derumigny","K1HM","151.23","-","795.47",""
"Mathis Pomares","K1HM","156.47","856.81","856.29",""
"Paul Lecomte","K1HM","156.81","674.41","860.23",""
"Nathan Huguenin","K1HM","161.33","568.09","912.7",""
"Louis Marvillet","K1HM","163.79","-","941.25",""
"Fabien Bonvalet","K1HM","179.82","510.54","1127.31",""
"Matheo Dupont","K1HM","198.36","532.73","1342.5",""
"Antonin Robert","K1HM","219.49","339.09","1587.76",""
"Erwan Masson","K1HM","249.75","807.73","1938.98",""
"Erwan Laloux","K1HM","252.06","-","1965.79",""
"Leo Dos Santos","K1HM","258.66","-","2042.4",""
"Robin Le Mazurier","K1HM","333.65","983.68","2912.8",""
"Tom Raynaud","K1HM","381.3","-","3465.87",""
"Esteban Olivier","K1HM","Des","-","-",""
"Matthis Leroux","K1HM","Des","-","-",""
