"Sélectif Régional de Slalom - Le Bourget du Lac - Course n°1 | Finale - 2019-09-28","Course n°1 | Finale","2019-09-28","Régional","119"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Kesia Georgel","C1D","117.45","417.31","379.55","Course n°1 | Finale A"
"Solene Grenier","C1D","129.5","484.73","516.71","Course n°1 | Finale A"
"Iana Gonseth","C1DM","123.02","907.38","442.95","Course n°1 | Finale A"
"Zelie Ferraris","C1DM","130.18","475.89","524.44","Course n°1 | Finale A"
"Maya Georgel","C1DM","143.2","752.3","672.63","Course n°1 | Finale A"
"Leonie Reichert","C1DM","161.68","726.1","882.97","Course n°1 | Finale A"
"Matthieu Le Gall","C1H","102.53","201.43","376.45","Course n°1 | Finale A"
"Yann Rivallant","C1H","104.59","145.09","403.24","Course n°1 | Finale A"
"Guillaume Carbon","C1H","107.12","423.66","436.15","Course n°1 | Finale A"
"Enki Georgel","C1H","107.9","387.98","446.3","Course n°1 | Finale A"
"Loic Bertoia","C1H","108.24","397.73","450.72","Course n°1 | Finale A"
"Gabin Siau","C1H","108.45","248.14","453.46","Course n°1 | Finale A"
"Stephane Abadie","C1H","111.5","425.24","493.12","Course n°1 | Finale A"
"Laurent Coudurier","C1H","113.09","355.11","513.81","Course n°1 | Finale A"
"Nicolas Detheve","C1H","121.25","406.21","619.95","Course n°1 | Finale A"
"Ianis Triomphe","C1HM","117.28","543.89","568.31","Course n°1 | Finale A"
"Titouan Carbon","C1HM","119.81","771.2","601.23","Course n°1 | Finale A"
"Luca Chapatte","C1HM","121.15","702.78","618.66","Course n°1 | Finale A"
"Anton Coux","C1HM","125.85","840.37","679.79","Course n°1 | Finale A"
"Joao Normand","C1HM","187.94","745.77","1487.45","Course n°1 | Finale A"
"Maya Georgel-Leonie Reichert","C2DM","166.15","799.11","788.39","Course n°1 | Finale A"
"Thomas Schmitt-Yann Rivallant","C2H","114.11","438.34","459.6","Course n°1 | Finale A"
"Nicolas Detheve-Nil Georgel","C2H","116.48","589.73","489.04","Course n°1 | Finale A"
"Maxime Bottex-Loic Bertoia","C2H","118.84","385.82","518.33","Course n°1 | Finale A"
"Nil Georgel-Anneline Triomphe","C2M","127.55","409.65","494.51","Course n°1 | Finale A"
"Maxime Bottex-Solene Grenier","C2M","128.93","444.49","510.22","Course n°1 | Finale A"
"Stephane Abadie-Barbara Gibert","C2M","135.58","560.39","585.9","Course n°1 | Finale A"
"Iana Gonseth-Joao Normand","C2MM","136.37","578.06","594.9","Course n°1 | Finale A"
"Zelie Ferraris-Anton Coux","C2MM","141","705.25","647.6","Course n°1 | Finale A"
"Ilona Martin -laemle","K1D","92.41","183.87","159.7","Course n°1 | Finale A"
"Anneline Triomphe","K1D","98.32","169.81","231.14","Course n°1 | Finale A"
"Solene Grenier","K1D","98.81","214.97","237.06","Course n°1 | Finale A"
"Kesia Georgel","K1D","101.2","369.83","265.95","Course n°1 | Finale A"
"Barbara Gibert","K1D","115.42","474.36","437.83","Course n°1 | Finale A"
"Marie Helye","K1D","115.66","414.72","440.73","Course n°1 | Finale A"
"Chloe Faverjon","K1D","115.72","422.29","441.45","Course n°1 | Finale A"
"Iana Gonseth","K1DM","105.68","403.93","320.1","Course n°1 | Finale A"
"Zelie Ferraris","K1DM","108.93","373.12","359.38","Course n°1 | Finale A"
"Maya Georgel","K1DM","123.02","558.07","529.68","Course n°1 | Finale A"
"Leonie Reichert","K1DM","129.96","1335.39","613.57","Course n°1 | Finale A"
"Maxime Bottex","K1H","79.53","88.19","128.99","Course n°1 | Finale A"
"Mathieu Monier","K1H","85.74","193.67","213.81","Course n°1 | Finale A"
"Loic Bertoia","K1H","86.13","88.43","219.13","Course n°1 | Finale A"
"Thomas Schmitt","K1H","87.17","106.46","233.34","Course n°1 | Finale A"
"Nathanael Pedron","K1H","87.39","188.12","236.34","Course n°1 | Finale A"
"Jules Silvin","K1H","89.78","196.63","268.99","Course n°1 | Finale A"
"Davy Egraz","K1H","94.27","297.11","330.31","Course n°1 | Finale A"
"Axel Clement","K1H","97.04","343.78","368.15","Course n°1 | Finale A"
"Titouan Sourieau","K1H","98.37","437.82","386.31","Course n°1 | Finale A"
"Jean Philippe Roche","K1H","100.34","317.32","413.22","Course n°1 | Finale A"
"Teo Bouvier","K1H","102.69","341.7","445.32","Course n°1 | Finale A"
"Damien Chamblay","K1H","102.85","487.86","447.5","Course n°1 | Finale A"
"Julien Signarbieux","K1H","103.01","336.49","449.69","Course n°1 | Finale A"
"Olivier Hardonniere","K1H","103.52","378.4","456.65","Course n°1 | Finale A"
"Sebastien Lepaulard","K1H","103.6","377.11","457.75","Course n°1 | Finale A"
"Nicolas Detheve","K1H","103.65","348.97","458.43","Course n°1 | Finale A"
"Hugo Martin -laemle","K1H","104.55","326.97","470.72","Course n°1 | Finale A"
"Emmanuel Triomphe","K1H","104.67","438.04","472.36","Course n°1 | Finale A"
"Jules Sourieau","K1H","104.96","538.74","476.32","Course n°1 | Finale A"
"Gaspard Gonseth","K1H","105.1","524.96","478.23","Course n°1 | Finale A"
"Ianis Triomphe","K1HM","103.32","425.05","453.92","Course n°1 | Finale A"
"Luca Chapatte","K1HM","103.41","479.01","455.15","Course n°1 | Finale A"
"Joao Normand","K1HM","104.97","497.65","476.46","Course n°1 | Finale A"
"Anton Coux","K1HM","111.64","592.8","567.56","Course n°1 | Finale A"
"Jules Raoul","K1HM","119.46","776.42","674.37","Course n°1 | Finale A"
"Victorien Pittion","K1HM","120.53","788.48","688.98","Course n°1 | Finale A"
"Loris Allamachere","K1HM","124.27","679.77","740.06","Course n°1 | Finale A"
"Jonathan Chapatte","C1H","109.67","513.67","474.33","Course n°1 | Finale B"
"Nil Georgel","C1H","114.96","459.23","543.14","Course n°1 | Finale B"
"Gaspard Gonseth","C1H","118.12","599.09","584.24","Course n°1 | Finale B"
"Jules Sourieau","C1H","121.02","636.36","621.96","Course n°1 | Finale B"
"Cedric Mace","C1H","126.47","521.89","692.86","Course n°1 | Finale B"
"Titouan Sourieau","C1H","127.16","611.16","701.84","Course n°1 | Finale B"
"Dominique Bonnot","C1H","140.14","850.41","870.68","Course n°1 | Finale B"
"Florent Vallier","C1H","170.36","1326.29","1263.78","Course n°1 | Finale B"
"Elie Sutra","C1HM","138.55","836.14","849.99","Course n°1 | Finale B"
"Jules Raoul","C1HM","155.77","831.87","1073.99","Course n°1 | Finale B"
"Gustave Gonseth","C1HM","155.85","1022.24","1075.04","Course n°1 | Finale B"
"Livio Richard","C1HM","165","1138.8","1194.06","Course n°1 | Finale B"
"Guillaume Carbon-Maxime Vallin","C2H","122.17","530.93","564.69","Course n°1 | Finale B"
"Titouan Sourieau-Jules Sourieau","C2H","133.71","669.99","707.98","Course n°1 | Finale B"
"Tom Ollinet-Jonathan Himpens","C2H","156.77","1380.59","994.3","Course n°1 | Finale B"
"Ilona Martin -laemle-Hugo Martin -laemle","C2M","131.18","622.24","540.83","Course n°1 | Finale B"
"Tiphanie Borlet-Matthieu Le Gall","C2M","136.34","634.42","599.56","Course n°1 | Finale B"
"Mathieu Monier-Chloe Faverjon","C2M","137.82","432.87","616.4","Course n°1 | Finale B"
"Fanny Mino-vercellio","K1D","117.13","448.62","463.5","Course n°1 | Finale B"
"Emma Miton","K1D","122.95","431.95","533.84","Course n°1 | Finale B"
"Tiphanie Borlet","K1D","124.95","508.13","558.01","Course n°1 | Finale B"
"Juliette Piot","K1D","129.47","598.95","612.65","Course n°1 | Finale B"
"Christel Pellicier","K1D","138.22","1555.77","718.42","Course n°1 | Finale B"
"Marguerite Mathey","K1D","138.9","1380.18","726.63","Course n°1 | Finale B"
"Jade Isner","K1D","146.06","730.32","813.18","Course n°1 | Finale B"
"Secil Onur","K1DM","141.27","794.25","755.28","Course n°1 | Finale B"
"Lena Saber","K1DM","165.78","989.89","1051.53","Course n°1 | Finale B"
"Lyna Zeghida","K1DM","174.94","1157.82","1162.25","Course n°1 | Finale B"
"Jonathan Chapatte","K1H","89.5","252.77","270.16","Course n°1 | Finale B"
"Cedric Mace","K1H","104.19","348.13","470.8","Course n°1 | Finale B"
"Gabin Chenal","K1H","105.11","376.86","483.37","Course n°1 | Finale B"
"Florent Vallier","K1H","108.74","507.29","532.95","Course n°1 | Finale B"
"Frederic Brissaud","K1H","110.5","567.7","556.99","Course n°1 | Finale B"
"Boris Lutinier","K1H","110.75","594.81","560.4","Course n°1 | Finale B"
"Maxence Violy","K1H","110.99","807.95","563.68","Course n°1 | Finale B"
"Simon Lescaut","K1H","112.24","595.33","580.75","Course n°1 | Finale B"
"Sebastien Chapatte","K1H","113.89","472.65","603.29","Course n°1 | Finale B"
