"Manche de la Coupe de France National 3 Slalom - 72300 Sable Sur Sarthe - Qualification - 2022-03-13","72300 Sable Sur Sarthe","Qualification","qualif","2022-03-13","Nationale 3","213"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Manon Joubert","C1D","121.23","551.53","418.68",""
"Romane Bronchet","C1D","124.38","759.04","455.42",""
"Honorine Pichard","C1D","127.48","839.18","491.57",""
"Clara Perrot","C1D","132.35","534.37","548.37",""
"Emilie Chamouleau","C1D","136.77","792.52","599.92",""
"Nina Vandame","C1D","140.01","547.54","637.7",""
"Maelys Talbot","C1D","150.52","737.33","760.28",""
"Chlo� Jegoux","C1D","151.76","591.25","774.75",""
"Aurore Gobin","C1D","159.63","738.78","866.53",""
"Benjamin Harreau","C1H","107.7","573.01","440.31",""
"Jeremie Gouello","C1H","107.95","442.94","443.66",""
"Theo Chetoui","C1H","108.72","756.47","453.92",""
"Yvan Nicolas","C1H","110.77","626.37","481.24",""
"Cl�ment Davy","C1H","112.0","705.49","497.64",""
"Collin Pouradier","C1H","112.44","686.72","503.5",""
"Frederic Boob","C1H","112.74","559.88","507.49",""
"Morgan Vourch","C1H","113.43","502.85","516.7",""
"Malo Lajoye","C1H","113.78","1406.5","521.36",""
"Sacha Menard","C1H","113.86","803.26","522.43",""
"Robin Le Fellic","C1H","113.87","576.12","522.57",""
"Lenny Derrien","C1H","114.97","697.49","537.22",""
"Simon Le Nevez","C1H","115.35","801.12","542.28",""
"Gabin Mesnil","C1H","116.43","906.57","556.69",""
"Robin Guignard","C1H","117.19","757.13","566.82",""
"Corentin Beaumois","C1H","117.67","576.36","573.21",""
"Maxime Metay","C1H","119.19","751.63","593.47",""
"Gabriel Bonsens","C1H","119.94","1256.64","603.47",""
"Quentin Monot","C1H","119.95","832.32","603.6",""
"Clement Olivier","C1H","120.13","549.66","606.01",""
"Jules Furet","C1H","120.52","795.88","611.2",""
"Victor Julou","C1H","120.81","756.81","615.06",""
"Christian Boob","C1H","121.07","642.35","618.53",""
"Oscar Mizzi","C1H","121.28","748.57","621.33",""
"Jules Le Nevez","C1H","122.01","920.96","631.06",""
"Cedric Collet","C1H","122.11","630.2","632.39",""
"Maxime Moreau","C1H","122.98","823.86","643.99",""
"Gurvan Piton","C1H","123.26","948.52","647.71",""
"Killian Berlu","C1H","123.44","753.85","650.12",""
"Laurent Chiron","C1H","123.82","719.0","655.18",""
"Titouan Bertrand","C1H","125.45","778.1","676.91",""
"Pierre Le Corvaisier","C1H","126.15","927.34","686.24",""
"Thomas Sudron","C1H","127.02","782.83","697.83",""
"Loan Beaucourt","C1H","127.16","920.23","699.7",""
"Selyan Bourgognon","C1H","129.23","864.53","727.29",""
"Mewen Coadou","C1H","132.26","1148.49","767.68",""
"Arthur Malard","C1H","132.73","856.37","773.95",""
"Jules Rathier","C1H","133.1","741.84","778.88",""
"Marin Guillouet","C1H","137.93","693.89","843.25",""
"Cyprien Perochon","C1H","140.42","890.78","876.44",""
"Boris Le Jolly","C1H","150.03","890.01","1004.54",""
"Timothe Balbous","C1H","163.37","772.06","1182.33",""
"Noah Hebert","C1H","192.42","722.4","1569.54",""
"Joachim Berthelot","C1H","225.65","717.27","2012.47",""
"Christian Boob-Frederic Boob","C2H","114.82","553.91","465.66",""
"Julien Rocaboy-Melaine Pichard","C2H","133.96","438.19","709.18",""
"Nathan Guilleray-Madec Gezequel","C2H","136.7","780.83","744.04",""
"Victor Julou-Loan Beaucourt","C2H","137.68","802.03","756.51",""
"Oscar Mizzi-Maxime Metay","C2H","139.13","797.88","774.96",""
"Emilie Chamouleau-Christophe Marechal","C2M","123.59","656.33","446.21",""
"Frederic Boob-Frederique Merle","C2M","130.64","529.43","528.43",""
"Killian Berlu-Hortense Alexis","C2M","165.04","1046.7","929.62",""
"Estelle Hellard","K1D","107.33","267.65","334.11",""
"Maela Le Corre","K1D","113.33","418.73","408.42",""
"Manon Joubert","K1D","115.37","2005.75","433.68",""
"Veronique Vourch","K1D","121.12","509.17","504.9",""
"Clothilde Le Louarn","K1D","122.41","502.59","520.87",""
"Jann Quillere","K1D","122.47","588.11","521.63",""
"Frederique Piton","K1D","124.43","659.56","545.9",""
"Juna Marquet","K1D","125.6","438.13","560.38",""
"Blandine Xhemajlji","K1D","126.04","515.62","565.84",""
"Nina Vandame","K1D","126.12","1090.83","566.83",""
"Chlo� Jegoux","K1D","127.66","359.06","585.89",""
"Lea Sibioude","K1D","131.08","687.83","628.26",""
"Noemie Herpin","K1D","131.75","1310.91","636.56",""
"Lindsay Frenot","K1D","133.06","774.09","652.78",""
"Kim Agnimo Seyer","K1D","134.44","619.0","669.87",""
"Margot Renaudineau","K1D","135.84","820.8","687.21",""
"Katia Talbot","K1D","140.19","886.76","741.09",""
"Valentine Jussy","K1D","141.33","703.75","755.21",""
"Lucie Derouineau","K1D","143.05","612.73","776.51",""
"Aurore Gobin","K1D","147.93","727.58","836.94",""
"Hortense Alexis","K1D","148.99","707.55","850.08",""
"Manon Ruz�","K1D","165.4","1514.64","1053.32",""
"Maxime Berthaut","K1H","96.92","286.71","361.23",""
"Sacha Menard","K1H","97.0","591.75","362.35",""
"Clement Olivier","K1H","97.54","348.87","369.9",""
"Andy Barat","K1H","97.58","382.76","370.46",""
"Remi Vinet","K1H","97.86","449.82","374.38",""
"Elouan Le Fournis","K1H","98.41","576.91","382.08",""
"Julien Dosse","K1H","98.91","650.01","389.08",""
"Axel Brin","K1H","99.96","505.32","403.77",""
"Lenny Derrien","K1H","100.6","588.05","412.73",""
"Vincent Froger","K1H","100.63","454.25","413.15",""
"Clement Le Collinet","K1H","100.78","364.33","415.25",""
"Robin Le Fellic","K1H","101.01","656.49","418.47",""
"Quentin Le Duc","K1H","101.02","332.04","418.61",""
"Pierre Hellard","K1H","101.22","434.51","421.41",""
"Cyrian Menuat","K1H","101.23","476.13","421.55",""
"Titouan Bertrand","K1H","102.22","530.67","435.4",""
"Richard Davy","K1H","102.62","469.62","441.0",""
"Maxence Quillere","K1H","102.68","692.52","441.84",""
"Nicolas Le Belleguic","K1H","102.72","460.73","442.4",""
"Maxime Moreau","K1H","102.98","535.03","446.04",""
"Denis Guilmard","K1H","103.06","537.05","447.16",""
"Killian Berlu","K1H","103.24","510.12","449.68",""
