"Slalom des Capitouls 2019 - 31400 Toulouse - Course n∞1 | Finale - 2019-03-23","Course n∞1 | Finale","2019-03-23","RÈgional","112"
"Thibault Dufour","K1H","93.55","321.86","332.13","Course n∞1 | Finale A"
"Jonathan Delagnes","K1H","94.12","219.21","340.03","Course n∞1 | Finale A"
"Bertrand Gourrat","K1H","94.52","285.4","345.57","Course n∞1 | Finale A"
"Angus Cruickshank","K1H","95.43","333.66","358.18","Course n∞1 | Finale A"
"Theau Le Loch","K1H","95.67","313.87","361.5","Course n∞1 | Finale A"
"Loris Shayam Affre","K1H","97.15","348.91","382.01","Course n∞1 | Finale A"
"Guillaume Gonzalez","K1H","97.46","279.65","386.31","Course n∞1 | Finale A"
"Marceau Faget","K1H","97.8","350.88","391.02","Course n∞1 | Finale A"
"Samuel Taillefer","K1H","98.29","315.1","397.81","Course n∞1 | Finale A"
"Antoine Laye","K1H","98.3","278.73","397.95","Course n∞1 | Finale A"
"Clement Guiraud","K1H","98.57","407.77","401.69","Course n∞1 | Finale A"
"Etienne Saint Picq","K1H","98.97","333.74","407.23","Course n∞1 | Finale A"
"Theo Ducasse","K1H","99.47","267.23","414.16","Course n∞1 | Finale A"
"Pablo Chaminade","K1H","99.48","317.69","414.3","Course n∞1 | Finale A"
"Clement Caillard","K1H","100.03","332.99","421.92","Course n∞1 | Finale A"
"Esteban Illido","K1H","101.06","286.73","436.19","Course n∞1 | Finale A"
"Yannis Dast","K1H","102.25","360.68","452.68","Course n∞1 | Finale A"
"Thomas Buffet","K1H","102.5","421.14","456.14","Course n∞1 | Finale A"
"Pierre-yves Lebreton","K1H","103","427.06","463.07","Course n∞1 | Finale A"
"Simon Tourtois","K1H","103.61","466.69","471.52","Course n∞1 | Finale A"
"Antoine Raby","K1H","105.15","443.83","492.86","Course n∞1 | Finale A"
"Dimitri Thauvin","K1H","105.16","405.53","493","Course n∞1 | Finale A"
"Owen Merpillat","K1H","105.38","522.72","496.05","Course n∞1 | Finale A"
"Paul Ballery","K1H","106.18","399.51","507.13","Course n∞1 | Finale A"
"Pierrealain Clerc","K1H","106.43","482.04","510.59","Course n∞1 | Finale A"
"Elian Giondini","K1H","106.94","405.15","517.66","Course n∞1 | Finale A"
"Antonin Dalaine","K1H","111.18","397.15","576.41","Course n∞1 | Finale A"
"Tristan Ruiz","K1H","127.8","472.94","806.7","Course n∞1 | Finale A"
"Zeph Scamps","K1H","135.76","177.41","916.99","Course n∞1 | Finale A"
"Alexis Dorey","K1H","137.37","257.14","939.3","Course n∞1 | Finale A"
"Florian Malaval","K1HM","106.86","422.21","516.55","Course n∞1 | Finale A"
"Eyquem Martin Skutnik","K1HM","131.82","757.41","862.4","Course n∞1 | Finale A"
"Malo Maitrejean","K1HM","139.14","1166.39","963.82","Course n∞1 | Finale A"
"Alexandre Roubaud","K1HM","141.17","889.89","991.95","Course n∞1 | Finale A"
"Lilian Varain","K1HM","175.6","1599.13","1469.01","Course n∞1 | Finale A"
"Emilien Courtiade","C1H","105.51","334.83","433.24","Course n∞1 | Finale B"
"Emeric Nieser","C1H","120.65","558.56","633.02","Course n∞1 | Finale B"
"Clement Serres","C1H","127.98","1042.86","729.75","Course n∞1 | Finale B"
"Thomas Terr…","C1H","129.27","776.82","746.77","Course n∞1 | Finale B"
"Loic Leymonerie","C1H","130.42","1016.94","761.95","Course n∞1 | Finale B"
"Mateo Destruel","C1H","156.08","871.99","1100.57","Course n∞1 | Finale B"
"Lise Denat","K1D","112.75","373.7","423.44","Course n∞1 | Finale B"
"Amelie Leclercq","K1D","116.02","443.71","463.54","Course n∞1 | Finale B"
"Pauline Rouilhet","K1D","128.71","645.54","619.14","Course n∞1 | Finale B"
"Marine Cottu","K1D","159.2","719.99","993","Course n∞1 | Finale B"
"Celia Roulleau","K1D","169.29","819.54","1116.72","Course n∞1 | Finale B"
"Julie Droulez","K1D","Abd","-","-","Course n∞1 | Finale B"
"Marin Saint Macary","K1H","103.61","503.04","476.52","Course n∞1 | Finale B"
"Thomas Terr…","K1H","103.99","426.45","481.79","Course n∞1 | Finale B"
"Emeric Nieser","K1H","104.68","488.43","491.35","Course n∞1 | Finale B"
"Julien Dubarry","K1H","106.11","435.06","511.16","Course n∞1 | Finale B"
"Clement Claret","K1H","107.03","506","523.91","Course n∞1 | Finale B"
"Guillaume Pradalie","K1H","109.19","549.01","553.84","Course n∞1 | Finale B"
"Matteo Roubaud","K1H","109.46","545.26","557.58","Course n∞1 | Finale B"
"Benoit Sergent","K1H","110.43","463.19","571.02","Course n∞1 | Finale B"
"Matheo Nassieu","K1H","112.46","589.96","599.15","Course n∞1 | Finale B"
"Aurelien Blois","K1H","112.95","849.88","605.94","Course n∞1 | Finale B"
"Loic Leymonerie","K1H","113.2","596.49","609.4","Course n∞1 | Finale B"
"Benoit Pacteau","K1H","113.23","579.77","609.82","Course n∞1 | Finale B"
"Matthieu Blois","K1H","113.99","530.66","620.35","Course n∞1 | Finale B"
"Guillaume Malmezac","K1H","115.43","511.73","640.3","Course n∞1 | Finale B"
"Simeon Althabegoity","K1H","117.36","778.01","667.04","Course n∞1 | Finale B"
"K…ziah Lecomte","K1H","117.87","619.7","674.11","Course n∞1 | Finale B"
"Lionel Aguilhon","K1H","120.7","674.54","713.32","Course n∞1 | Finale B"
"Jules Maitre","K1H","120.92","640.61","716.37","Course n∞1 | Finale B"
"Robin Ligneau","K1H","120.94","667.45","716.64","Course n∞1 | Finale B"
"Vincent Falchi","K1H","121.99","687.39","731.19","Course n∞1 | Finale B"
"Timothee Charrier","K1H","125.29","1233.77","776.92","Course n∞1 | Finale B"
"Clement Serres","K1H","126.39","1060.63","792.16","Course n∞1 | Finale B"
"Victor Hirschmann-rodriguez","K1H","126.5","815.07","793.68","Course n∞1 | Finale B"
"Brice Nurit","K1H","126.7","636.11","796.45","Course n∞1 | Finale B"
"Arthur Crueghe","K1H","127.59","702.34","808.79","Course n∞1 | Finale B"
"Maxime Reubrez","K1H","127.73","554.33","810.73","Course n∞1 | Finale B"
"Mateo Destruel","K1H","128.92","608.43","827.22","Course n∞1 | Finale B"
"Mehdi Laidet","K1H","130.16","778.8","844.4","Course n∞1 | Finale B"
"Seraphin Margot","K1H","132.91","846.06","882.5","Course n∞1 | Finale B"
"Alistair Storrar","K1H","136.43","1373.78","931.27","Course n∞1 | Finale B"
"Mat…o Million","K1H","136.62","932.09","933.91","Course n∞1 | Finale B"
"Valerian Touzet","K1H","144","915.4","1036.16","Course n∞1 | Finale B"
"Arthur Piqueras","K1H","155.34","998.72","1193.29","Course n∞1 | Finale B"
"Hugo Larenjeiro","K1H","167.71","958.47","1364.69","Course n∞1 | Finale B"
"Bruno Lecomte","K1H","186.91","1581.64","1630.72","Course n∞1 | Finale B"
"Guillaume Leturcq","K1H","209.21","2654.47","1939.71","Course n∞1 | Finale B"
"Lucas Theil","K1H","223.37","1102.22","2135.91","Course n∞1 | Finale B"
