"Championnat Nationale 1 - Manche 7 - Stade d'eaux vives de Tours - Qualification - 2012-06-30","Qualification","2012-06-30","Nationale 1","125"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caroline Loir","C1D","108.54","106.84","64.98",""
"Oriane Rebours","C1D","108.9","49.73","66.53",""
"Manon Caveribere","C1D","129.44","214.37","155.1",""
"Florianne Gautier","C1D","136.03","188.18","183.52",""
"Caroline Scherer","C1D","136.61","197.85","186.02",""
"Ella Bregazzi","C1D","140.55","225.49","203.01",""
"Camille Prigent","C1D","147.54","179.74","233.15",""
"Claire Jacquet","C1D","166.81","65.01","316.24",""
"Charlotte Abba","C1D","178.76","140.29","367.77",""
"Laura Ligeon","C1D","184.88","135.22","394.16",""
"Pauline Gentilhomme","C1D","288.1","183.56","839.25",""
"Flora Bove","C1D","379.25","118.21","1232.29",""
"Annaelle Meheut","C1D","392.18","94.78","1288.04",""
"Thibaud Vielliard","C1H","84.58","17.63","6.82",""
"Cedric Joly","C1H","87.2","32.65","19.51",""
"Pierre Antoine Tillard","C1H","87.44","15.68","20.68",""
"Pierre Labarelle","C1H","88.37","-","25.18",""
"Kilian Foulon","C1H","89.4","26.47","30.18",""
"Antoine Runet","C1H","90.01","41.06","33.13",""
"Maxime Perron","C1H","91.02","29.14","38.03",""
"Charly Chassigneux","C1H","91.21","29.29","38.95",""
"Sebastien De Kerleau","C1H","91.95","30.8","42.53",""
"Emilien Kempf","C1H","92.33","50.81","44.37",""
"Edern Le Ruyet","C1H","92.57","42.7","45.54",""
"Gaetan Le Henaff","C1H","92.92","37.37","47.23",""
"Evence Granger","C1H","93.05","32.82","47.86",""
"Marc Biazizzo","C1H","94.39","19.85","54.36",""
"Simon Le Friec","C1H","94.48","28.69","54.79",""
"Kevin Marquais","C1H","94.53","94.69","55.03",""
"Thibault Blaise","C1H","94.92","35.29","56.92",""
"Nicolas Scianimanico","C1H","95.3","34.22","58.77",""
"Medhi Deguil","C1H","95.86","65.17","61.48",""
"Lucas Hives - Sorin","C1H","96.05","66.06","62.4",""
"Gireg Hamoniaux","C1H","96.45","136.28","64.34",""
"Yoann Hautecloche","C1H","96.62","85.46","65.16",""
"Xavier Sucker","C1H","97.66","58.59","70.2",""
"Jason Brothier","C1H","97.88","98.13","71.27",""
"Emeric Bertrand","C1H","103.52","86.96","98.6",""
"Anthony Colin","C1H","106.76","144.6","114.3",""
"Nadjib Mazar","C1H","108.7","106.11","123.7",""
"Corentin Robin","C1H","110.09","94.17","130.44",""
"Jean Freri","C1H","Nt","-","-",""
"Mathieu Fougere-Thomas Fougere","C2H","97","25.74","45.64",""
"Benoit Guillaume-Edern Le Ruyet","C2H","102.8","77.86","72.47",""
"Loic Brunel-Medhi Deguil","C2H","104.49","-","80.28",""
"Armand Rauturier-Nicolas Labat","C2H","106.81","43.11","91.02",""
"Cedric Forgit-Martin Braud","C2H","108.62","138.63","99.39",""
"Benjamin Reig-Cyril Boulet","C2H","109.18","158.3","101.98",""
"Riwan Guillermic-Alexandre Paulais","C2H","109.71","53.27","104.43",""
"Louis Bouclier-Martin Mottais","C2H","122.91","131.48","165.49",""
"Yves Prigent-Loic Kervella","C2H","148.56","40.45","284.14",""
"Romain Lecrenais-perrel-Lucas Hives - Sorin","C2H","161.08","126.65","342.05",""
"Charly Chassigneux-Fabien Tournadre","C2H","165.57","59.23","362.82",""
"Stephane Broute-Xavier Jourdain","C2H","174.77","164.48","405.37",""
"Christian Boob-Frederic Boob","C2H","221.53","134.34","621.67",""
"Marie-zelia Lafont","K1D","89.51","15.48","0",""
"Caroline Loir","K1D","96.35","37.34","30.8",""
"Pauline Guiet","K1D","96.61","20.28","31.97",""
"Gaelle Tosser-roussey","K1D","98.08","45.38","38.59",""
"Estelle Mangin","K1D","98.18","18.57","39.04",""
"Josepha Longa","K1D","99.79","40.05","46.29",""
"Claire Jacquet","K1D","100.24","76.53","48.32",""
"Estelle Hellard","K1D","100.31","26.36","48.63",""
"Laura Combot","K1D","101.09","47.3","52.14",""
"Lea Wetzel","K1D","101.45","76.65","53.76",""
"Lucie Baudu","K1D","101.57","20.7","54.3",""
"Berenice Kolenc","K1D","101.74","71.85","55.07",""
"Elise Pierron","K1D","102.2","53.57","57.14",""
"Sarah Lyphout","K1D","103.49","62.74","62.95",""
"Julie Neime","K1D","103.61","69.12","63.49",""
"Annaelle Meheut","K1D","107.98","58.81","83.17",""
"Pauline Gentilhomme","K1D","108.92","79.16","87.4",""
"Caroline Bourry","K1D","109.32","59.89","89.2",""
"Benjamin Renia","K1H","80.25","25.95","5.28",""
