"SÈlectif RÈgional de Slalom - Epinal - Course n∞2 | Finale - 2017-09-17","Course n∞2 | Finale","2017-09-17","RÈgional","295"
"Jean Charles Hacquart-Marvin Tulpin","C2H","102.04","370.35","291.46","Course n∞2 | Finale A"
"Philippe Thevenin-Olivier Urbain","C2H","105.4","379.38","333.86","Course n∞2 | Finale A"
"Claude Menissier-Gerard Menissier","C2H","105.75","413.43","338.28","Course n∞2 | Finale A"
"Yann Becker-Vincent Idriss Achaoui","C2H","107.39","441.62","358.98","Course n∞2 | Finale A"
"Hugo Simon-Alexis Collin","C2H","113.95","-","441.76","Course n∞2 | Finale A"
"Theophile Didierjean-Stanislas Ledore","C2HM","122.13","667.61","544.99","Course n∞2 | Finale A"
"Charlotte Abba-Hugo Latimier","C2M","108.05","-","253.67","Course n∞2 | Finale A"
"Silvere Desongins-Angelique Guilcher","C2M","111.05","315.82","288.38","Course n∞2 | Finale A"
"Matthieu Walfard-Gaelle Delaborde","C2M","118.94","-","379.65","Course n∞2 | Finale A"
"Corentin Monasse-Maœa Gombert","C2M","120.24","-","394.69","Course n∞2 | Finale A"
"Julia Budzinski-Vincent Idriss Achaoui","C2M","123.94","-","437.49","Course n∞2 | Finale A"
"Clara Hulin-Theo Reby","C2MM","132.62","-","537.91","Course n∞2 | Finale A"
"Viviana Daille","K1D","93.97","157.51","158.13","Course n∞2 | Finale A"
"Celia Grandadam","K1D","99.59","271.03","227.17","Course n∞2 | Finale A"
"Camille Hurez","K1D","99.88","274.87","230.74","Course n∞2 | Finale A"
"Sophie Colbus","K1D","100.07","221.83","233.07","Course n∞2 | Finale A"
"Angelique Guilcher","K1D","101.16","243.51","246.46","Course n∞2 | Finale A"
"Charlotte Abba","K1D","102.04","247.49","257.27","Course n∞2 | Finale A"
"Marie Hilger","K1D","104.11","260.01","282.7","Course n∞2 | Finale A"
"Thais Francois","K1D","104.81","291.9","291.3","Course n∞2 | Finale A"
"Anais Mouhoub","K1D","105.74","356.12","302.72","Course n∞2 | Finale A"
"Auregane Philip","K1D","106.52","250.8","312.31","Course n∞2 | Finale A"
"Margot Perrin","K1D","107.03","325.35","318.57","Course n∞2 | Finale A"
"Sophie Staudt","K1D","107.12","390.1","319.68","Course n∞2 | Finale A"
"Anne-lise Moisan-ehrwein","K1D","107.31","-","322.01","Course n∞2 | Finale A"
"Jeanne Bernard","K1D","107.57","309.05","325.21","Course n∞2 | Finale A"
"Marilyn Giroux","K1D","107.9","354.34","329.26","Course n∞2 | Finale A"
"Justine Clerc","K1D","108.06","311.04","331.23","Course n∞2 | Finale A"
"Adeline Roux","K1D","108.95","344.71","342.16","Course n∞2 | Finale A"
"Tifenn Primet","K1D","110.37","343.54","359.61","Course n∞2 | Finale A"
"Marie Gaspard","K1D","111.11","-","368.7","Course n∞2 | Finale A"
"Maœa Gombert","K1D","114.04","347.42","404.69","Course n∞2 | Finale A"
"Julia Budzinski","K1D","116.72","306.78","437.61","Course n∞2 | Finale A"
"Melyne Jost","K1DM","116.47","405.3","434.55","Course n∞2 | Finale A"
"Charlotte Grenier","K1DM","118.71","-","462.06","Course n∞2 | Finale A"
"Amelie Nicot","K1DM","119.82","-","475.69","Course n∞2 | Finale A"
"Charlotte Doucet","K1DM","133.4","-","642.53","Course n∞2 | Finale A"
"Alyssa Lhomme","K1DM","Des","-","-","Course n∞2 | Finale A"
"Pierre Marie Roussel","K1H","82.86","151.29","153.98","Course n∞2 | Finale A"
"Robin Pottelette","K1H","83.98","129.11","169.52","Course n∞2 | Finale A"
"Julien Haberland","K1H","84.05","113.81","170.5","Course n∞2 | Finale A"
"Gabriel De Coster","K1H","85.26","238.94","187.29","Course n∞2 | Finale A"
"Lucas Latimier","K1H","86.03","86.73","197.98","Course n∞2 | Finale A"
"Corentin Monasse","K1H","87.48","181.11","218.11","Course n∞2 | Finale A"
"G…r‘me Martin","K1H","88.06","225.24","226.16","Course n∞2 | Finale A"
"Jean Charles Hacquart","K1H","88.6","231.75","233.66","Course n∞2 | Finale A"
"Etienne Wiche","K1H","89.49","284.38","246.01","Course n∞2 | Finale A"
"Nicolas Mangeolle","K1H","89.7","270.19","248.93","Course n∞2 | Finale A"
"Austin Widmer","K1H","89.74","-","249.48","Course n∞2 | Finale A"
"Victor Hennin","K1H","90.41","275.21","258.79","Course n∞2 | Finale A"
"Joris Schaffner","K1H","90.51","195.7","260.17","Course n∞2 | Finale A"
"Laurent Starck","K1H","90.72","190.94","263.09","Course n∞2 | Finale A"
"Loœc Winiarski","K1H","91.07","244.77","267.95","Course n∞2 | Finale A"
"Erwan Rouch","K1H","91.31","221.87","271.28","Course n∞2 | Finale A"
"Florient Tagnon","K1H","91.91","231.31","279.61","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","92.2","216.39","283.63","Course n∞2 | Finale A"
"Maxime Aubertin","K1H","92.21","291.94","283.77","Course n∞2 | Finale A"
"Thibault Blaise","K1H","92.73","228.64","290.99","Course n∞2 | Finale A"
"Noe Monier","K1H","92.8","285.31","291.96","Course n∞2 | Finale A"
"Cyril Audoit","K1H","93.63","303.83","303.49","Course n∞2 | Finale A"
"Jules Cresp","K1H","93.64","222.52","303.62","Course n∞2 | Finale A"
"Paul Bostoen","K1H","93.88","359.75","306.96","Course n∞2 | Finale A"
"Marcantoine Hacquart","K1H","94.31","-","312.93","Course n∞2 | Finale A"
"Kilian Godart","K1H","94.93","351.18","321.53","Course n∞2 | Finale A"
"Gwendal Duchet","K1H","94.93","-","321.53","Course n∞2 | Finale A"
"Anthony Rouhier","K1H","95.42","317.66","328.33","Course n∞2 | Finale A"
"Leo Peter","K1H","95.54","318.83","330","Course n∞2 | Finale A"
"Hugo Simon","K1H","95.71","245.08","332.36","Course n∞2 | Finale A"
"Loric Bertrand Delorme","K1H","95.81","290.99","333.75","Course n∞2 | Finale A"
"Pierre Biagui","K1H","96.09","348.15","337.64","Course n∞2 | Finale A"
"Hugo Latimier","K1H","96.22","347.24","339.44","Course n∞2 | Finale A"
"Christophe Siffert","K1H","96.6","391.57","344.72","Course n∞2 | Finale A"
"Pierre-louis Gstalter","K1H","99.03","420.3","378.45","Course n∞2 | Finale A"
"Loic Joly","K1H","99.67","346.56","387.33","Course n∞2 | Finale A"
"Luca Gabelli","K1H","99.82","415.35","389.42","Course n∞2 | Finale A"
"Olivier Hardonniere","K1H","99.88","315.32","390.25","Course n∞2 | Finale A"
"Damien Burteaux","K1H","100.88","354.06","404.13","Course n∞2 | Finale A"
"Jules Gastaud","K1H","101.31","-","410.1","Course n∞2 | Finale A"
"Paul Frommer","K1H","101.66","371.16","414.96","Course n∞2 | Finale A"
"Raphael Ricci Miege","K1H","102.08","304.75","420.79","Course n∞2 | Finale A"
"Thomas Michel","K1H","103.47","369.52","440.08","Course n∞2 | Finale A"
"Eddy Cassard","K1H","103.58","332.22","441.61","Course n∞2 | Finale A"
"William Pawlus","K1H","105.93","420.28","474.23","Course n∞2 | Finale A"
"Aurelien Merieux Danneaux","K1H","107.36","364.69","494.09","Course n∞2 | Finale A"
"Louis Gasser","K1H","110.96","451.53","544.06","Course n∞2 | Finale A"
"Lois Pignon","K1H","112.6","454.74","566.83","Course n∞2 | Finale A"
"Mathieu Monier","K1H","139.17","150.82","935.67","Course n∞2 | Finale A"
"Yann Becker","K1H","141.36","265.69","966.08","Course n∞2 | Finale A"
"Baptiste Podor","K1H","141.63","309.61","969.82","Course n∞2 | Finale A"
"Rafael Pawlus","K1H","152.07","-","1114.75","Course n∞2 | Finale A"
"Antonin Robert","K1HM","93.9","375.82","307.23","Course n∞2 | Finale A"
"Theo Reby","K1HM","97.51","-","357.35","Course n∞2 | Finale A"
"Hugo Monasse","K1HM","97.69","395.72","359.85","Course n∞2 | Finale A"
"Matthieu Koffel","K1HM","98.28","461.06","368.04","Course n∞2 | Finale A"
"Baptiste Gaillard","K1HM","99.16","418.62","380.25","Course n∞2 | Finale A"
"Arthur Contamine","K1HM","99.55","383.21","385.67","Course n∞2 | Finale A"
"Jules Latimier","K1HM","101.47","449.84","412.32","Course n∞2 | Finale A"
"Tanguy Malingre","K1HM","103.09","456.54","434.81","Course n∞2 | Finale A"
"Laurel Hartmann","K1HM","109.47","573.11","523.38","Course n∞2 | Finale A"
"Nathan Frison","K1HM","112.2","-","561.28","Course n∞2 | Finale A"
"Oskar Hillion","K1HM","112.99","-","572.24","Course n∞2 | Finale A"
"Constant Jeandon","K1HM","113.37","511.74","577.52","Course n∞2 | Finale A"
"Yann Mercier","K1HM","113.37","614.22","577.52","Course n∞2 | Finale A"
"Gael Ettwiller","K1HM","114.24","744.71","589.59","Course n∞2 | Finale A"
"Oscar Pasteur","K1HM","115.17","565.88","602.5","Course n∞2 | Finale A"
"Tifenn Primet","C1D","111.73","258.27","301.24","Course n∞2 | Finale B"
"Alice Evlachev","C1D","115.36","400.31","343.24","Course n∞2 | Finale B"
"Emma Vaubourg","C1D","123.32","480.19","435.33","Course n∞2 | Finale B"
"Alexane Galmiche","C1D","125.78","311.05","463.78","Course n∞2 | Finale B"
"Coline Husson","C1D","131.4","495.05","528.79","Course n∞2 | Finale B"
"Margot Perrin","C1D","133.04","513.83","547.77","Course n∞2 | Finale B"
"Anais Mouhoub","C1D","133.59","512.32","554.13","Course n∞2 | Finale B"
"Lolita Seguy","C1D","133.97","558.63","558.53","Course n∞2 | Finale B"
"Agathe Caillet","C1D","144.31","705.11","678.14","Course n∞2 | Finale B"
"Solene Grenier","C1D","150.35","-","748.02","Course n∞2 | Finale B"
"Etienne Wiche","C1H","99.03","427.21","317.98","Course n∞2 | Finale B"
"Loic Trenchant","C1H","104.59","374.33","391.49","Course n∞2 | Finale B"
"Olivier Urbain","C1H","104.84","419.55","394.8","Course n∞2 | Finale B"
"Pierre Biagui","C1H","107.72","592.92","432.87","Course n∞2 | Finale B"
"Vincent Idriss Achaoui","C1H","108.22","402.06","439.49","Course n∞2 | Finale B"
"Michel Bert","C1H","108.57","500.3","444.11","Course n∞2 | Finale B"
"Loic Bourgeois","C1H","110.22","424.69","465.92","Course n∞2 | Finale B"
"Aurelien Merieux Danneaux","C1H","110.24","488.34","466.19","Course n∞2 | Finale B"
"Vivien Stemmelen","C1H","112.23","481.37","492.51","Course n∞2 | Finale B"
"Pierre-louis Gstalter","C1H","113.31","615.53","506.78","Course n∞2 | Finale B"
"Simon Munch","C1H","113.83","735.5","513.66","Course n∞2 | Finale B"
"Loœc Winiarski","C1H","114.26","-","519.34","Course n∞2 | Finale B"
"Erwan Rouch","C1H","114.34","-","520.4","Course n∞2 | Finale B"
"Paul Bostoen","C1H","115.73","509.78","538.77","Course n∞2 | Finale B"
"Anthony Rouhier","C1H","116.24","558.98","545.52","Course n∞2 | Finale B"
"Anthony Giurlando","C1H","117.01","770.48","555.7","Course n∞2 | Finale B"
"Paul-andre Montemont","C1H","119.29","-","585.85","Course n∞2 | Finale B"
"Alexis Sevrez","C1H","119.68","662.48","591","Course n∞2 | Finale B"
"Antoine Paumier","C1H","120.02","722.65","595.5","Course n∞2 | Finale B"
"Angelino Castagnetti","C1H","121.82","528","619.29","Course n∞2 | Finale B"
"Victor Henry","C1H","125.92","857","673.5","Course n∞2 | Finale B"
"Alexandre L'huillier","C1H","153.66","-","1040.25","Course n∞2 | Finale B"
"David Monnet","C1H","154.21","1484.02","1047.52","Course n∞2 | Finale B"
"Eddy Cassard","C1H","179.29","-","1379.1","Course n∞2 | Finale B"
"Antonin Robert","C1HM","127.62","787.76","695.98","Course n∞2 | Finale B"
"Nathan Frison","C1HM","128.73","-","710.65","Course n∞2 | Finale B"
"Stanislas Ledore","C1HM","129","-","714.22","Course n∞2 | Finale B"
"Theophile Didierjean","C1HM","129.14","-","716.06","Course n∞2 | Finale B"
"Elias Elamri","C1HM","133.79","-","777.55","Course n∞2 | Finale B"
"Oskar Hillion","C1HM","139.39","-","851.58","Course n∞2 | Finale B"
"Remy Perrin","C1HM","143.75","-","909.23","Course n∞2 | Finale B"
"Arthur Pichancourt","C1HM","175.72","-","1331.9","Course n∞2 | Finale B"
"Constant Jeandon","C1HM","Des","-","-","Course n∞2 | Finale B"
"Maxime Aubertin-Paul Aubertin","C2H","107.48","-","365.11","Course n∞2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","115.36","492.51","464.56","Course n∞2 | Finale B"
"Loic Trenchant-Simon Munch","C2H","125.39","-","591.14","Course n∞2 | Finale B"
"Victor Henry-Pierre-louis Gstalter","C2H","134.96","830.93","711.91","Course n∞2 | Finale B"
"Jeanne Bernard-Paul Aubertin","C2M","118.07","-","374.59","Course n∞2 | Finale B"
"Thomas L'huillier-Maude Dominique","C2M","123.39","-","436.13","Course n∞2 | Finale B"
"Gaelle Aumer-Olivier Urbain","C2M","125.33","523.4","458.58","Course n∞2 | Finale B"
"Lucille Meunier-cheyssac-Louis Gasser","C2M","133.94","-","558.18","Course n∞2 | Finale B"
"Emma Vaubourg-Maxime Aubertin","C2M","139.8","-","625.97","Course n∞2 | Finale B"
"Alexane Galmiche","K1D","99.15","238.28","226.77","Course n∞2 | Finale B"
"Alina Rassel","K1D","103.54","276.17","280.7","Course n∞2 | Finale B"
"Coline Husson","K1D","108.17","430.04","337.58","Course n∞2 | Finale B"
"Ilhame Siraj","K1D","108.53","326.57","342","Course n∞2 | Finale B"
"Lou-anne Cointin","K1D","108.87","403.31","346.18","Course n∞2 | Finale B"
"Alice Evlachev","K1D","109.06","240.72","348.51","Course n∞2 | Finale B"
"Emma Vaubourg","K1D","111.46","369.93","378","Course n∞2 | Finale B"
"Solene Grenier","K1D","111.48","328.06","378.24","Course n∞2 | Finale B"
"Lolita Seguy","K1D","113.65","333.37","404.9","Course n∞2 | Finale B"
"Kelly Capitaine","K1D","115.45","515.1","427.01","Course n∞2 | Finale B"
"Maurine Laugel","K1D","117.5","401.38","452.19","Course n∞2 | Finale B"
"Solen Friconneau","K1D","118.5","394.84","464.48","Course n∞2 | Finale B"
"Lucille Meunier-cheyssac","K1D","118.67","442.52","466.57","Course n∞2 | Finale B"
"Fiona Gille","K1D","119.71","480.91","479.35","Course n∞2 | Finale B"
"Maude Dominique","K1D","121.1","516.03","496.42","Course n∞2 | Finale B"
"Elise Nicot","K1D","123.11","612","521.12","Course n∞2 | Finale B"
"Agathe Caillet","K1D","124.24","502.54","535","Course n∞2 | Finale B"
"Audrey Masson","K1D","134.57","816.28","661.89","Course n∞2 | Finale B"
"Carole Dolmaire","K1D","149.03","543.91","839.54","Course n∞2 | Finale B"
"Zoe Laurent","K1DM","118.82","-","468.41","Course n∞2 | Finale B"
"Marion Gillet","K1DM","119.8","-","480.46","Course n∞2 | Finale B"
"Mylene Guilcher","K1DM","120.96","468.32","494.7","Course n∞2 | Finale B"
"Mae Bianco","K1DM","121.69","616.33","503.67","Course n∞2 | Finale B"
"Clara Hulin","K1DM","Des","-","-","Course n∞2 | Finale B"
"Maxime Bottex","K1H","84.66","99.4","183.96","Course n∞2 | Finale B"
"Tom Deconchy","K1H","88.73","171.34","240.46","Course n∞2 | Finale B"
"Lucas Galmiche","K1H","90.35","154.58","262.95","Course n∞2 | Finale B"
"Loic Petel","K1H","96.53","344.91","348.74","Course n∞2 | Finale B"
"Simon Munch","K1H","97.92","423.81","368.04","Course n∞2 | Finale B"
"Jorg Blees","K1H","98.54","385.75","376.65","Course n∞2 | Finale B"
"Loic Trenchant","K1H","98.88","400.7","381.37","Course n∞2 | Finale B"
"Silvere Desongins","K1H","99.03","250.06","383.45","Course n∞2 | Finale B"
"Erwan Degreve","K1H","99.09","438.19","384.28","Course n∞2 | Finale B"
"Lucas Dominguez","K1H","99.34","343.15","387.75","Course n∞2 | Finale B"
"Victor Henry","K1H","99.35","514.29","387.89","Course n∞2 | Finale B"
"Alexis Sevrez","K1H","99.69","504.06","392.61","Course n∞2 | Finale B"
"Matthieu Walfard","K1H","100.69","353.16","406.49","Course n∞2 | Finale B"
"Mohamed Saœd Bekkadour","K1H","101.28","400.35","414.68","Course n∞2 | Finale B"
"Thomas Descotes","K1H","102.15","-","426.76","Course n∞2 | Finale B"
"Jean- Nicolas Veigel","K1H","102.63","515.7","433.42","Course n∞2 | Finale B"
"Matthew Vuillard","K1H","102.74","498.86","434.95","Course n∞2 | Finale B"
"Loic Bourgeois","K1H","103.12","388.4","440.23","Course n∞2 | Finale B"
"Guillaume Schneider","K1H","103.27","440.62","442.31","Course n∞2 | Finale B"
"Antoine Paumier","K1H","103.32","496.98","443","Course n∞2 | Finale B"
"Xavier Rat","K1H","103.68","447.63","448","Course n∞2 | Finale B"
"Arthur Favennec","K1H","104.98","282.59","466.05","Course n∞2 | Finale B"
"Gilles Barthelemy","K1H","104.99","575.04","466.19","Course n∞2 | Finale B"
"Vivien Stemmelen","K1H","105.02","496.09","466.6","Course n∞2 | Finale B"
"Axel Ganthier","K1H","105.26","503.87","469.93","Course n∞2 | Finale B"
"Philippe Koffel","K1H","105.74","484.7","476.6","Course n∞2 | Finale B"
"Leonard Painteaux","K1H","106.72","443.21","490.2","Course n∞2 | Finale B"
"Gauthier Principaud","K1H","107.05","750.35","494.78","Course n∞2 | Finale B"
"Gerard Menissier","K1H","107.63","480.34","502.83","Course n∞2 | Finale B"
"Mehdi Moussaid","K1H","108.64","-","516.86","Course n∞2 | Finale B"
"Guillaume Cochut","K1H","108.88","447.79","520.19","Course n∞2 | Finale B"
"Nicolas Castagnetti","K1H","109.5","517.7","528.79","Course n∞2 | Finale B"
