"SÈlectif RÈgional de Slalom - 68330 Huningue - Course n∞2 | Finale - 2018-11-11","Course n∞2 | Finale","2018-11-11","RÈgional","170"
"Bastien Caillet-Jules Andrien","C2H","145.13","669.86","690.49","Course n∞2 | Finale A"
"Alexis Sevrez-Louis Gasser","C2H","177.82","783.57","1064.19","Course n∞2 | Finale A"
"Evan Trenchant-Clement Fremy","C2HM","157.81","868.56","835.45","Course n∞2 | Finale A"
"Baptiste Podor-Zelie Wendling","C2M","157.93","679.25","686.37","Course n∞2 | Finale A"
"Lucille Meunier-cheyssac-Jules Ferber","C2M","172.13","556.71","835.17","Course n∞2 | Finale A"
"Andrea Gratwohl","K1D","109.2","293.97","246.63","Course n∞2 | Finale A"
"Angelique Guilcher","K1D","113.62","231.48","295.82","Course n∞2 | Finale A"
"Camille Hurez","K1D","113.65","250.28","296.15","Course n∞2 | Finale A"
"Azenor Philip","K1D","114.74","282.8","308.28","Course n∞2 | Finale A"
"Celia Grandadam","K1D","117.28","306.38","336.55","Course n∞2 | Finale A"
"Meryl Steinmann","K1D","117.53","280.17","339.33","Course n∞2 | Finale A"
"Kesia Georgel","K1D","119.1","334.56","356.79","Course n∞2 | Finale A"
"Tifenn Primet","K1D","120.41","316.52","371.38","Course n∞2 | Finale A"
"Anne Fischer","K1D","120.71","383.76","374.71","Course n∞2 | Finale A"
"Mylene Guilcher","K1D","126.13","387.24","435.02","Course n∞2 | Finale A"
"Marie Amelie Silvin","K1D","127.85","243.16","454.17","Course n∞2 | Finale A"
"Lolita Seguy","K1D","130.41","291.5","482.65","Course n∞2 | Finale A"
"Lukas Werro","K1H","85.12","68.57","101.81","Course n∞2 | Finale A"
"Gelindo Chiarello","K1H","91.23","117.72","178.64","Course n∞2 | Finale A"
"G…r‘me Martin","K1H","91.37","166.44","180.4","Course n∞2 | Finale A"
"Jan Rohrer","K1H","91.99","157.6","188.2","Course n∞2 | Finale A"
"Manuel Munsch","K1H","92.16","111.11","190.34","Course n∞2 | Finale A"
"Pierre Marie Roussel","K1H","92.74","136.37","197.63","Course n∞2 | Finale A"
"Laurent Starck","K1H","93.94","206.74","212.72","Course n∞2 | Finale A"
"Loic Trenchant","K1H","94.11","271.87","214.86","Course n∞2 | Finale A"
"Robin Pottelette","K1H","94.89","97.61","224.66","Course n∞2 | Finale A"
"Julien Haberland","K1H","95.89","238.82","237.24","Course n∞2 | Finale A"
"Benjamin Dodane","K1H","97.34","199.93","255.47","Course n∞2 | Finale A"
"Djendy Simeant","K1H","97.41","190.08","256.35","Course n∞2 | Finale A"
"Loœc Winiarski","K1H","97.89","166.12","262.39","Course n∞2 | Finale A"
"Lucas Galmiche","K1H","98.23","181.61","266.66","Course n∞2 | Finale A"
"Jules Cresp","K1H","98.4","184.58","268.8","Course n∞2 | Finale A"
"Nicolas Mangeolle","K1H","98.63","266.46","271.69","Course n∞2 | Finale A"
"Loric Bertrand Delorme","K1H","99.02","264","276.6","Course n∞2 | Finale A"
"Leo Collard","K1H","99.43","269.38","281.75","Course n∞2 | Finale A"
"Simon Munch","K1H","99.74","308.51","285.65","Course n∞2 | Finale A"
"Florient Tagnon","K1H","100.11","254.21","290.3","Course n∞2 | Finale A"
"Pierre Biagui","K1H","100.59","321.57","296.34","Course n∞2 | Finale A"
"Paul Bostoen","K1H","101.22","250.51","304.26","Course n∞2 | Finale A"
"Baptiste Podor","K1H","102.12","282.14","315.58","Course n∞2 | Finale A"
"Alexis Caspar","K1H","102.72","326.21","323.12","Course n∞2 | Finale A"
"Matthieu Koffel","K1H","104.4","352.97","344.25","Course n∞2 | Finale A"
"Thomas Michel","K1H","106.29","442.4","368.01","Course n∞2 | Finale A"
"Louis Gasser","K1H","107.16","373.1","378.95","Course n∞2 | Finale A"
"Marc Jegou","K1H","108.17","360.76","391.65","Course n∞2 | Finale A"
"Thibault Blaise","K1H","108.36","256.94","394.04","Course n∞2 | Finale A"
"Leo Peter","K1H","110.41","351.09","419.82","Course n∞2 | Finale A"
"Alexis Pacholak","K1H","114.23","262.3","467.85","Course n∞2 | Finale A"
"Jean Charles Hacquart","K1H","114.25","131.6","468.1","Course n∞2 | Finale A"
"Pascal Philip","K1H","119.17","705.54","529.97","Course n∞2 | Finale A"
"Mathieu Douillet","K1H","119.22","310.28","530.6","Course n∞2 | Finale A"
"Arnaud Jamet","K1H","119.43","439.16","533.24","Course n∞2 | Finale A"
"William Pawlus","K1H","120.18","473.02","542.67","Course n∞2 | Finale A"
"Christophe Godinat","K1H","124.23","466.28","593.59","Course n∞2 | Finale A"
"Loann Delle Dananchet","K1H","124.93","449.47","602.4","Course n∞2 | Finale A"
"Lucas Latimier","K1H","143.64","84.76","837.66","Course n∞2 | Finale A"
"Tanguy Malingre","K1H","160.3","275.89","1047.15","Course n∞2 | Finale A"
"Oskar Hillion","K1HM","109","413.86","402.09","Course n∞2 | Finale A"
"Clement Fremy","K1HM","109.04","447.77","402.59","Course n∞2 | Finale A"
"Salim Jemai","K1HM","114.28","423.94","468.48","Course n∞2 | Finale A"
"Julia Budzinski","C1D","121.44","232.3","309.01","Course n∞2 | Finale B"
"Celia Grandadam","C1D","134.69","410.07","447.85","Course n∞2 | Finale B"
"Anais Mouhoub","C1D","159.64","532.98","709.29","Course n∞2 | Finale B"
"Camille Hurez","C1D","165.5","909.54","770.7","Course n∞2 | Finale B"
"Mae Bianco","C1DM","166.27","609.31","778.76","Course n∞2 | Finale B"
"Vivien Stemmelen","C1H","124.82","418.79","531.27","Course n∞2 | Finale B"
"Laurel Hartmann","C1H","129.16","707.89","583.25","Course n∞2 | Finale B"
"Bastien Caillet","C1H","135.86","561.83","663.48","Course n∞2 | Finale B"
"Jean-baptiste Wolff","C1H","136.34","590.72","669.24","Course n∞2 | Finale B"
"Laurent Starck","C1H","146.98","692.27","796.65","Course n∞2 | Finale B"
"Paul Gstalter","C1H","163.4","765.87","993.29","Course n∞2 | Finale B"
"Enki Georgel","C1H","172.11","375.89","1097.59","Course n∞2 | Finale B"
"Victor Henry","C1H","172.71","741.43","1104.79","Course n∞2 | Finale B"
"Oscar Pasteur","C1H","179.58","802.46","1187.06","Course n∞2 | Finale B"
"Alexis Sevrez","C1H","198.03","491.76","1408","Course n∞2 | Finale B"
"Dimitri Marx","C1H","294.78","816.36","2566.64","Course n∞2 | Finale B"
"Simon Munch","C1H","Abd","-","-","Course n∞2 | Finale B"
"Oskar Hillion","C1HM","135.42","596.3","658.21","Course n∞2 | Finale B"
"Clement Fremy","C1HM","145.41","805.34","777.85","Course n∞2 | Finale B"
"Maxime Devis","C1HM","147.29","629.65","800.36","Course n∞2 | Finale B"
"Valentin Bostoen","C1HM","151.26","700.03","847.91","Course n∞2 | Finale B"
"Evan Trenchant","C1HM","152.98","695.15","868.5","Course n∞2 | Finale B"
"Salim Jemai","C1HM","159.59","686.04","947.66","Course n∞2 | Finale B"
"Louis Guggenbuhl","C1HM","171.22","617.8","1086.94","Course n∞2 | Finale B"
"Ludovic Kessler","C1HM","243.38","1417.67","1951.09","Course n∞2 | Finale B"
"Zakaria Radouani","C1HM","Abd","-","-","Course n∞2 | Finale B"
"Elena Hugues","K1D","122.29","346.09","397.29","Course n∞2 | Finale B"
"Laurine Grandadam","K1D","127.54","480.39","455.71","Course n∞2 | Finale B"
"Anais Mouhoub","K1D","129.03","342.88","472.3","Course n∞2 | Finale B"
"Zelie Wendling","K1D","130.67","407.89","490.54","Course n∞2 | Finale B"
"Agathe Caillet","K1D","147.43","518.34","677.05","Course n∞2 | Finale B"
"Audrey Masson","K1D","170","684.86","928.19","Course n∞2 | Finale B"
"Charlotte Doucet","K1D","181.17","568.75","1052.49","Course n∞2 | Finale B"
"Carole Dolmaire","K1D","258.43","600.93","1912.22","Course n∞2 | Finale B"
"Mae Bianco","K1DM","134.62","409.89","534.5","Course n∞2 | Finale B"
"Marion Gillet","K1DM","146.85","422.26","670.6","Course n∞2 | Finale B"
"Lucile Bessot","K1DM","188.3","772.63","1131.83","Course n∞2 | Finale B"
"Maxime Bottex","K1H","90.84","76.08","178.74","Course n∞2 | Finale B"
"Dimitri Marx","K1H","91.97","420.17","192.95","Course n∞2 | Finale B"
"Jules Bevalot","K1H","95.02","180.64","231.3","Course n∞2 | Finale B"
"Emmanuel Walczak","K1H","97.7","154.91","265","Course n∞2 | Finale B"
"Tanguy Adisson","K1H","104.11","354.79","345.6","Course n∞2 | Finale B"
"Victor Henry","K1H","111.27","427.46","435.63","Course n∞2 | Finale B"
"Yann Becker","K1H","111.67","334.59","440.66","Course n∞2 | Finale B"
"Smail Mouhoub","K1H","113.27","457.71","460.78","Course n∞2 | Finale B"
"Alexis Sevrez","K1H","113.81","494.52","467.57","Course n∞2 | Finale B"
"Victorien Lombard","K1H","114.44","415.27","475.49","Course n∞2 | Finale B"
"Virgile Bessot","K1H","116.29","509.28","498.75","Course n∞2 | Finale B"
"Christophe Siffert","K1H","116.62","403.24","502.9","Course n∞2 | Finale B"
"Matthieu Walfard","K1H","116.63","390.16","503.03","Course n∞2 | Finale B"
"Yannick Grizaud","K1H","116.85","875.14","505.8","Course n∞2 | Finale B"
"Matthew Vuillard","K1H","118.72","385.67","529.31","Course n∞2 | Finale B"
"Rafael Pawlus","K1H","119.52","505.51","539.37","Course n∞2 | Finale B"
"Jonathan Ferreira","K1H","119.6","487.22","540.38","Course n∞2 | Finale B"
"Oscar Pasteur","K1H","125.68","507.97","616.83","Course n∞2 | Finale B"
"Robin Giurlando","K1H","130.45","641.1","676.81","Course n∞2 | Finale B"
"Paul Frommer","K1H","131.04","381.81","684.23","Course n∞2 | Finale B"
"Leo Bayard","K1H","136.28","661.33","750.12","Course n∞2 | Finale B"
"Gauthier Principaud","K1H","136.83","511.77","757.03","Course n∞2 | Finale B"
"Jules Ferber","K1H","137.65","586.13","767.34","Course n∞2 | Finale B"
"Paul Gstalter","K1H","143.64","571.88","842.66","Course n∞2 | Finale B"
"Edy Gasser","K1H","149.04","772.47","910.56","Course n∞2 | Finale B"
"Jules Andrien","K1H","153.32","318.96","964.38","Course n∞2 | Finale B"
"Anthony Menissier","K1H","153.79","537.01","970.29","Course n∞2 | Finale B"
"Thibault Rouanet","K1H","159.54","892.7","1042.59","Course n∞2 | Finale B"
"Laurel Hartmann","K1H","163.84","487.91","1096.66","Course n∞2 | Finale B"
"Philippe Koffel","K1H","184.09","558.87","1351.29","Course n∞2 | Finale B"
"Timothee Foltz","K1H","279.74","1445.55","2554.03","Course n∞2 | Finale B"
"Gilles Barthelemy","K1H","Abd","-","-","Course n∞2 | Finale B"
"Guillaume Louis","K1H","Abd","-","-","Course n∞2 | Finale B"
"Maxime Devis","K1HM","114.11","482.2","471.34","Course n∞2 | Finale B"
"Valentin Bostoen","K1HM","123.73","585.6","592.31","Course n∞2 | Finale B"
"Evan Trenchant","K1HM","126.89","661.73","632.04","Course n∞2 | Finale B"
"Louis Guggenbuhl","K1HM","143.66","641.92","842.91","Course n∞2 | Finale B"
"Ludovic Kessler","K1HM","170.4","837.44","1179.15","Course n∞2 | Finale B"
"Zakaria Radouani","K1HM","201.14","1011.29","1565.69","Course n∞2 | Finale B"
"Nolan Lequesne","K1HM","220.89","860.18","1814.03","Course n∞2 | Finale B"
"Leon Beyreuther","K1HM","239.61","1426.37","2049.42","Course n∞2 | Finale B"
"Antoine Schroetter","K1HM","270.74","3476.05","2440.86","Course n∞2 | Finale B"
"Kenzo Garnier","K1HM","325.65","3327.23","3131.32","Course n∞2 | Finale B"
