"SÈlectif RÈgional Slalom (Double) - 35510 Cesson Sevigne - Course n∞2 | Finale - 2020-09-27","Course n∞2 | Finale","2020-09-27","RÈgional","287"
"Morgan Vourch","C1H","123.1","424.98","574.99","Course n∞2 | Finale A"
"Edern Le Ruyet","C1H","Abs","-","-","Course n∞2 | Finale A"
"Martin Cornu","C1HM","108.37","387.12","391.59","Course n∞2 | Finale A"
"Elouan Debliquy","C1HM","114.2","458.03","464.18","Course n∞2 | Finale A"
"Lenny Derrien","C1HM","146.78","689.67","869.84","Course n∞2 | Finale A"
"Sacha Menard","C1HM","149.14","903.84","899.24","Course n∞2 | Finale A"
"Victor Julou","C1HM","154.77","882.98","969.34","Course n∞2 | Finale A"
"Mewen Coadou","C1HM","216.54","1201.8","1738.48","Course n∞2 | Finale A"
"Florian Busson-Alex Louveau","C2H","116.87","433.61","431.27","Course n∞2 | Finale A"
"Julien Darcillon-Francois Hemidy","C2H","122.73","455.97","500.93","Course n∞2 | Finale A"
"Tom Marchand-Romain Margerie","C2H","128.17","540.74","565.58","Course n∞2 | Finale A"
"Hugo Tellier-Florian Jumetz","C2H","131","578.91","599.22","Course n∞2 | Finale A"
"Chlo… Jegoux-Melaine Pichard","C2M","139.14","528.05","558.16","Course n∞2 | Finale A"
"Lorin Dumont-Maela Le Corre","C2M","164.69","662.24","836.53","Course n∞2 | Finale A"
"Margaux Fabijan","K1D","108.11","406.98","293.04","Course n∞2 | Finale A"
"Anais Bernardy","K1D","110.17","397.86","316.88","Course n∞2 | Finale A"
"Romane Regnier","K1D","111.2","233.96","328.8","Course n∞2 | Finale A"
"Zoe Malval","K1D","117.97","417.59","407.12","Course n∞2 | Finale A"
"Morgane Quemerais","K1D","118.96","343.66","418.57","Course n∞2 | Finale A"
"Myriam Le Joncourt","K1D","118.98","313.39","418.81","Course n∞2 | Finale A"
"Sarah Despres","K1D","120.16","353.47","432.46","Course n∞2 | Finale A"
"Eva Marchand","K1D","121.14","361.04","443.81","Course n∞2 | Finale A"
"Laurie Beaurepere","K1D","122.38","415.88","458.15","Course n∞2 | Finale A"
"Romane Bronchet","K1D","122.38","456.17","458.15","Course n∞2 | Finale A"
"Zoe Huet","K1D","124.78","464.77","485.92","Course n∞2 | Finale A"
"Sylviane Quemerais","K1D","128.74","386.21","531.73","Course n∞2 | Finale A"
"Emma Pouilly","K1D","130.07","524.56","547.12","Course n∞2 | Finale A"
"Chlo… Jegoux","K1D","187.15","562.41","1207.54","Course n∞2 | Finale A"
"L…na Quemerais","K1DM","117.46","517.68","401.23","Course n∞2 | Finale A"
"Honorine Pichard","K1DM","136.37","629.94","620.01","Course n∞2 | Finale A"
"Jade Guenery","K1DM","152.66","670.86","808.49","Course n∞2 | Finale A"
"Blanche Leborgne","K1DM","166.42","840.73","967.69","Course n∞2 | Finale A"
"Joris Hello","K1H","86.57","178.63","174.03","Course n∞2 | Finale A"
"Florian Busson","K1H","88.13","147.69","194.43","Course n∞2 | Finale A"
"Matheo Lebaindre","K1H","88.9","150.65","204.5","Course n∞2 | Finale A"
"Arthur Mizzi","K1H","89.11","99.49","207.24","Course n∞2 | Finale A"
"Titouan Castryck","K1H","89.66","302.23","214.43","Course n∞2 | Finale A"
"Loan Queffelec","K1H","90.2","224.57","221.49","Course n∞2 | Finale A"
"Killian Flegeau","K1H","90.91","201.75","230.78","Course n∞2 | Finale A"
"Paul Gestin","K1H","92.41","210.03","250.39","Course n∞2 | Finale A"
"Timothee Cornu","K1H","92.78","205.47","255.23","Course n∞2 | Finale A"
"Samuel Le Dean","K1H","93.36","732.39","262.81","Course n∞2 | Finale A"
"Anthony Drouhin","K1H","94.08","320.52","272.22","Course n∞2 | Finale A"
"Clement Dubois","K1H","94.1","245.08","272.48","Course n∞2 | Finale A"
"GaÀtan De Greef","K1H","95.21","231.7","287","Course n∞2 | Finale A"
"Maxence Davy","K1H","95.36","306.15","288.96","Course n∞2 | Finale A"
"Rafael Lerusse","K1H","95.37","224.74","289.09","Course n∞2 | Finale A"
"Cl…ment Louveau","K1H","96.39","581.91","302.42","Course n∞2 | Finale A"
"Nicolas Bernardy","K1H","97.97","346.74","323.08","Course n∞2 | Finale A"
"Johann Loiseau","K1H","98.44","352.4","329.23","Course n∞2 | Finale A"
"Antoine Sapin","K1H","98.7","292.89","332.62","Course n∞2 | Finale A"
"Max Derame","K1H","99.36","206.21","341.25","Course n∞2 | Finale A"
"Romain Guyomard","K1H","99.84","276","347.53","Course n∞2 | Finale A"
"Lorin Dumont","K1H","100","293.86","349.62","Course n∞2 | Finale A"
"Maxime Berthaut","K1H","100.08","309.01","350.67","Course n∞2 | Finale A"
"Glen Le Meur","K1H","100.23","325.25","352.63","Course n∞2 | Finale A"
"Ewen Berrest","K1H","101.11","236.64","364.13","Course n∞2 | Finale A"
"Boris Pernelle","K1H","101.22","307.58","365.57","Course n∞2 | Finale A"
"Adrien Pierre","K1H","101.31","408.64","366.75","Course n∞2 | Finale A"
"Elouan Le Fournis","K1H","101.56","322.75","370.02","Course n∞2 | Finale A"
"Gireg Hamoniaux","K1H","101.57","287.37","370.15","Course n∞2 | Finale A"
"Frederic Castryck","K1H","101.99","361.42","375.64","Course n∞2 | Finale A"
"Clement Le Collinet","K1H","103.06","388.96","389.63","Course n∞2 | Finale A"
"Florian Jumetz","K1H","103.52","385.69","395.64","Course n∞2 | Finale A"
"Noe Gorvo","K1H","103.69","276.05","397.87","Course n∞2 | Finale A"
"Adrien Le Collinet","K1H","104.35","439.46","406.49","Course n∞2 | Finale A"
"Jonas Le Guen","K1H","104.63","309.18","410.16","Course n∞2 | Finale A"
"Mathieu Aussant","K1H","104.78","473.42","412.12","Course n∞2 | Finale A"
"Corentin Beaumois","K1H","105.09","381.86","416.17","Course n∞2 | Finale A"
"Franck Delachair","K1H","105.73","324.97","424.54","Course n∞2 | Finale A"
"Brice Derrien","K1H","106.22","334.16","430.94","Course n∞2 | Finale A"
"Julien Dosse","K1H","106.74","285.16","437.74","Course n∞2 | Finale A"
"Clement Olivier","K1H","106.77","330.95","438.13","Course n∞2 | Finale A"
"Jean Aussant","K1H","108.37","420.38","459.05","Course n∞2 | Finale A"
"Quentin Sablayrolles","K1H","109.11","340.07","468.73","Course n∞2 | Finale A"
"Simon Seuru","K1H","109.23","387.66","470.3","Course n∞2 | Finale A"
"Jeanmichel Regnier","K1H","110.46","339.05","486.38","Course n∞2 | Finale A"
"Titouan Aussant","K1H","110.63","358.03","488.6","Course n∞2 | Finale A"
"Maxence Gautier Grall","K1H","110.65","521.79","488.86","Course n∞2 | Finale A"
"Lionel Tinevez","K1H","110.78","390.49","490.56","Course n∞2 | Finale A"
"Marwan Bazot","K1H","110.87","401.36","491.74","Course n∞2 | Finale A"
"Bastien Mailly","K1H","111.18","432.95","495.79","Course n∞2 | Finale A"
"Timothee Le Mort","K1H","111.57","433.68","500.89","Course n∞2 | Finale A"
"Romain Margerie","K1H","112.84","377.51","517.49","Course n∞2 | Finale A"
"Quentin Podevin","K1H","113.29","520.21","523.38","Course n∞2 | Finale A"
"Gurvan Huet","K1H","113.43","399.67","525.21","Course n∞2 | Finale A"
"Thibault Lamour","K1H","114.24","399.25","535.8","Course n∞2 | Finale A"
"Baptiste Duboc","K1H","117.83","368.89","582.73","Course n∞2 | Finale A"
"Clement Ezanno","K1H","123.4","388.81","655.56","Course n∞2 | Finale A"
"Valentin Rolland","K1H","124.46","578.89","669.42","Course n∞2 | Finale A"
"Yves Prigent","K1H","133.55","86.54","788.26","Course n∞2 | Finale A"
"Mathis Soudi","K1H","135.17","353.07","809.44","Course n∞2 | Finale A"
"Denis Guilmard","K1H","153.49","379.82","1048.96","Course n∞2 | Finale A"
"Florion Coiffe","K1H","155.57","437.33","1076.16","Course n∞2 | Finale A"
"Yannis Houze","K1H","156.65","328.71","1090.28","Course n∞2 | Finale A"
"Thomas Hado","K1H","161.8","444.84","1157.61","Course n∞2 | Finale A"
"Pacome Michel","K1H","169.99","581.18","1264.69","Course n∞2 | Finale A"
"Thibaud Chevalier","K1H","Abs","-","-","Course n∞2 | Finale A"
"Martin Cornu","K1HM","94.24","328.62","274.31","Course n∞2 | Finale A"
"Elouan Debliquy","K1HM","96.84","359.44","308.31","Course n∞2 | Finale A"
"Matteo Weinegaessel","K1HM","108.34","546.38","458.66","Course n∞2 | Finale A"
"Cl…ment Davy","K1HM","109.48","608.31","473.57","Course n∞2 | Finale A"
"Celio Chevallier","K1HM","116.63","559.85","567.05","Course n∞2 | Finale A"
"Duncan Coppens","K1HM","122.4","687.97","642.48","Course n∞2 | Finale A"
"Quentin Dubelloy","K1HM","122.41","722.83","642.61","Course n∞2 | Finale A"
"Nathan Morris","K1HM","124.89","668.09","675.04","Course n∞2 | Finale A"
"Clement Le Naour","K1HM","125.9","775.99","688.24","Course n∞2 | Finale A"
"Gurvan Piton","K1HM","126.15","775.44","691.51","Course n∞2 | Finale A"
"Lenny Derrien","K1HM","128.77","871.26","725.77","Course n∞2 | Finale A"
"Romain Podevin","K1HM","130.29","887.44","745.64","Course n∞2 | Finale A"
"Theodore Favreau","K1HM","131.32","482.37","759.11","Course n∞2 | Finale A"
"Eliot Chouteau","K1HM","131.73","760.87","764.47","Course n∞2 | Finale A"
"Mathys Valliere","K1HM","134.94","933.49","806.43","Course n∞2 | Finale A"
"Madec Gezequel","K1HM","139.54","678.45","866.58","Course n∞2 | Finale A"
"Lucas Hado","K1HM","141.22","843.9","888.54","Course n∞2 | Finale A"
"Youn Roger","K1HM","143.4","799.93","917.04","Course n∞2 | Finale A"
"Loan Beaucourt","K1HM","148.38","908.21","982.15","Course n∞2 | Finale A"
"Mat…o Delachair","K1HM","166.91","740.71","1224.42","Course n∞2 | Finale A"
"Sacha Menard","K1HM","186.41","763.5","1479.36","Course n∞2 | Finale A"
"Malo Lajoye","K1HM","202.3","735.09","1687.11","Course n∞2 | Finale A"
"Laurine Naveau","C1D","135.27","447.16","520.99","Course n∞2 | Finale B"
"Pauline Lybrecht","C1D","138.63","574.17","557.6","Course n∞2 | Finale B"
"Estelle Brodin","C1D","154.71","682.16","732.79","Course n∞2 | Finale B"
"Emma Pouilly","C1D","154.91","788.56","734.98","Course n∞2 | Finale B"
"Titouan Castryck","C1H","111.1","436.5","430.58","Course n∞2 | Finale B"
"Nicolas Bernardy","C1H","117.87","481.76","514.87","Course n∞2 | Finale B"
"Killian Flegeau","C1H","121.67","459.35","562.19","Course n∞2 | Finale B"
"Antoine Martin","C1H","125.41","555.45","608.76","Course n∞2 | Finale B"
"Francois Hemidy","C1H","125.62","729.8","611.37","Course n∞2 | Finale B"
"Titouan Aussant","C1H","126.22","552.91","618.85","Course n∞2 | Finale B"
"Noe Gorvo","C1H","127.37","591.59","633.17","Course n∞2 | Finale B"
"Jean Aussant","C1H","127.76","443.44","638.02","Course n∞2 | Finale B"
"Yoann Bizot","C1H","128.29","503.59","644.62","Course n∞2 | Finale B"
"Louis Beaumois","C1H","128.85","427.33","651.59","Course n∞2 | Finale B"
"Joris Hello","C1H","129.01","410.67","653.59","Course n∞2 | Finale B"
"Jonas Le Guen","C1H","129.56","610.09","660.43","Course n∞2 | Finale B"
"Baptiste Duboc","C1H","131.73","627.03","687.45","Course n∞2 | Finale B"
"Antoine Bizot","C1H","133.41","1835.83","708.37","Course n∞2 | Finale B"
"Maxence Gautier Grall","C1H","135.6","850.75","735.64","Course n∞2 | Finale B"
"Thomas Hado","C1H","137.99","733.78","765.4","Course n∞2 | Finale B"
"Timothee Clep","C1H","144.74","629.88","849.45","Course n∞2 | Finale B"
"Esteban Olivier","C1H","146.09","860.96","866.25","Course n∞2 | Finale B"
"Clement Ezanno","C1H","147.49","845.08","883.7","Course n∞2 | Finale B"
"Laurent Chiron","C1H","149.59","582.19","909.84","Course n∞2 | Finale B"
"Marin Guillouet","C1H","151.27","917.39","930.76","Course n∞2 | Finale B"
"Quentin Monot","C1H","151.6","839.19","934.87","Course n∞2 | Finale B"
"Kyliann Godin","C1H","156.71","797.11","998.5","Course n∞2 | Finale B"
"Ga tan Le Roy","C1H","245.54","2807.87","2104.58","Course n∞2 | Finale B"
"Timothe Balbous","C1HM","146.07","1302.36","866.01","Course n∞2 | Finale B"
"Celio Chevallier","C1HM","164.69","993.54","1097.86","Course n∞2 | Finale B"
"Lucas Hado","C1HM","182.17","1276.83","1315.51","Course n∞2 | Finale B"
"Clement Hado","C1HM","187.49","1871.03","1381.76","Course n∞2 | Finale B"
"Jules Le Nevez","C1HM","258.37","1446.28","2264.33","Course n∞2 | Finale B"
"Tiphaine Duboc","K1D","109.34","336.49","312.28","Course n∞2 | Finale B"
"Maela Le Corre","K1D","122.51","530.73","464.65","Course n∞2 | Finale B"
"Clara Grangeon","K1D","124.31","436.47","485.48","Course n∞2 | Finale B"
"Helene Raguenes","K1D","129.22","407.5","542.29","Course n∞2 | Finale B"
"Pauline Lybrecht","K1D","129.4","589.89","544.37","Course n∞2 | Finale B"
"Estelle Brodin","K1D","131.5","578.91","568.67","Course n∞2 | Finale B"
"Veronique Vourch","K1D","135.78","458.73","618.18","Course n∞2 | Finale B"
"Jann Le Corre","K1D","139.3","514.54","658.91","Course n∞2 | Finale B"
"Gwendoline Hall","K1D","147.97","657.4","759.23","Course n∞2 | Finale B"
"Alwena Piton","K1D","152.49","657.7","811.53","Course n∞2 | Finale B"
"Ilona Bluteau","K1D","154.71","881.93","837.2","Course n∞2 | Finale B"
"Noemie Herpin","K1D","169.84","893.23","1012.27","Course n∞2 | Finale B"
"Manon Ruz…","K1D","184.08","976.58","1177.03","Course n∞2 | Finale B"
"Lenaig Chapel","K1D","268.84","1697.72","2157.7","Course n∞2 | Finale B"
"Clara Perrot","K1DM","141.02","1007.36","678.81","Course n∞2 | Finale B"
"Klara Lubin","K1DM","165.69","687.09","964.25","Course n∞2 | Finale B"
"Salome Le Naour","K1DM","305.21","1103.14","2578.51","Course n∞2 | Finale B"
"Hugo Regnier","K1H","85.27","96.38","162.04","Course n∞2 | Finale B"
"Alex Louveau","K1H","88.64","183.15","206.1","Course n∞2 | Finale B"
"Tanguy Adisson","K1H","94.87","344.64","287.55","Course n∞2 | Finale B"
"Nicolas Mevel","K1H","97.82","542.93","326.12","Course n∞2 | Finale B"
"Aurelien Le Duc","K1H","101.86","412.71","378.94","Course n∞2 | Finale B"
"Louison Decarsin","K1H","105.62","463.59","428.1","Course n∞2 | Finale B"
"Cosme Duboc","K1H","109.41","481.81","477.65","Course n∞2 | Finale B"
"Yann Curti","K1H","110.8","485.19","495.82","Course n∞2 | Finale B"
"Logan Toubel","K1H","111.03","518.11","498.83","Course n∞2 | Finale B"
"Tom Marchand","K1H","111.2","379.04","501.05","Course n∞2 | Finale B"
"Jules Roos","K1H","111.2","408.18","501.05","Course n∞2 | Finale B"
"Nicolas Le Belleguic","K1H","111.53","432.48","505.37","Course n∞2 | Finale B"
"Axel Brin","K1H","111.58","392.62","506.02","Course n∞2 | Finale B"
"Cesar Le Berder","K1H","111.93","441.79","510.6","Course n∞2 | Finale B"
"Samuel Vallienne","K1H","112.47","407.57","517.66","Course n∞2 | Finale B"
"Mael Calvez","K1H","112.5","558.07","518.05","Course n∞2 | Finale B"
"Emmanuel Cosse","K1H","112.52","427.88","518.31","Course n∞2 | Finale B"
"Quentin Brillaut","K1H","112.83","573.63","522.36","Course n∞2 | Finale B"
"Vincent Laclide","K1H","113.01","260.41","524.72","Course n∞2 | Finale B"
"Alexis Pernelle","K1H","114.75","544.19","547.47","Course n∞2 | Finale B"
"Ewann Hervouet","K1H","115.43","523.19","556.36","Course n∞2 | Finale B"
"Vincent Donval","K1H","115.49","535.43","557.14","Course n∞2 | Finale B"
"Milio Le Touze","K1H","115.68","489.59","559.63","Course n∞2 | Finale B"
"Thibaut Jumetz","K1H","116.11","471.72","565.25","Course n∞2 | Finale B"
"Yann Le Bourser","K1H","116.87","487","575.18","Course n∞2 | Finale B"
"Noe Caillet","K1H","119.1","477.76","604.34","Course n∞2 | Finale B"
"Vincent Salmon","K1H","120.08","601.82","617.15","Course n∞2 | Finale B"
"Simon Beguinel","K1H","121.82","539.59","639.9","Course n∞2 | Finale B"
"Yann Vergelin","K1H","122.1","645.01","643.56","Course n∞2 | Finale B"
"Simon Le Nevez","K1H","123.02","738.06","655.59","Course n∞2 | Finale B"
"Hugo Robert","K1H","123.47","484.54","661.47","Course n∞2 | Finale B"
"Esteban Olivier","K1H","123.89","689.01","666.96","Course n∞2 | Finale B"
"Yohann Revelle","K1H","125.76","551.15","691.41","Course n∞2 | Finale B"
"Nathan Bruneau","K1H","126.66","844.32","703.18","Course n∞2 | Finale B"
"Thomas Le Devehat","K1H","126.73","634.6","704.1","Course n∞2 | Finale B"
"Christophe Gergaud","K1H","127.08","880.92","708.67","Course n∞2 | Finale B"
"Gaetan Le Jeune","K1H","128.55","588.41","727.89","Course n∞2 | Finale B"
"Iwen Robic","K1H","130.29","816.9","750.64","Course n∞2 | Finale B"
"Arthur Hervieu","K1H","130.52","665.07","753.65","Course n∞2 | Finale B"
"Nicolas Laly","K1H","130.83","633.46","757.7","Course n∞2 | Finale B"
"Olivier Brochard","K1H","132.49","555.11","779.4","Course n∞2 | Finale B"
"Kevin Mousserion","K1H","133.72","661.7","795.48","Course n∞2 | Finale B"
"Mathieu Brisson","K1H","134.93","748","811.3","Course n∞2 | Finale B"
"Cyriaque Sorin","K1H","135.74","686.5","821.89","Course n∞2 | Finale B"
"Nolann Maudet","K1H","136.3","680.94","829.22","Course n∞2 | Finale B"
"Hugo Brossard","K1H","136.35","935.22","829.87","Course n∞2 | Finale B"
"Nathan Andre","K1H","137.44","893.71","844.12","Course n∞2 | Finale B"
"Brieuc Moreau","K1H","137.92","830.79","850.4","Course n∞2 | Finale B"
"Theo Le Roux","K1H","139.81","759.89","875.11","Course n∞2 | Finale B"
"Maxence Quillere","K1H","140.09","813.93","878.77","Course n∞2 | Finale B"
"Clement Collardez","K1H","141.18","853.62","893.02","Course n∞2 | Finale B"
"Victor Robert","K1H","143.06","611.3","917.6","Course n∞2 | Finale B"
"Ga tan Le Roy","K1H","144.68","1051.18","938.78","Course n∞2 | Finale B"
"Samuel Piton","K1H","146.49","655.54","962.44","Course n∞2 | Finale B"
"Jean Christophe Olivo","K1H","149.11","717.89","996.7","Course n∞2 | Finale B"
"Mael Maugain","K1H","150.51","874.12","1015","Course n∞2 | Finale B"
"Herve Busson","K1H","151.25","274.48","1024.68","Course n∞2 | Finale B"
"Quentin Le Duc","K1H","156.17","406.86","1089","Course n∞2 | Finale B"
"Christian Le Parc","K1H","159.18","846.75","1128.35","Course n∞2 | Finale B"
"Gael Menard","K1H","168.87","1399.26","1255.04","Course n∞2 | Finale B"
"Florian Szabo","K1H","169.57","583.59","1264.19","Course n∞2 | Finale B"
"Ambroise Perier","K1H","172.4","908.33","1301.19","Course n∞2 | Finale B"
"Timothee Clep","K1H","177.17","584.17","1363.56","Course n∞2 | Finale B"
"Arold Pietrain","K1H","179.31","571.71","1391.54","Course n∞2 | Finale B"
"Titouan Briand","K1H","185.32","838.23","1470.11","Course n∞2 | Finale B"
"Flavien Coutard","K1H","206.44","1050.32","1746.24","Course n∞2 | Finale B"
"Antoine Fournier","K1HM","129.05","813.36","734.43","Course n∞2 | Finale B"
"Nathan Guilleray","K1HM","131.14","743.4","761.75","Course n∞2 | Finale B"
"Victor Julou","K1HM","134.02","750.76","799.41","Course n∞2 | Finale B"
"Nino Pontillo","K1HM","134.94","704.56","811.43","Course n∞2 | Finale B"
"Gabin Mesnil","K1HM","135.94","1079.64","824.51","Course n∞2 | Finale B"
"Pierre Le Corvaisier","K1HM","137.76","864.72","848.3","Course n∞2 | Finale B"
"Mewen Coadou","K1HM","144.21","878.37","932.63","Course n∞2 | Finale B"
"Lucas Dubelloy","K1HM","144.53","918.33","936.82","Course n∞2 | Finale B"
"Mael Robic","K1HM","146.16","890.01","958.13","Course n∞2 | Finale B"
"Marius Chotard","K1HM","148.48","1021.54","988.46","Course n∞2 | Finale B"
"Noah Hebert","K1HM","149.55","1246.28","1002.45","Course n∞2 | Finale B"
"Simon Lefebvre","K1HM","150","896.75","1008.33","Course n∞2 | Finale B"
"Clement Hado","K1HM","155.88","939.33","1085.21","Course n∞2 | Finale B"
"Jules Le Nevez","K1HM","157.29","948.61","1103.64","Course n∞2 | Finale B"
"Sohann Huet","K1HM","160.44","882.67","1144.83","Course n∞2 | Finale B"
"Luis Riu","K1HM","161.24","1018.86","1155.29","Course n∞2 | Finale B"
"Florian Manceau","K1HM","164.24","892.11","1194.51","Course n∞2 | Finale B"
"Timothe Balbous","K1HM","164.77","960.05","1201.44","Course n∞2 | Finale B"
"Sam Julien","K1HM","165.93","1146.79","1216.6","Course n∞2 | Finale B"
"Vianney Picard","K1HM","172.46","1114.75","1301.98","Course n∞2 | Finale B"
"Mathis Colin","K1HM","206.03","992.83","1740.88","Course n∞2 | Finale B"
"Quentin Maisonneuve","K1HM","265.08","1121.19","2512.91","Course n∞2 | Finale B"
