"SÈlectif RÈgional Slalom (Double) - 07150 Vallon Pont D Arc - Course n∞1 | Finale - 2020-02-22","Course n∞1 | Finale","2020-02-22","RÈgional","140"
"Bertrand Lamy","K1H","98.08","402.74","417.65","Course n∞1 | Finale A"
"Arthur Sanchez","K1H","98.1","582.14","417.94","Course n∞1 | Finale A"
"Quentyn Maitre","K1H","98.25","338.2","420.05","Course n∞1 | Finale A"
"Basile Monzerian","K1H","98.37","459.63","421.75","Course n∞1 | Finale A"
"Jean Philippe Winiarski","K1H","99.5","467.81","437.7","Course n∞1 | Finale A"
"Nicolas Detheve","K1H","99.56","323.35","438.55","Course n∞1 | Finale A"
"Rutger Hoedemaker","K1H","100.55","513.26","452.53","Course n∞1 | Finale A"
"Jules Sourieau","K1H","100.61","531.82","453.38","Course n∞1 | Finale A"
"Ugo Magnani","K1H","100.84","536.98","456.62","Course n∞1 | Finale A"
"Mathieu Hayet","K1H","101.82","466.36","470.46","Course n∞1 | Finale A"
"Gaspard Gonseth","K1H","102.28","524.96","476.96","Course n∞1 | Finale A"
"Herve Vitali","K1H","103.23","473.74","490.37","Course n∞1 | Finale A"
"Ariel Kasinski","K1H","103.26","1321.46","490.79","Course n∞1 | Finale A"
"Esteban Reder-issartel","K1H","103.99","396.53","501.1","Course n∞1 | Finale A"
"Florian Bibron","K1H","104.96","507.77","514.8","Course n∞1 | Finale A"
"Nicolas Monzerian","K1H","105.55","456.14","523.13","Course n∞1 | Finale A"
"Clement Raul","K1H","105.97","624.17","529.06","Course n∞1 | Finale A"
"Erwan Quellec","K1H","106.45","377.1","535.84","Course n∞1 | Finale A"
"Damien Chamblay","K1H","108.87","477.57","570.01","Course n∞1 | Finale A"
"Francis Gaillard","K1H","109.36","522.66","576.93","Course n∞1 | Finale A"
"Gabriel Saul","K1H","109.45","358.23","578.2","Course n∞1 | Finale A"
"Arnaud Lejeune","K1H","109.9","477.65","584.55","Course n∞1 | Finale A"
"Mathys Michel","K1H","110.09","585.57","587.24","Course n∞1 | Finale A"
"Remy Beal","K1H","110.25","445.89","589.49","Course n∞1 | Finale A"
"Davy Egraz","K1H","143.83","289.31","1063.65","Course n∞1 | Finale A"
"Daniel Chambert","K1H","155.4","472.3","1227.02","Course n∞1 | Finale A"
"Yuha Egraz","K1HM","107.46","567.88","550.1","Course n∞1 | Finale A"
"Alric Detheve","K1HM","111.05","641.15","600.79","Course n∞1 | Finale A"
"Theo Dessolies","K1HM","114.51","652.79","649.65","Course n∞1 | Finale A"
"Leo Ulmer","K1HM","124.09","724.81","784.92","Course n∞1 | Finale A"
"R…mi Teillerie","K1HM","137.41","810.58","973","Course n∞1 | Finale A"
"Titouan Carbon","C1H","121.81","746.11","675.83","Course n∞1 | Finale B"
"Raphael Wiche","C1H","122.17","703.75","680.66","Course n∞1 | Finale B"
"Mathieu Hayet","C1H","126.45","629.32","738.22","Course n∞1 | Finale B"
"Dominique Bonnot","C1H","135.29","913.35","857.1","Course n∞1 | Finale B"
"Alexei Evlachev","C1H","139.28","1178.35","910.76","Course n∞1 | Finale B"
"Nathanael Pedron","C1H","166.99","840.55","1283.39","Course n∞1 | Finale B"
"Chlo… Guyon Blanc","K1D","117.96","620","511.74","Course n∞1 | Finale B"
"Ameline Saunier","K1D","121.44","597","555.23","Course n∞1 | Finale B"
"Dorie Deshogues","K1D","124.08","619.86","588.21","Course n∞1 | Finale B"
"Jeanne Mazard","K1D","124.53","972.53","593.85","Course n∞1 | Finale B"
"Louise Duterage","K1D","132.89","643.59","698.31","Course n∞1 | Finale B"
"Lou Ann Vuilleumier","K1D","133.07","905.49","700.55","Course n∞1 | Finale B"
"Camille Coulonval","K1D","137.09","1168.96","750.79","Course n∞1 | Finale B"
"Pauline Hugoy","K1D","144.14","1534.58","838.89","Course n∞1 | Finale B"
"Sidonie Duterage","K1D","185.3","716.07","1353.2","Course n∞1 | Finale B"
"Laura Ceysson","K1D","219.03","2603.64","1774.68","Course n∞1 | Finale B"
"C…lia Lauret","K1D","Abs","-","-","Course n∞1 | Finale B"
"Laurel Hartmann","K1H","102.46","555.85","484.5","Course n∞1 | Finale B"
"Victor Eduardo Carneiro Gomes","K1H","104.66","524.61","515.56","Course n∞1 | Finale B"
"Pierre Escuret","K1H","105.14","457.13","522.34","Course n∞1 | Finale B"
"Victorien Pittion","K1H","106.78","762.51","545.5","Course n∞1 | Finale B"
"Christophe Pernot","K1H","107.43","545.87","554.68","Course n∞1 | Finale B"
"Victorien Lombard","K1H","108.26","511.06","566.4","Course n∞1 | Finale B"
"Alexei Evlachev","K1H","108.52","549.88","570.07","Course n∞1 | Finale B"
"Arthur Vernede","K1H","109.34","581.14","581.65","Course n∞1 | Finale B"
"Gregoire Dommee","K1H","111.22","814.67","608.19","Course n∞1 | Finale B"
"Julyan Maitre","K1H","111.41","709.39","610.87","Course n∞1 | Finale B"
"Philippe Lelieur","K1H","111.87","559.98","617.37","Course n∞1 | Finale B"
"Clement Innocenti","K1H","112.37","679.98","624.43","Course n∞1 | Finale B"
"Charlie Bouvier","K1H","114.31","652.7","651.82","Course n∞1 | Finale B"
"Louis Bouquet","K1H","114.49","742.72","654.36","Course n∞1 | Finale B"
"Remi Vallin","K1H","114.89","567.06","660.01","Course n∞1 | Finale B"
"Rafael Parnotte","K1H","115.81","732.78","673","Course n∞1 | Finale B"
"Ga l Bonnot","K1H","118.16","886.42","706.18","Course n∞1 | Finale B"
"Loris Allamachere","K1H","118.7","648.98","713.81","Course n∞1 | Finale B"
"Jean-marc Suarez","K1H","119.16","622.68","720.3","Course n∞1 | Finale B"
"Ange Bernard","K1H","121.91","914.9","759.14","Course n∞1 | Finale B"
"Bastien Guiard","K1H","124.14","969.45","790.62","Course n∞1 | Finale B"
"Corentin Amand","K1H","124.15","950.15","790.76","Course n∞1 | Finale B"
"Clement Quaeghebeur","K1H","124.89","1150.41","801.21","Course n∞1 | Finale B"
"Jules Roussel","K1H","127.08","853.71","832.14","Course n∞1 | Finale B"
"Dimitri Chalopin","K1H","128.29","1511.55","849.22","Course n∞1 | Finale B"
"Malo Maitrejean","K1H","133.06","801.65","916.57","Course n∞1 | Finale B"
"Mat…o Million","K1H","137.31","853.36","976.58","Course n∞1 | Finale B"
"Titouan Legardinier","K1H","138.56","939.27","994.24","Course n∞1 | Finale B"
"Michel Claveau","K1H","139.8","1226.23","1011.74","Course n∞1 | Finale B"
"Jean Bonnet","K1H","143.59","1112.37","1065.26","Course n∞1 | Finale B"
"Tinael Yahiaoui","K1H","153.07","1758.89","1199.12","Course n∞1 | Finale B"
"Ivan Parnotte","K1H","153.27","1043.6","1201.94","Course n∞1 | Finale B"
"Eloœc Porte","K1H","158.92","725.61","1281.72","Course n∞1 | Finale B"
"Alban Crochet","K1H","164.24","1372.59","1356.84","Course n∞1 | Finale B"
"Stephane Breton","K1H","172.87","1342.44","1478.7","Course n∞1 | Finale B"
"Thibaut Amand","K1H","223.87","2670.92","2198.82","Course n∞1 | Finale B"
"Ethan Vilardell","K1H","244.12","1355.02","2484.75","Course n∞1 | Finale B"
"Gustave Gonseth","K1HM","125.75","746.47","813.36","Course n∞1 | Finale B"
"Dorian Oriol","K1HM","132.91","705.48","914.46","Course n∞1 | Finale B"
"Titouan Duraffourg","K1HM","138.84","967.6","998.19","Course n∞1 | Finale B"
"Romain Bertrand","K1HM","177.96","827.61","1550.57","Course n∞1 | Finale B"
"Louca Bal","K1HM","201.04","3286.64","1876.46","Course n∞1 | Finale B"
