"Championnat RÈgional de Slalom - 22300 Lannion - Qualification - 2019-12-15","Qualification","2019-12-15","RÈgional","214"
"Thomas Ollivo","C1H","129","450.68","516.95",""
"Yannis Houze","C1H","131.58","471.7","547.12",""
"Nino Poisson","C1H","133.03","596.77","564.08",""
"Roman Souffez","C1H","133.7","651.47","571.92",""
"Cedric Collet","C1H","135.77","550.21","596.14",""
"Joris Hello","C1H","136.81","507.73","608.3",""
"Julien Caillarec","C1H","147.15","482.74","729.24",""
"Jules Roos","C1H","193.79","561.51","1274.76",""
"Louis Beaumois","C1H","230.46","474.24","1703.66",""
"Jeanmichel Regnier","C1H","Abs","-","-",""
"Melenn Aubry","C1H","Abs","-","-",""
"Martin Cornu","C1HM","118.5","459.29","394.14",""
"Elouan Debliquy","C1HM","123.54","474.08","453.09",""
"Malik Mahe","C1HM","172.88","948.09","1030.19",""
"Jonas Le Guen","C1HM","Des","-","-",""
"Julien Rocaboy-Melaine Pichard","C2H","115.57","418.99","298.43",""
"Melenn Aubry-Youn Aubry","C2H","Abs","-","-",""
"Melenn Aubry-Estelle Hellard","C2M","Abs","-","-",""
"Claire Moal","K1D","106.53","254.18","165.92",""
"Anne Boixel","K1D","109.96","252.96","203.2",""
"Romane Regnier","K1D","110.85","269.1","212.87",""
"Anais Bernardy","K1D","113.34","213.19","239.94",""
"Eva Marchand","K1D","117.06","255.22","280.37",""
"Morgane Quemerais","K1D","117.7","383.26","287.32",""
"Alice Azam","K1D","121.12","285.15","324.49",""
"Helene Raguenes","K1D","124.03","434.1","356.12",""
"Sylviane Quemerais","K1D","124.68","406.97","363.18",""
"Laurie Beaurepere","K1D","125.9","460.52","376.44",""
"Clara Grangeon","K1D","129.18","391.59","412.09",""
"Veronique Vourch","K1D","129.87","461.72","419.59",""
"Frederique Piton","K1D","132.74","482.57","450.78",""
"Muriel Van Vliet","K1D","134.98","642.22","475.12",""
"Elodie Morin - S…rot","K1D","138.88","565.31","517.51",""
"Louna Beurel","K1D","139.13","379.89","520.23",""
"Lilou Le Roux Divanac'h","K1D","145.44","651.99","588.81",""
"Gwendoline Hall","K1D","145.46","502.04","589.03",""
"Bertille Nivet","K1D","151.97","656.81","659.78",""
"Nagwa Lanchec El Desouki","K1D","163.37","350.6","783.67",""
"Alexandra Rochard","K1D","163.39","534.58","783.89",""
"Bleuenn Le Foll","K1D","167.82","793.53","832.03",""
"Chlo… Jegoux","K1D","259.41","679.88","1827.46",""
"Estelle Hellard","K1D","Abs","-","-",""
"Clothilde Le Louarn","K1D","Abs","-","-",""
"L…na Quemerais","K1DM","118.8","341.23","299.28",""
"Juna Marquet","K1DM","134.48","524.45","469.69",""
"Alwena Piton","K1DM","150.59","1085.67","644.77",""
"Clara Perrot","K1DM","164.7","627.16","798.13",""
"Aurelie Hall","K1DM","194.34","951.32","1120.26",""
"Klara Lubin","K1DM","449.68","1016.8","3895.37",""
"Pol Oulhen","K1H","88.98","35.71","100.9",""
"Malo Quemeneur","K1H","90.5","15.82","119.57",""
"Hugo Regnier","K1H","92.2","64.36","140.45",""
"Matheo Lebaindre","K1H","94.13","147.17","164.15",""
"Pol Euzenes","K1H","97.19","183.45","201.73",""
"Anthony Drouhin","K1H","97.45","177.61","204.92",""
"Timothee Cornu","K1H","97.6","199.57","206.77",""
"Arthur Mizzi","K1H","97.85","148.09","209.84",""
"Titouan Castryck","K1H","98","160.34","211.68",""
"Killian Flegeau","K1H","98.01","207.97","211.8",""
"Paul Gestin","K1H","98.71","171.48","220.4",""
"Nathan Flageul","K1H","100.43","262.87","241.52",""
"Joris Hello","K1H","100.52","165.45","242.63",""
"Mewen Debliquy","K1H","100.58","218.63","243.36",""
"Loan Queffelec","K1H","100.58","167.31","243.36",""
"Samuel Le Dean","K1H","102.7","269.2","269.4",""
"Lorin Dumont","K1H","102.85","285.94","271.24",""
"Melaine Pichard","K1H","102.95","279.02","272.47",""
"Luc Hellard","K1H","102.98","204.42","272.84",""
"Brice Derrien","K1H","103.06","325.4","273.82",""
"Clement Olivier","K1H","103.13","310.63","274.68",""
"Julien Dosse","K1H","103.37","299.22","277.63",""
"Ewen Berrest","K1H","103.78","224.34","282.66",""
"Riwal Le Berre","K1H","103.86","327.28","283.65",""
"Rafael Lerusse","K1H","104.42","262.86","290.52",""
"Franck Delachair","K1H","105.06","325.07","298.38",""
"Yannis Houze","K1H","106.6","330.95","317.3",""
"Romain Guyomard","K1H","106.76","282.71","319.26",""
"Clement Dubois","K1H","106.9","277.01","320.98",""
"Martin Magras","K1H","106.91","450.17","321.1",""
"Jeanmichel Regnier","K1H","107.69","313.09","330.68",""
"Eliott Reine","K1H","108.01","451.63","334.61",""
"Nicolas Mevel","K1H","108.3","191.16","338.17",""
"Youn Aubry","K1H","108.61","311.78","341.98",""
"Dante Bourlet De La Vallee","K1H","108.85","382.06","344.93",""
"Noe Gorvo","K1H","109.44","329.17","352.17",""
"Lionel Tinevez","K1H","109.8","383.68","356.6",""
"Nicolas Bidault","K1H","110.16","440.38","361.02",""
"Mael Rogard","K1H","110.85","-","369.49",""
"Martin Dubois","K1H","111.03","313.91","371.7",""
"Nicolas Le Belleguic","K1H","112.25","518.24","386.68",""
"Yann Curti","K1H","113.85","510.74","406.33",""
"Julien Caillarec","K1H","114.18","391.09","410.39",""
"Oscar Donval","K1H","114.21","372.57","410.75",""
"Corentin Beaumois","K1H","114.22","430.19","410.88",""
"Gwenael Marquer","K1H","114.58","423.71","415.3",""
"Clement Le Collinet","K1H","114.64","349","416.04",""
"Frederic Castryck","K1H","115.19","393.9","422.79",""
"Alain Droniou","K1H","115.23","441.67","423.28",""
"Elouan Le Fournis","K1H","115.48","412.67","426.35",""
"Clement Ezanno","K1H","115.71","488.51","429.18",""
"Pierre-yves Lebreton","K1H","116.05","390.94","433.35",""
"Gurvan Huet","K1H","116.46","339.81","438.39",""
"Aurelien Le Duc","K1H","116.58","420.81","439.86",""
"Alan Olivo","K1H","116.84","416.29","443.05",""
"Simon Seuru","K1H","118.11","436.33","458.65",""
"Alan Le Goff","K1H","118.24","512.78","460.25",""
"Loœg Massot","K1H","119.48","545.8","475.48",""
"Adrien Brigant","K1H","120.03","537.64","482.23",""
"Glen Le Meur","K1H","120.18","541.66","484.07",""
"Adrien Le Collinet","K1H","120.65","478.89","489.85",""
"Marin Salmon","K1H","121.54","706.35","500.78",""
"Ylan Penvenne","K1H","122.12","384.15","507.9",""
"Adrien Pierre","K1H","122.23","427.12","509.25",""
"Antoine Aubert","K1H","122.83","561.26","516.62",""
"Vincent Donval","K1H","123.24","543.73","521.65",""
"Ronan Nedelec","K1H","123.76","576.8","528.04",""
"Dorian Ollivier","K1H","123.91","653.36","529.88",""
"Valentin Rault","K1H","125.44","784.71","548.67",""
"Cesar Le Berder","K1H","125.52","463.34","549.65",""
"Sylvain Premel","K1H","126.06","704.67","556.29",""
"Jean Yves Prigent","K1H","126.24","621.95","558.5",""
"Mael Calvez","K1H","126.42","626.86","560.71",""
"Riwal Ollivier","K1H","126.59","631.47","562.8",""
"Mathis Poree","K1H","129.38","554.58","597.06",""
"Florian Szabo","K1H","129.47","632.37","598.17",""
"Logan Toubel","K1H","130.39","570.96","609.46",""
"Samuel Piton","K1H","130.98","710.2","616.71",""
"Tanguy Rolland","K1H","133.5","721.58","647.66",""
"Maxime Lignereux","K1H","133.64","759.66","649.38",""
"Julien Pommerol","K1H","134.08","725.08","654.78",""
"Riwan Le Roy","K1H","134.48","808.83","659.69",""
"Valentin Rolland","K1H","137.66","811.04","698.75",""
"Victor Robert","K1H","140.32","571.5","731.42",""
"Victor Perebaskine","K1H","147.02","917.29","813.7",""
"Riwal Bourdoulous","K1H","147.82","728.29","823.52",""
"Mael Crespel","K1H","152.16","957.33","876.82",""
"Nicolas Coudert","K1H","154.88","292.57","910.23",""
"Ambroise Perier","K1H","161.48","979.71","991.28",""
"Juan Riu","K1H","162.76","535.72","1007",""
"Stephane Debliquy","K1H","166.17","425.42","1048.88",""
"Mael Maugain","K1H","171.26","1069.59","1111.39",""
"Romain Foulon","K1H","172.05","568.34","1121.1",""
"Ethan Robert","K1H","200.98","1070.84","1476.39",""
"Jules Roos","K1H","220.49","370.51","1715.99",""
"Jean Christophe Olivo","K1H","272.42","904","2353.75",""
"Titouan Le Jeune","K1H","Abs","-","-",""
"Emmanuel Cosse","K1H","Abs","-","-",""
"Robinson Le Maillot","K1H","Des","-","-",""
"Theo Le Roux","K1H","Abs","-","-",""
"Martin Cornu","K1HM","107.25","326.85","325.28",""
"Elouan Debliquy","K1HM","108.46","364.37","340.14",""
"Jonas Le Guen","K1HM","108.52","369.71","340.88",""
"Jules Brisson","K1HM","110.02","510.17","359.3",""
"Milio Le Touze","K1HM","115.23","541.12","423.28",""
"Celio Chevallier","K1HM","120.81","559.41","491.81",""
"Mat…o Delachair","K1HM","123.95","645.32","530.37",""
"Damien Guilloux","K1HM","129.1","740.14","593.62",""
"Iwen Robic","K1HM","135.67","820.09","674.31",""
"Thomas Le Devehat","K1HM","135.89","832.28","677.01",""
"Pacome Michel","K1HM","136.89","734.07","689.29",""
"William Adeline","K1HM","138.61","702.22","710.41",""
"Simon Le Nevez","K1HM","150.16","1012.56","852.26",""
"Maxence Quillere","K1HM","151.76","892.4","871.91",""
"Clement Le Naour","K1HM","156.86","816.26","934.55",""
"Timoth… Le Beuvant","K1HM","159.79","911.2","970.53",""
"Raphael Herve","K1HM","168.99","1011.63","1083.52",""
"Lorenzo Caucheteux","K1HM","169.6","888.28","1091.01",""
"Loan Beaucourt","K1HM","177.94","1242.99","1193.43",""
"Titouan Briand","K1HM","195.07","859.78","1403.81",""
"Victor Julou","K1HM","201.01","757.1","1476.76",""
"Noe Bourges","K1HM","213.03","1231.86","1624.38",""
"Florian Manceau","K1HM","247.94","1005.94","2053.11",""
"Duncan Coppens","K1HM","Abs","-","-",""
"Yvann Bleunven","K1HM","Abs","-","-",""
"Ewen Ulian","K1HM","Abs","-","-",""
"Mewen Coadou","K1HM","Abs","-","-",""
