"SÈlectif RÈgional Slalom (Double) - Toulouse - Course n∞1 | Finale - 2018-03-17","Course n∞1 | Finale","2018-03-17","RÈgional","211"
"Vincent Garcia","K1H","93.35","278.15","276.47","Course n∞1 | Finale A"
"Jeremie Palazy","K1H","93.9","177.05","283.68","Course n∞1 | Finale A"
"Jonathan Delagnes","K1H","94.14","233.11","286.83","Course n∞1 | Finale A"
"Dylan Sourbe","K1H","94.39","223.12","290.11","Course n∞1 | Finale A"
"Adrien Picco","K1H","94.54","252.34","292.08","Course n∞1 | Finale A"
"Samuel Bonella","K1H","95.89","228.62","309.78","Course n∞1 | Finale A"
"Tom Ydoux","K1H","96.3","274.26","315.15","Course n∞1 | Finale A"
"Cyprien Cail","K1H","96.48","376.25","317.51","Course n∞1 | Finale A"
"Quentin Clerc","K1H","96.73","266.51","320.79","Course n∞1 | Finale A"
"Marc Sarramea","K1H","96.96","339.77","323.81","Course n∞1 | Finale A"
"Hugo Mouffle","K1H","97.11","282.65","325.77","Course n∞1 | Finale A"
"Jean Philippe Roche","K1H","97.77","314.14","334.43","Course n∞1 | Finale A"
"Nicolas Saurat","K1H","97.82","288.21","335.08","Course n∞1 | Finale A"
"Theo Ducasse","K1H","98.23","329.02","340.46","Course n∞1 | Finale A"
"Marceau Faget","K1H","98.32","327.67","341.64","Course n∞1 | Finale A"
"Paul Pradalie","K1H","98.63","259.63","345.7","Course n∞1 | Finale A"
"Maxime Charron","K1H","99.14","319.03","352.39","Course n∞1 | Finale A"
"Bertrand Bercon","K1H","99.6","315.16","358.42","Course n∞1 | Finale A"
"Pablo Chaminade","K1H","99.6","361.09","358.42","Course n∞1 | Finale A"
"Dimitri Thauvin","K1H","99.75","370.33","360.39","Course n∞1 | Finale A"
"Nour Ait Kaddour","K1H","100.22","305.57","366.55","Course n∞1 | Finale A"
"Mael Hervault","K1H","100.7","382.17","372.85","Course n∞1 | Finale A"
"Vincent Bocci","K1H","100.82","328.81","374.42","Course n∞1 | Finale A"
"Tino Forgues","K1H","101.09","290.92","377.96","Course n∞1 | Finale A"
"Felix Praderie","K1H","101.32","290.56","380.97","Course n∞1 | Finale A"
"Esteban Illido","K1H","101.38","324.98","381.76","Course n∞1 | Finale A"
"Samuel Taillefer","K1H","102.39","327.19","395","Course n∞1 | Finale A"
"Elliot Perez","K1H","102.75","297.09","399.72","Course n∞1 | Finale A"
"Karl Bouthegourd","K1H","103","334.86","403","Course n∞1 | Finale A"
"Paul Gobert","K1H","103.58","434.63","410.61","Course n∞1 | Finale A"
"Marc Cordier","K1H","104.31","303.11","420.18","Course n∞1 | Finale A"
"Herve Clerc","K1H","104.38","326.6","421.1","Course n∞1 | Finale A"
"Louis Foissac","K1H","104.54","350.29","423.19","Course n∞1 | Finale A"
"Clement Caillard","K1H","104.62","372.87","424.24","Course n∞1 | Finale A"
"Elian Giondini","K1H","108.32","350.11","472.76","Course n∞1 | Finale A"
"Theo Viens","K1H","108.53","385.19","475.51","Course n∞1 | Finale A"
"Jules Besson","K1H","108.6","454.62","476.43","Course n∞1 | Finale A"
"Frederic Reus","K1H","108.99","436.53","481.54","Course n∞1 | Finale A"
"Arthur Cousty","K1H","109.58","366.74","489.28","Course n∞1 | Finale A"
"Angus Cruickshank","K1H","109.88","397.09","493.21","Course n∞1 | Finale A"
"Hugo Crespo","K1H","112.27","357.61","524.55","Course n∞1 | Finale A"
"Paul Ballery","K1H","121.58","387.26","646.62","Course n∞1 | Finale A"
"Tom Bouchardon","K1H","142","212.5","914.36","Course n∞1 | Finale A"
"Etienne Saint Picq","K1H","154.79","415.94","1082.07","Course n∞1 | Finale A"
"Alexis Dorey","K1H","206.99","229.6","1766.5","Course n∞1 | Finale A"
"Emilien Courtiade","K1HM","103.61","331.25","411","Course n∞1 | Finale A"
"Edgar Paleaubrasseur","K1HM","109.77","522.2","491.77","Course n∞1 | Finale A"
"Antton Erdois","K1HM","118.66","482.77","608.33","Course n∞1 | Finale A"
"Guillaume Pradalie","K1HM","120.71","537.26","635.21","Course n∞1 | Finale A"
"Maxime Blondeau","K1HM","121.21","530.11","641.77","Course n∞1 | Finale A"
"Clement Claret","K1HM","125.06","693.83","692.25","Course n∞1 | Finale A"
"Matheo Nassieu","K1HM","129.49","812.99","750.34","Course n∞1 | Finale A"
"Timeo Canonico","K1HM","148.73","634.24","1002.61","Course n∞1 | Finale A"
"Florian Malaval","K1HM","178.02","590.71","1386.65","Course n∞1 | Finale A"
"Antonin Bretecher","K1HM","245.14","779.49","2266.72","Course n∞1 | Finale A"
"Miguel Irungaraylarronde","K1HM","303.83","1419.36","3036.26","Course n∞1 | Finale A"
"Oceane Baylacq","C1D","113.64","320.85","299.17","Course n∞1 | Finale B"
"Elorri Erdois","C1D","136.46","391.19","548.52","Course n∞1 | Finale B"
"Solene Lafitte","C1D","157.56","478.87","779.07","Course n∞1 | Finale B"
"Tom Ydoux","C1H","108.73","468.15","415.24","Course n∞1 | Finale B"
"Alex Baldoni","C1H","112.21","538.82","458.71","Course n∞1 | Finale B"
"Nicolas Sauteur","C1H","118","466.18","531","Course n∞1 | Finale B"
"Paul Gobert","C1H","119.7","570.53","552.23","Course n∞1 | Finale B"
"Hugo Crespo","C1H","122.59","503.44","588.32","Course n∞1 | Finale B"
"Felix Sperandio","C1H","126.2","592.41","633.39","Course n∞1 | Finale B"
"Clement Serres","C1H","137.92","779.56","779.75","Course n∞1 | Finale B"
"Arthur Perez","C1H","141.59","369.68","825.59","Course n∞1 | Finale B"
"Tonin Desmet","C1H","142.25","581.65","833.82","Course n∞1 | Finale B"
"Louis Bouchiat","C1H","152.69","586.09","964.19","Course n∞1 | Finale B"
"Quentin Escudero","C1H","153.56","701.77","975.06","Course n∞1 | Finale B"
"Arthur Cousty","C1H","174.13","483.98","1231.92","Course n∞1 | Finale B"
"Laurence Scrimgeour","C1H","197.94","747.51","1529.25","Course n∞1 | Finale B"
"Martin Thermidor","C1H","Abd","-","-","Course n∞1 | Finale B"
"Felix Sperandio-Arthur Cousty","C2H","197.93","1039.95","1416.78","Course n∞1 | Finale B"
"Emilien Courtiade-Angus Cruickshank","C2H","Abs","-","-","Course n∞1 | Finale B"
"Alexandre Weiler-Liam Caradec","C2H","Abd","-","-","Course n∞1 | Finale B"
"Pierrick Bresson-Baptiste Moret","C2H","Abd","-","-","Course n∞1 | Finale B"
"Clemence Lartigue","K1D","103.5","234.65","258.43","Course n∞1 | Finale B"
"Lyse Brichet","K1D","132.73","558.14","597.6","Course n∞1 | Finale B"
"Cleo Santini","K1D","132.89","530.02","599.46","Course n∞1 | Finale B"
"Agathe Benoit","K1D","133.15","464.48","602.48","Course n∞1 | Finale B"
"Pauline Rouilhet","K1D","134.23","537.45","615.01","Course n∞1 | Finale B"
"Solene Lafitte","K1D","136.94","404.9","646.45","Course n∞1 | Finale B"
"Celia Roulleau","K1D","180.98","619.88","1157.46","Course n∞1 | Finale B"
"Lea Hubert","K1D","267.49","604.82","2161.28","Course n∞1 | Finale B"
"H…l»ne Gassie","K1D","356.81","1173.17","3197.69","Course n∞1 | Finale B"
"Perrine Dujourd'hui","K1D","378.78","807.24","3452.63","Course n∞1 | Finale B"
"Estelle Baron","K1D","576.92","6573.96","5751.72","Course n∞1 | Finale B"
"Camille Bretecher","K1D","Abs","-","-","Course n∞1 | Finale B"
"Mael Bernes","K1H","99.73","374.05","365.13","Course n∞1 | Finale B"
"Fabien Paleau","K1H","102.2","315.43","397.51","Course n∞1 | Finale B"
"Clement Riera","K1H","103.61","470.86","416","Course n∞1 | Finale B"
"Alex Baldoni","K1H","105.33","471.59","438.55","Course n∞1 | Finale B"
"Patrick Clerc","K1H","106.63","339.81","455.6","Course n∞1 | Finale B"
"Laurence Scrimgeour","K1H","107.28","429","464.12","Course n∞1 | Finale B"
"Nathaniel Levy","K1H","107.45","364.18","466.35","Course n∞1 | Finale B"
"Romain Gresle","K1H","107.48","751.51","466.74","Course n∞1 | Finale B"
"Fantin Delage-garez","K1H","110.76","396.36","509.75","Course n∞1 | Finale B"
"Louis Bouchiat","K1H","111.28","470.56","516.57","Course n∞1 | Finale B"
"Thomas Terr…","K1H","111.5","509.14","519.45","Course n∞1 | Finale B"
"Julien Dubarry","K1H","111.95","655.19","525.35","Course n∞1 | Finale B"
"Thibault Clerc","K1H","112.93","343.79","538.2","Course n∞1 | Finale B"
"Benoit Pacteau","K1H","113.99","469.74","552.1","Course n∞1 | Finale B"
"Matt Vidou","K1H","114.21","546.14","554.99","Course n∞1 | Finale B"
"Guillaume Malmezac","K1H","115.32","512.04","569.54","Course n∞1 | Finale B"
"Thomas Moret","K1H","115.63","498.45","573.6","Course n∞1 | Finale B"
"Theo Dunie","K1H","115.77","527.35","575.44","Course n∞1 | Finale B"
"Marin Saint Macary","K1H","116.39","505.09","583.57","Course n∞1 | Finale B"
"Nicolas Alran","K1H","119.81","533.46","628.41","Course n∞1 | Finale B"
"Remi Dolcin Tillant","K1H","120.33","615.66","635.23","Course n∞1 | Finale B"
"Baptiste San Nicolas","K1H","121.87","483.71","655.42","Course n∞1 | Finale B"
"Jean Dayraut","K1H","122.78","577.44","667.35","Course n∞1 | Finale B"
"Pierrick Bresson","K1H","125.61","495.65","704.46","Course n∞1 | Finale B"
"Baptiste Moret","K1H","125.82","667.1","707.21","Course n∞1 | Finale B"
"Lucas Dongarra","K1H","127.07","519.88","723.6","Course n∞1 | Finale B"
"Loan Jioux","K1H","127.6","853.76","730.55","Course n∞1 | Finale B"
"Quentin Escudero","K1H","130.9","554.68","773.82","Course n∞1 | Finale B"
"Quentin Rabot","K1H","130.94","1331.45","774.35","Course n∞1 | Finale B"
"Alexandre Weiler","K1H","131.03","1039.01","775.53","Course n∞1 | Finale B"
"Abel Boidron","K1H","131.22","504.31","778.02","Course n∞1 | Finale B"
"Damien Caillard","K1H","131.86","703.43","786.41","Course n∞1 | Finale B"
"Renaud Clerc","K1H","132.52","525.5","795.06","Course n∞1 | Finale B"
"Simeon Althabegoity","K1H","134.25","496.98","817.75","Course n∞1 | Finale B"
"Arthur Crueghe","K1H","135.6","782.96","835.45","Course n∞1 | Finale B"
"Vincent Falchi","K1H","135.67","754.12","836.37","Course n∞1 | Finale B"
"Arthur Barreteau","K1H","138.23","585.14","869.93","Course n∞1 | Finale B"
"Leo Larroque","K1H","141.98","1222.72","919.1","Course n∞1 | Finale B"
"Felix Bedulho","K1H","144.38","1070.14","950.57","Course n∞1 | Finale B"
"Clement Serres","K1H","146.75","857.92","981.65","Course n∞1 | Finale B"
"Felix Sperandio","K1H","160.73","426.93","1164.95","Course n∞1 | Finale B"
"Tristan Ruiz","K1H","171.93","624.03","1311.8","Course n∞1 | Finale B"
"Aurelien Blois","K1H","177.75","808.12","1388.11","Course n∞1 | Finale B"
"Bruno Lamothe","K1H","187.98","681.48","1522.25","Course n∞1 | Finale B"
"Gabriel Felenc","K1H","189.91","609.35","1547.55","Course n∞1 | Finale B"
"Angel Campillo","K1H","197.5","760.48","1647.07","Course n∞1 | Finale B"
"Daniel Lafitte","K1H","206.55","679.11","1765.73","Course n∞1 | Finale B"
"Liam Caradec","K1H","235.61","559.43","2146.76","Course n∞1 | Finale B"
"Mateo Destruel","K1H","288.43","895.65","2839.33","Course n∞1 | Finale B"
"Mat…o Million","K1H","291.36","1325.69","2877.75","Course n∞1 | Finale B"
"Martin Thermidor","K1H","300.28","905.44","2994.71","Course n∞1 | Finale B"
"Tom Zanfini","K1H","Abs","-","-","Course n∞1 | Finale B"
"Jules Maitre","K1H","Abd","-","-","Course n∞1 | Finale B"
"Tom Huertas","K1H","Abd","-","-","Course n∞1 | Finale B"
"Sylvain Maurel","K1H","Abd","-","-","Course n∞1 | Finale B"
"Arsene Labarthe","K1HM","150.09","839.15","1025.44","Course n∞1 | Finale B"
"Wilfrid Pinto De Magalhaes","K1HM","176.54","857.28","1372.25","Course n∞1 | Finale B"
"Eyquem Martin Skutnik","K1HM","191.78","1223.98","1572.07","Course n∞1 | Finale B"
"Malo Maitrejean","K1HM","223.2","2480.24","1984.05","Course n∞1 | Finale B"
"Arthur Piqueras","K1HM","245.02","990.42","2270.15","Course n∞1 | Finale B"
"Lilian Dujourd'hui","K1HM","313.91","1517.03","3173.42","Course n∞1 | Finale B"
"Antoine Rouaud","K1HM","352.83","-","3683.74","Course n∞1 | Finale B"
"Thomas Dutetre","K1HM","438.21","2595.75","4803.23","Course n∞1 | Finale B"
"Martin Grzeskowiak","K1HM","568.64","-","6513.4","Course n∞1 | Finale B"
"Theo Bertauts","K1HM","Abd","-","-","Course n∞1 | Finale B"
"Quentin Arnaudin","K1HM","Abd","-","-","Course n∞1 | Finale B"
