"SÈlectif RÈgional Slalom (Double) - 42520 Saint Pierre De Boeuf - Course n∞1 | Finale - 2020-10-10","Course n∞1 | Finale","2020-10-10","RÈgional","266"
"Nicolas Detheve-Nil Georgel","C2H","134.92","444.07","546.34","Course n∞1 | Finale A"
"Tom Marchand-Romain Margerie","C2H","140.95","540.74","613.63","Course n∞1 | Finale A"
"Julien Ojard-chillet-Alexis Guillon","C2H","171.92","973.73","959.28","Course n∞1 | Finale A"
"Maxime Bottex-Kesia Georgel","C2M","147.51","647.05","549.66","Course n∞1 | Finale A"
"Mathieu Monier-Chloe Faverjon","C2M","154.39","509.12","620.04","Course n∞1 | Finale A"
"Zelie Ferraris-Sacha Caron","C2M","254.36","1204.18","1642.78","Course n∞1 | Finale A"
"Noemie Fox","K1D","112.95","253.07","267.68","Course n∞1 | Finale A"
"Ilona Martin -laemle","K1D","113.32","232.96","271.69","Course n∞1 | Finale A"
"Viviana Daille","K1D","114.28","223.9","282.13","Course n∞1 | Finale A"
"Iana Gonseth","K1D","123.05","347.03","377.41","Course n∞1 | Finale A"
"Joey Bercon","K1D","123.33","253.48","380.45","Course n∞1 | Finale A"
"Mylene Ferry","K1D","123.51","289.32","382.4","Course n∞1 | Finale A"
"Annaelle Meheut","K1D","123.53","323.65","382.62","Course n∞1 | Finale A"
"Lisa Mouffle","K1D","125.38","209.05","402.72","Course n∞1 | Finale A"
"Adeline Roux","K1D","126.32","271.24","412.93","Course n∞1 | Finale A"
"Zoe Bruchon","K1D","126.58","286.38","415.76","Course n∞1 | Finale A"
"Kesia Georgel","K1D","128.87","287.37","440.63","Course n∞1 | Finale A"
"Zelie Ferraris","K1D","128.92","355.96","441.17","Course n∞1 | Finale A"
"Anouk Alberti","K1D","131.03","286.26","464.1","Course n∞1 | Finale A"
"Eve Vitali-guilbert","K1D","136.96","407.3","528.53","Course n∞1 | Finale A"
"Hind Jamili","K1D","139.47","378.1","555.8","Course n∞1 | Finale A"
"Marie Helye","K1D","141.35","424.95","576.21","Course n∞1 | Finale A"
"Lou Ann Vuilleumier","K1D","141.44","568.19","577.19","Course n∞1 | Finale A"
"Emmelyne Sauvagnac","K1D","142.49","562.17","588.6","Course n∞1 | Finale A"
"Marie Borlet","K1D","143.83","300.77","603.16","Course n∞1 | Finale A"
"Fanny Mino-vercellio","K1D","145.05","530.9","616.42","Course n∞1 | Finale A"
"Tifenn Primet","K1D","145.15","362.23","617.5","Course n∞1 | Finale A"
"Emilie Armani","K1D","146.38","683.8","630.87","Course n∞1 | Finale A"
"Chloe Faverjon","K1D","150.11","387.45","671.39","Course n∞1 | Finale A"
"Valentine Georgeon","K1D","152.25","474.89","694.64","Course n∞1 | Finale A"
"Lea Martin","K1D","190.02","493.1","1104.97","Course n∞1 | Finale A"
"Maya Georgel","K1DM","152.19","489.34","693.98","Course n∞1 | Finale A"
"Lauren Leclercq","K1DM","160.1","519.16","779.92","Course n∞1 | Finale A"
"Tiphaine Grillet","K1DM","174.99","884.98","941.68","Course n∞1 | Finale A"
"S…r…na Guibane","K1DM","177.83","666.7","972.55","Course n∞1 | Finale A"
"Maxime Bottex","K1H","96.03","178.1","219.48","Course n∞1 | Finale A"
"Loic Bertoia","K1H","97.37","101.53","235.93","Course n∞1 | Finale A"
"Martin Daviet","K1H","98.14","255.15","245.38","Course n∞1 | Finale A"
"Nicolas Caussanel","K1H","98.25","216.49","246.74","Course n∞1 | Finale A"
"Amaury Brucher","K1H","99.36","301.63","260.36","Course n∞1 | Finale A"
"Nathanael Pedron","K1H","99.58","177.6","263.06","Course n∞1 | Finale A"
"Jules Silvin","K1H","99.81","230.43","265.89","Course n∞1 | Finale A"
"Titouan Dupras","K1H","100.06","157.68","268.96","Course n∞1 | Finale A"
"Clement Couchoud","K1H","100.07","237.38","269.08","Course n∞1 | Finale A"
"Alex Louveau","K1H","100.1","183.15","269.45","Course n∞1 | Finale A"
"Gawaine Chikh","K1H","100.15","193.4","270.06","Course n∞1 | Finale A"
"Jules Cresp","K1H","100.97","165.66","280.13","Course n∞1 | Finale A"
"Antonin Robert","K1H","100.99","247.3","280.37","Course n∞1 | Finale A"
"Etienne Wiche","K1H","101.17","187.17","282.58","Course n∞1 | Finale A"
"Sylvain Dandel","K1H","101.4","195.47","285.41","Course n∞1 | Finale A"
"Jules Bevalot","K1H","102.19","206.63","295.1","Course n∞1 | Finale A"
"Tanguy Malingre","K1H","104.15","208.57","319.17","Course n∞1 | Finale A"
"Theo Brun","K1H","104.42","249.32","322.48","Course n∞1 | Finale A"
"Corentin Georgeon","K1H","104.88","299.15","328.13","Course n∞1 | Finale A"
"Arthur Blocquaux","K1H","105.81","339.12","339.55","Course n∞1 | Finale A"
"Axel Clement","K1H","106.27","325.82","345.19","Course n∞1 | Finale A"
"Collin Pouradier","K1H","106.46","239.26","347.53","Course n∞1 | Finale A"
"Cl…ment Louveau","K1H","107.2","569.21","356.61","Course n∞1 | Finale A"
"Arthur Paulus","K1H","108.62","335.77","374.04","Course n∞1 | Finale A"
"Nicolas Demofsqui","K1H","108.63","330.02","374.17","Course n∞1 | Finale A"
"Luc Doye","K1H","108.89","231.17","377.36","Course n∞1 | Finale A"
"Vincent Reiter","K1H","109.23","237.77","381.53","Course n∞1 | Finale A"
"Charles Edouard Dherment","K1H","109.97","382.34","390.62","Course n∞1 | Finale A"
"Titouan Sourieau","K1H","110.17","350.42","393.07","Course n∞1 | Finale A"
"Leo Parnotte","K1H","110.57","384.42","397.98","Course n∞1 | Finale A"
"Jean Philippe Roche","K1H","111.26","342.71","406.45","Course n∞1 | Finale A"
"Baptiste Guillaubez","K1H","112.06","395.69","416.27","Course n∞1 | Finale A"
"Arthur Contamine","K1H","112.27","256.91","418.85","Course n∞1 | Finale A"
"Raphael Bonnard","K1H","112.5","427.77","421.68","Course n∞1 | Finale A"
"Yannis Dast","K1H","112.6","304.68","422.9","Course n∞1 | Finale A"
"Gaspard Gonseth","K1H","114.07","410.89","440.95","Course n∞1 | Finale A"
"Quentyn Maitre","K1H","114.09","342.32","441.2","Course n∞1 | Finale A"
"Bertrand Lamy","K1H","114.91","398.28","451.26","Course n∞1 | Finale A"
"Dimitri Durannot","K1H","115.09","322.64","453.47","Course n∞1 | Finale A"
"Maxime Devis","K1H","115.88","346.35","463.17","Course n∞1 | Finale A"
"Maxime Gaillard","K1H","116.91","454.91","475.82","Course n∞1 | Finale A"
"Erwan Quellec","K1H","117.18","309.18","479.13","Course n∞1 | Finale A"
"Stephane Borde","K1H","117.26","418.67","480.11","Course n∞1 | Finale A"
"Maxime Melmont","K1H","117.92","326.54","488.21","Course n∞1 | Finale A"
"Clement Dancette","K1H","118.06","344.56","489.93","Course n∞1 | Finale A"
"Guillaume Gonzalez","K1H","118.13","277.39","490.79","Course n∞1 | Finale A"
"Matis Cote","K1H","118.65","421.81","497.18","Course n∞1 | Finale A"
"Romain Magnier","K1H","118.93","495.31","500.61","Course n∞1 | Finale A"
"Gabin Chenal","K1H","119.27","508.56","504.79","Course n∞1 | Finale A"
"Alexandre Goujon","K1H","119.33","354.47","505.52","Course n∞1 | Finale A"
"Loic Thielen","K1H","120.01","252.12","513.87","Course n∞1 | Finale A"
"Hugo Martin -laemle","K1H","120.33","327.36","517.8","Course n∞1 | Finale A"
"Nicolas Monzerian","K1H","121.33","427.79","530.08","Course n∞1 | Finale A"
"Rutger Hoedemaker","K1H","122.53","461.78","544.81","Course n∞1 | Finale A"
"Guillaume Belet","K1H","122.81","471.08","548.25","Course n∞1 | Finale A"
"Daniel Chambert","K1H","123.7","421.17","559.17","Course n∞1 | Finale A"
"Sebastien Lepaulard","K1H","125.5","363.35","581.27","Course n∞1 | Finale A"
"Gabriel Saul","K1H","126.26","363.41","590.6","Course n∞1 | Finale A"
"Damien Chamblay","K1H","126.59","489.81","594.65","Course n∞1 | Finale A"
"Loris Allamachere","K1H","129.37","515.12","628.78","Course n∞1 | Finale A"
"Baptiste Duboc","K1H","132.68","368.89","669.42","Course n∞1 | Finale A"
"Thomas Schmitt","K1H","156.09","183.3","956.81","Course n∞1 | Finale A"
"Mathieu Monier","K1H","156.99","215","967.86","Course n∞1 | Finale A"
"Julien Ojard-chillet","K1H","158.96","353.58","992.04","Course n∞1 | Finale A"
"Romain Margerie","K1H","175.34","377.51","1193.13","Course n∞1 | Finale A"
"Olivier Hardonniere","K1H","177.68","365.22","1221.86","Course n∞1 | Finale A"
"Ianis Triomphe","K1HM","107.32","353.55","358.08","Course n∞1 | Finale A"
"Luca Chapatte","K1HM","117.95","374.57","488.58","Course n∞1 | Finale A"
"Yuha Egraz","K1HM","120.45","491.7","519.27","Course n∞1 | Finale A"
"Jules Raoul","K1HM","126.09","551.6","588.51","Course n∞1 | Finale A"
"Alric Detheve","K1HM","126.3","575.02","591.09","Course n∞1 | Finale A"
"Enzo Lambert","K1HM","130.04","588.81","637.01","Course n∞1 | Finale A"
"Theo Dessolies","K1HM","135.35","535.32","702.19","Course n∞1 | Finale A"
"Alexandre Verbinnen","K1HM","143.71","733.07","804.83","Course n∞1 | Finale A"
"Timothee Borde","K1HM","144.11","553.26","809.74","Course n∞1 | Finale A"
"Titouan Duraffourg","K1HM","149.08","929.54","870.75","Course n∞1 | Finale A"
"Jeremy Charrier","K1HM","171.39","1076.77","1144.64","Course n∞1 | Finale A"
"Dorian Oriol","K1HM","199.04","675.06","1484.08","Course n∞1 | Finale A"
"Dorie Deshogues","C1D","172.34","698.25","808.68","Course n∞1 | Finale B"
"Leonie Reichert","C1D","192.61","1071.38","1016.05","Course n∞1 | Finale B"
"Anouk Alberti","C1D","194.74","870.1","1037.84","Course n∞1 | Finale B"
"Lisa Sadelli","C1D","195.64","700.51","1047.04","Course n∞1 | Finale B"
"Ilona Martin -laemle","C1D","Abd","-","-","Course n∞1 | Finale B"
"Ameline Saunier","C1D","Abd","-","-","Course n∞1 | Finale B"
"Etienne Wiche","C1H","117.32","277.46","417.26","Course n∞1 | Finale B"
"Emile Verdier","C1H","122.98","400.53","483.44","Course n∞1 | Finale B"
"Yann Rivallant","C1H","124.4","375.5","500.04","Course n∞1 | Finale B"
"Nathanael Pedron","C1H","131","667.74","577.21","Course n∞1 | Finale B"
"Cedric Mace","C1H","135.9","628.3","634.5","Course n∞1 | Finale B"
"Alexis Guillon","C1H","145.54","527","747.22","Course n∞1 | Finale B"
"Maxime Devis","C1H","146.22","534.67","755.16","Course n∞1 | Finale B"
"Axel Brossat","C1H","151.7","764.81","819.23","Course n∞1 | Finale B"
"Robin Le Fellic","C1H","157.28","857.54","884.47","Course n∞1 | Finale B"
"Jules Sourieau","C1H","157.67","596.52","889.03","Course n∞1 | Finale B"
"Dominique Bonnot","C1H","183.74","1020.17","1193.83","Course n∞1 | Finale B"
"Gregory Menuat","C1H","256.98","700.27","2050.16","Course n∞1 | Finale B"
"Leo Ulmer","C1HM","132.14","608.03","590.54","Course n∞1 | Finale B"
"Jeremy Charrier","C1HM","173.15","2232.88","1070.03","Course n∞1 | Finale B"
"Livio Richard","C1HM","221.95","1687.34","1640.59","Course n∞1 | Finale B"
"Tom Leclercq-chabenat","C1HM","251.22","1836.18","1982.81","Course n∞1 | Finale B"
"Camille Vion Delphin","K1D","143.99","496.03","609.9","Course n∞1 | Finale B"
"Marine Primet","K1D","154.46","652.31","723.64","Course n∞1 | Finale B"
"Ameline Saunier","K1D","155.12","510.72","730.81","Course n∞1 | Finale B"
"Sophie Duterage","K1D","159.73","1213.23","780.9","Course n∞1 | Finale B"
"Sidonie Duterage","K1D","162.07","715.01","806.33","Course n∞1 | Finale B"
"Leonie Reichert","K1D","168.27","689.79","873.68","Course n∞1 | Finale B"
"Alexia De Matteis","K1D","169.68","827.63","889","Course n∞1 | Finale B"
"Camille Coulonval","K1D","170.29","685.63","895.63","Course n∞1 | Finale B"
"Fantine Hortolan","K1D","173.26","898.54","927.89","Course n∞1 | Finale B"
"Jeanne Mazard","K1D","174.49","658.05","941.26","Course n∞1 | Finale B"
"Emmy Bernard","K1D","181.99","932.67","1022.74","Course n∞1 | Finale B"
"Lindsay Frenot","K1D","184.04","1610.97","1045.01","Course n∞1 | Finale B"
"Lucile Bessot","K1D","194.65","651.62","1160.28","Course n∞1 | Finale B"
"Callista Grange","K1D","214.56","512.96","1376.58","Course n∞1 | Finale B"
"Lux Debruyne","K1D","216.75","549.76","1400.37","Course n∞1 | Finale B"
"Emma Fauriel","K1D","227.4","689.62","1516.08","Course n∞1 | Finale B"
"Emilie Place","K1D","249.91","1156.66","1760.63","Course n∞1 | Finale B"
"Dorie Deshogues","K1D","278.58","498.12","2072.11","Course n∞1 | Finale B"
"Noemie Rys","K1D","280.58","1922.96","2093.84","Course n∞1 | Finale B"
"Valentine Mathieu","K1D","281.96","2078.83","2108.83","Course n∞1 | Finale B"
"Katia Talbot","K1D","282.56","805.09","2115.35","Course n∞1 | Finale B"
"Laura Ceysson","K1D","333.15","2231.4","2664.97","Course n∞1 | Finale B"
"Marie-julie Daval","K1D","466.91","4853.2","4118.16","Course n∞1 | Finale B"
"Julie Grosjean","K1D","Abd","-","-","Course n∞1 | Finale B"
"Clemence Dordonnat","K1DM","207.83","1620.39","1303.46","Course n∞1 | Finale B"
"Clemence Heintz","K1DM","340.71","-","2747.09","Course n∞1 | Finale B"
"Eyleen Vuilleumier","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Maelys Talbot","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Tom Dolle","K1H","106.79","334.16","356.58","Course n∞1 | Finale B"
"Axel Brossat","K1H","110.32","413.4","399.91","Course n∞1 | Finale B"
"Cedric Mace","K1H","112.94","399.71","432.08","Course n∞1 | Finale B"
"Basile Monzerian","K1H","114.22","407.8","447.79","Course n∞1 | Finale B"
"Joao Normand","K1H","114.22","444.59","447.79","Course n∞1 | Finale B"
"Elie Sutra","K1H","115.76","467.61","466.7","Course n∞1 | Finale B"
"Jules Sourieau","K1H","118.46","433.43","499.84","Course n∞1 | Finale B"
"Isaac Pinneau","K1H","118.55","514.31","500.95","Course n∞1 | Finale B"
"Antonin Castille","K1H","121.68","407.39","539.37","Course n∞1 | Finale B"
"Tom Marchand","K1H","121.84","379.04","541.34","Course n∞1 | Finale B"
"Emile Verdier","K1H","121.87","428.69","541.71","Course n∞1 | Finale B"
"Sacha Caron","K1H","124.22","588.6","570.56","Course n∞1 | Finale B"
"Frederic Brissaud","K1H","126.99","682.54","604.56","Course n∞1 | Finale B"
"Jerome Talbot","K1H","127.43","495.9","609.96","Course n∞1 | Finale B"
"Maxence Violy","K1H","128","500.95","616.96","Course n∞1 | Finale B"
"Herve Vitali","K1H","128.57","517.35","623.96","Course n∞1 | Finale B"
"Clement Coulon","K1H","128.78","511.87","626.54","Course n∞1 | Finale B"
"Denis Cote","K1H","129.17","503.68","631.32","Course n∞1 | Finale B"
"Florent Vallier","K1H","129.17","462.79","631.32","Course n∞1 | Finale B"
"Yohann Biglia","K1H","130.96","635.72","653.3","Course n∞1 | Finale B"
"Victor Eduardo Carneiro Gomes","K1H","131.22","453.81","656.49","Course n∞1 | Finale B"
"Clement Raul","K1H","131.92","486.19","665.09","Course n∞1 | Finale B"
"Ga l Bonnot","K1H","132.79","668.3","675.77","Course n∞1 | Finale B"
"Ludovic Couture","K1H","134.26","507.4","693.81","Course n∞1 | Finale B"
"Matteo Roubaud","K1H","134.93","493.39","702.04","Course n∞1 | Finale B"
"Hugo Ausseresse","K1H","135.15","651.46","704.74","Course n∞1 | Finale B"
"Sebastien Chapatte","K1H","137.81","511.96","737.39","Course n∞1 | Finale B"
"Florent Bernard","K1H","139.97","440.06","763.91","Course n∞1 | Finale B"
"Thibaud Chovin","K1H","140.24","522.46","767.23","Course n∞1 | Finale B"
"Philippe Lelieur","K1H","141.16","549.63","778.52","Course n∞1 | Finale B"
"Robin Le Fellic","K1H","141.36","612.18","780.98","Course n∞1 | Finale B"
"Quentin Meilier","K1H","142.45","784.26","794.36","Course n∞1 | Finale B"
"Anael Audouin","K1H","142.69","729.31","797.3","Course n∞1 | Finale B"
"Julien Suarez","K1H","143.82","872.08","811.18","Course n∞1 | Finale B"
"Thomas Laurent","K1H","147.66","1118.89","858.32","Course n∞1 | Finale B"
"Jules Roussel","K1H","147.83","711.35","860.4","Course n∞1 | Finale B"
"Clement Innocenti","K1H","147.83","598.22","860.4","Course n∞1 | Finale B"
"Charlie Bouvier","K1H","148.87","625.05","873.17","Course n∞1 | Finale B"
"Julyan Maitre","K1H","149.57","570.73","881.77","Course n∞1 | Finale B"
"Emilien Charrier","K1H","149.78","814.07","884.34","Course n∞1 | Finale B"
"Bastien Andrzejewski","K1H","150.46","1415.16","892.69","Course n∞1 | Finale B"
"Guillaume Mele","K1H","151.62","637.07","906.93","Course n∞1 | Finale B"
"Mael Hervault","K1H","153.75","183.85","933.08","Course n∞1 | Finale B"
"Pierre Renault Bleeker","K1H","153.91","751.81","935.05","Course n∞1 | Finale B"
"Gabin Beraud","K1H","155.29","673.02","951.99","Course n∞1 | Finale B"
"Anicet Morel","K1H","155.53","766.03","954.93","Course n∞1 | Finale B"
"Thibaud Gonzalez","K1H","157.86","860.2","983.54","Course n∞1 | Finale B"
"Soad Brachet-lefevre","K1H","158.38","715.81","989.92","Course n∞1 | Finale B"
"Theo Leroy","K1H","158.71","1559.5","993.97","Course n∞1 | Finale B"
"Noam Francois","K1H","163.08","1051.5","1047.62","Course n∞1 | Finale B"
"Matthieu Fontanez","K1H","165.8","514.32","1081.01","Course n∞1 | Finale B"
"Philippe Bigard","K1H","166.8","901.75","1093.29","Course n∞1 | Finale B"
"Victorien Pittion","K1H","181.19","545.03","1269.95","Course n∞1 | Finale B"
"Sacha L ","K1H","182.47","936.16","1285.66","Course n∞1 | Finale B"
"Rafael Parnotte","K1H","185.23","603.92","1319.55","Course n∞1 | Finale B"
"Claude Flouret","K1H","215.84","673.78","1695.33","Course n∞1 | Finale B"
"Mathieu Caron","K1H","217.26","2384.83","1712.76","Course n∞1 | Finale B"
"Eric Pouradier","K1H","220.29","773.29","1749.96","Course n∞1 | Finale B"
"Dimitri Chalopin","K1H","228.97","977.11","1856.52","Course n∞1 | Finale B"
"Michel Claveau","K1H","246.78","1026.02","2075.16","Course n∞1 | Finale B"
"Quentin Balanant","K1H","248.88","1667.25","2100.95","Course n∞1 | Finale B"
"Edgar Joffre","K1H","250.4","4724.92","2119.61","Course n∞1 | Finale B"
"Est…ban Esposito","K1H","280.8","870.78","2492.81","Course n∞1 | Finale B"
"Gabriel Vincent","K1H","364.15","-","3516.06","Course n∞1 | Finale B"
"Ange Bernard","K1H","Abd","-","-","Course n∞1 | Finale B"
"Gael Rivier","K1H","Abd","-","-","Course n∞1 | Finale B"
"Romain Bertrand","K1HM","157.35","936.5","977.28","Course n∞1 | Finale B"
"Bastien Chovin","K1HM","159.34","1259.52","1001.71","Course n∞1 | Finale B"
"Tom Leclercq-chabenat","K1HM","161.02","1018.63","1022.33","Course n∞1 | Finale B"
"Livio Richard","K1HM","178.75","1019.05","1239.99","Course n∞1 | Finale B"
"Alexandre Roubaud","K1HM","199.32","793.62","1492.52","Course n∞1 | Finale B"
"Elias Huguenin","K1HM","200.02","2281.93","1501.12","Course n∞1 | Finale B"
"Clement Garnier","K1HM","213.05","2780.85","1661.08","Course n∞1 | Finale B"
"Gustave Gonseth","K1HM","244.07","783.21","2041.9","Course n∞1 | Finale B"
"Guilhem Remondet","K1HM","260.82","2407.98","2247.53","Course n∞1 | Finale B"
"Ethan Warembourg","K1HM","274.2","1571.38","2411.79","Course n∞1 | Finale B"
"Gauthier Jakubowicz","K1HM","372.19","2178.21","3614.76","Course n∞1 | Finale B"
"Warren Varela","K1HM","407.77","2164.93","4051.56","Course n∞1 | Finale B"
