"SÈlectif RÈgional de slalom - Angouleme - Qualification - 2016-12-11","Qualification","2016-12-11","RÈgional","312"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Ella Bregazzi","C1D","126.82","121.96","176.93",""
"Cindy Coat","C1D","145","381.41","340.08",""
"Justine Lorin","C1D","146.12","290.25","350.14",""
"Charline Berger Martin","C1D","154.86","345.81","428.57",""
"Marie Charbonneau","C1D","179.51","495.11","649.78",""
"Maeva Conchon","C1D","189.03","553.21","735.21",""
"Barbara Lassechere","C1D","193.36","-","774.06",""
"No…mie Veaux","C1D","209.36","677.96","917.65",""
"Alice Lachaudru","C1D","Abs","-","-",""
"Sophielaure B…n…teau","C1D","Abs","-","-",""
"Perrine Joubert","C1DM","162.54","475.49","497.49",""
"Agathe Grosset","C1DM","280.86","-","1559.28",""
"Bertille Lassiste","C1DM","Abs","-","-",""
"Jason Brothier","C1H","112.19","114.44","189.48",""
"Martin Thomas","C1H","112.33","41.38","190.91",""
"Anthony Roux","C1H","112.56","219.88","193.27",""
"Jerome Blanchet","C1H","113.57","200.06","203.63",""
"Nathan Hossin","C1H","118.59","171.41","255.12",""
"Julien Pajaud","C1H","119.36","191.74","263.01",""
"Merwan Fliou","C1H","119.97","332.54","269.27",""
"Henri Chenu","C1H","125.07","323.9","321.57",""
"Faysal Ali Zazou","C1H","125.33","261.79","324.24",""
"Nicolas Labat","C1H","125.78","330.93","328.85",""
"Maxime Texier","C1H","126.73","303.65","338.59",""
"Philippe Niquet","C1H","128.62","337.38","357.98",""
"Olivier Cain","C1H","130.27","326.94","374.91",""
"Frederic Boob","C1H","131.03","319.34","382.69",""
"Yanis Rainaud","C1H","131.34","477.56","385.88",""
"Isaac Dufrene","C1H","131.66","297.07","389.15",""
"Raphael Lassechere","C1H","131.88","365.83","391.42",""
"Fabrice Roy","C1H","132.76","428.86","400.44",""
"Pierre Giudicelli","C1H","133.7","385.01","410.08",""
"Antoine Launay","C1H","133.95","213.04","412.64",""
"Mathias Pannetier","C1H","136.81","372.13","441.97",""
"Marc Brossard","C1H","137.01","-","444.03",""
"Tanguy Zaninotto","C1H","137.41","485.03","448.13",""
"Christian Boob","C1H","138.52","346.61","459.52",""
"Adrien Roux","C1H","138.59","343.39","460.23",""
"Thibault Dufour","C1H","138.75","428.12","461.87",""
"Dylan Sourbe","C1H","138.98","-","464.23",""
"Karl Bouthegourd","C1H","141.33","456.14","488.33",""
"Thibault Alcaras","C1H","143.92","517.9","514.9",""
"Julien Beneteau","C1H","147.43","462.42","550.9",""
"Ulysse Giel","C1H","148.44","567.23","561.25",""
"Mathieu Villeger","C1H","149.08","-","567.82",""
"Fabrice Lacoudre","C1H","156.57","554.42","644.63",""
"Louis Bouchiat","C1H","167.42","-","755.92",""
"NaÀl Rajoub","C1H","169.65","-","778.78",""
"Riwan Guillermic","C1H","175.08","208.16","834.47",""
"Cyril Launay","C1H","196.81","657.06","1057.33",""
"Laurence Scrimgeour","C1H","196.83","-","1057.54",""
"Nicolas Cappy","C1H","203.37","-","1124.61",""
"Kylian Videau","C1H","215.87","-","1252.81",""
"Thilbault Rucher","C1H","217.87","-","1273.32",""
"Matheo Gillaizeau","C1H","301.79","-","2134",""
"Quentin Chauvin","C1H","Abs","-","-",""
"Romain Delpui","C1H","Abs","-","-",""
"Sam Traquet","C1H","Abs","-","-",""
"Pierre Maupetit","C1H","Abs","-","-",""
"Arnaud Verrons","C1HM","140.36","782.8","478.38",""
"Louis Rathier","C1HM","148.18","611.74","558.59",""
"Loris Shayam Affre","C1HM","162.61","644.33","706.58",""
"Theo Jeanlouis","C1HM","167.12","747.03","752.84",""
"Adrien Pardoux","C1HM","172.42","699.06","807.2",""
"Fantin Delage-garez","C1HM","176.36","-","847.6",""
"Clement Gillaizeau","C1HM","178.27","657.59","867.19",""
"Julien Coric","C1HM","178.85","982.89","873.13",""
"Alexandre Medge","C1HM","180.16","-","886.57",""
"Simon Tourtois","C1HM","191.48","-","1002.67",""
"Etienne Wiche","C1HM","195.42","478.07","1043.07",""
"Adrien Favennec","C1HM","209.14","-","1183.79",""
"Cl…ment Corbeil","C1HM","Abd","-","-",""
"Armelle Canali-Jocelyne Roupioz","C2D","207.68","-","759.21",""
"Carla Texier-No…mie Veaux","C2D","285.48","782.31","1403.68",""
