"Sélectif régional de St JEAN - St Jean D'angely - 2003-12-14","Course 1","2003-12-14","Régional","153"
"Gil Justin","K1H","275.49","1023","709",""
"Herve Maxime","K1H","276.13","771","713",""
"Merrant Yves Gabriel","K1H","302.67","406","873",""
"Rouger Gael","K1H","302.93","705","875",""
"Simon Philibert","K1H","303.43","2126","878",""
"Duclos Maxime","K1H","306.92","548","899",""
"Rivet Martial","K1H","308.86","-","911",""
"Vallet Florian","K1H","317.51","1006","964",""
"Thierry Le Bonniec","K1H","324.30","-","1005",""
"Hutteau Damien","K1H","328.54","-","1031",""
"Clement Francois-Xavier","K1H","334.38","-","1067",""
"Coquet Florent","K1H","344.43","-","1128",""
"Tricot Marinko","K1H","360.02","-","1222",""
"Vanboktael Xavier","K1H","372.25","896","1297",""
"Nicolas Girault","K1H","373.02","-","1302",""
"Antoine Michaud","K1H","388.59","682","1397",""
"Huet Sylvain","K1H","401.95","1383","1478",""
"Bitton Guillaume","K1H","504.05","-","2099",""
"Millieroux Marc","K1H","520.64","-","2199",""
"Blandin Julien","K1H","523.51","-","2217",""
"Rabaud Johan","K1H","587.63","-","2607",""
"Julien Stephane","K1H","685.05","-","3199",""
"Sicard Damien","K1H","696.04","-","3266",""
