"Compétition Régionale de Slalom - Sablé-sur-sarthe - Finale - 2015-02-01","Finale","2015-02-01","Régional","128"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Lea Turmeau","C1D","129.94","358","336.9","Finale A"
"Lea Grison","C1D","141.84","364.66","457.13","Finale A"
"Manon Chaumont","C1D","187.18","-","915.19","Finale A"
"Maxime Perron","C1H","99.76","57.8","175.98","Finale A"
"Alexandre Cierocki","C1H","100.89","203.7","189.02","Finale A"
"Thibaut Perroteau","C1H","101.54","140.59","196.53","Finale A"
"Gaetan Hamelin","C1H","105.45","211.85","241.68","Finale A"
"Nicolas Rebours","C1H","107.26","249.25","262.57","Finale A"
"Alexandre Dupas","C1H","108.51","207.26","277.01","Finale A"
"Samuel Lhegu","C1H","109.36","286.34","286.81","Finale A"
"Aurelien Ballandras","C1H","111.99","270.69","317.18","Finale A"
"Lucas Pagnard - Tissier","C1H","119.27","392.76","401.24","Finale A"
"Yoann Bizot","C1H","119.83","344.71","407.71","Finale A"
"Theo Foucher","C1H","121.9","357.77","431.61","Finale A"
"Alex Louveau","C1HM","128.62","-","-","Finale A"
"Florian Busson","C1HM","130.02","-","-","Finale A"
"Romain Branjauneau","C1HM","134.65","-","-","Finale A"
"Lea Turmeau-Lea Grison","C2D","144.11","-","368.07","Finale A"
"Zoe Renaud-Mathilde Nouaille-degorce","C2D","165.41","-","566.7","Finale A"
"Josephine Farges-Aziliz Quintin","C2D","169.06","886.03","600.74","Finale A"
"Garance Dalaine-Amandine Marceix","C2D","363.02","-","2409.56","Finale A"
"Maxime Perron-Lucas Hives - Sorin","C2H","109.61","137.28","232.18","Finale A"
"Nicolas Rebours-Theo Lecomte","C2H","120.62","375.73","353.53","Finale A"
"Louison Turmeau-Thibaut Perroteau","C2H","123.55","-","385.81","Finale A"
"Nicolas Rouleaud-Alexandre Dupas","C2H","125.51","436.67","407.42","Finale A"
"Florian Busson-Alex Louveau","C2HM","147.29","-","-","Finale A"
"Lucas Hives - Sorin-Lou Renaud","C2M","121.25","-","249.11","Finale A"
"Lea Turmeau","K1D","108.42","116.49","187.34","Finale A"
"Lou Renaud","K1D","120.89","320.8","321.12","Finale A"
"Zoe Renaud","K1D","127.45","428.34","391.51","Finale A"
"Coralie Belnoue","K1D","128.79","431.76","405.88","Finale A"
"Aziliz Quintin","K1D","131.84","416.84","438.61","Finale A"
"Manon Chaumont","K1D","156.74","603.65","705.75","Finale A"
"Josephine Farges","K1D","158.17","655.13","721.09","Finale A"
"Romane Bronchet","K1DM","154.48","-","-","Finale A"
"Louison Turmeau","K1H","93.38","83.36","156.22","Finale A"
"Nicolas Rouleaud","K1H","95.72","164.61","184.59","Finale A"
"Matthieu Chauvel","K1H","95.9","186.28","186.77","Finale A"
"Pierre Audouin","K1H","96.58","213.6","195.02","Finale A"
"Theo Lecomte","K1H","97.94","229.48","211.5","Finale A"
"Aurelien Ballandras","K1H","102.88","258.55","271.39","Finale A"
"Timothee Le Mort","K1H","103.06","277.67","273.58","Finale A"
"Herve Busson","K1H","103.32","168.4","276.73","Finale A"
"Lucas Pagnard - Tissier","K1H","104.72","359.15","293.7","Finale A"
"Martin Belliot","K1H","104.79","247.08","294.55","Finale A"
"Theo Renaud","K1H","105.71","276.62","305.7","Finale A"
"Guillaume De Fierville","K1H","106.29","264.05","312.73","Finale A"
"Thibaud Chevalier","K1H","106.55","346.74","315.89","Finale A"
"Erwan Jonin","K1H","107.26","297.88","324.49","Finale A"
"Francois Durand","K1H","107.87","258.58","331.89","Finale A"
