"SÈlectif National 3 Slalom Sud-Ouest - St Jean D Angely - Finale - 2018-03-25","Finale","2018-03-25","Nationale 3","168"
"Agathe Benoit","K1D","172.75","464.48","974.18","Finale A"
"Youlia Estanguet","K1D","176.4","408.18","1015.55","Finale A"
"Cindy Coat","K1D","188.65","382.3","1154.39","Finale A"
"Thibault Alcaras","K1H","99.33","293.18","288.41","Finale A"
"Elliot Perez","K1H","99.67","297.09","292.77","Finale A"
"Emilien Courtiade","K1H","101.07","308.68","310.7","Finale A"
"Theo Ducasse","K1H","101.25","329.02","313","Finale A"
"Vincent Garcia","K1H","101.29","278.15","313.51","Finale A"
"Nicolas Labat","K1H","101.33","405.46","314.03","Finale A"
"Felix Praderie","K1H","103.44","290.56","341.05","Finale A"
"Arthur Huet","K1H","103.45","347.81","341.18","Finale A"
"Antoine Laye","K1H","104.17","279.26","350.4","Finale A"
"Samuel Taillefer","K1H","105.12","335.2","362.56","Finale A"
"Paul Commenges","K1H","105.77","280.17","370.89","Finale A"
"Nour Ait Kaddour","K1H","105.93","312.66","372.94","Finale A"
"Marc Sarramea","K1H","106.12","339.77","375.37","Finale A"
"Henri Chenu","K1H","106.68","332.57","382.54","Finale A"
"Valentin Berland","K1H","106.77","327.32","383.7","Finale A"
"Paul Gobert","K1H","107.51","434.63","393.17","Finale A"
"Quentin Robert","K1H","108.51","320.48","405.98","Finale A"
"Valentin Cesbron","K1H","108.56","379.87","406.62","Finale A"
"Clement Riera","K1H","108.83","449.46","410.08","Finale A"
"Guilhem Viguier","K1H","109.4","346.37","417.38","Finale A"
"Gaetan Coat","K1H","109.6","343.82","419.94","Finale A"
"Fantin Delage-garez","K1H","109.81","396.36","422.63","Finale A"
"Maxime Charron","K1H","109.86","314.89","423.27","Finale A"
"Adrien Pardoux","K1H","109.99","434.91","424.93","Finale A"
"Mael Bernes","K1H","110.32","376.37","429.16","Finale A"
"Tom Delens","K1H","110.44","422.88","430.7","Finale A"
"Hugo Crespo","K1H","110.68","357.61","433.77","Finale A"
"Nicolas Saurat","K1H","111.36","288.21","442.48","Finale A"
"Cyprien Cail","K1H","111.72","370.08","447.09","Finale A"
"Dimitri Thauvin","K1H","112.67","373.35","459.26","Finale A"
"Antoine Bouby","K1H","112.91","490.15","462.33","Finale A"
"Alex Baldoni","K1H","113.09","458","464.64","Finale A"
"Cedric Landreau","K1H","113.27","331.55","466.94","Finale A"
"Loris Shayam Affre","K1H","113.51","378.03","470.02","Finale A"
"Tino Forgues","K1H","113.94","290.92","475.52","Finale A"
"Pierre Dehaudt","K1H","115.26","439.58","492.43","Finale A"
"Maxime Dubois","K1H","116.58","483.51","509.33","Finale A"
"Louis Rathier","K1H","117.06","494.42","515.48","Finale A"
"Etienne Saint Picq","K1H","117.24","415.94","517.79","Finale A"
"Philippe Babin","K1H","117.53","349.36","521.5","Finale A"
"Axel Forgerit","K1H","119.42","580.25","545.71","Finale A"
"Angus Cruickshank","K1H","120.16","396.7","555.18","Finale A"
"Raoul Colin","K1H","121.1","305.62","567.22","Finale A"
"Jules Besson","K1H","123.29","384.4","595.27","Finale A"
"Titouan Doreau","K1H","123.33","436.07","595.78","Finale A"
"Carl Rainaud","K1H","124.26","553.44","607.69","Finale A"
"Eric Vidou","K1H","125.02","415.96","617.42","Finale A"
"Lukas Estanguet-santamaria","K1H","126.6","511.19","637.66","Finale A"
"Yannis Dast","K1H","127.27","460.65","646.24","Finale A"
"Baptiste Delemotte","K1H","130.39","454.17","686.2","Finale A"
"Benjamin Georges","K1H","131.08","444.38","695.04","Finale A"
"Tom Charles","K1H","134.36","457.2","737.04","Finale A"
"Romain Bouby","K1H","144.9","466.79","872.03","Finale A"
"NaÀl Rajoub","K1H","158.77","306.3","1049.66","Finale A"
"Yon Dandonneau","K1H","170.83","414.65","1204.12","Finale A"
"Theo Jeanlouis","K1H","189.83","474.15","1447.45","Finale A"
"Paul Gobert","C1H","141.13","570.53","742.68","Finale B"
"Clement Brotier","C1H","145.27","855.28","793.17","Finale B"
"Antton Erdois","C1H","150.86","542.81","861.35","Finale B"
"Clement Gillaizeau","C1H","151.34","537.21","867.21","Finale B"
"Tonin Desmet","C1H","158.28","581.65","951.86","Finale B"
"Edouard Patry","C1H","164.8","822.98","1031.38","Finale B"
"Killyan Moreau","C1H","171.8","632.31","1116.76","Finale B"
"Olivier Cain","C1H","213.54","458.71","1625.87","Finale B"
"Quentin Escudero","C1H","217.21","845.63","1670.64","Finale B"
"Gaspard Trichard","C1H","228.04","926.44","1802.74","Finale B"
"Tom Babin","C1H","275.29","570.75","2379.05","Finale B"
"Matt Vidou","C1H","Abs","-","-","Finale B"
"Gauthier Beyneix","C1H","Abd","-","-","Finale B"
"Tom Charles","C1H","Abd","-","-","Finale B"
"Louis Rathier-Titouan Conseil","C2H","153.43","732.75","807.64","Finale B"
"Clement Riera-Maxime Blondeau","C2H","179.82","646.66","1114.89","Finale B"
"Adrien Roux-Guillaume Lopes","C2H","Abs","-","-","Finale B"
"Alice Bureau-Gaspard Trichard","C2M","311.67","1271.87","2347.6","Finale B"
"Amelie Leclercq","K1D","157.04","495.49","801.12","Finale B"
"Chloe Bonnet","K1D","207.73","756.36","1375.63","Finale B"
"Elise Doreau","K1D","208.31","535.8","1382.2","Finale B"
"Laurine Meslong","K1D","331.27","568.58","2775.79","Finale B"
"Morgane Bastier-guilcher","K1D","370.53","901.7","3220.76","Finale B"
"Perrine Dujourd'hui","K1D","402.1","807.24","3578.56","Finale B"
"Selma Janami-ragu","K1D","633.35","974.18","6199.48","Finale B"
"Louise Turgis","K1D","Abd","-","-","Finale B"
"Gedeon Cothias-faure","K1H","105.47","391.28","372.05","Finale B"
"Maxime Texier","K1H","112.65","298.26","464","Finale B"
"Ulysse Giel","K1H","113.08","341.23","469.51","Finale B"
"Mathieu Pouchet","K1H","115.67","448.9","502.68","Finale B"
"Titouan Conseil","K1H","119.15","561.24","547.25","Finale B"
"Tom Zanfini","K1H","122.38","308.74","588.61","Finale B"
"Maxime Pham Dang","K1H","124.5","671.44","615.77","Finale B"
"Sebastien Larenaudie","K1H","124.54","539.98","616.28","Finale B"
"Marin Saint Macary","K1H","126.08","500.14","636","Finale B"
"Clement Gillaizeau","K1H","126.39","499.69","639.97","Finale B"
"Dylan Renneteau","K1H","126.87","699.95","646.12","Finale B"
"Arthur Caillaud-gault","K1H","127.76","683.54","657.52","Finale B"
"Maxime Blondeau","K1H","128.62","530.11","668.53","Finale B"
"Julien Brice","K1H","131.03","845.77","699.4","Finale B"
"Liam Caradec","K1H","131.99","559.43","711.69","Finale B"
"Quentin Escudero","K1H","135.32","554.68","754.34","Finale B"
"Jeremy Rouchereau","K1H","135.62","434.76","758.18","Finale B"
"Matt Vidou","K1H","135.95","546.14","762.41","Finale B"
"K…ziah Lecomte","K1H","136.03","617.48","763.43","Finale B"
"Baptiste Moret","K1H","137.6","591.89","783.54","Finale B"
"Gr…gory Navail","K1H","139.3","560.51","805.31","Finale B"
"Clement Brotier","K1H","139.39","747.94","806.46","Finale B"
"Clement Claret","K1H","139.54","686.27","808.38","Finale B"
"Antton Erdois","K1H","140.72","482.77","823.5","Finale B"
"Stephane Perilhou","K1H","141.78","424.7","837.07","Finale B"
"Matt…o Rainaud","K1H","141.82","565.73","837.58","Finale B"
"Pierrick Bresson","K1H","143.7","495.65","861.66","Finale B"
"Gabriel Felenc","K1H","144.11","591.65","866.91","Finale B"
"Baptiste San Nicolas","K1H","144.41","488.12","870.75","Finale B"
"Lucas Deleplancque","K1H","149.3","781.14","933.38","Finale B"
"Edouard Patry","K1H","150.54","759.14","949.26","Finale B"
"Thomas Moret","K1H","153.48","504.16","986.91","Finale B"
"Alexandre Weiler","K1H","153.54","536.45","987.68","Finale B"
"Lucas Mesquita","K1H","154.73","655.05","1002.92","Finale B"
"Romain Guichet","K1H","159.18","597.48","1059.91","Finale B"
"Tristan Ruiz","K1H","159.56","624.03","1064.78","Finale B"
"Pierre Chollet","K1H","159.59","931.84","1065.16","Finale B"
"Fabrice Le Bras","K1H","165.81","801.91","1144.82","Finale B"
"Nathaniel Levy","K1H","165.83","364.18","1145.08","Finale B"
"Killian Dal-cin","K1H","165.9","712.68","1145.98","Finale B"
"Nicolas Neveu","K1H","179.96","513.4","1326.04","Finale B"
"Thomas Terr…","K1H","187.33","480.58","1420.43","Finale B"
"Bertrand Henot","K1H","187.68","844.28","1424.92","Finale B"
"Baptiste Mondin","K1H","198.71","581.76","1566.18","Finale B"
"Daniel Lafitte","K1H","204.05","679.11","1634.57","Finale B"
"Jean Luc Pessoni","K1H","205.73","762.78","1656.08","Finale B"
"Matheo Nassieu","K1H","210.85","664.23","1721.65","Finale B"
"Wilfrid Pinto De Magalhaes","K1H","236.4","857.28","2048.88","Finale B"
"Antonin Bretecher","K1H","305.48","779.49","2933.59","Finale B"
"Gaspard Trichard","K1H","328.55","802.63","3229.05","Finale B"
"Tristan Favennec","K1H","411.74","649.91","4294.46","Finale B"
"Martin Thermidor","K1H","419.72","905.44","4396.67","Finale B"
"Nicolas Cappy","K1H","Abd","-","-","Finale B"
"Antoine Rambeau","K1H","Abd","-","-","Finale B"
"Guillaume Lopes","K1H","Abs","-","-","Finale B"
