"Sélectif Régional - Sélestat - 2013-09-28","Course 1","2013-09-28","Régional","128"
"Nathan Barbier","K1H","104.03","103.83","264",""
"Smail Mouhoub","K1H","106.18","-","291.32",""
"Luke Meysner","K1H","106.77","-","298.81",""
"Etienne Baudu","K1H","107.36","-","306.32",""
"Christophe Siffert","K1H","107.39","228.59","306.7",""
"Liam Jegou","K1H","107.63","83.25","309.74",""
"Maxime Di Lauro","K1H","107.79","-","311.78",""
"Christophe Billaud","K1H","108.23","157.76","317.37",""
"Guillaume Carpentier","K1H","108.35","-","318.89",""
"Anthony Ulrich","K1H","109.46","210.76","333",""
"Florian Balhuizen","K1H","109.88","-","338.33",""
"Benoit Lecoester","K1H","110.02","262.62","340.12",""
"Christophe Harding","K1H","110.97","172.53","352.18",""
"Loic Sieber","K1H","111.17","166.68","354.72",""
"Arnaud Jamet","K1H","111.59","227.48","360.06",""
"Quentin Madureira","K1H","112.04","210.11","365.78",""
"Dylan Hirtz","K1H","113.09","230.02","379.13",""
"Paul Frommer","K1H","113.17","283.42","380.14",""
"Philippe Thevenin","K1H","113.18","-","380.27",""
"Alexis Caspar","K1H","113.92","54.65","389.67",""
"Olivier Urbain","K1H","115.16","153.09","405.43",""
"Pascal Philip","K1H","116.2","247.23","418.64",""
"Eddy Cassard","K1H","118.28","266.95","445.08",""
"Loic Thielen","K1H","118.89","-","452.82",""
"Marc Jegou","K1H","120.85","231.58","477.73",""
"Jean Guyot","K1H","121.83","306.82","490.19",""
"Kyle Gelb","K1H","124.24","413.27","520.81",""
"Patrick Thevenin","K1H","124.51","-","524.25",""
"Leo Hemmerle","K1H","125.07","-","531.36",""
"Rafael Pawlus","K1H","126.14","-","544.95",""
"Simon Hene","K1H","126.18","-","545.46",""
"Eliot Wendling","K1H","132.27","1627.28","622.85",""
"Alexandre Lambert","K1H","133.06","-","632.89",""
"Benjamin Hene","K1H","133.42","-","637.46",""
"Titouan Riviere","K1H","134.5","686.28","651.18",""
"William Pawlus","K1H","136.25","-","673.42",""
"Eric Louis","K1H","138.94","-","707.61",""
"Guillaume Bourgade","K1H","139.9","-","719.81",""
"Sacha Mutschler","K1H","145.71","-","793.63",""
"Pierre Louis Ledoux","K1H","150.3","-","851.96",""
"Daniel Gasser","K1H","150.71","-","857.17",""
"Ludovic Mazimann","K1H","191.65","-","1377.4",""
"Valentin Fuchs","K1H","217.57","-","1706.77",""
"Nicolas Bosson","K1H","237.33","-","1957.87",""
"Vincent Gimenez","K1H","280.99","-","2512.67",""
"Patrice Ulrich","K1H","537.5","-","5772.19",""
"Louis Lombardi","K1H","Nt","-","-",""
"Leo Di Jorio","K1H","Nt","-","-",""
"Jack Williams","K1H","Nt","-","-",""
"Pierre Aubry","K1H","Nt","-","-",""
"Antoine Esseric","K1H","Nt","-","-",""
"Nicolas Fritsch","K1H","Nt","-","-",""
"Christophe Godinat","K1H","Nt","-","-",""
"Thibaut Chariot","K1H","Nt","-","-",""
"Pierre Marie Roussel","K1H","Nt","-","-",""
