"Championnat RÈgional de Slalom - Championnat De Normandie Slalom - Finale - 2016-04-17","Finale","2016-04-17","RÈgional","303"
"Leontine Dubuisson-Clemence Douche","C2D","191.25","-","991.5","Finale A"
"Marion Matura-Pauline Ferreira De Abreu","C2D","202.07","-","1102.39","Finale A"
"Catherine Boulan-Nathalie Guelton","C2D","213.51","-","1219.63","Finale A"
"Evelyne Lambert-Beatrice Dulouard","C2D","618.1","-","5366.23","Finale A"
"Florence Moraine-Barbara Gatuingt","C2D","742.79","-","6644.15","Finale A"
"Marie-aude Angot-Delphine Brunet","C2D","834.24","-","7581.4","Finale A"
"Manon Le Lay-Emma Leroux","C2DM","166.7","-","739.89","Finale A"
"Mylene Despres-Margaux Fabijan","C2DM","172.53","-","799.64","Finale A"
"Garance Dubuisson-Dorine Mouillard","C2DM","Abs","-","-","Finale A"
"Eloi Seemann-Charles Bre","C2H","110.7","329.73","372.23","Finale A"
"Thibault Bigeon-Romain Bertrand","C2H","115.38","-","428.92","Finale A"
"Gaspard Perrio-L…o Le Moigne","C2H","121.78","370.84","506.44","Finale A"
"Benoit Letellier-Mathieu Godin","C2H","121.82","-","506.92","Finale A"
"Jeremy Bretteville-Guillaume Doutreix","C2H","127.86","-","580.08","Finale A"
"Martin Rich-Virgile Bourlet De La Vallee","C2H","129.12","519.14","595.35","Finale A"
"Nicolas Dupres-Eric Beaumont","C2H","129.2","-","596.32","Finale A"
"Camille Fleuret-Enzo Cozette","C2H","131.94","-","629.5","Finale A"
"Thomas Martinet-Lucas Walbreq","C2H","133.67","657.33","650.45","Finale A"
"Leo Degraeve-Nicolas Candieu","C2H","136.92","-","689.82","Finale A"
"Isidore Dubuisson-Niels Beaumont","C2H","154.78","-","906.14","Finale A"
"Teddy Poulard-Jacky Bachelot","C2H","155.23","-","911.59","Finale A"
"Lucas Jacob-Benoit Guernic","C2H","178.93","578.72","1198.66","Finale A"
"Benjamin Meziere-Louis Marescot","C2H","189.09","-","1321.72","Finale A"
"Nicolas Ducrocq-Michael Philibert","C2H","Abs","-","-","Finale A"
"Benjamin Soroka-Edouard Gracias","C2H","Abs","-","-","Finale A"
"Fabien Bonvalet-Mathias Felix","C2HM","188.56","-","1315.3","Finale A"
"T…o Capdeville-Maxence Galy","C2HM","197.9","-","1428.43","Finale A"
"Anthony Thuillier-Camille Andrieux","C2M","124.06","417.33","408.83","Finale A"
"Bertrand Avril-Chloe Gatuingt","C2M","125.41","418.77","423.82","Finale A"
"Theodora Seemann-Eloi Seemann","C2M","125.97","379.32","430.04","Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","127.51","386.81","447.14","Finale A"
"Teddy Poulard-Alize Bachelot","C2M","128.05","461.4","453.13","Finale A"
"Simon Dubosc-Leontine Dubuisson","C2M","128.74","518.84","460.79","Finale A"
"Alina Rassel-Yohan Marck","C2M","134.46","675.88","524.31","Finale A"
"Yuna Pernet-Mathis Perreau","C2M","144.09","830.09","631.23","Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","144.45","646.81","635.22","Finale A"
"Alban Andrieu-Eloise Riviere","C2M","337.61","-","2779.87","Finale A"
"Tom Armand-Anna Dufay Leneveu","C2M","370.42","-","3144.15","Finale A"
"Lison Gautrelet-Dimitri Houlier","C2MM","178.56","-","1013.95","Finale A"
"Benjamin Georgin-Albertine Binard","C2MM","212.81","-","1394.22","Finale A"
"Dorine Mouillard-Clement Hamel","C2MM","293.04","-","2285.01","Finale A"
"Camille Andrieux","K1D","112.16","258.71","353.85","Finale A"
"Alina Rassel","K1D","113.99","315.74","375.43","Finale A"
"Adele Charlaigre","K1D","115.89","304.13","397.84","Finale A"
"Chloe Gatuingt","K1D","116.58","345.34","405.97","Finale A"
"Leontine Dubuisson","K1D","116.59","381.13","406.09","Finale A"
"Sophie Dupas","K1D","118.36","407.5","426.95","Finale A"
"Melina Letellier","K1D","126.23","455.85","519.75","Finale A"
"Catherine Boulan","K1D","133.91","535.57","610.3","Finale A"
"Eloise Riviere","K1D","136.29","914.93","638.37","Finale A"
"Camille De Araujo","K1D","136.88","-","645.32","Finale A"
"Angelique Leleu","K1D","140.19","-","684.35","Finale A"
"Lea Lauer","K1D","141.32","554.53","697.67","Finale A"
"Elise Sergio","K1D","142.46","-","711.12","Finale A"
"Yuna Pernet","K1D","146.37","756.92","757.21","Finale A"
"Manon Zanelli","K1D","186.42","515.51","1229.43","Finale A"
"Evelyne Lambert","K1D","198.22","-","1368.56","Finale A"
"Lucille Rachinel","K1D","514.49","-","5097.61","Finale A"
"Elise Weilbach","K1DM","124.93","-","504.43","Finale A"
"Margaux Fabijan","K1DM","127.59","-","535.79","Finale A"
"Emma Leroux","K1DM","136.51","-","640.95","Finale A"
"Lison Gautrelet","K1DM","136.72","-","643.43","Finale A"
"Manon Le Lay","K1DM","137.19","-","648.97","Finale A"
"Mylene Despres","K1DM","137.45","-","652.04","Finale A"
"Zoe Waeles","K1DM","144.91","-","740","Finale A"
"Benoit Letellier","K1H","88.27","185.79","207.47","Finale A"
"Anthony Thuillier","K1H","89.38","184.2","222.26","Finale A"
"Romain Bertrand","K1H","90.79","226.7","241.05","Finale A"
"Yohan Marck","K1H","91.9","249.3","255.84","Finale A"
"Xavier Jourdain","K1H","92.55","164.77","264.5","Finale A"
"Mehdi Rouich","K1H","92.86","154.77","268.63","Finale A"
"Julien Fougeron","K1H","93.12","320.09","272.09","Finale A"
"Bertrand Avril","K1H","95.96","286.62","309.93","Finale A"
"Guillaume Doutreix","K1H","97.32","321.6","328.05","Finale A"
"Simon Boulan","K1H","98.13","297.74","338.84","Finale A"
"Mathieu Godin","K1H","98.62","370.5","345.37","Finale A"
"Lucas Jacob","K1H","99.06","309.58","351.23","Finale A"
"Fabien Beaudoin","K1H","99.96","-","363.23","Finale A"
"Leo Demazeau","K1H","100.14","431.52","365.62","Finale A"
"Jean Aussant","K1H","100.15","326.92","365.76","Finale A"
"Samuel Lhote","K1H","100.59","454.68","371.62","Finale A"
"Enzo Cozette","K1H","101.12","396.69","378.68","Finale A"
"Clement Font-boinel","K1H","101.19","359.21","379.61","Finale A"
"Mickael Louchard","K1H","101.42","395.9","382.68","Finale A"
"Edouard Gracias","K1H","102.38","315.97","395.47","Finale A"
"Nicolas Candieu","K1H","102.71","350.44","399.87","Finale A"
"Eloi Seemann","K1H","102.91","-","402.53","Finale A"
"Louis Debureaux","K1H","103.24","416.73","406.93","Finale A"
"Jeremy Huguenin","K1H","103.63","370.18","412.12","Finale A"
"Louis Bouclier","K1H","104.09","-","418.25","Finale A"
"Leo Degraeve","K1H","104.17","-","419.32","Finale A"
"Quentin Angot","K1H","104.2","428.99","419.72","Finale A"
"Charles Bre","K1H","104.28","-","420.78","Finale A"
"Nicolas Dupres","K1H","104.96","427.16","429.84","Finale A"
"Teddy Poulard","K1H","105.41","424.45","435.84","Finale A"
"Romain Bouillon","K1H","105.54","406.24","437.57","Finale A"
"Benoit Guernic","K1H","105.54","448.55","437.57","Finale A"
"Jeansebastien Simonklein","K1H","106.42","-","449.3","Finale A"
"Neel Coeuret","K1H","107.24","-","460.22","Finale A"
"Kevin Tanay","K1H","108.55","493.3","477.67","Finale A"
"Theo Loury","K1H","108.9","459.32","482.34","Finale A"
"Paul Besnard","K1H","109.66","-","492.46","Finale A"
"Thomas Martinet","K1H","110.88","497.41","508.72","Finale A"
"Maxime Savalle","K1H","112.25","570.18","526.97","Finale A"
"Alban Morel","K1H","112.3","-","527.64","Finale A"
"Valentin Fleury","K1H","113.07","451.59","537.9","Finale A"
"Elie Scaglia Mennesson","K1H","113.63","576.01","545.36","Finale A"
"Baptiste Brunet","K1H","114.02","346.93","550.55","Finale A"
"Mathieu Aussant","K1H","117.26","628.39","593.72","Finale A"
"Lucas Walbreq","K1H","119.98","491.34","629.96","Finale A"
"Niels Beaumont","K1H","122.19","431.37","659.41","Finale A"
"Gaspard Perrio","K1H","124.47","-","689.78","Finale A"
"Pablo Ramirez","K1H","130.63","560.1","771.86","Finale A"
"Simon Dubosc","K1H","147.17","282.22","992.23","Finale A"
"Lucas Weilbach","K1H","154.72","616.47","1092.82","Finale A"
"Isidore Dubuisson","K1H","156.55","397.2","1117.2","Finale A"
"Antoine Martin","K1H","186.01","427.56","1509.71","Finale A"
"Noe Perreau","K1HM","104.55","-","424.38","Finale A"
"Estephe Decarsin","K1HM","115.74","-","573.47","Finale A"
"Hugo Baillet","K1HM","116.58","-","584.66","Finale A"
"Fabien Bonvalet","K1HM","120.12","-","631.83","Finale A"
"Hugo Lecointe","K1HM","120.31","-","634.36","Finale A"
"Clement Hamel","K1HM","123.52","-","677.13","Finale A"
"Lenny Touati","K1HM","126.09","-","711.37","Finale A"
"Thibaut Evrard","K1HM","126.32","-","714.43","Finale A"
"Benjamin Georgin","K1HM","129.59","-","758","Finale A"
"Dimitri Houlier","K1HM","130.43","-","769.19","Finale A"
"Teo Durand","K1HM","136.86","-","854.86","Finale A"
"Mathis Andrieu","K1HM","142.02","-","923.61","Finale A"
"Loœc Pottier","K1HM","159.27","-","1153.44","Finale A"
"Alexandre Thomas","K1HM","237.67","-","2198","Finale A"
"Theodora Seemann","C1D","151.7","722.3","720.73","Finale B"
"Alize Bachelot","C1D","161.1","-","825.09","Finale B"
"Marion Matura","C1D","178.39","-","1017.05","Finale B"
"Laetitia Pelcat","C1D","Abs","-","-","Finale B"
"Mickael Louchard","C1H","115.29","492.11","499.33","Finale B"
"Antoine Martin","C1H","117.29","502.6","524.71","Finale B"
"Geoffroy Lauth","C1H","119.15","558.3","548.31","Finale B"
"Jeremy Bretteville","C1H","119.56","481.04","553.52","Finale B"
"Yohan Marck","C1H","120.24","558.84","562.14","Finale B"
"Jean Aussant","C1H","121.48","506.93","577.87","Finale B"
"Bertrand Avril","C1H","122.74","-","593.86","Finale B"
"Antoine Cruard","C1H","122.93","482.5","596.27","Finale B"
"Marceau Decarsin","C1H","126.7","-","644.12","Finale B"
"Maxime Savalle","C1H","129.58","760.77","680.66","Finale B"
"Damien Jacques","C1H","131.55","-","705.66","Finale B"
"Quentin Angot","C1H","132.1","-","712.64","Finale B"
"Thomas Martinet","C1H","133.78","857.91","733.96","Finale B"
"Kevin Tanay","C1H","134.25","663.04","739.91","Finale B"
"Sebastien Masseline","C1H","137.65","747.44","783.05","Finale B"
"Theo Moalic","C1H","138.72","-","796.63","Finale B"
"Samuel Lhote","C1H","139.09","-","801.33","Finale B"
"Donatien Lamoureux","C1H","140.01","754.53","813","Finale B"
"Isidore Dubuisson","C1H","144.68","794.19","872.25","Finale B"
"Theo Viallard","C1H","154.88","-","1001.69","Finale B"
"Yves Boudon","C1H","160.02","1219.52","1066.91","Finale B"
"Simon Dubosc","C1H","160.57","-","1073.89","Finale B"
"Louis Marescot","C1H","163.64","-","1112.85","Finale B"
"Benjamin Meziere","C1H","164.88","-","1128.58","Finale B"
"Simon Boulan","C1H","Abs","-","-","Finale B"
"Theo Lecointe","C1H","Abs","-","-","Finale B"
"Benjamin Soroka","C1H","Abs","-","-","Finale B"
"Loœc Pottier","C1HM","137.72","-","783.95","Finale B"
"Mathias Felix","C1HM","218.3","-","1806.43","Finale B"
"Matthis Leroux","C1HM","241.09","-","2095.62","Finale B"
"Mathis Andrieu","C1HM","277.49","-","2557.49","Finale B"
"Simon Boulan-Mehdi Rouich","C2H","120.06","-","490.6","Finale B"
"Antoine Martin-Romain Bouillon","C2H","144.32","631.09","784.45","Finale B"
"Olivier Dulouard-Jean-francois Dulouard","C2H","144.79","-","790.14","Finale B"
"Theo Moalic-Marceau Decarsin","C2H","147.42","740.45","822","Finale B"
"Elie Scaglia Mennesson-Roman Vivier","C2H","155.34","-","917.93","Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","156.98","1075.03","937.79","Finale B"
"Dante Bourlet De La Vallee-Elie Gerault","C2H","Abs","-","-","Finale B"
"Anne Lambert-Louison Laumondais","C2M","150.46","692.32","706.95","Finale B"
"Amael Samson-Melina Letellier","C2M","155.42","-","762.03","Finale B"
"Damien Jacques-Laetitia Pelcat","C2M","190.98","-","1156.84","Finale B"
"Marion Matura-Pierre Sotto","C2M","296","2057.63","2322.88","Finale B"
"Henri Loisel-Agathe Allaire","C2M","347.07","-","2889.9","Finale B"
"Alize Bachelot","K1D","128.08","456.22","546.56","Finale B"
"Theodora Seemann","K1D","136.79","661.52","649.26","Finale B"
"Anne Lambert","K1D","138.66","568.61","671.31","Finale B"
"Lea Kieffer","K1D","145.78","643.13","755.26","Finale B"
"Daphnee Mouchelet","K1D","150.16","764.35","806.9","Finale B"
"Lisa Bou…","K1D","154.35","-","856.31","Finale B"
"Lucie Coutant","K1D","162.26","-","949.57","Finale B"
"Mathilde Herbini»re","K1D","208.03","1025.59","1489.22","Finale B"
"Axelle Nowak","K1D","216.99","-","1594.88","Finale B"
"Anna Dufay Leneveu","K1D","Des","-","-","Finale B"
"Gabrielle Kugler","K1DM","140.15","-","688.88","Finale B"
"Marine Calenda","K1DM","142.04","-","711.16","Finale B"
"Julianne Brosse","K1DM","154.88","-","862.55","Finale B"
"Elza Horlock","K1DM","171.88","-","1062.99","Finale B"
"Solene Le Roux","K1DM","210.05","-","1513.05","Finale B"
"Albertine Binard","K1DM","218.89","-","1617.28","Finale B"
"Marthe Bechet","K1DM","345.86","-","3114.34","Finale B"
"Romain Huguenin","K1H","95.01","324.76","302.27","Finale B"
"Louison Laumondais","K1H","105.75","410.68","445.37","Finale B"
"Alan Le Goff","K1H","107.17","-","464.29","Finale B"
"Beranger Doulle","K1H","107.79","-","472.55","Finale B"
"Alexandre Ponnelle","K1H","111.61","538.96","523.44","Finale B"
"Roman Vivier","K1H","113.71","793.36","551.42","Finale B"
"Theo Viallard","K1H","113.95","-","554.62","Finale B"
"Jeanchristophe Laroque","K1H","114.3","449.3","559.28","Finale B"
"Amael Samson","K1H","114.79","515.82","565.81","Finale B"
"Philippe Piat","K1H","114.94","483.17","567.81","Finale B"
"Theo Lecointe","K1H","116.49","471.85","588.46","Finale B"
"Hugo Lecomte","K1H","116.57","-","589.53","Finale B"
"Baptiste Le Cocq","K1H","116.65","572.4","590.59","Finale B"
"Louis Prezeau","K1H","117.26","539.29","598.72","Finale B"
"Alberic Carpentier","K1H","117.36","692.76","600.05","Finale B"
"Olivier Dulouard","K1H","119.64","-","630.43","Finale B"
"Yves Boudon","K1H","119.64","678.55","630.43","Finale B"
"Yann Castryck- -genereux","K1H","119.96","-","634.7","Finale B"
"Sebastien Masseline","K1H","120.92","634.38","647.49","Finale B"
"Jeremy Bretteville","K1H","120.96","401.17","648.02","Finale B"
"Jean-francois Dulouard","K1H","121.1","580.67","649.88","Finale B"
"Lilian Lepenant","K1H","122.05","572.56","662.54","Finale B"
"Damien Jacques","K1H","123.56","542.37","682.66","Finale B"
"Basile Guerrapin","K1H","123.63","541.24","683.59","Finale B"
"Kevin Langlois","K1H","123.72","742.59","684.79","Finale B"
"Maxime Langlais","K1H","124.24","690.92","691.72","Finale B"
"Jerome Bourlet","K1H","127.45","726.11","734.49","Finale B"
"Nathan Saintobert","K1H","127.65","-","737.15","Finale B"
"Thibaud Collaert","K1H","127.71","-","737.95","Finale B"
"Adam El Manouzi","K1H","130.03","884.19","768.86","Finale B"
"Mathieu Cruard","K1H","138.34","562.47","879.58","Finale B"
"Elie Gerault","K1H","139.82","1271.87","899.3","Finale B"
"Gregoire Paillard","K1H","140.08","682.41","902.76","Finale B"
"Henri Loisel","K1H","141.57","-","922.62","Finale B"
"Melvin Queudeville","K1H","143.72","487.59","951.26","Finale B"
"R…mi Simon","K1H","144.38","-","960.06","Finale B"
"Denis Marrocos","K1H","144.91","-","967.12","Finale B"
"Titouan Guillot","K1H","146.48","-","988.03","Finale B"
"Jean Paul Helluin","K1H","154.1","-","1089.56","Finale B"
"Tom Armand","K1H","156.6","-","1122.87","Finale B"
"Dante Bourlet De La Vallee","K1H","158.59","1295.43","1149.38","Finale B"
"Killian Errot","K1H","179.17","-","1423.58","Finale B"
"Augustin Renard","K1H","188","702.77","1541.23","Finale B"
"Marc-olivier Allaria","K1H","192.73","-","1604.25","Finale B"
"Benjamin Meziere","K1H","200.71","-","1710.57","Finale B"
"Leo Trudel","K1H","243.42","-","2279.61","Finale B"
"Theo Griffit","K1H","275.34","-","2704.9","Finale B"
"Thomas Gossieaux","K1H","275.97","-","2713.29","Finale B"
"Leo Leveque","K1HM","136.18","-","850.8","Finale B"
"Mathias Felix","K1HM","138.82","-","885.98","Finale B"
"Loan Guyomarch","K1HM","150.15","-","1036.93","Finale B"
"Lucas Ferloni","K1HM","152.38","-","1066.64","Finale B"
"Lucas Leseur","K1HM","158.46","-","1147.65","Finale B"
"Matthis Leroux","K1HM","161.3","-","1185.49","Finale B"
"Thomas Leblond","K1HM","161.89","-","1193.35","Finale B"
"Elies Elmoataz Billah","K1HM","168.14","-","1276.62","Finale B"
"Jason Leroy","K1HM","176.51","-","1388.14","Finale B"
"Mathis Pomares","K1HM","180.42","-","1440.23","Finale B"
"Matteo Figueiredo Alves","K1HM","189.96","-","1567.34","Finale B"
"Thomas Brunet","K1HM","198.47","-","1680.72","Finale B"
"Maxence Galy","K1HM","223.81","-","2018.34","Finale B"
"T…o Capdeville","K1HM","225.99","-","2047.39","Finale B"
