"SÈlectif RÈgional Slalom (Double) - Saint-pierre De Boeuf - Course n∞1 | Finale - 2016-10-01","Course n∞1 | Finale","2016-10-01","RÈgional","311"
"Valentin Vibert-Laura Rocher","C2M","119.21","344.2","285.41","Course n∞1 | Finale A"
"Violaine Vennin-Jerome Blanchet","C2M","128.09","-","381.69","Course n∞1 | Finale A"
"Emilie Fer","K1D","93.85","12.23","73.48","Course n∞1 | Finale A"
"Julie Neime","K1D","97.79","81.43","118.84","Course n∞1 | Finale A"
"Anneline Triomphe","K1D","99.48","134.32","138.3","Course n∞1 | Finale A"
"Emeline Oudet","K1D","99.59","120.21","139.57","Course n∞1 | Finale A"
"Lucie Prioux","K1D","99.82","115.84","142.22","Course n∞1 | Finale A"
"Joey Bercon","K1D","100.38","136.7","148.67","Course n∞1 | Finale A"
"Caroline Bourry","K1D","101.14","127.79","157.42","Course n∞1 | Finale A"
"Angele Hug","K1D","101.81","199.05","165.13","Course n∞1 | Finale A"
"Lea Wetzel","K1D","102.52","108.58","173.31","Course n∞1 | Finale A"
"Viviana Daille","K1D","103.18","160.95","180.9","Course n∞1 | Finale A"
"Violaine Vennin","K1D","103.87","180.97","188.85","Course n∞1 | Finale A"
"Manon Prioux","K1D","105.98","196.11","213.14","Course n∞1 | Finale A"
"Marie Borlet","K1D","106.67","-","221.09","Course n∞1 | Finale A"
"Alice Evlachev","K1D","107.06","292.32","225.58","Course n∞1 | Finale A"
"Carine Chapuis","K1D","109.91","300.62","258.39","Course n∞1 | Finale A"
"Charlotte Issagarre","K1D","110.53","260.31","265.53","Course n∞1 | Finale A"
"Eva Pietracha","K1D","110.98","294.44","270.71","Course n∞1 | Finale A"
"Mylene Ferry","K1D","112.05","242.17","283.03","Course n∞1 | Finale A"
"Marie Juquelier","K1D","114.74","370.02","314.01","Course n∞1 | Finale A"
"Raphaelle Hovine","K1D","114.88","289.3","315.62","Course n∞1 | Finale A"
"Meryl Steinmann","K1D","114.92","266.39","316.08","Course n∞1 | Finale A"
"Sabine Kleinhenz","K1D","116.67","326.17","336.23","Course n∞1 | Finale A"
"Marion Pasquali","K1D","121.35","342.23","390.11","Course n∞1 | Finale A"
"Laura Rocher","K1D","125.15","285.56","433.87","Course n∞1 | Finale A"
"Lucie Adisson","K1D","131.69","373.31","509.17","Course n∞1 | Finale A"
"Annaelle Meheut","K1D","305.49","150.96","2510.32","Course n∞1 | Finale A"
"Ilona Martin -laemle","K1DM","119.44","-","368.12","Course n∞1 | Finale A"
"Marie Amelie Silvin","K1DM","122.8","436.69","406.82","Course n∞1 | Finale A"
"Kesia Georgel","K1DM","135.36","595.26","551.43","Course n∞1 | Finale A"
"Anouk Alberti","K1DM","136.33","549.04","562.6","Course n∞1 | Finale A"
"Adeline Roux","K1DM","184.9","-","1121.83","Course n∞1 | Finale A"
"Nicolas Abbal","K1H","86.98","60.39","124.57","Course n∞1 | Finale A"
"Loic Bertoia","K1H","87.21","116.85","127.56","Course n∞1 | Finale A"
"Maxime Bottex","K1H","87.45","106.71","130.69","Course n∞1 | Finale A"
"Kevin Schultz","K1H","88.01","92.04","137.97","Course n∞1 | Finale A"
"Gregoire Guerin","K1H","90.14","151.49","165.69","Course n∞1 | Finale A"
"Nicolas Baudoin","K1H","90.3","118.81","167.77","Course n∞1 | Finale A"
"Pierre Grapotte","K1H","90.59","214.57","171.54","Course n∞1 | Finale A"
"Louis Masson","K1H","90.88","176.11","175.31","Course n∞1 | Finale A"
"Leo Fournier","K1H","91.12","163.02","178.44","Course n∞1 | Finale A"
"Julien Pajaud","K1H","91.78","192.17","187.02","Course n∞1 | Finale A"
"Jonathan Chapatte","K1H","92.05","184.34","190.54","Course n∞1 | Finale A"
"Matthieu Le Gall","K1H","92.11","181.61","191.32","Course n∞1 | Finale A"
"Yanis Rainaud","K1H","92.91","231.83","201.73","Course n∞1 | Finale A"
"Davy Egraz","K1H","93.02","207.69","203.16","Course n∞1 | Finale A"
"Valentin Vibert","K1H","93.64","288.38","211.22","Course n∞1 | Finale A"
"Benjamin Dodane","K1H","93.66","277.97","211.48","Course n∞1 | Finale A"
"Raphael Lassechere","K1H","93.85","227.74","213.96","Course n∞1 | Finale A"
"Kawan Thomas","K1H","94.24","247.42","219.03","Course n∞1 | Finale A"
"Nathan Hossin","K1H","94.62","232.02","223.97","Course n∞1 | Finale A"
"Henri Bergognon","K1H","94.68","267.1","224.75","Course n∞1 | Finale A"
"Paul Jean","K1H","94.77","-","225.93","Course n∞1 | Finale A"
"Raphael Olla","K1H","95.8","274.75","239.33","Course n∞1 | Finale A"
"Sebastien Routhier","K1H","96.13","297.94","243.62","Course n∞1 | Finale A"
"Nicolas Rouleaud","K1H","96.21","182.48","244.66","Course n∞1 | Finale A"
"Mathieu Monier","K1H","96.56","233.41","249.22","Course n∞1 | Finale A"
"Yann Zaepffel","K1H","96.7","245.62","251.04","Course n∞1 | Finale A"
"Dylan Sourbe","K1H","96.7","240.09","251.04","Course n∞1 | Finale A"
"Jules Cresp","K1H","96.73","261.81","251.43","Course n∞1 | Finale A"
"Bertrand Bercon","K1H","96.93","235.12","254.03","Course n∞1 | Finale A"
"Jean Philippe Winiarski","K1H","96.94","269.77","254.16","Course n∞1 | Finale A"
"Cedric Mace","K1H","97.15","285.41","256.89","Course n∞1 | Finale A"
"Jeremy Wagner","K1H","97.37","265.59","259.75","Course n∞1 | Finale A"
"Sylvain Curinier","K1H","97.46","253.5","260.93","Course n∞1 | Finale A"
"Jean Philippe Roche","K1H","97.54","257.81","261.97","Course n∞1 | Finale A"
"Julien Saguet","K1H","97.84","265.24","265.87","Course n∞1 | Finale A"
"Quentin Robin","K1H","98.3","291.77","271.85","Course n∞1 | Finale A"
"Vincent Garcia","K1H","98.4","317.34","273.16","Course n∞1 | Finale A"
"Maxime Gaillard","K1H","99.22","259.54","283.82","Course n∞1 | Finale A"
"Guillaume Affortit","K1H","99.79","347.62","291.24","Course n∞1 | Finale A"
"Raphael Ricci Miege","K1H","100.94","319.08","306.2","Course n∞1 | Finale A"
"Bertrand Dubiez","K1H","101.32","338.42","311.15","Course n∞1 | Finale A"
"Tom Benini","K1H","102.03","324.2","320.39","Course n∞1 | Finale A"
"Olivier Hardonniere","K1H","102.76","323.23","329.88","Course n∞1 | Finale A"
"George Meysner","K1H","102.8","312.67","330.4","Course n∞1 | Finale A"
"Tino Forgues","K1H","104.37","374.04","350.83","Course n∞1 | Finale A"
"Nicolas Detheve","K1H","104.49","300.31","352.39","Course n∞1 | Finale A"
"Yoni Beghoura","K1H","104.64","-","354.34","Course n∞1 | Finale A"
"Boris Lutinier","K1H","105.48","-","365.27","Course n∞1 | Finale A"
"Mikael Clanchin","K1H","105.86","304.17","370.22","Course n∞1 | Finale A"
"Maxime Melmont","K1H","105.89","426.04","370.61","Course n∞1 | Finale A"
"Florian Sauvage","K1H","106.2","318.7","374.64","Course n∞1 | Finale A"
"Yann Rivallant","K1H","106.23","-","375.03","Course n∞1 | Finale A"
"Loic Joly","K1H","106.44","326.16","377.76","Course n∞1 | Finale A"
"Theo Desvignes","K1H","110.69","173.78","433.06","Course n∞1 | Finale A"
"Jules Heurtin","K1H","111.64","313.17","445.42","Course n∞1 | Finale A"
"Hugo Lelieur","K1H","112.49","-","456.48","Course n∞1 | Finale A"
"Louis Mazoyer","K1H","112.91","393.02","461.94","Course n∞1 | Finale A"
"Yann Leruste","K1H","112.94","390.95","462.33","Course n∞1 | Finale A"
"Nino Chailan","K1H","114.01","433.32","476.26","Course n∞1 | Finale A"
"Antoine Roux","K1H","141.42","148.68","832.89","Course n∞1 | Finale A"
"Paul Gaillard","K1H","155.19","359.3","1012.05","Course n∞1 | Finale A"
"Teo Bouvier","K1H","161.4","319.53","1092.84","Course n∞1 | Finale A"
"Cyril Audoit","K1H","171.93","345.46","1229.85","Course n∞1 | Finale A"
"Alexis Dorey","K1H","204.1","287.32","1648.41","Course n∞1 | Finale A"
"Tristan Bronsard","K1H","205.51","-","1666.76","Course n∞1 | Finale A"
"Jules Silvin","K1H","422.92","264.56","4495.46","Course n∞1 | Finale A"
"Djendy Simeant","K1HM","107","300.03","385.05","Course n∞1 | Finale A"
"Edouard Chenal","K1HM","109.58","592.39","418.62","Course n∞1 | Finale A"
"Batiste Ansaldi","K1HM","111.81","-","447.63","Course n∞1 | Finale A"
"Luca Gabelli","K1HM","113.97","-","475.74","Course n∞1 | Finale A"
"Arthur Contamine","K1HM","115.32","582.03","493.3","Course n∞1 | Finale A"
"Etienne Wiche","K1HM","116.62","372.17","510.21","Course n∞1 | Finale A"
"Yazid Koraichi","K1HM","118.66","-","536.76","Course n∞1 | Finale A"
"Tanguy Adisson","K1HM","119.15","536.04","543.13","Course n∞1 | Finale A"
"Kilian Cottet","K1HM","123.07","571.13","594.14","Course n∞1 | Finale A"
"Erwann Buthod","K1HM","123.24","537.99","596.35","Course n∞1 | Finale A"
"Noe Monier","K1HM","123.4","397.75","598.43","Course n∞1 | Finale A"
"Mohamed Saœd Bekkadour","K1HM","123.66","532.42","601.81","Course n∞1 | Finale A"
"Benjamin Guyon","K1HM","125.53","606.11","626.14","Course n∞1 | Finale A"
"Nicolas Demofsqui","K1HM","133.03","-","723.72","Course n∞1 | Finale A"
"Matthew Vuillard","K1HM","144.73","641.17","875.95","Course n∞1 | Finale A"
"Baptiste Gaillard","K1HM","147.73","603.3","914.98","Course n∞1 | Finale A"
"Lucas Augu","K1HM","149.11","277.44","932.94","Course n∞1 | Finale A"
"Lucas Dominguez","K1HM","154.04","-","997.08","Course n∞1 | Finale A"
"Gino Benini","K1HM","156.12","489.38","1024.15","Course n∞1 | Finale A"
"Loœc Winiarski","K1HM","161.43","353.47","1093.23","Course n∞1 | Finale A"
"Marion Delorme","C1D","128.93","300.18","395.8","Course n∞1 | Finale B"
"Lea Wetzel","C1D","134.93","-","460.85","Course n∞1 | Finale B"
"Alice Evlachev","C1D","143.73","585.48","556.26","Course n∞1 | Finale B"
"Laetitia Odermatt","C1D","148.69","-","610.04","Course n∞1 | Finale B"
"Margot Blanc","C1D","153.11","584.41","657.97","Course n∞1 | Finale B"
"Camille Berson","C1D","334.18","739.48","2621.2","Course n∞1 | Finale B"
"Galaad Pereyron","C1H","102.73","199.67","270.84","Course n∞1 | Finale B"
"Maxime Vallin","C1H","105.78","329.66","308.64","Course n∞1 | Finale B"
"Ronan Cordier","C1H","106.67","350.72","319.66","Course n∞1 | Finale B"
"Nikolas Stanik","C1H","108.29","447.91","339.74","Course n∞1 | Finale B"
"Olivier Barriere","C1H","109.03","310.08","348.91","Course n∞1 | Finale B"
"Maxime Kabir","C1H","110.15","400.62","362.79","Course n∞1 | Finale B"
"Florian Sauvage","C1H","113.23","471.72","400.95","Course n∞1 | Finale B"
"Paul Gaillard","C1H","114.23","437.26","413.34","Course n∞1 | Finale B"
"Guillaume Gonseth","C1H","114.31","362.43","414.34","Course n∞1 | Finale B"
"Jonathan Chapatte","C1H","116.71","-","444.07","Course n∞1 | Finale B"
"Nil Georgel","C1H","119.72","342.04","481.37","Course n∞1 | Finale B"
"Frederic Morand","C1H","122.82","-","519.78","Course n∞1 | Finale B"
"Paul Farrugio","C1H","132.56","725.89","640.48","Course n∞1 | Finale B"
"Cedric Mace","C1H","137.88","484.35","706.4","Course n∞1 | Finale B"
"Arthur Viallard","C1H","138.47","760.5","713.71","Course n∞1 | Finale B"
"Quentin Laplace","C1H","179.41","871.62","1221.02","Course n∞1 | Finale B"
"Reginald Grossin","C1H","189.39","-","1344.67","Course n∞1 | Finale B"
"Pierre Poizat","C1H","Abd","-","-","Course n∞1 | Finale B"
"Yasin Gulay","C1H","Dsq","-","-","Course n∞1 | Finale B"
"Erwan Degreve","C1H","Abs","-","-","Course n∞1 | Finale B"
"Julien Lambert","C1HM","132.83","845.88","643.83","Course n∞1 | Finale B"
"Tanguy Adisson","C1HM","137.34","657.22","699.71","Course n∞1 | Finale B"
"Gino Benini","C1HM","157.13","-","944.94","Course n∞1 | Finale B"
"Florian Sauvage-Jules Heurtin","C2H","138.77","702.91","639.27","Course n∞1 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","139.41","612.13","646.83","Course n∞1 | Finale B"
"Eric Archambault-Loic Burlet","C2H","166.43","563.42","966.43","Course n∞1 | Finale B"
"Pierre Poizat-Arthur Tebib","C2H","Abd","-","-","Course n∞1 | Finale B"
"Marion Delorme-Cyril Audoit","C2M","195.13","-","1113.56","Course n∞1 | Finale B"
"Tiphaine Drouin-Benjamin Harreau","C2M","205.7","466.69","1228.17","Course n∞1 | Finale B"
"Estelle Friconneau-Guillaume Gery","C2M","Abs","-","-","Course n∞1 | Finale B"
"Julie Labarelle","K1D","103.78","166.52","192.81","Course n∞1 | Finale B"
"Laurene Roisin","K1D","110.78","286.09","273.41","Course n∞1 | Finale B"
"Marion Delorme","K1D","116.5","268.9","339.27","Course n∞1 | Finale B"
"Louane Chenal","K1D","117.47","393.79","350.44","Course n∞1 | Finale B"
"Alice Rietzmann","K1D","124.48","-","431.15","Course n∞1 | Finale B"
"Lea Riera","K1D","124.75","496.29","434.26","Course n∞1 | Finale B"
"Chloe Faverjon","K1D","126.08","479.56","449.57","Course n∞1 | Finale B"
"Carla Cerrutti - Bozzola","K1D","129.25","566.97","486.08","Course n∞1 | Finale B"
"Juliette Rousset","K1D","129.67","396.26","490.91","Course n∞1 | Finale B"
"Emilie Armani","K1D","132.22","535.68","520.28","Course n∞1 | Finale B"
"Clara Jannic","K1D","133.01","632.71","529.37","Course n∞1 | Finale B"
"Tifenn Primet","K1D","133.79","361.72","538.35","Course n∞1 | Finale B"
"Estelle Friconneau","K1D","138.99","411.55","598.22","Course n∞1 | Finale B"
"Camille Berson","K1D","143.4","496.95","649.01","Course n∞1 | Finale B"
"Lucie Fromentoux","K1D","145.52","588.81","673.41","Course n∞1 | Finale B"
"Sarah Monod","K1D","147.1","512.1","691.6","Course n∞1 | Finale B"
"Juliette Ribault","K1D","153.33","648.06","763.33","Course n∞1 | Finale B"
"Elise Carbon","K1D","153.74","736.63","768.06","Course n∞1 | Finale B"
"Emma Miton","K1D","156.6","500.67","800.99","Course n∞1 | Finale B"
"Elke Saragas","K1D","169.12","534.41","945.15","Course n∞1 | Finale B"
"Laetitia Odermatt","K1D","174.67","-","1009.04","Course n∞1 | Finale B"
"Annie Ughetto","K1D","175.56","559.94","1019.3","Course n∞1 | Finale B"
"Juliette Piot","K1D","179.03","-","1059.25","Course n∞1 | Finale B"
"Alicia Roux","K1D","200.1","-","1301.85","Course n∞1 | Finale B"
"Lea Hubert","K1D","286.47","605.91","2296.32","Course n∞1 | Finale B"
"Solen Friconneau","K1DM","121.96","568.13","402.14","Course n∞1 | Finale B"
"Callista Grange","K1DM","332.59","2019.04","2827.35","Course n∞1 | Finale B"
"Emma Blanc","K1DM","360.8","-","3152.16","Course n∞1 | Finale B"
"Cendres Le Floch","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Sebastien Nouvel","K1H","90.46","120.71","174.85","Course n∞1 | Finale B"
"Yann Gudefin","K1H","93.7","-","217","Course n∞1 | Finale B"
"Stephane Boulanger","K1H","94.72","285.84","230.28","Course n∞1 | Finale B"
"Enzo Seker","K1H","96.43","304.71","252.52","Course n∞1 | Finale B"
"Benjamin Harreau","K1H","96.84","258.07","257.86","Course n∞1 | Finale B"
"Samuel Bonella","K1H","97.94","220.48","272.17","Course n∞1 | Finale B"
"William Gettliffe","K1H","101.09","289.03","313.15","Course n∞1 | Finale B"
"Sebastien Lepaulard","K1H","101.89","312.86","323.56","Course n∞1 | Finale B"
"Victor Paulais","K1H","102.01","309.8","325.13","Course n∞1 | Finale B"
"Gawaine Chikh","K1H","102.76","333.43","334.88","Course n∞1 | Finale B"
"Pierrealain Clerc","K1H","103.25","297.12","341.26","Course n∞1 | Finale B"
"Alexandre Goujon","K1H","103.42","394.48","343.47","Course n∞1 | Finale B"
"Guillaume Gery","K1H","103.93","-","350.11","Course n∞1 | Finale B"
"Loic Bouvier","K1H","104.47","461.45","357.13","Course n∞1 | Finale B"
"Frederic Morand","K1H","104.6","-","358.82","Course n∞1 | Finale B"
"Jacques Roisin","K1H","105.38","413.53","368.97","Course n∞1 | Finale B"
"Nayl Tazi-sidqui","K1H","105.43","330.23","369.62","Course n∞1 | Finale B"
"Kilian Godart","K1H","105.71","385.51","373.27","Course n∞1 | Finale B"
"Jonathan Himpens","K1H","106.67","-","385.76","Course n∞1 | Finale B"
"Olivier Barriere","K1H","106.84","359.45","387.97","Course n∞1 | Finale B"
"Florent Cossou","K1H","107.93","429.23","402.15","Course n∞1 | Finale B"
"Denis Cote","K1H","108.89","-","414.64","Course n∞1 | Finale B"
"Nathan Pavot","K1H","108.92","402.37","415.03","Course n∞1 | Finale B"
"Hugo Martin -laemle","K1H","110.12","432.86","430.64","Course n∞1 | Finale B"
"Valentin Affortit","K1H","110.7","477.72","438.19","Course n∞1 | Finale B"
"Lucas Barriere","K1H","111.02","365.16","442.35","Course n∞1 | Finale B"
"Charlie Genovese","K1H","111.51","530.17","448.73","Course n∞1 | Finale B"
"Luca Barone","K1H","111.65","433.44","450.55","Course n∞1 | Finale B"
"Frederic Caillet","K1H","113.27","612.25","471.63","Course n∞1 | Finale B"
"Nicolas Monzerian","K1H","115.39","-","499.21","Course n∞1 | Finale B"
"Anselm Arnaud","K1H","115.63","448.21","502.33","Course n∞1 | Finale B"
"Laurent Brossat","K1H","118.61","-","541.11","Course n∞1 | Finale B"
"Serge Doby","K1H","118.77","-","543.19","Course n∞1 | Finale B"
"Bilal Yousfi","K1H","118.95","-","545.53","Course n∞1 | Finale B"
"Hugo Avril","K1H","119.66","559.78","554.77","Course n∞1 | Finale B"
"Paul Farrugio","K1H","122.64","642.65","593.54","Course n∞1 | Finale B"
"Dominique Polard","K1H","123.69","534.15","607.2","Course n∞1 | Finale B"
"Quentin Laplace","K1H","124.15","573.42","613.19","Course n∞1 | Finale B"
"Philippe Bigard","K1H","124.19","598.73","613.71","Course n∞1 | Finale B"
"Yanis Clerc","K1H","128.92","452.84","675.25","Course n∞1 | Finale B"
"Benjamin Gonthier","K1H","130.72","1095.64","698.67","Course n∞1 | Finale B"
"Come Champurney","K1H","130.99","570.01","702.18","Course n∞1 | Finale B"
"Matthieu Rousseau","K1H","133.35","536.98","732.89","Course n∞1 | Finale B"
"Remy Beal","K1H","136.21","966.65","770.1","Course n∞1 | Finale B"
"Ronan Emery","K1H","139.6","890.72","814.21","Course n∞1 | Finale B"
"Florent Vallier","K1H","143.34","-","862.87","Course n∞1 | Finale B"
"Mathieu Buono-michel","K1H","144.89","739.04","883.03","Course n∞1 | Finale B"
"Isaac Dufrene","K1H","145.81","174.04","895","Course n∞1 | Finale B"
"Charles Fernandes De Oliveira","K1H","150.18","275.85","951.86","Course n∞1 | Finale B"
"Romain Berthon","K1H","151.14","678.62","964.35","Course n∞1 | Finale B"
"Charles Culine","K1H","151.31","556.37","966.56","Course n∞1 | Finale B"
"Julien Coudert","K1H","153.31","274.45","992.59","Course n∞1 | Finale B"
"Kevin Vienny","K1H","154.27","754.05","1005.08","Course n∞1 | Finale B"
"Emmanuel Triomphe","K1H","154.99","359.22","1014.44","Course n∞1 | Finale B"
"Alban Crochet","K1H","156.3","-","1031.49","Course n∞1 | Finale B"
"Valentin Capel","K1H","170.05","1062.91","1210.39","Course n∞1 | Finale B"
"Arthur Viallard","K1H","170.32","553.69","1213.9","Course n∞1 | Finale B"
"Tom Mazouat","K1H","171.92","590.01","1234.72","Course n∞1 | Finale B"
"Jocelyn Locatelli","K1H","193.47","1403.91","1515.1","Course n∞1 | Finale B"
"Yasin Gulay","K1H","230.32","1131.51","1994.56","Course n∞1 | Finale B"
"Arthur Lagleyze","K1H","322.91","331.17","3199.24","Course n∞1 | Finale B"
"Arthur Tebib","K1H","323.36","694.03","3205.09","Course n∞1 | Finale B"
"Arthur Brune","K1H","404.19","3231.65","4256.76","Course n∞1 | Finale B"
"Corentin Sabaut","K1H","Abs","-","-","Course n∞1 | Finale B"
"Maxence Jehan","K1HM","107.95","480.94","402.41","Course n∞1 | Finale B"
"Thomas Ukalovic","K1HM","109.67","543.01","424.79","Course n∞1 | Finale B"
"Clement Couchoud","K1HM","116.94","-","519.38","Course n∞1 | Finale B"
"Corentin Georgeon","K1HM","122.42","710","590.68","Course n∞1 | Finale B"
"Theo Zembalia","K1HM","127.12","656.38","651.83","Course n∞1 | Finale B"
"Aymeric Fumex","K1HM","139.08","673.88","807.44","Course n∞1 | Finale B"
"Jonathan Ferreira","K1HM","142.49","-","851.81","Course n∞1 | Finale B"
"Arthur Talarmain","K1HM","142.74","-","855.06","Course n∞1 | Finale B"
"Yann Mercier","K1HM","161.28","1116.28","1096.28","Course n∞1 | Finale B"
"Esteban Reder-issartel","K1HM","172.61","-","1243.7","Course n∞1 | Finale B"
"Julien Lambert","K1HM","176.91","-","1299.64","Course n∞1 | Finale B"
"Theo Soulier","K1HM","183.79","704.66","1389.16","Course n∞1 | Finale B"
"Tom Dubourd","K1HM","226.54","-","1945.37","Course n∞1 | Finale B"
"Daniel Chambert","K1HM","240.42","-","2125.97","Course n∞1 | Finale B"
"Cyril Borelli","K1HM","252.54","-","2283.66","Course n∞1 | Finale B"
"Louis Lacroix","K1HM","277.33","-","2606.2","Course n∞1 | Finale B"
"Eloœc Porte","K1HM","360.36","-","3686.5","Course n∞1 | Finale B"
"Oscar Pasteur","K1HM","Abd","-","-","Course n∞1 | Finale B"
"Julien Ojard-chillet","K1HM","Abd","-","-","Course n∞1 | Finale B"
