"Comp�tition R�gionale de Slalom - 97441 Ste Suzanne - Course n�2 - 2022-02-26","97441 Ste Suzanne","Course n�2","","2022-02-26","R�gional","21"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Marie-anne Andrianarisolotoandro","C1D","308.99","3160.03","2559.8",""
"Gabriel Raggi","C1H","103.98","1167.51","405.97",""
"Rockyann Ingrat","C1H","105.65","857.6","427.58",""
"Noah Biso","C1H","147.14","2674.35","964.66",""
"Riwal Le Ray","C1H","149.05","873.19","989.38",""
"Lena Dary","K1D","153.1","1201.5","901.51",""
"Marie-anne Andrianarisolotoandro","K1D","223.82","2136.76","1752.15",""
"Mathis Soudi","K1H","85.23","134.61","218.42",""
"Yves Prigent","K1H","92.85","50.88","321.99",""
"Louan Bluteau","K1H","103.93","411.63","472.59",""
"Leo Grollier","K1H","108.75","533.3","538.1",""
"Camille Luciotto Ribeiro","K1H","114.49","556.21","616.12",""
"Riwal Le Ray","K1H","115.67","958.46","632.16",""
"Noah Biso","K1H","116.48","619.54","643.17",""
"Esteban Mussate","K1H","121.63","916.36","713.17",""
"Anthony Saint Agnan","K1H","171.76","1303.37","1394.53",""
"Elouan Fages Oria","K1H","189.91","898.39","1641.23",""
"Leo Paquiry","K1H","207.08","851.46","1874.6",""
"Hugo Ganofsky","K1H","218.64","525.32","2031.72",""
"Clement Baret","K1H","308.48","2255.48","3252.83",""
"Evan Dias","K1H","358.44","2778.65","3931.88",""
