"Finale N3 ouest - Sablé Sur Sarthe - 2009-06-07","Course 1","2009-06-07","Nationale 3","192"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Laetitia Odermatt","C1D","252.50","328","349",""
"Betty Merand","C1D","302.78","654","625",""
"Nicolas Rebours","C1H","196.34","247","175",""
"Christian Boob","C1H","198.84","245","190",""
"Maxime Perron","C1H","201.38","229","206",""
"Yvan Nicolas","C1H","201.88","275","209",""
"Quentin Gillot","C1H","202.25","286","211",""
"Regis Cabel","C1H","202.31","254","211",""
"Pierre Mikolajczak","C1H","203.09","265","216",""
"Alexis Moriceau","C1H","204.72","299","226",""
"Jimmy Besson","C1H","205.94","297","234",""
"Herve Busson","C1H","206.97","370","240",""
"Mathieu Villeger","C1H","207.47","309","243",""
"Denis Voisin","C1H","207.75","260","245",""
"Paul Tallet Pinet","C1H","210.16","350","260",""
"Philippe Metran","C1H","212.05","333","271",""
"Henri Despont","C1H","212.87","363","276",""
"Jason Brothier","C1H","212.91","331","277",""
"Stephane Machet","C1H","214.22","395","285",""
"Aurelien Ballandras","C1H","214.37","404","286",""
"Lucas Hives - Sorin","C1H","214.53","308","287",""
"Pierre Herault","C1H","214.75","291","288",""
"Batiste Dubois","C1H","215.12","373","290",""
"Vincent Lemonnier","C1H","218.78","487","313",""
"Jerome Trousson","C1H","220.47","385","323",""
"Quentin Moret De Rocheprise","C1H","224.21","396","346",""
"David Soulier","C1H","226.10","354","358",""
"Brian Pieddefer","C1H","239.66","503","442",""
"Simon Dureau","C1H","246.09","664","481",""
"Thibaud Couetil","C1H","254.35","325","532",""
"Thomas Drouart","C1H","318.25","651","926",""
"Quentin Herault","C1H","Abs","-","-",""
"Estelle Hellard-Anais Coudrin","C2D","252.71","464","273",""
"Claire Pichon-Marie Landais","C2D","358.16","568","819",""
"Romain Caillon-Christophe Marechal","C2H","203.50","191","162",""
"Arnaud Le Calvez-Melaine Pichard","C2H","211.69","239","210",""
"Tangui Quemeneur-Guillaume Huppert","C2H","222.41","250","273",""
"Felix Merzeau-Jimmy Besson","C2H","224.18","379","283",""
"Lucas Le Gall-Guillaume Kerambrun","C2H","226.28","269","296",""
"Quentin Chapin-Charles Potier","C2H","232.06","413","330",""
"Nicolas Marcus-Sylvain Le Roux","C2H","234.44","345","344",""
"Boris Bouillaud-Thomas Chagnaud","C2H","242.84","441","393",""
"Laurine Naveau-Henri Despont","C2M","283.00","738","516",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","331.88","545","784",""
"Pauline Bercon","K1D","221.87","269","235",""
"Lise Vinet","K1D","222.50","479","239",""
"Camille Grezard","K1D","222.66","256","240",""
"Jeanne Despres","K1D","224.56","326","251",""
"Mathilde Pelletan","K1D","226.25","287","260",""
"Aurelie Le Fee","K1D","228.03","326","270",""
"Sandrine Kerneis","K1D","229.91","358","281",""
"Betty Merand","K1D","231.50","385","290",""
"Solene Graille","K1D","231.63","312","291",""
"Adeline Gerardin","K1D","233.34","450","301",""
"Emma Jacob","K1D","234.47","407","307",""
"Anne Gombert","K1D","235.00","326","310",""
"Laurine Naveau","K1D","235.50","385","313",""
"Camille Le Coq","K1D","237.00","364","322",""
"Camille Jounot","K1D","244.09","413","362",""
"Marie Landais","K1D","246.44","398","376",""
"Alexandra Menant","K1D","249.81","462","395",""
"Andrea Menant","K1D","251.53","471","405",""
"Nolwen Jouan","K1D","251.94","430","407",""
"Johane Guinberteau","K1D","260.75","561","458",""
"Clarisse Robin","K1D","264.97","505","482",""
"Amelie Perier","K1D","266.56","619","491",""
"Audrey Dada Balu","K1D","269.25","751","506",""
"Clemence Drugeot","K1D","274.41","712","536",""
"Angelique Chasseriault","K1D","274.72","544","538",""
"Joelle Bonnabesse","K1D","288.06","430","614",""
"Alison Drouet","K1D","304.88","670","710",""
"Marie Laure Graille","K1D","Abs","-","-",""
"Simon Deboysson","K1H","180.59","175","133",""
"Frederic Leclerc","K1H","182.71","186","147",""
"Gael Prodeau","K1H","184.52","208","159",""
"Medhi Deguil","K1H","184.76","170","160",""
"Damien Gaillard","K1H","187.59","170","179",""
"Antoine Godet","K1H","188.32","199","183",""
"Alexandre Plouzeau","K1H","189.58","233","191",""
"Felix Merzeau","K1H","189.71","226","192",""
"Benoit Ricard","K1H","190.71","223","199",""
"Mathieu Desnos","K1H","191.12","254","201",""
"Damien Launay","K1H","191.22","283","202",""
"Loic Kervella","K1H","191.90","231","206",""
"Emmanuel Cosse","K1H","192.94","237","213",""
"Valentin Lesseau","K1H","193.38","233","216",""
"Vit Masare","K1H","194.38","165","222",""
"Tanguy Le Marec","K1H","195.04","185","227",""
"Nowan Bertin","K1H","195.53","240","230",""
"Guillaume Chainier","K1H","195.67","249","231",""
"Thomas Marino","K1H","196.72","327","238",""
"Patrick Jegou","K1H","197.21","276","241",""
"Yves Prigent","K1H","198.20","192","247",""
"Jonas Turmeau","K1H","198.53","289","249",""
"Manuel Moquet","K1H","198.86","274","251",""
"Camille L'hostis","K1H","199.16","251","253",""
"Antoine Beaudoin","K1H","199.48","336","255",""
"Aurelien Ballandras","K1H","201.56","332","269",""
"Guillaume Blin","K1H","201.63","292","269",""
"David Julou","K1H","202.12","281","273",""
"Maxime Perrin","K1H","202.20","261","273",""
"James Duvernoy","K1H","202.78","282","277",""
"Etienne Chauvin","K1H","202.91","299","278",""
"Baptiste Piveteau","K1H","203.26","240","280",""
"Valentin Marin","K1H","203.44","282","281",""
"Nicolas Marcus","K1H","203.99","251","285",""
"Ludovic Gaignon","K1H","204.36","285","287",""
"Julien Caillarec","K1H","204.79","376","290",""
"Luke Long","K1H","205.35","319","293",""
"Ewen Legrand","K1H","205.56","283","295",""
"Florian Lepretre","K1H","206.00","232","298",""
"Kevin Sponem","K1H","206.06","365","298",""
"Thomas Drouart","K1H","206.34","302","300",""
"Simon Seuru","K1H","206.34","351","300",""
"Benjamin Sanella","K1H","207.47","262","307",""
"Valentin Blondel","K1H","207.59","369","308",""
"Philippe Rocher","K1H","207.88","565","310",""
"Loic Froissard","K1H","207.94","319","310",""
"Paul Messialle","K1H","207.97","243","310",""
"Clement Lucas","K1H","207.97","375","310",""
