"Selectif regional slalom Foix - Foix - 2006-11-12","Course 1","2006-11-12","Régional","221"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Elisa Venet","C1D","493.19","-","1745",""
"Eric Deguil","C1H","195.65","-","61",""
"Pierre Gelle","C1H","202.73","70","101",""
"Norbert Neveu","C1H","203.35","36","105",""
"Mathieu Voyemant","C1H","204.75","-","113",""
"Gaspard Remi","C1H","208.55","-","134",""
"Hugo Laberine","C1H","209.57","45","140",""
"Narduzzi Yves","C1H","211.45","132","150",""
"Biselx Thomas","C1H","212.35","68","156",""
"Cyril Duquet","C1H","214.31","109","167",""
"Paul Dupre","C1H","214.37","187","167",""
"Benoit Pacteau","C1H","220.21","160","200",""
"Simon Cayez","C1H","220.94","183","204",""
"Jonathan Delagnes","C1H","227.04","304","239",""
"Bernard Santoro","C1H","235.30","195","286",""
"Jonathan Figarol","C1H","238.90","309","305",""
"Hugo Cailhol","C1H","245.07","491","341",""
"Sebastien Perilhou","C1H","245.85","-","345",""
"Nicolas Scianimanico","C1H","247.14","380","353",""
"Rouffet Benoit","C1H","248.47","363","360",""
"Denis Gargaud","C1H","260.04","19","426",""
"Biso Hugo","C1H","266.62","-","462",""
"Gautier Grollemund","C1H","271.76","622","491",""
"Sebastien Combot","C1H","288.94","211","589",""
"Valentin Grollemund","C1H","332.26","241","835",""
"Boris Lesimple","C1H","388.73","-","1154",""
"Fabrice Roy","C1H","391.92","289","1171",""
"Salame Bastien","C1H","510.94","-","1845",""
"Mambrini Nicolas","C1H","612.74","-","2421",""
"Francois Mouttou","C1H","767.17","-","3294",""
"Deguil Eric- Gaspard Remi","C2H","204.57","30","59",""
"Aymeric Maynadier-Sebastien Perilhou","C2H","205.32","64","63",""
"Tillard Pierre Antoine- Jarreton Anthony","C2H","216.92","76","126",""
"Hugo Biso-Pierre Picco","C2H","222.74","56","157",""
"Simon Cayez-Guillaume Picco","C2H","239.34","-","247",""
"Benjamin Reig-Cyril Boulet","C2H","245.83","194","282",""
"Mathieu Voyemant-Damien Troquenet","C2H","255.70","23","335",""
"Mickael Cordier-Tom Bar","C2H","257.26","406","344",""
"Felix Dupin-Emile Dupin","C2H","268.32","439","403",""
"Arribat Benoit- Blanc Olivier","C2H","279.22","-","462",""
"Benjamin Lebouc-Hugo Lambert","C2H","407.41","1004","1154",""
"Marie-zelia Lafont","K1D","211.09","34","64",""
"Elisa Venet","K1D","216.19","50","91",""
"Julie Labarelle","K1D","228.34","85","155",""
"Elise Escourrou","K1D","232.26","188","175",""
"Magali Blanc","K1D","240.59","236","219",""
"Sixtine Malaterre","K1D","241.50","231","224",""
"Laurence Pessoni","K1D","242.54","199","229",""
"Laetitia Thueux","K1D","243.10","200","232",""
"Violaine Truche","K1D","244.54","256","240",""
"Charlotte Le Borgne","K1D","248.19","-","259",""
"Estelle Mangin","K1D","249.52","173","266",""
"Audrey Picco","K1D","249.73","256","267",""
"Jade Vassallo","K1D","252.93","170","284",""
"Pauline Guiet","K1D","253.62","265","287",""
"Laura Combot","K1D","260.73","57","325",""
"Le-Naour Lisa","K1D","274.39","274","397",""
"Perrine Beguery","K1D","275.58","105","403",""
"Jessica Joyau","K1D","280.79","365","430",""
"Anais Bouchet","K1D","283.17","133","443",""
"Laura Lyphout","K1D","295.76","157","509",""
"Camille Le Coq","K1D","304.35","516","554",""
"Vasseur Diane","K1D","354.24","345","816",""
"Berenice Kolenc","K1D","369.88","-","899",""
"Zoe Anxionnaz","K1D","382.14","90","964",""
"Zoe Guillerm","K1D","384.89","865","978",""
"Camille Giraud","K1D","403.80","531","1077",""
"Anouk Desbieys","K1D","466.90","377","1409",""
"Alysson Goyat","K1D","495.59","-","1560",""
"Diane Rouffet","K1D","533.67","924","1760",""
"Joelle Toregrossa","K1D","686.19","-","2561",""
"Ousset Marine","K1D","776.87","-","3038",""
"Christine Thivenin","K1D","986.59","1266","4141",""
"Fabien Lefevre","K1H","181.64","2","33",""
"Boris Neveu","K1H","182.32","5","38",""
"Samuel Hernanz","K1H","183.35","28","44",""
"Pierre Bourliaud","K1H","185.59","6","57",""
"Thomas Bersinger","K1H","188.72","75","75",""
"Sebastien Halilou","K1H","189.06","35","77",""
"Aurelien Maynadier","K1H","189.22","16","78",""
"Lucien Delfour","K1H","190.17","67","84",""
"Sebastien Combot","K1H","190.32","23","85",""
"Florian Berail","K1H","190.70","41","87",""
"Damien Laborde","K1H","190.93","30","88",""
"Florian Gosselin","K1H","195.26","100","114",""
"Benoit Molinier","K1H","195.77","30","117",""
"Louis Georges Lafont","K1H","196.29","88","120",""
"Benoit Rouffet","K1H","197.13","56","126",""
"Stephane Labouille","K1H","197.97","144","130",""
"Neveu Norbert","K1H","198.02","-","131",""
"Olivier Blanc","K1H","198.71","201","134",""
"Benjamin Renia","K1H","198.84","139","135",""
"Adrien Roussel","K1H","200.00","134","142",""
"Chirez Pierre","K1H","200.14","164","143",""
"Guillaume Picco","K1H","201.33","55","150",""
"Remy Guerinet","K1H","201.49","187","152",""
"Jonathan Delagnes","K1H","201.50","161","152",""
"Adrien Ponassie","K1H","201.86","222","154",""
"Florent Boulet","K1H","202.05","133","155",""
"Sylvain Mendez","K1H","204.86","175","171",""
"Mathieu Cataldo","K1H","205.29","219","174",""
"Colin Molinier","K1H","205.57","186","175",""
"Bernard Babi","K1H","205.90","211","177",""
"Eric Jolit","K1H","206.97","-","184",""
"Nicolas Masson","K1H","207.26","182","186",""
"Thomas Dauvet","K1H","207.66","224","188",""
"Viallon Hugo","K1H","208.36","214","192",""
"Fabrice Poueyto","K1H","208.61","142","193",""
"Nathanael Renia","K1H","209.16","314","197",""
"Marc Laborde","K1H","209.50","164","199",""
"Bastien Dantin","K1H","210.32","233","203",""
"Boris Doye","K1H","210.36","197","204",""
"Paul Graton","K1H","210.71","208","206",""
"Duquet Guillaume","K1H","210.80","-","206",""
"Regis Bonato","K1H","211.25","-","210",""
"Axel Mulle","K1H","211.47","164","211",""
"Franck Peyrical","K1H","211.54","209","211",""
"Canovas Cedric","K1H","211.91","158","213",""
"Romain Chabrol","K1H","212.30","175","215",""
"Virgile Pigache-donnet","K1H","212.33","256","216",""
"Olivier Cain","K1H","212.39","193","216",""
"Thomas Rieu","K1H","213.85","216","225",""
"Yannick Besse","K1H","214.03","234","226",""
"Remy Faucon","K1H","215.26","173","233",""
"Clerc Pierrealain","K1H","215.29","-","233",""
"Marc Darribere","K1H","215.59","264","235",""
"Jean Baptiste Morera","K1H","215.86","-","237",""
"Molinier Vincent","K1H","215.93","-","237",""
"Jeanluc Nitard","K1H","216.52","159","241",""
"Aymeric Maynadier","K1H","216.84","-","242",""
"David Riffaud","K1H","218.94","109","255",""
"Hugues Lesimple","K1H","219.64","257","259",""
"Bryan Seiler","K1H","220.17","-","262",""
"Valerian Boulet","K1H","220.41","232","263",""
"Bastien Salame","K1H","220.59","266","264",""
"Gregoire Cayez","K1H","223.18","249","280",""
"Jeremy Moureaux","K1H","223.27","185","281",""
"Maxime Mitaut","K1H","224.71","-","289",""
"Jonathan Figarol","K1H","225.67","-","295",""
"Thibault Gache","K1H","227.79","372","308",""
"Manuel Legros","K1H","228.34","311","311",""
"Pierre Moreau","K1H","228.45","299","312",""
"Tayeel Aymeric","K1H","232.69","309","337",""
"Salame Jean","K1H","234.04","283","344",""
"Pourtau Stephane","K1H","234.67","573","348",""
"Bastien Seger","K1H","236.59","-","360",""
"Eric Vidou","K1H","237.62","376","366",""
"Delbreil Clement","K1H","238.58","577","372",""
"Pasquier Marc","K1H","238.85","-","373",""
"Peyre Maxime","K1H","243.35","337","400",""
"Cassagne Geoffroy","K1H","245.29","320","412",""
"Michael Guyon","K1H","248.17","47","428",""
"Sebastien Peres","K1H","248.20","713","429",""
"Marc Cailhol","K1H","248.81","484","432",""
"Yoann Gottardo","K1H","250.03","165","440",""
"Ludovic Smal","K1H","252.18","-","453",""
"Adrien Quillet","K1H","254.45","563","466",""
"Sylvain Viallon","K1H","256.28","-","476",""
"Olivier Bret","K1H","256.29","-","476",""
"Nicolas Scianimanico","K1H","256.36","-","477",""
"Baptiste Smagghe","K1H","260.00","-","499",""
"Jonot Anthony","K1H","260.74","361","503",""
"Boris Lesimple","K1H","262.39","212","513",""
"Remi Dramard","K1H","264.02","276","523",""
"Guilhem Becvort","K1H","264.21","454","524",""
"Franck Guarderia","K1H","264.59","297","526",""
"Thomas Ducoms","K1H","265.00","853","528",""
"Valentin Grollemund","K1H","265.02","-","529",""
"Lois Desroches","K1H","265.19","242","529",""
"Stanislas Pradeleix","K1H","265.54","-","531",""
"Nicolas Neveu","K1H","268.58","467","550",""
"Herve Mars","K1H","269.16","435","553",""
"Arthur Feraud","K1H","271.51","332","567",""
"Brice Dantin","K1H","272.09","-","571",""
"Guillaume Marmer","K1H","273.73","664","581",""
"Bestion Julien","K1H","274.46","-","585",""
"Akodo Wensly","K1H","278.80","-","611",""
"Hugo Cailhol","K1H","278.99","194","612",""
"Colin Beziade","K1H","279.38","-","614",""
"Theo Levy-lozata","K1H","279.57","505","615",""
"Igor Verdy","K1H","279.75","-","616",""
"Christophe Georget","K1H","281.15","-","625",""
"Guillaume Castagne","K1H","282.54","811","632",""
"Camille Balsac","K1H","282.89","-","634",""
"Mathieu Pouchet","K1H","283.81","344","640",""
"Etienne Sahuguet","K1H","283.93","1213","641",""
"Retana Sylvain","K1H","284.44","-","644",""
"Pierrick Gaudin","K1H","284.70","391","645",""
"Adrien Tamas","K1H","286.97","-","659",""
"Lagache Jean Christophe","K1H","288.82","-","670",""
"Ronan Lecouturier","K1H","291.82","662","688",""
"Morgan Forget","K1H","293.62","755","698",""
"Jouanolou Yann","K1H","294.93","683","707",""
"Frederic Saint Agne","K1H","296.25","358","714",""
"Bastin Jean","K1H","310.10","598","797",""
"Claparede Jonas","K1H","311.50","707","804",""
"Plancade Robin","K1H","313.00","1236","814",""
"Viguier Pierre-Etienne","K1H","318.38","-","845",""
"Murillo Lambert","K1H","326.96","1137","897",""
"Nicolas Caussanel","K1H","329.99","847","914",""
"Espagne Francois","K1H","353.80","-","1056",""
"Ricci Jacques","K1H","358.55","-","1084",""
"Florent Bret","K1H","362.24","-","1106",""
"Denis Christopher","K1H","371.08","1184","1158",""
"Bouscat Jeremie","K1H","384.47","-","1238",""
"Olivier Kremer","K1H","397.98","-","1319",""
"Jean Luc Pessoni","K1H","398.21","540","1320",""
"Delagarde Quentin","K1H","449.86","933","1626",""
"Victor Chaulet","K1H","451.75","-","1638",""
"Dominique Kremer","K1H","458.00","-","1675",""
"Marteau Mathieu","K1H","487.05","-","1848",""
"Damien Chammings","K1H","507.82","1050","1970",""
"Pierson Alfred","K1H","554.87","-","2250",""
"Roubichou Guilhen","K1H","579.86","-","2398",""
"Dorlencourt Emmanuel","K1H","617.81","-","2624",""
"Yohann Cottereau","K1H","626.66","-","2677",""
"Le Bras Fabrice","K1H","670.67","-","2938",""
"Schmitt David","K1H","737.26","-","3333",""
"Pailhes Pierre","K1H","777.06","-","3570",""
"Sebastien Disdier","K1H","970.59","-","4720",""
"Gauthier Vanden  Abeele","K1H","1168.40","-","5894",""
