"48Ëme Grand Prix de Pau Slalom - 64320 Bizanos - Course n∞1 | Finale - 2018-10-27","Course n∞1 | Finale","2018-10-27","RÈgional","320"
"Flora Huvelin","K1D","99.16","63.89","99.82","Course n∞1 | Finale A"
"Marjorie Delassus","K1D","99.83","47.45","107.07","Course n∞1 | Finale A"
"Lisa Mouffle","K1D","100.74","88.6","116.91","Course n∞1 | Finale A"
"Pauline Guiet","K1D","101.7","46.48","127.29","Course n∞1 | Finale A"
"Viviana Daille","K1D","103.04","144.06","141.78","Course n∞1 | Finale A"
"Cecile Tixier","K1D","105.29","140.05","166.11","Course n∞1 | Finale A"
"Laura Pellicer","K1D","106.75","231.89","181.9","Course n∞1 | Finale A"
"Doriane Delassus","K1D","107.38","143.04","188.72","Course n∞1 | Finale A"
"Charline Berger Martin","K1D","113.61","168.61","256.09","Course n∞1 | Finale A"
"Tifenn Primet","K1D","119.16","303.45","316.11","Course n∞1 | Finale A"
"Clemence Lartigue","K1D","119.26","207.28","317.19","Course n∞1 | Finale A"
"Coline Charel","K1D","120.17","129.07","327.03","Course n∞1 | Finale A"
"Violaine Truche","K1D","121.01","307.31","336.11","Course n∞1 | Finale A"
"Camille Castryck","K1D","122.43","301.41","351.47","Course n∞1 | Finale A"
"Romane Prigent","K1D","150.05","56.23","650.17","Course n∞1 | Finale A"
"Laurine Salesse","K1D","167.67","238.07","840.72","Course n∞1 | Finale A"
"Cerise Babin","K1DM","133.3","354.75","469.03","Course n∞1 | Finale A"
"Romane Regnier","K1DM","190.08","323.77","1083.07","Course n∞1 | Finale A"
"Yves Prigent","K1H","86.11","36.15","79.75","Course n∞1 | Finale A"
"Malo Quemeneur","K1H","86.28","25.08","81.83","Course n∞1 | Finale A"
"Anatole Delassus","K1H","86.6","61.24","85.74","Course n∞1 | Finale A"
"Mathieu Biazizzo","K1H","86.62","30.34","85.98","Course n∞1 | Finale A"
"Etienne Daille","K1H","87.03","39.12","90.99","Course n∞1 | Finale A"
"Simon Hene","K1H","87.43","45.73","95.88","Course n∞1 | Finale A"
"Martin Dougoud","K1H","88.05","36.22","103.46","Course n∞1 | Finale A"
"Julien Pajaud","K1H","89.82","67.05","125.09","Course n∞1 | Finale A"
"Jonas Turmeau","K1H","90.18","84.58","129.49","Course n∞1 | Finale A"
"Paul Cornut-chauvinc","K1H","90.54","90.82","133.89","Course n∞1 | Finale A"
"Pierre-louis Saussereau","K1H","90.65","97.51","135.23","Course n∞1 | Finale A"
"Jeremie Palazy","K1H","90.77","156.96","136.7","Course n∞1 | Finale A"
"Titouan Dupras","K1H","90.84","72.67","137.55","Course n∞1 | Finale A"
"Hugo Regnier","K1H","91.48","79.65","145.37","Course n∞1 | Finale A"
"Vincent Delahaye","K1H","92.08","54.83","152.71","Course n∞1 | Finale A"
"Olivier Cail","K1H","92.83","179.54","161.87","Course n∞1 | Finale A"
"Leo Vuitton","K1H","93.12","152.59","165.42","Course n∞1 | Finale A"
"Edgar Prigent","K1H","93.13","59.4","165.54","Course n∞1 | Finale A"
"Tom Bouchardon","K1H","93.54","165.43","170.55","Course n∞1 | Finale A"
"Yanis Rainaud","K1H","94.43","123.73","181.42","Course n∞1 | Finale A"
"Valentin Courtiade","K1H","94.45","192.84","181.67","Course n∞1 | Finale A"
"Marc Sarramea","K1H","94.52","237.85","182.52","Course n∞1 | Finale A"
"Zeph Scamps","K1H","94.84","166.01","186.44","Course n∞1 | Finale A"
"Corentin Monasse","K1H","95","154.49","188.39","Course n∞1 | Finale A"
"Noe Perreau","K1H","95.42","152.79","193.52","Course n∞1 | Finale A"
"Romain Bruneau","K1H","95.43","245.9","193.65","Course n∞1 | Finale A"
"Gael Adisson","K1H","96","158.49","200.61","Course n∞1 | Finale A"
"Virgile Pigache-donnet","K1H","96.78","272.51","210.14","Course n∞1 | Finale A"
"Yohann Senechault","K1H","97.14","192.68","214.54","Course n∞1 | Finale A"
"Alex Louveau","K1H","97.25","159.88","215.89","Course n∞1 | Finale A"
"Nicolas Caussanel","K1H","97.5","213.28","218.94","Course n∞1 | Finale A"
"Lucas Augu","K1H","98.05","189.15","225.66","Course n∞1 | Finale A"
"Florian Busson","K1H","98.86","128.16","235.56","Course n∞1 | Finale A"
"Arnaud Verrons","K1H","99.2","165.84","239.72","Course n∞1 | Finale A"
"Anthony Drouhin","K1H","100.04","151.69","249.98","Course n∞1 | Finale A"
"Malo Legrand","K1H","100.21","197.99","252.06","Course n∞1 | Finale A"
"Florent Iraundegui","K1H","100.79","275.65","259.15","Course n∞1 | Finale A"
"Adrien Mesmoudi","K1H","101.24","315.41","264.65","Course n∞1 | Finale A"
"Gedeon Cothias-faure","K1H","101.43","293.21","266.97","Course n∞1 | Finale A"
"Elliot Perez","K1H","101.81","250.85","271.61","Course n∞1 | Finale A"
"Antoine Laye","K1H","101.83","255.24","271.86","Course n∞1 | Finale A"
"Leo Collard","K1H","102.29","280.03","277.48","Course n∞1 | Finale A"
"Theo Ducasse","K1H","103.35","278.95","290.43","Course n∞1 | Finale A"
"Angus Cruickshank","K1H","103.43","344.07","291.41","Course n∞1 | Finale A"
"Loris Shayam Affre","K1H","103.68","344.6","294.46","Course n∞1 | Finale A"
"Felix Praderie","K1H","104.31","256.92","302.16","Course n∞1 | Finale A"
"Gawaine Chikh","K1H","104.31","226.25","302.16","Course n∞1 | Finale A"
"Hugo Crespo","K1H","104.43","297.26","303.63","Course n∞1 | Finale A"
"Nicolas Rouleaud","K1H","104.65","216.87","306.32","Course n∞1 | Finale A"
"Ewen Berrest","K1H","105.05","292.22","311.2","Course n∞1 | Finale A"
"Paul Commenges","K1H","105.16","261.24","312.55","Course n∞1 | Finale A"
"Thomas Ukalovic","K1H","105.53","259.31","317.07","Course n∞1 | Finale A"
"Vincent Garcia","K1H","105.86","243.1","321.1","Course n∞1 | Finale A"
"Herve Busson","K1H","106.25","238.04","325.87","Course n∞1 | Finale A"
"Joris Hello","K1H","106.28","217.42","326.24","Course n∞1 | Finale A"
"Daneric Ollivier","K1H","107.82","337.65","345.06","Course n∞1 | Finale A"
"Alex Baldoni","K1H","107.9","351.24","346.03","Course n∞1 | Finale A"
"Leo Fournier","K1H","108.03","180.75","347.62","Course n∞1 | Finale A"
"Timothee Le Mort","K1H","109.24","258.31","362.41","Course n∞1 | Finale A"
"Vincent Menager","K1H","111.96","327.51","395.65","Course n∞1 | Finale A"
"Gurvan Huet","K1H","112.05","311.95","396.75","Course n∞1 | Finale A"
"Samuel Taillefer","K1H","112.54","297.08","402.74","Course n∞1 | Finale A"
"Tom Delens","K1H","113.14","389.41","410.07","Course n∞1 | Finale A"
"Yannis Houze","K1H","113.45","346.47","413.86","Course n∞1 | Finale A"
"Benoit Dandonneau","K1H","113.5","436.09","414.47","Course n∞1 | Finale A"
"Nicolas Saurat","K1H","115.59","312.97","440.01","Course n∞1 | Finale A"
"Denis Guilmard","K1H","117.99","323.43","469.34","Course n∞1 | Finale A"
"Maxime Texier","K1H","121.05","459.68","506.73","Course n∞1 | Finale A"
"Marc Cordier","K1H","123.87","304.28","541.19","Course n∞1 | Finale A"
"Quentin Burgi","K1H","137.24","35.82","704.58","Course n∞1 | Finale A"
"Sami Rocher","K1H","140.59","73.66","745.52","Course n∞1 | Finale A"
"Timothee Cornu","K1H","146.98","186.61","823.6","Course n∞1 | Finale A"
"Jonathan Delagnes","K1H","150.7","220.76","869.06","Course n∞1 | Finale A"
"Thibault Marchand","K1H","151.04","113.6","873.22","Course n∞1 | Finale A"
"Djendy Simeant","K1H","151.45","195.04","878.23","Course n∞1 | Finale A"
"Tino Forgues","K1H","158.93","254.58","969.64","Course n∞1 | Finale A"
"Mewen Debliquy","K1H","162.25","317.52","1010.21","Course n∞1 | Finale A"
"Esteban Illido","K1H","165.32","276.05","1047.72","Course n∞1 | Finale A"
"Arthur Lagleyze","K1H","166.63","277.58","1063.73","Course n∞1 | Finale A"
"Etienne Saint Picq","K1H","170.65","378.24","1112.86","Course n∞1 | Finale A"
"Mathis Soudi","K1H","193.02","89.31","1386.23","Course n∞1 | Finale A"
"Thomas Rosset","K1H","194.41","76.41","1403.21","Course n∞1 | Finale A"
"Loan Queffelec","K1H","199.55","208.4","1466.03","Course n∞1 | Finale A"
"Fantin Delage-garez","K1H","206.05","335.23","1545.46","Course n∞1 | Finale A"
"Charlie Barbier","K1H","287.47","65.35","2540.44","Course n∞1 | Finale A"
"Baptiste Delemotte","K1H","299.65","280.3","2689.28","Course n∞1 | Finale A"
"Yon Dandonneau","K1HM","103.18","318.61","288.35","Course n∞1 | Finale A"
"Oskar Hillion","K1HM","112.89","417.22","407.01","Course n∞1 | Finale A"
"Maxence Davy","K1HM","115.45","485.3","438.3","Course n∞1 | Finale A"
"Nicolas Bidault","K1HM","116.68","412.73","453.33","Course n∞1 | Finale A"
"Antton Erdois","K1HM","123.53","421.48","537.04","Course n∞1 | Finale A"
"Romain Margerie","K1HM","124.42","459.89","547.91","Course n∞1 | Finale A"
"Guillaume Pradalie","K1HM","131.13","510.45","629.91","Course n∞1 | Finale A"
"Emeric Nieser","K1HM","136.17","507.88","691.5","Course n∞1 | Finale A"
"Emilien Courtiade","K1HM","163.04","287.38","1019.86","Course n∞1 | Finale A"
"Florian Malaval","K1HM","182.37","490.35","1256.08","Course n∞1 | Finale A"
"Ewann Hervouet","K1HM","199.69","659.76","1467.74","Course n∞1 | Finale A"
"K…ziah Lecomte","K1HM","203.04","619.02","1508.68","Course n∞1 | Finale A"
"Anne-lise Moisan-ehrwein","C1D","118.66","212.64","240.85","Course n∞1 | Finale B"
"Julia Budzinski","C1D","119.28","233.04","247.16","Course n∞1 | Finale B"
"Elena Hugues","C1D","125.49","261.43","310.4","Course n∞1 | Finale B"
"Laurine Salesse","C1D","125.99","316.09","315.5","Course n∞1 | Finale B"
"Romane Prigent","C1D","127.64","1329.61","332.3","Course n∞1 | Finale B"
"Elorri Erdois","C1D","155.24","432.95","613.37","Course n∞1 | Finale B"
"Alixe Degremont","C1D","265.33","904.55","1734.47","Course n∞1 | Finale B"
"Solene Lafitte","C1D","Des","-","-","Course n∞1 | Finale B"
"Yohann Senechault","C1H","99.28","142.67","187.92","Course n∞1 | Finale B"
"Johan Pucheou","C1H","102.03","202.08","219.93","Course n∞1 | Finale B"
"Marvin Tulpin","C1H","104.09","195.44","243.9","Course n∞1 | Finale B"
"Leo Vuitton","C1H","104.73","302.42","251.35","Course n∞1 | Finale B"
"Paul Cascarino","C1H","106.35","283.33","270.21","Course n∞1 | Finale B"
"Anthony Roux","C1H","107.8","148.5","287.08","Course n∞1 | Finale B"
"Hugo Eouzan-chaffotec","C1H","108.22","345.74","291.97","Course n∞1 | Finale B"
"Gaspard Perrio","C1H","109.43","231.44","306.05","Course n∞1 | Finale B"
"Tanguy Adisson","C1H","111.94","330.79","335.27","Course n∞1 | Finale B"
"Gaetan Hamelin","C1H","113.66","335.05","355.29","Course n∞1 | Finale B"
"Ancelin Gourjault","C1H","114.33","413.7","363.08","Course n∞1 | Finale B"
"Theau Le Loch","C1H","114.97","388.41","370.52","Course n∞1 | Finale B"
"Samuel Vallienne","C1H","115.3","303.29","374.37","Course n∞1 | Finale B"
"Joris Santoro","C1H","120.39","373.31","433.61","Course n∞1 | Finale B"
"Alex Baldoni","C1H","120.57","364.84","435.71","Course n∞1 | Finale B"
"Loris Shayam Affre","C1H","120.78","452.38","438.15","Course n∞1 | Finale B"
"Leo Dujourd'hui","C1H","121.99","308.05","452.23","Course n∞1 | Finale B"
"Marin Salmon","C1H","123.63","445.9","471.32","Course n∞1 | Finale B"
"Hugo Crespo","C1H","128.85","426.69","532.06","Course n∞1 | Finale B"
"Thomas Ollivo","C1H","130.12","434.08","546.85","Course n∞1 | Finale B"
"Jonathan Suc","C1H","130.16","424.22","547.32","Course n∞1 | Finale B"
"Mathis Poree","C1H","138.97","584.2","649.84","Course n∞1 | Finale B"
"Maxime Kabir","C1H","163.3","318.45","933.01","Course n∞1 | Finale B"
"Gwenole Noyalet","C1H","169.3","367.26","1002.84","Course n∞1 | Finale B"
"Nicolas Sauteur","C1H","181.25","511.1","1141.92","Course n∞1 | Finale B"
"Guillaume Caron","C1H","183.97","362.79","1173.58","Course n∞1 | Finale B"
"Adrien Roux","C1H","191.44","340.26","1260.52","Course n∞1 | Finale B"
"Dylan Renneteau","C1H","428.68","503.13","4021.62","Course n∞1 | Finale B"
"Natacha Delassus","K1D","102.69","94.36","143","Course n∞1 | Finale B"
"Emma Vuitton","K1D","105.28","105.2","171","Course n∞1 | Finale B"
"Elena Hugues","K1D","118","332.33","308.57","Course n∞1 | Finale B"
"Elorri Erdois","K1D","118.47","324.85","313.65","Course n∞1 | Finale B"
"Carla Lacroix","K1D","121.53","280.9","346.74","Course n∞1 | Finale B"
"Lise Denat","K1D","122.88","345.71","361.33","Course n∞1 | Finale B"
"Amelie Leclercq","K1D","144.51","441.61","595.26","Course n∞1 | Finale B"
"Clara Grangeon","K1D","145.2","393.62","602.72","Course n∞1 | Finale B"
"Alixe Degremont","K1D","151.56","97.69","671.5","Course n∞1 | Finale B"
"Youlia Estanguet","K1D","169.15","337.41","861.72","Course n∞1 | Finale B"
"Coline Bertin","K1D","175.01","315.9","925.1","Course n∞1 | Finale B"
"Eva Marchand","K1D","181.48","398.93","995.07","Course n∞1 | Finale B"
"Romane Bronchet","K1D","184.38","358.98","1026.43","Course n∞1 | Finale B"
"Laurie Beaurepere","K1D","208.09","496.56","1282.83","Course n∞1 | Finale B"
"Blandine Xhemajlji","K1D","219.15","692.98","1402.45","Course n∞1 | Finale B"
"Pauline Rouilhet","K1D","222.37","604.73","1437.27","Course n∞1 | Finale B"
"Marie Charbonneau","K1D","Des","-","-","Course n∞1 | Finale B"
"Zoe Malval","K1DM","345.14","527.08","2764.96","Course n∞1 | Finale B"
"Noeline Pierre","K1DM","Des","-","-","Course n∞1 | Finale B"
"Hippolyte Cail","K1H","90.59","141.65","139.5","Course n∞1 | Finale B"
"Benjamin Jacon","K1H","91.1","66.75","145.73","Course n∞1 | Finale B"
"Tom Babin","K1H","93.43","154.03","174.2","Course n∞1 | Finale B"
"Isaac Dufrene","K1H","94.97","79.1","193.02","Course n∞1 | Finale B"
"Valentin Brindeau","K1H","95.69","140.54","201.82","Course n∞1 | Finale B"
"Theo Desvignes","K1H","97.34","83.49","221.99","Course n∞1 | Finale B"
"Loœc Winiarski","K1H","97.36","175.9","222.23","Course n∞1 | Finale B"
"Luc Sarramea","K1H","98.14","201.25","231.76","Course n∞1 | Finale B"
"Tanguy Malingre","K1H","99.29","285.13","245.82","Course n∞1 | Finale B"
"Romain Branjauneau","K1H","99.39","212.38","247.04","Course n∞1 | Finale B"
"Dylan Sourbe","K1H","101.22","204.43","269.4","Course n∞1 | Finale B"
"Max Derame","K1H","101.45","339.36","272.21","Course n∞1 | Finale B"
"GaÀtan De Greef","K1H","102.38","263.6","283.58","Course n∞1 | Finale B"
"Clement Dubois","K1H","104.46","275.92","308.99","Course n∞1 | Finale B"
"Pablo Chaminade","K1H","104.51","310.11","309.61","Course n∞1 | Finale B"
"Arthur Huet","K1H","104.88","324.13","314.13","Course n∞1 | Finale B"
"Cyprien Cail","K1H","104.89","262.38","314.25","Course n∞1 | Finale B"
"Samuel Bonella","K1H","105.17","187.31","317.67","Course n∞1 | Finale B"
"Paul Gestin","K1H","105.17","178.09","317.67","Course n∞1 | Finale B"
"Cedric Landreau","K1H","106.28","295.01","331.24","Course n∞1 | Finale B"
"Nour Ait Kaddour","K1H","106.29","263","331.36","Course n∞1 | Finale B"
"Fabien Paleau","K1H","106.81","315.56","337.71","Course n∞1 | Finale B"
"Gaston Guilmard","K1H","108.2","351.34","354.7","Course n∞1 | Finale B"
"Yannis Dast","K1H","108.3","362.02","355.92","Course n∞1 | Finale B"
"Paul Gobert","K1H","108.67","341.19","360.44","Course n∞1 | Finale B"
"Guillaume Belet","K1H","108.72","310.33","361.05","Course n∞1 | Finale B"
"Come Le Gal","K1H","108.9","313.77","363.25","Course n∞1 | Finale B"
"Baptiste Loy","K1H","109.72","381.07","373.27","Course n∞1 | Finale B"
"Theau Le Loch","K1H","109.74","358.68","373.52","Course n∞1 | Finale B"
"Ancelin Gourjault","K1H","110.43","955.51","381.95","Course n∞1 | Finale B"
"Theo Douady","K1H","111.61","329.47","396.37","Course n∞1 | Finale B"
"Victor Lagleyze","K1H","112.4","380.55","406.02","Course n∞1 | Finale B"
"Quilian Koch","K1H","112.9","1180.75","412.13","Course n∞1 | Finale B"
"Cedric Gerbet","K1H","113.22","433.14","416.04","Course n∞1 | Finale B"
"Leo Grollier","K1H","114.85","405.96","435.96","Course n∞1 | Finale B"
"Matt Vidou","K1H","118.76","375.2","483.75","Course n∞1 | Finale B"
"Julien Doumecq","K1H","119.27","436.14","489.98","Course n∞1 | Finale B"
"Jerome Talbot","K1H","120.14","412.7","500.61","Course n∞1 | Finale B"
"Thomas Terr…","K1H","121.92","397.95","522.36","Course n∞1 | Finale B"
"Lohan Wyon","K1H","122.17","500.93","525.42","Course n∞1 | Finale B"
"Julien Dubarry","K1H","122.18","456.15","525.54","Course n∞1 | Finale B"
"Sebastien Larenaudie","K1H","123.13","560.74","537.15","Course n∞1 | Finale B"
"Tristan Ruiz","K1H","124.29","463.43","551.32","Course n∞1 | Finale B"
"Eric Vidou","K1H","127.92","464.59","595.68","Course n∞1 | Finale B"
"Cesar Le Berder","K1H","130.33","532.74","625.13","Course n∞1 | Finale B"
"Flavien Portier","K1H","131.73","481.46","642.24","Course n∞1 | Finale B"
"Antonin Robert","K1H","132.39","264.15","650.31","Course n∞1 | Finale B"
"Matheo Coquel","K1H","134.59","423.37","677.19","Course n∞1 | Finale B"
"Tonin Desmet","K1H","135.3","483.75","685.87","Course n∞1 | Finale B"
"Jules Roos","K1H","136.8","458.16","704.2","Course n∞1 | Finale B"
"Thomas Bersinger","K1H","140.26","54.15","746.48","Course n∞1 | Finale B"
"Jean Charles Hacquart","K1H","142.69","133.64","776.18","Course n∞1 | Finale B"
"Victor Hennin","K1H","150.37","268.37","870.03","Course n∞1 | Finale B"
"Antoine Sapin","K1H","152.17","558.05","892.03","Course n∞1 | Finale B"
"Lucas Soudi","K1H","163.5","417.04","1030.48","Course n∞1 | Finale B"
"Julien Delaleux","K1H","172.21","597.96","1136.92","Course n∞1 | Finale B"
"Hugo Robert","K1H","174.29","462.13","1162.34","Course n∞1 | Finale B"
"Yoan Dalla Longa","K1H","175.64","612.29","1178.84","Course n∞1 | Finale B"
"Thilbault Rucher","K1H","177.82","569.27","1205.48","Course n∞1 | Finale B"
"Victor Robert","K1H","181.35","598.29","1248.62","Course n∞1 | Finale B"
"Baptiste San Nicolas","K1H","184.4","458.36","1285.89","Course n∞1 | Finale B"
"Marc Lalande","K1H","184.6","595.07","1288.33","Course n∞1 | Finale B"
"Luca Dos Santos","K1H","191.28","157.18","1369.96","Course n∞1 | Finale B"
"Juan Riu","K1H","193.26","631.31","1394.16","Course n∞1 | Finale B"
"Jean Christophe Erdois","K1H","201.16","431.91","1490.7","Course n∞1 | Finale B"
"Bruno Lamothe","K1H","201.18","571.32","1490.95","Course n∞1 | Finale B"
"Axel Brin","K1H","203.11","670.81","1514.53","Course n∞1 | Finale B"
"Adrien Ricaud","K1H","222.96","420.64","1757.1","Course n∞1 | Finale B"
"Komlangan Gassou","K1H","230.33","902.17","1847.17","Course n∞1 | Finale B"
"Aurelien Blois","K1H","231.64","615.7","1863.18","Course n∞1 | Finale B"
"Lucas Dongarra","K1H","234.96","449.97","1903.75","Course n∞1 | Finale B"
"Remi Dolcin Tillant","K1H","235.55","494.23","1910.96","Course n∞1 | Finale B"
"Florian Giraud","K1H","239.35","385.58","1957.4","Course n∞1 | Finale B"
"Tom Segaud","K1H","239.83","1152.4","1963.26","Course n∞1 | Finale B"
"Theo Dunie","K1H","241.88","513.26","1988.31","Course n∞1 | Finale B"
"Abel Boidron","K1H","249.68","481.35","2083.63","Course n∞1 | Finale B"
"Tom Morillon","K1H","276.32","3435.96","2409.18","Course n∞1 | Finale B"
"Antoine Bouby","K1H","281.91","470.19","2477.49","Course n∞1 | Finale B"
"Lucas Mauer","K1H","330.53","561.89","3071.65","Course n∞1 | Finale B"
"Sylvain Lauth","K1H","472.97","856.62","4812.31","Course n∞1 | Finale B"
"Jonathan Bourdier","K1H","474.18","1871.17","4827.1","Course n∞1 | Finale B"
"Guillaume Lopes","K1H","Abs","-","-","Course n∞1 | Finale B"
"Alexandre L'huillier","K1H","Abs","-","-","Course n∞1 | Finale B"
"Mateo Destruel","K1H","Des","-","-","Course n∞1 | Finale B"
"Titouan Castryck","K1HM","100.09","278.66","255.59","Course n∞1 | Finale B"
"Theo Reby","K1HM","100.67","292.03","262.68","Course n∞1 | Finale B"
"Lukas Estanguet-santamaria","K1HM","107.14","350","341.75","Course n∞1 | Finale B"
"Hugo Monasse","K1HM","110.09","252.4","377.8","Course n∞1 | Finale B"
"Edgar Paleaubrasseur","K1HM","122.42","389.12","528.47","Course n∞1 | Finale B"
"Timeo Canonico","K1HM","148.81","483.2","850.97","Course n∞1 | Finale B"
"Clement Brotier","K1HM","178.88","578.37","1218.43","Course n∞1 | Finale B"
"Cl…ment Louveau","K1HM","185.24","514.42","1296.15","Course n∞1 | Finale B"
"Miguel Irungaraylarronde","K1HM","193.29","592.59","1394.53","Course n∞1 | Finale B"
"Arsene Labarthe","K1HM","202.72","687.68","1509.76","Course n∞1 | Finale B"
"Baptiste Vinet","K1HM","211.92","975.66","1622.19","Course n∞1 | Finale B"
"Tom Marchand","K1HM","223.21","443.18","1760.16","Course n∞1 | Finale B"
"Matheo Nassieu","K1HM","281.79","561.69","2476.03","Course n∞1 | Finale B"
"Zakaria Radouani","K1HM","591.25","1011.29","6257.73","Course n∞1 | Finale B"
