"SÈlectif RÈgional de Slalom - Metz - Course n∞2 | Qualification - 2019-09-29","Course n∞2 | Qualification","2019-09-29","RÈgional","187"
"Salim Jemai","C1HM","136.6","813.75","609.53",""
"Quentin Maillefer","C1HM","148.7","497.52","748.68",""
"Ludovic Kessler","C1HM","151.71","667.13","783.3",""
"Jan Gabin Pischek","C1HM","153.51","629.6","804",""
"Julien Tassotti","C1HM","162.1","700.67","902.78",""
"Noe Crapart","C1HM","185.05","724.35","1166.7",""
"Adrien Dierstein","C1HM","258.91","865.23","2016.09",""
"Teo Vidoni","C1HM","Abs","-","-",""
"Antoine Dusard","C1HM","Abd","-","-",""
"Theo Reby-Lucas Jamart","C2H","139.99","581.27","575.34",""
"Thomas L'huillier-Alexandre L'huillier","C2H","207.92","473.47","1321.02",""
"Tanguy Adisson-Antonin Robert","C2H","Abs","-","-",""
"Pierre Biagui-Pierre-louis Combot","C2H","Abd","-","-",""
"Baptiste Podor-Alexis Sevrez","C2H","Abs","-","-",""
"Yohan Marck-Charles Dampeyrou","C2H","Abs","-","-",""
"Quentin Maillefer-Adrien Dierstein","C2HM","186.24","748.78","1083.03",""
"Maxime Forcadette-Zakaria Radouani","C2HM","258.84","910.25","1879.98",""
"Simon Bouchot-Diego Depays","C2HM","415.46","-","3599.23",""
"Silvere Desongins-Angelique Guilcher","C2M","132.12","441.88","368.09",""
"Corentin Monasse-Maœa Gombert","C2M","134.79","428.48","394.96",""
"Yann Becker-Julia Budzinski","C2M","165.2","552.67","700.96",""
"Carole Dolmaire-Alexandre L'huillier","C2M","253.26","894.33","1587.05",""
"Elena Hugues-Marvin Tulpin","C2M","342.55","348.07","2485.52",""
"Zelie Wendling-Michel Bert","C2M","Abs","-","-",""
"Lucille Meunier-cheyssac-Jules Ferber","C2M","Abs","-","-",""
"Quentin Maillefer-Kassandra Wagnier","C2MM","174.1","1023.43","790.51",""
"Fanchon Janssen","K1D","104.89","102.84","159.47",""
"Caroline Bourry","K1D","112.06","168.84","236.09",""
"Angelique Guilcher","K1D","114.97","263.38","267.18",""
"Sophie Colbus","K1D","116.5","293.58","283.53",""
"Maœa Gombert","K1D","117.1","265.39","289.94",""
"Alexane Galmiche","K1D","117.96","182.5","299.13",""
"Charlotte Abba","K1D","123.99","1478.98","363.57",""
"Anne-lise Moisan-ehrwein","K1D","124.77","345.24","371.91",""
"Zelie Wendling","K1D","128.27","431.32","409.3",""
"Charlotte Chauvey","K1D","129.53","475.14","422.77",""
"Elena Hugues","K1D","130.9","251.65","437.41",""
"Julia Budzinski","K1D","132.08","434.35","450.02",""
"Mylene Guilcher","K1D","134.23","380.24","473",""
"Lucille Meunier-cheyssac","K1D","136.08","374.53","492.76",""
"Margot Perrin","K1D","140.7","295.82","542.13",""
"Elodie Berrot","K1D","143.99","541.2","577.29",""
"Tifenn Primet","K1D","165.63","389.49","808.52",""
"Carole Dolmaire","K1D","165.76","690.26","809.91",""
"Kelly Capitaine","K1D","174.58","629.2","904.17",""
"Charlotte Doucet","K1D","177.4","709.43","934.3",""
"Alina Rassel","K1D","178.29","452.96","943.81",""
"Jessica Joyau","K1D","181.96","894.66","983.03",""
"Alyssa Lhomme","K1D","203.91","823.33","1217.57",""
"Maude Dominique","K1D","228.49","834.28","1480.24",""
"Helene Hincelin","K1D","272.65","936.77","1952.11",""
"Clementine Thierus","K1D","388.61","1067.09","3191.24",""
"Margaux Cornet","K1D","462.69","1339.24","3982.84",""
"Javotte Graslaplante","K1D","Abs","-","-",""
"Justine Haton","K1DM","157.28","1018.71","719.3",""
"Kassandra Wagnier","K1DM","231.51","835.07","1512.5",""
"Corentin Monasse","K1H","91.57","107.86","144.34",""
"Lucas Latimier","K1H","91.9","69.82","148.33",""
"Martin Daviet","K1H","92.44","78.26","154.85",""
"Robin Pottelette","K1H","93.07","115.25","162.46",""
"Benjamin Dodane","K1H","94.41","190.92","178.64",""
"Erwan Rouch","K1H","95.22","242","188.42",""
"Antonin Robert","K1H","95.37","230.82","190.23",""
"Loœc Winiarski","K1H","95.78","138.39","195.18",""
"Tanguy Malingre","K1H","95.94","189.24","197.11",""
"Hugo Monasse","K1H","96.72","205.03","206.53",""
"Theo Reby","K1H","96.72","220.91","206.53",""
"Hugo Latimier","K1H","97.44","292.02","215.22",""
"Paul Gstalter","K1H","99.02","538.23","234.3",""
"Jerome Olhagaray","K1H","99.34","249.35","238.17",""
"Axel Guilleret","K1H","99.44","270.41","239.37",""
"Silvere Desongins","K1H","99.78","235.86","243.48",""
"Oskar Hillion","K1H","100.41","285.35","251.09",""
"Florient Tagnon","K1H","100.95","249.93","257.61",""
"Leo Collard","K1H","101.13","196.08","259.78",""
"Lucas Galmiche","K1H","101.3","168.6","261.83",""
"Baptiste Podor","K1H","101.45","444.83","263.64",""
"Jean Charles Hacquart","K1H","101.7","102.1","266.66",""
"Johan De Mareuil","K1H","101.72","214.86","266.9",""
"Aurelien Merieux Danneaux","K1H","102.68","303.73","278.5",""
"Jules Andrien","K1H","104.43","293.64","299.63",""
"Anthony Rouhier","K1H","104.67","275.65","302.52",""
"Nathan Frison","K1H","104.73","356.08","303.25",""
"Tom Barthelemy","K1H","106.28","356.66","321.96",""
"Leonard Painteaux","K1H","107.08","304.99","331.62",""
"Sebastien De Berchem","K1H","107.46","322.72","336.21",""
"Nicolas Mangeolle","K1H","107.62","277.87","338.15",""
"Yann Becker","K1H","111.69","362.46","387.29",""
"Pierre Biagui","K1H","113.6","311.48","410.35",""
"Yohan Marck","K1H","114.26","330.32","418.32",""
"Alexis Gombert","K1H","115.05","458.65","427.86",""
"Loic Bourgeois","K1H","115.2","434.79","429.67",""
"Victor Henry","K1H","115.76","454.85","436.43",""
"Matthieu Walfard","K1H","116.99","421.77","451.29",""
"Jules Latimier","K1H","117.29","484.99","454.91",""
"Tanguy Adisson","K1H","117.5","284.09","457.45",""
"Maxime Devis","K1H","121.96","401.44","511.3",""
"Adrien Gaillot","K1H","122.45","540.73","517.22",""
"Aymeric Dollat","K1H","123.15","637.97","525.67",""
"Thomas Descotes","K1H","127.56","918.64","578.92",""
"Louis Guggenbuhl","K1H","128.98","668.81","596.07",""
"Robin Giurlando","K1H","131.6","615.93","627.7",""
"Vincent Morabito","K1H","136.57","444.3","687.71",""
"Jules Ferber","K1H","137.88","531.44","703.53",""
"Guillaume Cochut","K1H","140.14","684.84","730.82",""
"Guillaume Goury","K1H","140.41","639.48","734.08",""
"Corentin Georgeon","K1H","141.74","277.46","750.14",""
"Djendy Simeant","K1H","142.88","150.16","763.91",""
"Louis Descotes","K1H","150.56","803.22","856.64",""
"Loric Bertrand Delorme","K1H","152.49","286.38","879.95",""
"Maxime Pein","K1H","154.71","717.55","906.75",""
"Kevin Vienny","K1H","159.94","859.31","969.9",""
"Quentin Henri","K1H","167.14","367.24","1056.84",""
"Alexis Sevrez","K1H","185.75","515.91","1281.56",""
"Andre Kempf","K1H","216.73","666.99","1655.64",""
"Antoine Schroetter","K1H","220.52","767.64","1701.4",""
"Gauthier Lepolard","K1H","223.83","758.84","1741.37",""
"Max Cantenot","K1H","241.54","1405.19","1955.22",""
"Anthony Beaudoing","K1H","244.31","587.56","1988.66",""
"Damien Mantovani","K1H","265.9","621.46","2249.36",""
"Stephane Cassin","K1H","419.52","974.08","4104.31",""
"Mathieu Jacquelin","K1H","Abs","-","-",""
"Adrien Andre","K1H","Abd","-","-",""
"Gauthier Principaud","K1H","Abs","-","-",""
"Kenzo Garnier","K1H","Abs","-","-",""
"Zeph Scamps","K1H","Abs","-","-",""
"Salim Jemai","K1HM","105.89","370.36","317.26",""
"Romain Moret","K1HM","116.49","590.48","445.25",""
"Jan Gabin Pischek","K1HM","122.17","514.47","513.84",""
"Leon Beyreuther","K1HM","124.47","1237.8","541.61",""
"Thibaut Boudier","K1HM","129.44","651.04","601.62",""
"Ludovic Kessler","K1HM","133.21","748.94","647.14",""
"Quentin Maillefer","K1HM","136.67","609.4","688.92",""
"Leo-paul Cassin","K1HM","140.26","559.54","732.27",""
"Quentin Dierstein","K1HM","140.82","734.18","739.03",""
"Antoine Dusard","K1HM","149.57","789.13","844.69",""
"Diego Depays","K1HM","152.97","616.55","885.74",""
"Mael Thierus","K1HM","155.77","781.51","919.55",""
"Lilian Bayer","K1HM","172.06","877.84","1116.25",""
"Zakaria Radouani","K1HM","183.65","817.7","1256.2",""
"Simon Bouchot","K1HM","186.23","1014.05","1287.35",""
"Gabriel Hubert","K1HM","208.45","1334.4","1555.66",""
"Noe Crapart","K1HM","230.96","654.84","1827.46",""
"Julien Tassotti","K1HM","263.64","1063.41","2222.07",""
"Hugo Bazin","K1HM","275.73","1300.7","2368.06",""
"Axel Marchand","K1HM","459.33","1396.49","4585.01",""
"Emile Babel","K1HM","Abs","-","-",""
"Landry Roussel","K1HM","Abd","-","-",""
"Teo Vidoni","K1HM","Abs","-","-",""
