"SÈlectif RÈgional de Slalom - 17400 St Jean D Angely - Finale - 2019-01-27","Finale","2019-01-27","RÈgional","186"
"Ana Thoraux","K1D","138.5","843.64","672.27","Finale A"
"Ella Bregazzi","K1D","159.44","301.38","921.86","Finale A"
"Alice Bureau","K1D","181.54","550.83","1185.27","Finale A"
"Louise Turgis","K1D","283.06","1531.93","2395.28","Finale A"
"Noeline Pierre","K1DM","143.69","541.33","734.13","Finale A"
"Oceane Sedrue","K1DM","148.02","491.08","785.74","Finale A"
"Gabrielle Chenu","K1DM","192.77","784.3","1319.12","Finale A"
"Valentin Courtiade","K1H","84.04","205.34","153.39","Finale A"
"Dylan Sourbe","K1H","88.48","209.91","213.19","Finale A"
"Nicolas Rouleaud","K1H","90.85","232.71","245.11","Finale A"
"Vincent Menager","K1H","97.64","315.04","336.56","Finale A"
"Paul Gobert","K1H","98.31","334.49","345.58","Finale A"
"Arthur Huet","K1H","98.36","324.57","346.26","Finale A"
"Maxime Blondeau","K1H","99.43","450.4","360.67","Finale A"
"Loris Shayam Affre","K1H","100.27","360.57","371.98","Finale A"
"Gaston Guilmard","K1H","101.45","364.49","387.87","Finale A"
"Quentin Bonniol","K1H","102.19","330.92","397.84","Finale A"
"Maxime Texier","K1H","102.72","454.48","404.98","Finale A"
"Angus Cruickshank","K1H","103.56","339.15","416.29","Finale A"
"Antoine Sapin","K1H","104.94","551.26","434.88","Finale A"
"Matt…o Rainaud","K1H","106.69","495.35","458.45","Finale A"
"Titouan Doreau","K1H","107.33","502.26","467.07","Finale A"
"Maxime Dubois","K1H","108.06","496.94","476.9","Finale A"
"Pierre Dehaudt","K1H","108.55","462.18","483.5","Finale A"
"Matheo Coquel","K1H","109.79","450.16","500.2","Finale A"
"Adrien Ricaud","K1H","110.57","609.7","510.71","Finale A"
"Yannis Dast","K1H","111.2","360.68","519.19","Finale A"
"Adrien Pardoux","K1H","112.99","379.95","543.3","Finale A"
"Lucas Belo","K1H","113.96","552.52","556.36","Finale A"
"Julien Brice","K1H","113.97","488.95","556.5","Finale A"
"Thomas Facchini","K1H","114.42","570.96","562.56","Finale A"
"Adrien Favennec","K1H","116.63","679.4","592.32","Finale A"
"Leam Auffret","K1H","117.25","686.51","600.67","Finale A"
"K…ziah Lecomte","K1H","118.21","678.68","613.6","Finale A"
"Malo Fevin","K1H","119.46","607.93","630.44","Finale A"
"Aurele Neveu","K1H","119.51","620.64","631.11","Finale A"
"Julien Moreau","K1H","120.18","703.49","640.14","Finale A"
"Fabrice Pradalier","K1H","121.04","565.67","651.72","Finale A"
"Emeric Nieser","K1H","122.63","494.51","673.13","Finale A"
"Tom Riotte","K1H","124.56","812.09","699.13","Finale A"
"Baptiste Barbraud","K1H","127.93","589.35","744.52","Finale A"
"Lucas Deleplancque","K1H","128.83","650.19","756.64","Finale A"
"Axel Forgerit","K1H","129.67","535.91","767.95","Finale A"
"Adrien Roux","K1H","130.66","494.15","781.29","Finale A"
"Edouard Patry","K1H","134.52","726.85","833.27","Finale A"
"Felix Floriot","K1H","135.4","701.25","845.13","Finale A"
"Tanguy Zaninotto","K1H","135.96","162.71","852.67","Finale A"
"Nicolas Boulesteix","K1H","136.59","605.86","861.15","Finale A"
"Gaspard Trichard","K1H","137.48","681.89","873.14","Finale A"
"Sam Traquet","K1H","141.9","179.92","932.67","Finale A"
"Baptiste Vinet","K1H","144.87","769.46","972.67","Finale A"
"Denis Guilmard","K1H","148.77","334.53","1025.2","Finale A"
"Adrien Mesmoudi","K1H","155.11","357.73","1110.59","Finale A"
"Thilbault Rucher","K1H","171.28","546.49","1328.37","Finale A"
"Martin Thermidor","K1H","177.94","1327.09","1418.07","Finale A"
"Pierre-louis Hitier","K1H","199.52","794.2","1708.72","Finale A"
"Baptiste Delemotte","K1H","208.03","291.38","1823.34","Finale A"
"Tom Delens","K1H","213.51","408.76","1897.14","Finale A"
"Julien Pajaud","K1H","243.21","67.05","2297.15","Finale A"
"Marin Daigne","K1H","Abs","-","-","Finale A"
"Niels Comte","K1HM","106.19","612.26","451.71","Finale A"
"Hicham Domti","K1HM","121.33","659.63","655.63","Finale A"
"Axel Plumereau","K1HM","121.98","653.1","664.38","Finale A"
"Nolann Lacoudre","K1HM","137.62","713.01","875.03","Finale A"
"Noa Pradalier","C1DM","286.25","-","2239.28","Finale B"
"Zelia Durand","C1DM","549.16","2820.56","5190.09","Finale B"
"Dylan Renneteau","C1H","102.86","658.46","345.89","Finale B"
"Pierre Giudicelli","C1H","106.12","562.11","387.72","Finale B"
"Quentin Bonniol","C1H","115.49","587.17","507.89","Finale B"
"Titouan Conseil","C1H","119.01","624.83","553.05","Finale B"
"Killyan Moreau","C1H","122.88","937.01","602.7","Finale B"
"Gaspard Trichard","C1H","125.94","593.71","641.95","Finale B"
"Emeric Nieser","C1H","135.16","596.75","760.21","Finale B"
"Martin Thermidor","C1H","137.74","665.93","793.3","Finale B"
"Fabrice Lacoudre","C1H","145.33","760.75","890.67","Finale B"
"Gaetan Rousseau","C1H","149.01","763.23","937.86","Finale B"
"Pascal Brodiez","C1H","150.16","704.9","952.62","Finale B"
"Thomas Terr…","C1H","164.63","3263.09","1138.22","Finale B"
"K…ziah Lecomte","C1H","207.26","655.56","1685.03","Finale B"
"Clement Turgis","C1H","268.81","848.13","2474.55","Finale B"
"Fabrice Pradalier","C1H","346.44","969.19","3470.31","Finale B"
"Edouard Patry","C1H","Abs","-","-","Finale B"
"Baptiste Guillem","C1H","Abd","-","-","Finale B"
"Amaury Sokolik","C1HM","141.69","992.85","843.97","Finale B"
"Paul Brochard","C1HM","162.2","1154.33","1107.05","Finale B"
"Pierre Bardon","C1HM","403.3","4175.66","4199.65","Finale B"
"Anthony Labbe","C1HM","526.73","7957.71","5782.9","Finale B"
"Emile Verdier-Bastien Guiard","C2H","162.17","-","1012.11","Finale B"
"Cecile Grehan","K1D","145.67","521.85","762.73","Finale B"
"Leonie Joubert","K1D","458.7","3888.77","4493.72","Finale B"
"Elea Mathieu-noel","K1DM","135.68","545.14","643.67","Finale B"
"Melody Gireaud","K1DM","157.93","545.18","908.86","Finale B"
"Clara Brard","K1DM","161.23","732.72","948.19","Finale B"
"Babette Ingenluyff","K1DM","170.82","836.15","1062.5","Finale B"
"Zelia Durand","K1DM","176.44","821.24","1129.49","Finale B"
"Zoe Malval","K1DM","190.54","505.65","1297.53","Finale B"
"Jade Lopes","K1DM","224.89","1021.07","1706.96","Finale B"
"Noa Pradalier","K1DM","331.43","1072.5","2976.8","Finale B"
"Theo Desvignes","K1H","82.22","83.49","133.88","Finale B"
"Pierre Giudicelli","K1H","85.95","71.74","184.11","Finale B"
"Gedeon Cothias-faure","K1H","92.67","301.21","274.62","Finale B"
"Emilien Courtiade","K1H","95.77","308.18","316.37","Finale B"
"NaÀl Rajoub","K1H","101.17","329.33","389.1","Finale B"
"Titouan Conseil","K1H","101.48","385.22","393.28","Finale B"
"Louis Rathier","K1H","101.74","431.34","396.78","Finale B"
"Olivier Cain","K1H","103.29","402.32","417.66","Finale B"
"Clement Brotier","K1H","106.42","596.66","459.81","Finale B"
"Clement Gillaizeau","K1H","106.88","566.83","466.01","Finale B"
"Jonathan Bourdier","K1H","114.29","1150.43","565.81","Finale B"
"Pascal Pierre","K1H","117.66","643.36","611.2","Finale B"
"Arthur Caillaud-gault","K1H","118.99","543.17","629.11","Finale B"
"Christophe Joubert","K1H","123.12","689.61","684.73","Finale B"
"Bastien Lusseault","K1H","134.61","2404.55","839.49","Finale B"
"Pascal Brodiez","K1H","144.73","745.17","975.79","Finale B"
"Louison Masse","K1H","152.93","784.9","1086.23","Finale B"
"Thierry Le Bonniec","K1H","154.45","1458.06","1106.7","Finale B"
"Theo Lebastard","K1H","155.31","2205.54","1118.28","Finale B"
"Thomas Terr…","K1H","156.34","426.45","1132.15","Finale B"
"Florient Charmillon","K1H","157.83","902.69","1152.22","Finale B"
"Dylan Renneteau","K1H","162.41","700.92","1213.91","Finale B"
"Henri Chenu","K1H","165.02","351.6","1249.06","Finale B"
"Cedric Landreau","K1H","165.78","287.79","1259.3","Finale B"
"Clement Drillaud","K1H","190.54","660.19","1592.77","Finale B"
"Clement Turgis","K1H","195.64","801.06","1661.46","Finale B"
"Leandre Beaulande Noel","K1H","203.14","1242.86","1762.48","Finale B"
"Pascal Bastier","K1H","211.1","1407.99","1869.68","Finale B"
"Hugo Larenjeiro","K1H","216.86","1105.02","1947.26","Finale B"
"Baptiste Guillem","K1H","221.85","1258.49","2014.47","Finale B"
"Bruno Lecomte","K1H","247.69","4413.67","2362.49","Finale B"
"Bastien Guiard","K1H","254.75","1151.07","2457.58","Finale B"
"Maxime Devert","K1H","288.88","-","2917.26","Finale B"
"Matheo Gillaizeau","K1H","305.42","216.31","3140.02","Finale B"
"Martin Fournier","K1H","367.68","3541.76","3978.57","Finale B"
"Gaetan Rousseau","K1H","Abs","-","-","Finale B"
"Benjamin Roy","K1HM","123.74","849.22","693.08","Finale B"
"Amaury Sokolik","K1HM","131.04","1058.97","791.4","Finale B"
"Paul Brochard","K1HM","142.41","756.48","944.54","Finale B"
"Hugo Pellissier","K1HM","143.01","884.04","952.62","Finale B"
"Simon Francois","K1HM","144.44","1860.41","971.88","Finale B"
"Leandro Russo","K1HM","200.35","1547.92","1724.9","Finale B"
"Anthony Labbe","K1HM","259.03","4916.64","2515.22","Finale B"
"Samy Facchini","K1HM","263.58","1437.7","2576.51","Finale B"
"Aurelien Roubinet","K1HM","281.27","1634.33","2814.76","Finale B"
"Mathieu Duby","K1HM","285.12","2874.8","2866.61","Finale B"
"Axel Navarri","K1HM","286.08","2165.98","2879.54","Finale B"
"Zacharie Barbe","K1HM","300.45","3087.18","3073.09","Finale B"
"Antoine Arnould","K1HM","341.42","1935.3","3624.89","Finale B"
"Pierre Bardon","K1HM","456.68","4223.05","5177.25","Finale B"
"Maxime Guiard","K1HM","Abd","-","-","Finale B"
"Antonin Normandin","K1HM","Abd","-","-","Finale B"
"Theo Haulbert","K1HM","Abd","-","-","Finale B"
