"Manche de la Coupe de France National 2 Slalom - 29300 Guilligomarc H - Qualification - 2022-02-27","29300 Guilligomarc H","Qualification","qualif","2022-02-27","Nationale 2","170"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Nina Pesce-roue","C1D","151.01","331.01","368.8",""
"Sophie Staudt","C1D","156.65","508.24","419.42",""
"Laurette Laly","C1D","158.92","618.95","439.79",""
"Clara Delahaye","C1D","160.87","514.11","457.3",""
"Pauline Lybrecht","C1D","163.84","528.84","483.95",""
"Lucille Meunier-cheyssac","C1D","165.45","1558.06","498.41",""
"Emilie Moret","C1D","167.31","771.88","515.1",""
"Camille De Araujo","C1D","168.65","531.81","527.14",""
"Emma Pouilly","C1D","209.3","680.57","892.01",""
"Estelle Brodin","C1D","234.25","650.12","1115.95",""
"Elise Masseline","C1D","248.02","563.13","1239.55",""
"Etienne Daille","C1H","127.41","287.75","320.34",""
"Charly Chassigneux","C1H","128.68","250.75","333.36",""
"Yvan Leblond","C1H","129.82","805.9","345.06",""
"Jules Latimier","C1H","130.85","307.35","355.63",""
"Gwenole Noyalet","C1H","131.37","286.38","360.96",""
"Loic Dufour","C1H","131.59","334.76","363.22",""
"Antoine Guerne","C1H","132.54","359.72","372.97",""
"Charles Dampeyrou","C1H","132.75","444.92","375.12",""
"Tomy Dandonneau","C1H","133.2","637.58","379.73",""
"Alexis Sevrez","C1H","134.04","996.99","388.35",""
"Alois Brucher","C1H","134.25","479.77","390.5",""
"Yves Bourhis","C1H","134.58","367.74","393.89",""
"Louison Decarsin","C1H","135.26","366.91","400.87",""
"Paul Gestin","C1H","135.52","542.65","403.54",""
"Thierry Derouineau","C1H","135.58","400.82","404.15",""
"Hugo Eouzan-chaffotec","C1H","135.59","1110.06","404.25",""
"Jean-charles Reby","C1H","136.28","462.48","411.33",""
"Marin Salmon","C1H","136.37","353.72","412.25",""
"Julien Darcillon","C1H","136.61","396.05","414.72",""
"Cyrian Menuat","C1H","136.67","465.36","415.33",""
"Adrien Dierstein","C1H","136.79","742.41","416.56",""
"Maxime Forcadette","C1H","136.95","279.3","418.21",""
"Titouan Aussant","C1H","137.94","466.77","428.35",""
"Maxime Devis","C1H","138.08","525.62","429.8",""
"Valerian Descot","C1H","138.75","458.23","436.67",""
"Matheo Senechault","C1H","139.09","500.83","440.16",""
"Lorin Dumont","C1H","140.47","405.95","454.31",""
"Romain Moret","C1H","141.26","529.98","462.41",""
"Fabien Bonvalet","C1H","141.36","412.61","463.45",""
"Lorrie Delattre","C1H","142.02","451.56","470.21",""
"Louis Beaumois","C1H","142.28","705.53","472.88",""
"Loann Delle Dananchet","C1H","148.82","666.98","539.96",""
"Lubin Huet","C1H","153.2","391.85","584.9",""
"Paul Tallet Pinet","C1H","187.89","467.81","940.76",""
"Matheo Dupont","C1H","194.66","450.52","1010.2",""
"Julien Darcillon-Francois Hemidy","C2H","147.6","408.99","458.63",""
"Charly Chassigneux-Fabien Tournadre","C2H","148.59","555.62","468.33",""
"Luisa Buerner","K1D","126.89","270.51","222.85",""
"Myriam Le Joncourt","K1D","134.28","327.33","293.3",""
"Sarah Despres","K1D","134.98","415.18","299.96",""
"Elena Hugues","K1D","136.99","696.73","319.12",""
"Camille Brugvin","K1D","139.33","428.0","341.43",""
"Sophie Colbus","K1D","139.63","428.89","344.29",""
"Eva Marchand","K1D","140.33","293.88","350.96",""
"Emma Pouilly","K1D","140.56","431.96","353.15",""
"Ma�a Gombert","K1D","141.46","410.27","361.74",""
"Mae Bianco","K1D","141.61","821.95","363.17",""
"Zoe Malval","K1D","142.28","416.91","369.55",""
"Laurette Laly","K1D","143.25","549.87","378.8",""
"Coline Regnier","K1D","145.02","555.2","395.66",""
"Camille Hurez","K1D","146.12","403.54","406.15",""
"Sophie Staudt","K1D","146.25","363.63","407.39",""
"Clara Perrot","K1D","150.56","637.84","448.47",""
