"SÈlectif RÈgional de PICQUIGNY - Picquigny - Finale - 2017-11-26","Finale","2017-11-26","RÈgional","177"
"Caroline Scherer-Bastien Moreaux","C2M","137.17","1068.23","574.8","Finale A"
"Flora Bove-Hugo Roussel","C2M","146.2","787.61","676.05","Finale A"
"Flavien Firon-C…lya Foucard","C2MM","170.9","1012.14","953.01","Finale A"
"Flora Bove","K1D","102.7","248.89","259.64","Finale A"
"Chloe Gatuingt","K1D","114.14","390.49","395.86","Finale A"
"Zoe Waeles","K1D","119.38","491.17","458.25","Finale A"
"Caroline Scherer","K1D","119.47","459.41","459.33","Finale A"
"Emma Leroux","K1D","120.39","420.82","470.28","Finale A"
"Manon Le Lay","K1D","121.39","394.09","482.19","Finale A"
"Mylene Despres","K1D","133.39","519.79","625.07","Finale A"
"Lisa Bou…","K1D","136.46","704.52","661.62","Finale A"
"Margaux Fabijan","K1DM","119.76","411.81","462.77","Finale A"
"Alyssa Lhomme","K1DM","132.65","515.5","616.25","Finale A"
"Elise Vegnaduzzo","K1DM","136.15","550.03","657.94","Finale A"
"Charlotte Doucet","K1DM","138.99","615.86","691.75","Finale A"
"C…lya Foucard","K1DM","149.04","619.28","811.42","Finale A"
"Quentin Bove","K1H","87.27","99.42","211","Finale A"
"Lucas Jacob","K1H","90.25","208.29","251.1","Finale A"
"Nathan Boudaillez","K1H","90.95","231.52","260.51","Finale A"
"Xavier Jourdain","K1H","91.46","161.68","267.38","Finale A"
"Julien Antide","K1H","91.8","242.02","271.95","Finale A"
"Loœc Pottier","K1H","95.29","284.99","318.91","Finale A"
"Thibaud Collaert","K1H","95.93","324.18","327.52","Finale A"
"Virgile Gogois","K1H","97.52","411.7","348.91","Finale A"
"Guillaume Doutreix","K1H","97.73","367.39","351.74","Finale A"
"Mikael Maupin","K1H","99.26","314.57","372.33","Finale A"
"Nicolas Candieu","K1H","99.76","357.8","379.05","Finale A"
"Louis Debureaux","K1H","100.21","311.01","385.11","Finale A"
"Bastien Moreaux","K1H","100.7","387.8","391.7","Finale A"
"Theo Moalic","K1H","101.25","374.36","399.1","Finale A"
"Robin Dheilly","K1H","102.71","417.42","418.75","Finale A"
"Hugo Pidoux","K1H","103.14","395.19","424.53","Finale A"
"Alan Le Goff","K1H","103.29","424.18","426.55","Finale A"
"Marceau Decarsin","K1H","103.85","402.91","434.09","Finale A"
"Leonard Painteaux","K1H","104.48","429.15","442.56","Finale A"
"Alexandre Marteau","K1H","105.04","534.84","450.1","Finale A"
"Benoit Guernic","K1H","105.28","380.58","453.33","Finale A"
"Quentin Angot","K1H","105.46","332.72","455.75","Finale A"
"Isidore Dubuisson","K1H","105.6","382.79","457.63","Finale A"
"Kevin Tanay","K1H","106.56","542.82","470.55","Finale A"
"Thibaut Evrard","K1H","106.66","487.07","471.89","Finale A"
"Virgile Bourlet De La Vallee","K1H","106.95","466.38","475.8","Finale A"
"Estephe Decarsin","K1H","107.22","436.57","479.43","Finale A"
"Sebastien Racault","K1H","107.66","499.43","485.35","Finale A"
"Nicolas Castryck","K1H","109.23","484.18","506.47","Finale A"
"Johann Beldame","K1H","109.39","544.91","508.63","Finale A"
"Nicolas Dupres","K1H","110.99","453.81","530.16","Finale A"
"Roman Vivier","K1H","112.41","478.7","549.26","Finale A"
"Hugo Roussel","K1H","113.23","555.44","560.29","Finale A"
"Bertrand Avril","K1H","151.86","298.16","1080.07","Finale A"
"Helwann Rachdi","K1HM","110.14","539.33","518.72","Finale A"
"Florian Jumetz","K1HM","110.85","502.52","528.27","Finale A"
"Fabien Bonvalet","K1HM","111","501.58","530.29","Finale A"
"Matteo Figueiredo Alves","K1HM","112.45","665.27","549.8","Finale A"
"Matheo Dupont","K1HM","116.15","494.64","599.58","Finale A"
"Paul Pesant","K1HM","121.06","614.85","665.65","Finale A"
"Maxence Raymond","K1HM","125.33","754.5","723.1","Finale A"
"Paul Lecomte","K1HM","125.42","759.82","724.31","Finale A"
"Hugo Tellier","K1HM","126.35","681.91","736.83","Finale A"
"Flavien Firon","K1HM","127.23","746.87","748.67","Finale A"
"Esteban Olivier","K1HM","127.74","707","755.53","Finale A"
"Fares Chennahi","K1HM","131.27","765.74","803.02","Finale A"
"Erwan Masson","K1HM","134.03","785.91","840.16","Finale A"
"Aloys Morel","K1HM","159.81","942.57","1187.03","Finale A"
"Quentin Mannier","C1H","108.32","354.54","429.83","Finale B"
"Bastien Moreaux","C1H","110.33","524.44","455.58","Finale B"
"Robin Dheilly","C1H","113.18","513.54","492.1","Finale B"
"Loic Bourgeois","C1H","114.68","436.56","511.33","Finale B"
"Quentin Angot","C1H","122.47","553.28","611.15","Finale B"
"Alexandre Marteau","C1H","124.01","524.89","630.89","Finale B"
"Isidore Dubuisson","C1H","129.28","550.57","698.42","Finale B"
"Benoit Guernic","C1H","138.05","1075.54","810.8","Finale B"
"Elie Gerault","C1H","Abs","-","-","Finale B"
"Mark Mazieres","C1H","Des","-","-","Finale B"
"Paul Lecomte","C1HM","136.86","855.23","795.55","Finale B"
"Fares Chennahi","C1HM","153.75","1055.07","1011.99","Finale B"
"Hugo Tellier","C1HM","170.31","1082.74","1224.19","Finale B"
"Tom Raynaud","C1HM","170.44","1257.61","1225.86","Finale B"
"Flavien Firon","C1HM","179.48","2313.51","1341.7","Finale B"
"Aloys Morel","C1HM","Des","-","-","Finale B"
"Yvan Leblond-Alberic Carpentier","C2H","137.88","880.72","728.3","Finale B"
"Hugo Baillet-Thibaut Evrard","C2H","141.49","920.2","772.46","Finale B"
"Lucas Gamain-Gaetan Cornu","C2H","158.65","969.55","982.36","Finale B"
"Tom Gry-Corentin Rogalski","C2H","Des","-","-","Finale B"
"Emilie Ballan-Matthieu Walfard","C2M","140.06","641.47","612.21","Finale B"
"Eloise Riviere-Kevin Tanay","C2M","162.66","1517.99","865.61","Finale B"
"Gaetan Laperle-Charline Dole","C2M","Des","-","-","Finale B"
"Pauline Lybrecht-Hugo Tellier","C2MM","229.48","-","1614.83","Finale B"
"Angeline Dheilly","K1D","137.81","768.75","682.7","Finale B"
"Eloise Riviere","K1D","146.08","550.76","781.17","Finale B"
"Catherine Boulan","K1D","148.44","593.55","809.28","Finale B"
"Albertine Binard","K1D","160.31","748.72","950.61","Finale B"
"Maeva Firon","K1D","163.26","910.69","985.74","Finale B"
"Manon Bucher","K1D","178.16","1037.59","1163.16","Finale B"
"Juliette Vandeville","K1D","182.57","1445.7","1215.66","Finale B"
"Camila Wagner","K1D","Abs","-","-","Finale B"
"Pauline Lybrecht","K1DM","192.32","2077.75","1331.77","Finale B"
"Eva Mainnemare","K1DM","202.4","1386.35","1451.78","Finale B"
"Helene Hincelin","K1DM","205.93","1387.9","1493.82","Finale B"
"Claire Dewaste","K1DM","219.65","1322.33","1657.19","Finale B"
"Yvan Leblond","K1H","98.03","263.29","360.78","Finale B"
"Matthieu Walfard","K1H","106.7","355.18","477.43","Finale B"
"Charles Billon","K1H","110.44","547.8","527.75","Finale B"
"Alberic Carpentier","K1H","113.07","529.68","563.14","Finale B"
"Dante Bourlet De La Vallee","K1H","116.45","550.45","608.62","Finale B"
"Lucas Gamain","K1H","117.07","526.14","616.96","Finale B"
"Elouan Fouquier","K1H","118.15","541.61","631.49","Finale B"
"Julien Duahaut","K1H","118.21","615.09","632.3","Finale B"
"Hugo Ronseaux - Dury","K1H","120.65","750.32","665.13","Finale B"
"Nicolas Lalliot","K1H","121.57","681.76","677.51","Finale B"
"Cedre Mercier","K1H","123.08","719.93","697.83","Finale B"
"Tony Faria","K1H","124.19","974.76","712.76","Finale B"
"Yann Castryck- -genereux","K1H","124.2","617.03","712.9","Finale B"
"Theophile Brun","K1H","127.67","835.48","759.59","Finale B"
"Thibaut Jumetz","K1H","128.08","723.63","765.1","Finale B"
"Mathieu Voreaux","K1H","129.16","856.21","779.63","Finale B"
"Gerald Oudin","K1H","131.33","852.14","808.83","Finale B"
"Louis Vanbersel","K1H","135.64","595.7","866.82","Finale B"
"Pierre Tardif","K1H","139.32","701.87","916.34","Finale B"
"Corentin Rogalski","K1H","141.35","1513.02","943.65","Finale B"
"Thibault Chausson","K1H","146.7","904.58","1015.64","Finale B"
"Killian Errot","K1H","148.82","999.09","1044.16","Finale B"
"K…vin Debruyne","K1H","149.75","1651.6","1056.68","Finale B"
"Gaetan Cornu","K1H","153.32","751.31","1104.71","Finale B"
"Arnaud Grignon","K1H","173.68","1000.96","1378.66","Finale B"
"Johann Sacleux","K1H","174.02","593.92","1383.23","Finale B"
"Christophe Hemar","K1H","180.01","783.66","1463.83","Finale B"
"Remmelt Beusquart","K1H","197.64","2511.33","1701.04","Finale B"
"Giovanni Escalon","K1H","228.04","-","2110.08","Finale B"
"Sacha Bou…","K1H","241.76","3378.54","2294.68","Finale B"
"Tom Gry","K1H","269.07","5716.51","2662.14","Finale B"
"Loic Perennes","K1H","456.8","1191.6","5188.07","Finale B"
"Mark Mazieres","K1H","Abs","-","-","Finale B"
"Elie Gerault","K1H","Abs","-","-","Finale B"
"Samy Serrakh","K1HM","116.9","666.95","614.67","Finale B"
"Cosme Duboc","K1HM","119.16","612.16","645.08","Finale B"
"Mathis Andrieu","K1HM","121.3","770.85","673.88","Finale B"
"Felix Derumigny","K1HM","126.41","1095.8","742.63","Finale B"
"Leo Bayard","K1HM","129.8","834.27","788.25","Finale B"
"Gauthier Lepolard","K1HM","134.2","1818.68","847.45","Finale B"
"Valentin Oudin","K1HM","149.51","922.72","1053.45","Finale B"
"Sebastien Marchandin","K1HM","161.74","2388.05","1218","Finale B"
"Tom Raynaud","K1HM","194.78","933.21","1662.56","Finale B"
"Louis Descotes","K1HM","200.21","3396.38","1735.62","Finale B"
"Mao Caron","K1HM","210.32","940.72","1871.65","Finale B"
"Timothee Houcke","K1HM","467.18","5898.31","5327.73","Finale B"
"Enzo Leclercq","K1HM","Abs","-","-","Finale B"
