"Slalom des Capitouls 2019 - 31400 Toulouse - Course n∞2 | Finale - 2019-03-24","Course n∞2 | Finale","2019-03-24","RÈgional","111"
"Guillaume Gonzalez","K1H","97.58","279.65","332.95","Course n∞2 | Finale A"
"Loris Shayam Affre","K1H","97.74","348.91","335.08","Course n∞2 | Finale A"
"Theo Ducasse","K1H","97.87","267.23","336.82","Course n∞2 | Finale A"
"Pierre-yves Lebreton","K1H","99.61","427.06","359.99","Course n∞2 | Finale A"
"Marin Saint Macary","K1H","99.8","503.04","362.52","Course n∞2 | Finale A"
"Angus Cruickshank","K1H","100.1","333.66","366.52","Course n∞2 | Finale A"
"Clement Guiraud","K1H","101.85","424.05","389.83","Course n∞2 | Finale A"
"Theau Le Loch","K1H","103.37","313.87","410.07","Course n∞2 | Finale A"
"Thomas Terr…","K1H","104.08","426.45","419.53","Course n∞2 | Finale A"
"Antoine Raby","K1H","104.3","442.41","422.46","Course n∞2 | Finale A"
"Thomas Buffet","K1H","105.91","421.14","443.9","Course n∞2 | Finale A"
"Clement Claret","K1H","108.05","506","472.41","Course n∞2 | Finale A"
"Simon Tourtois","K1H","108.62","466.69","480","Course n∞2 | Finale A"
"Guillaume Malmezac","K1H","109.37","511.73","489.99","Course n∞2 | Finale A"
"Emeric Nieser","K1H","109.47","488.43","491.32","Course n∞2 | Finale A"
"Tristan Ruiz","K1H","110.02","472.94","498.65","Course n∞2 | Finale A"
"Guillaume Pradalie","K1H","110.71","549.01","507.84","Course n∞2 | Finale A"
"Paul Ballery","K1H","110.78","449.69","508.77","Course n∞2 | Finale A"
"Remi Dolcin Tillant","K1H","112.79","490.65","535.54","Course n∞2 | Finale A"
"Elian Giondini","K1H","116.33","405.15","582.69","Course n∞2 | Finale A"
"Alexis Dorey","K1H","143.94","257.14","950.44","Course n∞2 | Finale A"
"Paul Pradalie","K1H","154.89","427.02","1096.28","Course n∞2 | Finale A"
"Yannis Dast","K1H","Abs","-","-","Course n∞2 | Finale A"
"Florian Malaval","K1HM","115.69","422.21","574.17","Course n∞2 | Finale A"
"Eyquem Martin Skutnik","K1HM","129.58","736.93","759.17","Course n∞2 | Finale A"
"Malo Maitrejean","K1HM","133.02","944.81","804.99","Course n∞2 | Finale A"
"Emeric Nieser","C1H","116.57","550.61","516.95","Course n∞2 | Finale B"
"Thomas Terr…","C1H","126.53","672.14","643.3","Course n∞2 | Finale B"
"Clement Serres","C1H","130.67","1042.86","695.82","Course n∞2 | Finale B"
"Loic Leymonerie","C1H","131.94","1016.94","711.92","Course n∞2 | Finale B"
"Oceane Dorval","K1D","112.42","563.27","363.35","Course n∞2 | Finale B"
"Pauline Rouilhet","K1D","132.56","645.54","600.74","Course n∞2 | Finale B"
"Celia Roulleau","K1D","160.73","819.54","932.78","Course n∞2 | Finale B"
"Marine Cottu","K1D","161.53","719.99","942.21","Course n∞2 | Finale B"
"Chloe Bonnet","K1D","199.36","939.89","1388.11","Course n∞2 | Finale B"
"Julie Droulez","K1D","Abd","-","-","Course n∞2 | Finale B"
"Dimitri Thauvin","K1H","105.55","405.53","444.11","Course n∞2 | Finale B"
"Benoit Sergent","K1H","106.61","463.19","458.23","Course n∞2 | Finale B"
"Matthieu Blois","K1H","108.68","571.39","485.8","Course n∞2 | Finale B"
"Julien Delaleux","K1H","108.76","605.04","486.86","Course n∞2 | Finale B"
"Pierrealain Clerc","K1H","108.95","516.21","489.39","Course n∞2 | Finale B"
"Bruno Lamothe","K1H","113.29","611.53","547.2","Course n∞2 | Finale B"
"Owen Merpillat","K1H","116.48","522.72","589.69","Course n∞2 | Finale B"
"Loic Leymonerie","K1H","116.7","596.49","592.62","Course n∞2 | Finale B"
"Aurelien Blois","K1H","118.36","849.88","614.73","Course n∞2 | Finale B"
"Matteo Roubaud","K1H","119.26","545.26","626.72","Course n∞2 | Finale B"
"Simeon Althabegoity","K1H","119.54","624.54","630.45","Course n∞2 | Finale B"
"Thomas Bisetto","K1H","120.87","562.57","648.16","Course n∞2 | Finale B"
"Victor Hirschmann-rodriguez","K1H","123.18","764.58","678.93","Course n∞2 | Finale B"
"Robin Ligneau","K1H","123.53","798.93","683.59","Course n∞2 | Finale B"
"Mateo Destruel","K1H","125.78","608.43","713.56","Course n∞2 | Finale B"
"Timothee Charrier","K1H","127.2","925.85","732.47","Course n∞2 | Finale B"
"Arthur Crueghe","K1H","127.84","797.87","740.99","Course n∞2 | Finale B"
"Vincent Falchi","K1H","127.98","584.67","742.86","Course n∞2 | Finale B"
"Lionel Aguilhon","K1H","130.39","720.92","774.96","Course n∞2 | Finale B"
"Seraphin Margot","K1H","130.46","750.25","775.89","Course n∞2 | Finale B"
"Mat…o Million","K1H","131.79","910.11","793.61","Course n∞2 | Finale B"
"Quentin Escudero","K1H","137.31","660.79","867.13","Course n∞2 | Finale B"
"Jules Maitre","K1H","137.34","640.61","867.53","Course n∞2 | Finale B"
"Valerian Touzet","K1H","138.04","891.03","876.85","Course n∞2 | Finale B"
"Clement Serres","K1H","138.2","1060.63","878.98","Course n∞2 | Finale B"
"Mehdi Laidet","K1H","139.97","895.26","902.56","Course n∞2 | Finale B"
"Quentin Rabot","K1H","149","972.13","1022.83","Course n∞2 | Finale B"
"Alistair Storrar","K1H","151.4","1263.15","1054.8","Course n∞2 | Finale B"
"J…r…my Nardi","K1H","155.46","757.54","1108.87","Course n∞2 | Finale B"
"Arthur Piqueras","K1H","156.5","998.72","1122.73","Course n∞2 | Finale B"
"Remi Ducos","K1H","158.78","1229.45","1153.09","Course n∞2 | Finale B"
"Julien Belz","K1H","175.2","1278.9","1371.8","Course n∞2 | Finale B"
"Brice Nurit","K1H","190.81","725.02","1579.71","Course n∞2 | Finale B"
"Joris Marino","K1H","201.53","1595.05","1722.49","Course n∞2 | Finale B"
"Lucas Theil","K1H","203.2","1054.22","1744.74","Course n∞2 | Finale B"
"Guillaume Leturcq","K1H","216.53","2416.21","1922.28","Course n∞2 | Finale B"
"Hugo Larenjeiro","K1H","256.89","958.47","2459.85","Course n∞2 | Finale B"
"Alexandre Roubaud","K1HM","134.05","954.92","823.71","Course n∞2 | Finale B"
"Hippolyte Lalanne","K1HM","157.54","1426.79","1136.58","Course n∞2 | Finale B"
"Lilian Varain","K1HM","273.65","1476.02","2683.08","Course n∞2 | Finale B"
